,Hebei,Tianjin,Shandong,Henan,Liaoning,Inner Mongolia,Shanxi,Guangdong,Jiangsu,Heilongjiang,Anhui,Zhejiang,Shaanxi,Sichuan,Hubei,Shanghai,Jilin,Hunan,Gansu,Hainan,Chongqing,Fujian,Jiangxi,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.8431984052800003,0.6030212961600001,0.4734187236,0.32501370528,0.26860636800000004,0.26659182024,0.26524878840000005,0.16787898,0.16384988448,0.12154438152000002,0.11482922232,0.11281467455999998,0.11214315864,0.10945709495999999,0.1040849676,0.10005587208,0.08864010144000001,0.06983765568,0.053721273600000015,0.051035209920000005,0.04834914624,0.04834914624,0.04767763032,0.03626185968,0.03223276416,0.026189120880000003,0.019473961680000002,0.01745941392,0.0100727388,0.0033575796000000005,
Tianjin,1.54905056748,,0.31535400816,0.1115978796,0.11231786592,0.08279842679999999,0.12095770175999998,0.032759377560000004,0.07055865936000001,0.047159103960000004,0.03635930916,0.034559343359999994,0.03311937072,0.0233995554,0.021959582759999995,0.0341993502,0.03671930232,0.0197996238,0.01691967852,0.008999828999999999,0.01403973324,0.01367974008,0.01151978112,0.00971981532,0.00971981532,0.006479876879999999,0.00575989056,0.004679911079999999,0.00287994528,0.00071998632,0.8063846783999998
Hebei,,2.8463462402400004,1.6155815796000002,0.6965673343200001,0.47899152359999997,0.51633662544,0.8767980432000001,0.1136590056,0.34422441696,0.13151970648000005,0.13963820688,0.15262780752,0.23706021168,0.09904570488,0.12827230632000006,0.12015380592,0.09417460464,0.07793760384,0.04221620208000001,0.027602901360000005,0.045463602240000005,0.03896880192,0.0487110024,0.030850301519999998,0.03572140176000001,0.02273180112,0.0243555012,0.0324740016,0.01298960064,0.0032474001600000003,7.18162545384
Shanxi,0.9390077247600002,0.2807571942,0.30132752328,0.6949435500000001,0.045588296880000004,0.47311756883999995,,0.06282289692000001,0.22015811664,0.015566735520000003,0.06727053563999999,0.07838963244000001,0.9167695311599999,0.08450513568000001,0.07171817436000001,0.07950154212,0.01334291616,0.039472793639999997,0.04114065816,0.0166786452,0.040584703320000005,0.023350103280000003,0.016122690359999997,0.0194584194,0.013898871000000002,0.012786961320000002,0.013898871000000002,0.02890965168,0.01056314196,0.0011119096800000002,0.9278886279600004
Inner Mongolia,0.5956451964,0.153260586,0.1209515976,0.05467674959999999,0.5198433389999999,,0.3616121394,0.029823681599999995,0.04183599779999999,0.298236816,0.014497622999999998,0.023196196800000003,0.416288889,0.0302378994,0.016982929799999994,0.028995245999999995,0.22823400779999994,0.012426534,0.17977052519999998,0.006213267,0.012426534,0.0091127916,0.005384831399999999,0.008284356,0.004970613599999999,0.006213267,0.010355445,0.2849818464,0.010769662799999998,0.0004142178,0.6507361638
Liaoning,0.6034532724,0.2537197344,0.27109779840000003,0.061692127199999995,,0.4674699216000001,0.04778967600000001,0.06647109480000002,0.1090473516,0.5022260496000001,0.031280515200000004,0.06560219160000001,0.0364939344,0.03258387,0.025198192799999998,0.08124244920000001,0.7059838500000001,0.022591483199999998,0.0104268384,0.014771354400000002,0.013467999599999999,0.019550322000000002,0.013033548,0.012599096399999999,0.012599096399999999,0.008689032000000001,0.006516774,0.0052134192000000005,0.0021722580000000003,0.0008689032000000001,0.8328437172000002
Jilin,0.14118162624000002,0.09065601,0.1112047056,0.02079044496,0.8898793941600002,0.22144241375999998,0.0145049616,0.0338449104,0.043756634160000016,0.4254788736000001,0.011120470560000002,0.030218670000000006,0.01184571864,0.01377971352,0.011120470560000002,0.03698765208000001,,0.011120470560000002,0.003384491040000001,0.012329217360000002,0.004834987200000001,0.007010731440000001,0.00870297696,0.0050767365600000005,0.00628548336,0.003384491040000001,0.0029009923200000003,0.0012087468000000002,0.0007252480800000001,0.0004834987200000001,0.23836486895999998
Heilongjiang,0.15396950447999996,0.09291647376,0.13703508720000002,0.02272777056,0.5037989140799999,0.27273324672,0.01492902576,0.0434501496,0.04790657519999999,,0.012255170400000001,0.033868834560000005,0.013369276799999998,0.015151847040000001,0.0100269576,0.03943936656,0.4701529008,0.012255170400000001,0.004233604320000001,0.02317341312,0.00623899584,0.009804136319999998,0.00601617456,0.0075759235200000006,0.007353102239999998,0.0033423191999999995,0.003565140479999999,0.0017825702399999995,0.0004456425599999999,0.0004456425599999999,0.25423908048
Shanghai,0.06295289544,0.0356337144,0.20608164828000006,0.19717321967999998,0.059983419239999995,0.029694762000000006,0.04513603824,0.17876246724,2.18969174988,0.03385202868,0.5451958303200001,1.27925034696,0.06770405736,0.10333777176,0.11640346704,,0.024943600080000003,0.09086597172000002,0.03741540012,0.03444592392,0.05226278112000001,0.10333777176,0.13600200996,0.04394824776000001,0.035039819160000006,0.038009295360000014,0.01544127624,0.009502323840000002,0.009502323840000002,0.0011877904800000002,0.14431654332000002
Jiangsu,0.2595146688,0.14129131967999994,1.5138355679999995,0.6617624054399999,0.09948062304,0.041810696639999985,0.1225485936,0.27825739487999995,,0.044694192960000004,2.4134864198399995,2.1640639881599997,0.19175250528,0.13552432703999998,0.28402438752,4.628011593599999,0.033160207680000005,0.14705831232,0.061995170879999985,0.03460195584,0.08362139327999997,0.14994180863999998,0.23933019456000001,0.05622817824,0.050461185599999986,0.06343691904,0.02018447424,0.01585922976,0.01585922976,0.00432524448,0.4397331888
