,Hebei,Tianjin,Shandong,Henan,Liaoning,Inner Mongolia,Shanxi,Guangdong,Jiangsu,Heilongjiang,Shaanxi,Shanghai,Anhui,Zhejiang,Sichuan,Hubei,Jilin,Hunan,Gansu,Jiangxi,Chongqing,Fujian,Hainan,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.58139584936,0.5131768413600001,0.46017872928,0.3296224044,0.26692951571999995,0.26434424196,0.25271051004,0.18872498448,0.15899433624,0.13184896176000002,0.12150786671999997,0.12150786671999997,0.11827627452,0.11762995608,0.11375204544000002,0.10858149792,0.09306985536000001,0.07949716812,0.06333920712,0.05687602272000001,0.051059156760000016,0.051059156760000016,0.051059156760000016,0.035547514200000005,0.032315922000000004,0.028438011360000005,0.02456010072,0.0226211454,0.01228005036,0.0025852737600000003,
Tianjin,1.4095502387999999,,0.29818740924000003,0.10632233988,0.11740479875999998,0.08173313423999999,0.10424437884,0.03186206928,0.07168965588,0.04987106496,0.033940030319999995,0.03913493292,0.036710645039999996,0.03705697188,0.026320839840000002,0.02285757144,0.0380959524,0.0190479762,0.019740629880000003,0.01350674676,0.01177511256,0.01593103464,0.00831184416,0.00969715152,0.0076191904799999995,0.00831184416,0.007272863639999998,0.00588755628,0.00415592208,0.00069265368,0.8197556302800001
Hebei,,2.83350496032,1.5416594017200003,0.684421488,0.44658502092,0.50647190112,0.8110394632800001,0.14715061992,0.35761022748000004,0.13859535132000006,0.26008016544,0.14886167364,0.15228378108,0.171105372,0.10779638435999998,0.14543956619999998,0.10950743808,0.08384163228,0.047909504160000005,0.059886880199999985,0.0513316116,0.04448739672,0.03251002068,0.0342210744,0.03593212812,0.0256658058,0.02908791324,0.03251002068,0.01368842976,0.00342210744,8.024841946799999
Shanxi,0.8421955527600001,0.33595463448,0.30132013608,0.6003313056,0.050220022680000004,0.46294779528,,0.07619589648,0.2424414888,0.01789449084,0.9253183489200001,0.11140763652,0.061187613839999995,0.08312279616,0.0894724542,0.07908210468,0.016162765920000002,0.03982967316,0.047911056119999997,0.02193518232,0.0404069148,0.02713035708,0.013276557720000002,0.01558552428,0.012122074440000002,0.014431041,0.01385379936,0.028862082,0.0115448328,0.0017317249199999998,1.17872742888
Inner Mongolia,0.5236765668000001,0.1749573918,0.11956086,0.06097603860000001,0.4702727160000001,,0.3024889758,0.0374624028,0.043440445800000005,0.2813665572,0.388572795,0.035868258000000014,0.0151443756,0.0306872874,0.0306872874,0.019926810000000003,0.22238319960000005,0.013948767,0.1610086248,0.008767796400000001,0.017137056600000002,0.0103619412,0.005978043000000001,0.007970724,0.0051809706,0.0047824344,0.008767796400000001,0.2347378218,0.0095648688,0.0003985362,0.7337051442000001
Liaoning,0.55347705,0.28293746796,0.2687684554800001,0.06597446436000001,,0.44986614624,0.051362670240000005,0.07837235028,0.12132216936,0.5180545188,0.03807922104,0.09874030572,0.029223588239999997,0.06907393584,0.03143749644,0.024795771840000005,0.6526601373600001,0.02700968004,0.011955104280000002,0.01505457576,0.0154973574,0.01859682888,0.014611794119999999,0.013283449199999998,0.012397885920000002,0.00752728788,0.007970069520000001,0.003542253120000001,0.00265668984,0.0004427816400000001,0.9364831686
Jilin,0.14921894844,0.11867996232000001,0.11644540235999999,0.02383530624,0.8250491941199999,0.2060760852,0.0161384886,0.037242666,0.047670612479999985,0.4116556015199999,0.01638677304,0.0409669326,0.013407359760000001,0.031035555,0.01390392864,0.0111727998,,0.013159075320000001,0.00422083548,0.007200248759999998,0.007696817639999998,0.00943480872,0.012165937560000001,0.005462257679999999,0.005710542119999999,0.0029794132799999995,0.0027311288399999994,0.0012414222,0.00173799108,0.00024828444,0.32574918528
Heilongjiang,0.16450289352,0.12006151775999999,0.14402728584000002,0.02350041336,0.5025830976000001,0.23895964871999997,0.013727964240000001,0.042114602160000014,0.050956341839999995,,0.013960641599999999,0.04816421352,0.01186654536,0.040020505920000005,0.014891351040000004,0.0104704812,0.4283590197600001,0.012564577440000002,0.0034901603999999997,0.00721299816,0.00604961136,0.00884173968,0.021406317119999997,0.00721299816,0.00674764344,0.003722837760000001,0.00302480568,0.0023267736,0.00093070944,0.0004653547200000001,0.37088771184
Shanghai,0.06935938632000001,0.042070447440000006,0.20523556116,0.20409852204,0.06026307336,0.03240561492,0.04775564304,0.19272813084000004,1.93524058224,0.034679693160000004,0.06992790588,,0.56965659912,1.15011506988,0.10688167728,0.11882058804000001,0.02501486064,0.0881205318,0.043776006119999995,0.1478150856,0.0511667604,0.10972427508,0.034679693160000004,0.046050084360000014,0.04036488876,0.04150192788,0.01648706724,0.01193891076,0.010233352079999999,0.0017055586800000001,0.16885030932
Jiangsu,0.2604275226,0.151571574,1.3793013233999998,0.6310889171999999,0.1047221784,0.0468493956,0.13228064639999998,0.3210561522,,0.0468493956,0.2163339738,4.281208003799999,2.266683993,1.9180693728,0.13779234,0.2907418373999999,0.0372039318,0.16121703779999996,0.0633844764,0.241136595,0.089565021,0.15570534419999998,0.0372039318,0.06476239979999998,0.0523610892,0.07578578700000001,0.0234246978,0.0179130042,0.0192909276,0.004133770199999999,0.5318784323999999
Zhejiang,0.10865840256000002,0.06659708544000001,0.2918003875200001,0.4311285004800001,0.06221569824000001,0.028917155520000005,0.05432920128000001,0.3952011254400001,1.6526592518400005,0.033298542720000004,0.10252446048,2.0443552675200003,0.9384931382400002,,0.13845183552000004,0.27252228384000005,0.02453576832000001,0.23484235392000005,0.03855620736000001,0.6528266928,0.09288540864,0.4469014944,0.035927375039999994,0.08850402144000001,0.07097847264000003,0.17175037824000006,0.015772993920000002,0.01402043904,0.01051532928,0.0017525548800000005,0.22695585696000006
Anhui,0.18615885912,0.1281528378,0.4519073754000001,0.7446354364800001,0.037771362720000014,0.022932613080000004,0.07149579372,0.41008908096,4.489396254719999,0.014838749640000003,0.15378340536,2.5900363008000005,,2.4052264189200003,0.07824067992,0.31835862864000003,0.01618772688,0.13624670124000002,0.0269795448,0.30891578796,0.05395908960000001,0.16997113224000002,0.020234658600000004,0.03102647652,0.040469317200000014,0.036422385480000014,0.012140795159999999,0.00809386344,0.00809386344,0.0013489772400000002,0.4991215788000001
