,Hebei,Tianjin,Shandong,Henan,Liaoning,Shanxi,Inner Mongolia,Guangdong,Jiangsu,Shanghai,Heilongjiang,Zhejiang,Shaanxi,Sichuan,Anhui,Hubei,Jilin,Hunan,Gansu,Jiangxi,Fujian,Hainan,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.58039942624,0.51297875424,0.4264055136,0.31592772144000003,0.23839944624,0.23646123936000002,0.23193875664000002,0.2035117224,0.18929820528000002,0.17120827439999994,0.13373627472000002,0.12727558511999998,0.12081489552,0.1162924128,0.11370813695999998,0.10853958528,0.09109572336,0.08140468896000001,0.05685406847999999,0.05685406847999999,0.054915861600000004,0.05297765471999999,0.05233158576,0.040702344480000006,0.03294951696,0.032303448,0.02778096528,0.021966344640000003,0.01485958608,0.005168551679999999,
Tianjin,1.3731493766399998,,0.25907802696,0.107501256,0.10248453072000001,0.10427621832,0.06880080384,0.04694221512,0.07130916647999999,0.04945057776,0.050167252799999985,0.03870045216,0.03296705184,0.0304586892,0.03690876456,0.0232919388,0.035475414479999995,0.01863355104,0.01899188856,0.014691838319999997,0.015766850880000002,0.011108463119999998,0.01540851336,0.012541813199999998,0.01146680064,0.00967511304,0.0071667504000000005,0.00645007536,0.0035833752000000003,0.00071667504,0.99940334328
Hebei,,2.2239676483200004,1.4229104306399998,0.62644818744,0.39516780528000006,0.77655068712,0.42426931032,0.15469747416,0.31858489727999995,0.15622913232000002,0.11793767832,0.16235576495999998,0.22668540768000003,0.10415275488,0.1608241068,0.13325425991999998,0.09343114776,0.08730451511999998,0.04901306112,0.05973466824,0.04901306112,0.032164821360000005,0.053608035599999986,0.03675979584,0.04135477032,0.029101505039999996,0.02450653056,0.030633163199999997,0.015316581599999999,0.00306331632,7.28456620896
Shanxi,0.65180889216,0.24051463488000005,0.25759259712,0.5099669280000001,0.042220517760000006,,0.3610091462400001,0.07732521792000001,0.19876850496000006,0.10958359104,0.01707796224,0.08681297472000002,0.77040585216,0.08871052608000002,0.04743878400000001,0.07068378816000001,0.014706023040000004,0.040322966400000014,0.041746129920000014,0.022770616320000003,0.02466816768,0.018501125760000004,0.037476639360000015,0.02324500416,0.01707796224,0.018026737920000004,0.01375724736,0.02561694336,0.01091092032,0.0028463270400000003,0.8956442419200001
Inner Mongolia,0.3967584087600001,0.11345488560000005,0.10044094284,0.056727442800000014,0.3987605538,0.25193658420000004,,0.03503753820000001,0.044714572560000006,0.038708137440000005,0.2559408742800001,0.027696339720000004,0.32901916824000005,0.031033248120000006,0.015016087800000003,0.02202359544,0.19120485132000006,0.012680251920000002,0.15283040472000006,0.01067810688,0.01101179772,0.008008580159999999,0.014682396960000003,0.008008580159999999,0.0060064351200000005,0.004671671760000001,0.0100107252,0.22357286280000005,0.008675961840000001,0.0006673816800000001,0.5515909585200001
Liaoning,0.4326654074399999,0.1984003632,0.25982816796,0.06905858796,,0.051507786600000015,0.3746714551200001,0.09538479,0.12132945288,0.11140943472,0.39069609984,0.07821552779999999,0.04883701248,0.0400616118,0.0305231328,0.02594466288,0.56925642672,0.02594466288,0.01106463564,0.01678772304,0.02518158456,0.01564310556,0.01564310556,0.0152615664,0.01488002724,0.0114461748,0.009538479,0.0053415482400000006,0.0026707741200000003,0.00038153916,0.7420936662000001
Jilin,0.10413805824,0.0825484608,0.10519637183999997,0.02243624832,0.66800754432,0.01545137856,0.1777966848,0.04212088128000001,0.047200786560000006,0.05270401728,0.34945515072000005,0.0328077216,0.014816390399999997,0.01460472768,0.014816390399999997,0.012276437759999998,,0.01312308864,0.0042332544,0.010583136000000002,0.0095248224,0.01312308864,0.00783152064,0.0074081951999999986,0.0067732070400000005,0.0042332544,0.00402159168,0.00148163904,0.00063498816,0.00021166272000000002,0.2730449088
Heilongjiang,0.12572099747999999,0.08930100312000001,0.13415726736,0.02345694552,0.39959112456,0.015432201000000001,0.19794369816,0.047325416399999994,0.04979456856,0.05102914464,,0.036008469,0.01378609956,0.01563796368,0.012963048840000001,0.012551523479999998,0.3888914652,0.012139998119999999,0.00452677896,0.007613219159999999,0.01172847276,0.01995897996,0.007201693799999999,0.00637864308,0.00637864308,0.00452677896,0.0034979655600000004,0.00267491484,0.0006172880400000001,0.00020576268,0.3528829962
Shanghai,0.06673359312,0.04078164024,0.19587545388,0.1915501284,0.0679694004,0.050668098479999986,0.03274889292,0.22306321403999999,2.2510229605200003,,0.03583841112,1.2870932821199998,0.07229472588,0.11122265520000002,0.5227464794400001,0.1174016916,0.026569856519999997,0.092685546,0.04572486936000001,0.15138639180000002,0.10936894427999999,0.03769212204,0.05561132760000001,0.05128600212,0.03769212204,0.047578580280000005,0.01791920556,0.0123580728,0.0123580728,0.00185371092,0.20081868300000005
Jiangsu,0.225558108,0.12472036559999995,1.2020920344,0.5506271460000001,0.1021645548,0.1233935532,0.0477652464,0.34099078679999995,,4.431553415999999,0.0490920588,1.884073608,0.2030022972,0.1486029888,2.0512519704,0.2481139188,0.039804372000000005,0.1419689268,0.0716478696,0.212289984,0.15258342599999994,0.0384775596,0.08624280599999999,0.06899424479999999,0.0570529332,0.06899424479999999,0.026536248,0.0225558108,0.019902186000000002,0.0026536248,0.5055155243999999
Zhejiang,0.103497345,0.056161349999999985,0.249516855,0.3754787399999999,0.0641844,0.050545215,0.031289895,0.398745585,1.5035195699999997,1.8773937,0.037708335,,0.09386968499999998,0.14281028999999998,0.8047119149999999,0.23587767,0.03048759,0.2085993,0.04011525,0.564020415,0.4188032099999999,0.03690603,0.08985816,0.087451245,0.069800535,0.166077135,0.01925532,0.013639185,0.010429965,0.0024069149999999995,0.22945923
Anhui,0.14044824576,0.09107190936000001,0.37964916432,0.6649346635199999,0.04059832104,0.05925160368,0.02084778648,0.34343985096,3.7526015663999996,1.99919299824,0.01536152688,1.8302162025599997,0.11960045928,0.07461313056,,0.27870198768000004,0.016458778799999997,0.11082244392,0.0219450384,0.25895145311999995,0.13496198616,0.023042290319999995,0.04608458063999999,0.02852854992,0.0384038172,0.031820305679999994,0.01206977112,0.006583511519999999,0.00768076344,0.00219450384,0.4059832104
Fujian,0.03974094576,0.0205556616,0.07571335356,0.08804675052000001,0.01952787852,0.02432419956,0.01233339696,0.89211571344,0.19493619084,0.30696454656000005,0.01130561388,0.51149337948,0.04316688936000001,0.07194481559999999,0.10038014748,0.11682467676,0.00719448156,0.12025062035999999,0.017472312360000002,0.34533511488000007,,0.02603717136,0.0548150976,0.045907644239999996,0.06920406072,0.07674113664000001,0.00445372668,0.00308334924,0.00274075488,0.00068518872,0.1130561388
Jiangxi,0.0454167324,0.02725003944,0.08105139936000001,0.0943270596,0.0139743792,0.01956413088,0.00908334648,2.29808665944,0.37660951944,0.58273161264,0.008384627519999998,1.2017966111999998,0.044718013439999996,0.07196805288,0.20332721735999998,0.30673762343999994,0.008384627519999998,0.5149558735199999,0.01327566024,,0.576443142,0.030743634239999998,0.047512889280000005,0.046814170319999994,0.09921809232,0.07616036663999999,0.004891032720000001,0.00209615688,0.004192313759999999,0.0006987189599999999,0.1676925504
Shandong,1.2240244173600001,0.55202938884,,0.9541017280799999,0.22774726908000004,0.2624248368,0.11621671344000001,0.23149619532000004,1.5070683484799998,0.6110749771199999,0.13589857619999998,0.4311265176,0.20806540631999998,0.117153945,0.351461835,0.16026659676000002,0.08716253507999999,0.10028377692,0.05529666204,0.09747208224,0.08435084040000003,0.025305252120000003,0.05904558828000001,0.04873604112,0.04592434643999999,0.035614799280000005,0.034677567720000003,0.02436802056,0.017807399640000002,0.00562338936,1.54455761088
Henan,0.6564097764,0.2588980968,1.0951618608,,0.08133524279999997,0.5991314364,0.0756074088,0.8316814967999999,1.2578323464,0.8614662335999999,0.0263480364,0.9748773468,0.6289161732,0.1901640888,0.7778398571999999,0.7606563552,0.0263480364,0.2325500604,0.0996643116,0.1523603844,0.1535059512,0.0423859716,0.09393647759999997,0.05727834,0.0756074088,0.068734008,0.059569473599999985,0.0389492712,0.036658137599999994,0.0103101012,1.214300808
Hubei,0.1005238674,0.058368697200000014,0.13359946248,0.5259668158799999,0.023996019960000003,0.05966577936,0.02010477348,1.57400920116,0.38912464799999996,0.3878275658400001,0.01232228052,0.49743100836,0.19845357048000006,0.18677983104,0.21920688504,,0.011025198360000002,0.6478925389200001,0.032427054000000004,0.32362199892000004,0.1588925646,0.04669495776,0.25487664444,0.06225994368,0.10700927820000003,0.09663262092,0.01232228052,0.0097281162,0.01167373944,0.00194562324,0.30935409515999995
Hunan,0.06089248224000001,0.02955076344,0.08507037960000001,0.16297693776000002,0.023282419680000003,0.034028151840000014,0.015223120560000003,4.611710052000001,0.23998801824000005,0.25700209415999997,0.009850254480000004,0.38236896936,0.07969751352000001,0.13611260736000005,0.10029350016000003,0.6169841215200002,0.01074573216,,0.027759808080000004,0.4647529159200001,0.16566337080000004,0.07074273672000002,0.14596286184,0.11999400912000002,0.4737076927200001,0.3653548934400001,0.012536687520000004,0.00537286608,0.01074573216,0.00268643304,0.21760107624000005
Guangdong,0.07762615884000001,0.036273906000000015,0.12623319287999998,0.26334855756000003,0.051508946519999994,0.045705121560000006,0.031921037280000016,,0.22054534848,0.23795682335999999,0.03409747164,0.28801481364000003,0.10301789303999999,0.28148551056000004,0.12333128040000002,0.3924836629200001,0.023940777960000003,1.14552995148,0.047881555920000006,0.6094016208000002,0.4490709562800001,0.23142752028,0.17411474880000002,0.16540901136,1.3892905997999998,0.22707465156000006,0.022489821719999997,0.011607649920000004,0.018136953000000004,0.0058038249600000005,0.19805552676000004
Guangxi,0.030385886400000003,0.012660786,0.03241161216,0.050643144,0.01063506024,0.014686511759999996,0.006077177279999999,3.5050119962399995,0.06229106712,0.06279749856000001,0.00810290304,0.08102903040000001,0.02481514056,0.09520911071999998,0.02481514056,0.0683682444,0.0050643144000000005,0.29575596096,0.014686511759999996,0.05266886976,0.05672032128000001,0.0658360872,0.06229106712,0.14078794032,,0.19852112448,0.0025321572000000002,0.00202572576,0.00202572576,0.00101286288,0.0658360872
Hainan,0.02057572368,0.0088049268,0.01955620584,0.030863585520000007,0.01241958096,0.015941551680000002,0.008341509600000001,0.27489908304,0.02938065048,0.04328316648,0.01316104848,0.033366038400000006,0.02205865872,0.046156353120000014,0.01102932936,0.03355140528,0.007785408959999999,0.045878302800000006,0.005190272640000001,0.017053752959999998,0.01798058736,,0.03586849128,0.017424486719999997,0.053292978000000005,0.029195283600000007,0.0021317191199999998,0.0025024528800000004,0.0019463522399999998,0.00018536688,0.0653418252
Chongqing,0.04090445244,0.021627641519999997,0.05783043276000001,0.08086857264,0.015045315840000004,0.03573262512,0.01927681092,0.37049090255999995,0.10719787536,0.1034365464,0.00893315628,0.13775867315999998,0.15703548408,1.84258102428,0.045135947520000004,0.28727149931999996,0.00423149508,0.16126697916000002,0.07663707756,0.0446657814,0.0728757486,0.037143123480000005,,0.23179189716,0.07475641308000001,0.49508492436,0.0188066448,0.010343654640000002,0.01692598032,0.013634817480000002,0.10531721088000004
Sichuan,0.07898874407999999,0.046423209240000006,0.10393255800000001,0.16213479048,0.03395130228,0.08661046500000001,0.03672283716,0.5910298131599999,0.1766853486,0.1766853486,0.01455055812,0.17599246487999998,0.46353920868,,0.05820223248,0.1697565114,0.01247190696,0.11848311612,0.27299618568000006,0.05612358132000001,0.09353930220000002,0.055430697599999995,2.0585575321200005,0.70119832464,0.1143258138,0.5605429294800001,0.05127339528,0.02286516276,0.08799623243999999,0.10185390684000001,0.23558046480000006
Guizhou,0.017967517199999998,0.0109801494,0.0336059118,0.039927816,0.009316490400000002,0.012643808400000001,0.0059891724,0.5293762938000001,0.079855632,0.07220280059999999,0.0076528314,0.237903237,0.0362677662,0.3996108918,0.021627567,0.0672118236,0.003992781599999999,0.27683285760000004,0.013642003799999998,0.060224455800000014,0.1107996894,0.0296131302,0.43488046259999996,0.4847902326,0.2641890492,,0.0029945862,0.0023291226000000005,0.0019963908,0.0016636589999999998,0.0519061608
Yunnan,0.0209237256,0.0106892946,0.028428975,0.0379811106,0.012508749,0.0106892946,0.006822954,0.2658677742,0.056175654600000006,0.0611791542,0.0075052493999999996,0.08687894759999999,0.0366165198,0.564030864,0.017967112200000003,0.0423023148,0.004548636,0.073915335,0.015010498799999999,0.0282015432,0.0395731332,0.019331703,0.1316830122,,0.17580478140000005,0.43348501079999996,0.005003499600000001,0.0036389088,0.0038663406,0.012736180800000002,0.05685795
Tibet,0.002573208,0.0021614947199999996,0.003525294960000001,0.0061499671200000005,0.0015439248000000002,0.0020585664,0.0011579436000000002,0.013689466560000002,0.007333642800000002,0.008285729759999999,0.0010035511199999998,0.0059183783999999994,0.012197005920000002,0.07207555607999999,0.0023158872000000005,0.00293345712,0.000643302,0.00445164984,0.00807987312,0.00156965688,0.00252174384,0.0007976944800000001,0.014795946,0.014538625200000004,0.00221295888,0.002753332560000001,0.004271525280000001,0.0011322115200000002,0.04395039264,,0.01031856408
Shaanxi,0.14834084040000006,0.05311559124000001,0.15216899112000004,0.4431084458400001,0.033974837640000005,0.5373766573200002,0.3564965358000001,0.22346829828000006,0.2057631012,0.15073343460000002,0.013877046359999999,0.12106526652000002,,0.3923854488,0.08709042888000001,0.16556751864000002,0.011484452160000002,0.07273486368000001,0.6043692949200001,0.037324469520000014,0.038281507200000016,0.02631853620000001,0.13015712448000002,0.042588176760000006,0.02631853620000001,0.04545928980000001,0.05072299704000001,0.19045049832000005,0.09283265496000002,0.011484452160000002,0.31247280252000004
Gansu,0.038614644,0.03681262728,0.043763263200000006,0.07877387376000003,0.011841824160000002,0.03681262728,0.12665603232000006,0.057149673120000015,0.07877387376000003,0.06023884464,0.005406050160000001,0.045565279920000014,0.7452626292000001,0.19539009864,0.01776273624,0.03552547248,0.004376326320000001,0.02110933872,,0.01493099568,0.0154458576,0.005663481120000001,0.057407104080000014,0.01235668608,0.008752652640000002,0.010812100320000002,0.13309180632,0.23735134512000006,0.30557054952,0.008752652640000002,0.12022025832
Qinghai,0.0071530452,0.004223702879999999,0.01219423896,0.02731782024,0.00286121808,0.00871990272,0.010491132959999998,0.01219423896,0.0146467116,0.00926489664,0.00197560296,0.0088561512,0.06546739464,0.06499052495999999,0.00449619984,0.00824303304,0.00129436056,0.0061993058400000006,0.29599982280000003,0.00361058472,0.00245247264,0.00129436056,0.01471483584,0.00470057256,0.00197560296,0.00395120592,0.0214591356,0.01423796616,,0.025342217280000003,0.01982415384
Ningxia,0.023791352400000004,0.009077021999999999,0.019587258,0.0241735428,0.004490737199999999,0.0236958048,0.2124023148,0.0177718536,0.017198568,0.016243092,0.0029619756,0.0117523548,0.20447186399999998,0.023218066800000003,0.0053506656,0.007930450799999999,0.0016243092,0.0061150464,0.22004612280000002,0.0031530708000000003,0.0040129992,0.0020064996,0.0101280456,0.0052551180000000005,0.0022931424,0.0033441659999999995,0.010032498,,0.016529734799999998,0.0003821904,0.045002919599999996
Xinjiang,0.015774944399999997,0.008159454,0.02110578768,0.04259234988,0.006527563199999999,0.007615490399999998,0.01213038828,0.021976129440000002,0.0209425986,0.0184947624,0.0035357634,0.01528537716,0.053743603680000016,0.04117804452,0.006799545000000001,0.01055289384,0.0021758544,0.01022651568,0.10901030544000001,0.00310059252,0.00674514864,0.00239343984,0.01528537716,0.00467808696,0.0027198179999999997,0.0021758544,,0.009029795759999999,0.0318218706,0.0032637815999999997,0.033997725
Taiwan,0.00012891959999999998,3.20436e-05,0.0002265408,6.40872e-05,9.6876e-05,,,0.0002265408,0.0001617084,0.0034987140000000004,3.20436e-05,9.6876e-05,3.20436e-05,3.20436e-05,6.40872e-05,6.40872e-05,3.20436e-05,,6.40872e-05,3.20436e-05,0.0018466056,6.40872e-05,,3.20436e-05,6.40872e-05,,3.20436e-05,,,,0.0002585844
Hong Kong,,,9.66492e-05,,6.358500000000001e-05,,3.05208e-05,0.023584948199999997,9.66492e-05,0.0005493744000000001,,6.358500000000001e-05,,3.05208e-05,,6.358500000000001e-05,,,,,0.000356076,3.05208e-05,,,,3.05208e-05,,,,,0.00016023420000000005
Macau,0.0016490692800000002,0.00062925012,0.00101981916,0.00101981916,0.00062925012,0.00049906044,0.00023868107999999995,0.1854118026,0.00264719016,0.00318964716,0.0006726466799999999,0.00203963832,0.0008896294799999998,0.00106321572,0.0008028363600000001,0.0023651125199999996,0.0003037759200000001,0.00199624176,0.00010849139999999999,0.0012151036800000002,0.00225662112,0.00041226732000000004,0.00043396559999999996,0.00023868107999999995,0.00167076756,0.0007377415200000001,2.169828e-05,0.00010849139999999999,4.339656e-05,,0.00223492284
