,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Guangdong,Inner Mongolia,Jiangsu,Shanghai,Zhejiang,Sichuan,Shaanxi,Heilongjiang,Anhui,Hubei,Hunan,Jilin,Fujian,Gansu,Hainan,Chongqing,Jiangxi,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.5536035635200003,0.4597519564800001,0.35184513024,0.24566022144000005,0.19342872575999998,0.18424516608,0.18252324864,0.17391366144,0.16013832192000002,0.12512600064,0.10618490880000002,0.10388901888000003,0.10101915648,0.09355751424,0.08379998208,0.08150409216,0.06658080767999999,0.06543286272000001,0.04993560576,0.047639715840000006,0.047639715840000006,0.04534382592,0.042473963520000005,0.0401780736,0.032716431360000006,0.03214245888000001,0.025828761600000003,0.01779314688,0.01090547712,0.0051657523200000005,
Tianjin,1.22242116816,,0.22843506276,0.08416028627999998,0.09394636607999997,0.08136426347999999,0.04026272832,0.05983488792,0.06179210387999999,0.0363482964,0.03662789868,0.026282614319999998,0.031595057639999986,0.04138113744,0.030197046239999997,0.019851761880000002,0.017055739079999997,0.02600301204,0.0153781254,0.017614943640000002,0.00894727296,0.0125821026,0.0125821026,0.01006568208,0.012302500320000001,0.01146369348,0.007549261559999999,0.0055920456000000006,0.0030756250800000003,0.00027960228,0.5368363776
Hebei,,1.67351960304,1.3283288755199998,0.5440031085600001,0.67399581924,0.33208221887999995,0.136546965,0.36266873904,0.27200155428000006,0.11688420204000002,0.14419359503999998,0.09722143908,0.17368773948,0.09394431192,0.13545458927999998,0.10159094196,0.06991204607999998,0.07537392468,0.042602653080000004,0.04041790164,0.031678895879999995,0.041510277359999986,0.05024928312,0.03604839876,0.03495602303999999,0.02512464156,0.026217017279999998,0.0218475144,0.010923757199999998,0.0032771271599999997,4.2056465219999986
Shanxi,0.59582016936,0.15252395255999998,0.23705077356,0.42338545452,,0.040197199320000015,0.0732565782,0.27386690004,0.16191582156,0.07626197627999999,0.07062685487999999,0.07588630152,0.6134768830799999,0.018783738,0.040197199320000015,0.061986335400000016,0.03080533032,0.016905364200000002,0.02742425748,0.03268370412,0.018783738,0.0300539808,0.01991076228,0.01840806324,0.014275640880000003,0.014275640880000003,0.01352429136,0.01840806324,0.009767543759999999,0.0015026990400000002,0.56839591188
Inner Mongolia,0.35560813104000005,0.07685813952000001,0.09078171552000001,0.046504743840000015,0.21943555776,0.33138110880000005,0.036479769120000005,,0.03870754128,0.037036712160000006,0.02756868048,0.027290208960000003,0.27540833328000003,0.21080294064000005,0.01169580384,0.01921453488,0.01336663296,0.15427322208000002,0.010860389280000002,0.1615134816,0.0111388608,0.01448051904,0.008075674080000001,0.008354145600000001,0.006404844960000001,0.0077972025600000034,0.008632617120000002,0.21637237104,0.00724025952,0.0005569430400000001,0.3458616278400001
Liaoning,0.37154812752,0.12796788239999998,0.22475278656,0.05971834512,0.0455977512,,0.08501774256000001,0.29888590464000003,0.11031714,0.09354893472,0.07295640192000001,0.03794909616,0.03912581232,0.2485812888,0.02853536688,0.02559357648,0.02824118784,0.4289130403200001,0.02265178608,0.013238056800000002,0.01735656336,0.015297310080000001,0.01706238432,0.01500313104,0.013238056800000002,0.0117671616,0.0102962664,0.005295222719999999,0.0029417904,0.0008825371199999998,0.46539124128
Jilin,0.08693555364000001,0.05675674212,0.08556378947999999,0.023491461239999997,0.013717641599999999,0.5288150836800001,0.04252468896000001,0.15672405528000002,0.04183880688,0.04252468896000001,0.0325793988,0.01577528784,0.013717641599999999,0.28584135684,0.014574994200000004,0.0120029364,0.013546171080000002,,0.010802642759999998,0.004115292479999999,0.01320323004,0.008059114440000001,0.007716173400000002,0.005829997680000001,0.0075447028799999994,0.00497264508,0.00394382196,0.00222911676,0.00120029364,0.0005144115599999999,0.17472845988
Heilongjiang,0.09745956612,0.06307193952000001,0.121614777,0.021639043080000003,0.013587306120000005,0.29153997575999996,0.042439363560000005,0.1853576946,0.047303954640000014,0.041936130000000016,0.036903794400000016,0.016774452000000002,0.01543249584,,0.01375505064,0.012245349960000002,0.014761517760000004,0.32274045648,0.010064671200000002,0.00385812396,0.020129342400000003,0.005871058199999999,0.005871058199999999,0.009393693120000005,0.0067097808000000005,0.005871058199999999,0.003690379440000001,0.0033548904000000003,0.0016774452,0.00016774452000000006,0.23920368552000004
Shanghai,0.060418800720000006,0.03320312472,0.16438268304,0.15186347207999998,0.04300076808,0.058241546639999996,0.16547131008,0.027215676,2.17126663128,,1.1512230948,0.09960937416,0.058241546639999996,0.028848616560000005,0.38972848032,0.09144467135999998,0.07511526576000001,0.0190509732,0.09035604432,0.04136782752,0.031570184159999994,0.051709784399999986,0.12029328791999998,0.04681096272,0.037557632880000004,0.04953253032,0.02013960024,0.00979764336,0.009253329840000001,0.0027215676,0.13281249888
Jiangsu,0.1947893832,0.08714261880000003,1.0477618401600002,0.4685197269600001,0.10867197167999999,0.09124344792000001,0.29525969664,0.044083913040000006,,2.7967654598400005,1.58086962576,0.14045339735999998,0.15070547016,0.045109120320000015,1.76643214344,0.18453731040000004,0.13225173912000002,0.033831840239999994,0.13225173912000002,0.06048722952000001,0.0358822548,0.07894096056000001,0.17736085944000002,0.0666384732,0.05843681496,0.06971409504000001,0.03178142568,0.0205041456,0.017428523760000002,0.005126036400000001,0.31063780584
Zhejiang,0.09034998552000001,0.0425561526,0.21998257344,0.3122966890799999,0.05106738312,0.06088803372000001,0.33913980072,0.02553369156,1.32055015068,1.31203892016,,0.13487026824,0.08707643531999999,0.03339021204,0.6789343114799998,0.18921120156,0.16302279996,0.02815253172,0.34110393084,0.037973182319999986,0.03404492208,0.08314817508,0.44258398704,0.08249346503999999,0.06088803372000001,0.15843982967999998,0.01898659116,0.01178478072,0.01113007068,0.00130942008,0.16105866984
Anhui,0.11823651,0.0654242022,0.31293262980000003,0.5801471424,0.0496593342,0.0346827096,0.2687909994,0.0181295982,2.6595332315999998,1.1642355018000001,1.3455314838,0.06227122860000001,0.07882434,0.0134001378,,0.2214963954,0.0835538004,0.0149766246,0.10247164199999999,0.023647302,0.0228590586,0.037047439799999984,0.201002067,0.031529736,0.0338944662,0.0299532492,0.012611894399999999,0.006305947199999999,0.006305947199999999,0.0031529735999999997,0.2687909994
Fujian,0.03615948864,0.0209620224,0.06786454752,0.07808353343999999,0.02332024992,0.01991392128,0.6275505455999999,0.0104810112,0.14516200512,0.18420377184,0.40168475424,0.07493923007999999,0.037469615039999994,0.01257721344,0.07310505312000001,0.08306201376,0.08804049407999999,0.007074682559999999,,0.017555693759999998,0.02410632576,0.05057087903999999,0.25573667327999994,0.05057087903999999,0.06288606719999999,0.06341011776000001,0.00681265728,0.0039303792,0.00366835392,0.00104810112,0.08070378623999999
Jiangxi,0.042651849240000005,0.021560275440000002,0.06186861647999999,0.07686706895999999,0.01734196068,0.01312364592,1.41688505772,0.007967927880000001,0.24747446591999997,0.33840258408,0.8366324274000001,0.04733886563999999,0.03421521972,0.00890533116,0.15139062972,0.2296638036,0.3913658694,0.010311436080000002,0.37589871528,0.01265494428,0.025778590200000003,0.027653396760000004,,0.0398396394,0.07452356076000001,0.04593276072,0.0037496131200000006,0.00281220984,0.00281220984,0.0009374032800000001,0.11389449852
Shandong,1.066124592,0.36161388899999997,,0.837027594,0.208882557,0.211877289,0.211877289,0.108559035,1.274258466,0.42749799299999997,0.371346768,0.111553767,0.168453675,0.116045865,0.29123768699999997,0.128773476,0.095082741,0.0748683,0.079360398,0.045669663,0.028449954,0.05240781,0.079360398,0.043423614000000006,0.041926248000000006,0.035936784,0.036685467,0.022460490000000003,0.017219709,0.003743415,0.924623505
Henan,0.55896681204,0.17549978399999994,0.9389238444,,0.5054393779199999,0.07195491143999998,0.6493492008,0.05966992656,0.9301488551999998,0.5537018185199998,0.6967341424799999,0.14741981855999994,0.42646447512,0.02720246652,0.6616341856799999,0.5931892699199999,0.18953976672,0.028957464359999994,0.12284984879999995,0.08160739955999999,0.04036495032,0.07546490712000001,0.11407485960000001,0.054404933039999985,0.06844491575999999,0.049139939519999995,0.05264993519999999,0.03158996112,0.026324967599999995,0.008774989199999998,0.8230939869599999
Hubei,0.09077445792,0.03465046512,0.12005654112,0.42751841471999996,0.04733936784,0.02391370128,1.1127191616,0.016105145759999998,0.31575846384,0.26695499184,0.3684662136,0.13518561744000002,0.1366497216,0.01171283328,0.17422839503999998,,0.5373262267200001,0.00878462496,0.11517619392,0.024889770720000003,0.03709063872,0.1878933672,0.24987377664,0.052707749760000006,0.07271717327999999,0.05954023584,0.012200868,0.0073205208,0.00927265968,0.00195213888,0.2122951032
Hunan,0.056873664,0.0246452544,0.0834147072,0.1225943424,0.029700691199999994,0.0246452544,2.9789161344,0.014534380799999996,0.18894695039999998,0.1876830912,0.3077497152,0.101108736,0.06066524159999999,0.0120066624,0.07267190400000001,0.467627904,,0.0113747328,0.10995575039999997,0.0208536768,0.0556098048,0.113747328,0.3829493376,0.0815189184,0.35324864640000003,0.2571953472,0.0120066624,0.008847014399999999,0.0069512256,0.003159648,0.1573504704
Guangdong,0.0791148384,0.029211632639999995,0.11806368192,0.24099596928,0.04442602464,0.053554659840000005,,0.02982020832,0.19291849056,0.19656994464000002,0.25681893696,0.24160454496,0.09189492767999999,0.034080238080000005,0.10163213856,0.30489641568000003,0.8921719468799999,0.021908724480000002,0.38340267840000003,0.04625175168,0.18135555264,0.14910104159999998,0.4892948467199999,0.136929528,1.1727253353599998,0.19474421760000002,0.021908724480000002,0.010954362240000001,0.017648694719999997,0.00486860544,0.15944682816
Guangxi,0.0280489068,0.0142165692,0.032659686000000014,0.044570865599999995,0.017290422000000003,0.014985032400000002,2.5547559084,0.005763474,0.0584032032,0.0487974132,0.0645509088,0.06877745639999999,0.023438127599999997,0.0073004004,0.01921158,0.0572505084,0.22977049680000006,0.006147705600000001,0.053408192400000006,0.0119111796,0.0476447184,0.0414970128,0.0457235604,0.1129640904,,0.16790920920000002,0.002689621200000001,0.0023053896,0.0023053896,0.0015369264000000002,0.0487974132
Hainan,0.02125473696,0.009675663840000001,0.017051374799999998,0.03219934032,0.01855824048,0.01134114696,0.20120622264,0.00991359,0.02807528688,0.03790956816,0.02870975664,0.0404474472,0.02529948168,0.016020361440000002,0.01126183824,0.02680634736,0.04266809136,0.00808948944,0.0174479184,0.00459990576,,0.027202890960000004,0.015544509119999998,0.014989348080000003,0.0420336216,0.02093750208,0.00285511392,0.0021413354400000003,0.00095170464,,0.05622988248
