,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Guangdong,Inner Mongolia,Jiangsu,Shanghai,Zhejiang,Sichuan,Shaanxi,Heilongjiang,Anhui,Hubei,Jilin,Hunan,Fujian,Chongqing,Hainan,Gansu,Jiangxi,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,3.3338619446399997,0.6145855948799999,0.3510025487999999,0.23907909456,0.19338253632,0.17550127439999996,0.16689177791999998,0.16026908831999995,0.15430866767999998,0.13444059887999998,0.1125857232,0.10530076464,0.09536673024,0.09470446128,0.08013454415999999,0.0794722752,0.06424008912000001,0.062253282239999985,0.05165697888,0.04569655824,0.04503428928,0.04503428928,0.04172294448,0.03907386864,0.031126641119999993,0.03046437216,0.0298021032,0.01788126192,0.01125857232,0.0033113448,
Tianjin,1.28458830528,,0.22547434104000003,0.08140574844,0.0797272794,0.0783285552,0.04000351212,0.05538947831999999,0.058186926720000004,0.03692631888,0.03384912564,0.03049218756,0.029093463360000002,0.03580733952,0.03105167724,0.02126060784,0.028254228839999996,0.016504945559999998,0.01622520072,0.01370749716,0.0097910694,0.01986188364,0.011469538439999998,0.01286826264,0.011469538439999998,0.012308772959999999,0.007832855520000001,0.006154386479999999,0.0041961726,0.0008392345199999999,0.4993445394000001
Hebei,,1.55728101312,1.2063174350399999,0.5072670295200001,0.6012408837600001,0.3164425704000001,0.1342483632,0.3394565755200001,0.24164705376000006,0.11123435808,0.1342483632,0.08630251920000002,0.1534267008,0.08822035296000001,0.11890569312000003,0.08822035296000001,0.06328851408000001,0.06424743096,0.04027450896,0.037397758320000016,0.029726423280000008,0.03931559208,0.04506909336,0.034521007680000014,0.037397758320000016,0.027808589520000003,0.023972922000000004,0.02493183888,0.01054808568,0.00287675064,3.4060727577600005
Shanxi,0.5907182903999999,0.1168985844,0.205783011,0.41709968280000004,,0.0394273332,0.06674978339999997,0.25593181200000004,0.14456688839999998,0.079546374,0.065712222,0.06398295300000001,0.5644334016,0.015563421,0.0411566022,0.0470361168,0.014525859599999996,0.03458538,0.025247327400000002,0.0290517192,0.0200595204,0.0314726958,0.0183302514,0.0235180584,0.014525859599999996,0.014180005799999998,0.012796590600000001,0.019021958999999998,0.007954637399999999,0.0024209766,0.47001531420000003
Inner Mongolia,0.33380830944,0.06962210496,0.08959123583999999,0.046954442879999995,0.20940602112,0.31248991296,0.03670002432,,0.036430171200000014,0.032382374400000004,0.028604430719999997,0.029144136960000008,0.27147223872000004,0.20211998688,0.014302215359999999,0.01861986528,0.16407069695999998,0.01268309664,0.011603684159999999,0.01106397792,0.008905152960000001,0.17702364671999998,0.008095593600000001,0.010254418559999999,0.0053970623999999995,0.00485735616,0.008905152960000001,0.21912073344,0.008635299840000001,0.0005397062400000001,0.3116803536
Liaoning,0.371970144,0.12933115775999998,0.2260433952,0.05779843776,0.05093129664,,0.08641152576,0.29700385344,0.10071806976,0.09356479776,0.07267724351999999,0.03977219232,0.039199930560000006,0.2303353584,0.030902135039999997,0.02603791008,0.41002555104000005,0.03061600416,0.02317660128,0.017453983679999997,0.01917076896,0.01230362784,0.016595591039999996,0.01974303072,0.01774011456,0.014592674880000002,0.01058684256,0.006008748479999999,0.00371970144,0.0008583926399999999,0.40086936288
Jilin,0.09906194052,0.0510968412,0.08587565892000001,0.02093322204,0.01368076716,0.4870682766,0.04170161556,0.15691675103999994,0.040547815919999994,0.04137195852,0.03148224732,0.01681250904,0.014340081239999997,0.27015394428000006,0.014175252719999998,0.01335111012,,0.01186765344,0.00972488268,0.006593140799999999,0.015493880879999996,0.004450370039999999,0.00873591156,0.00840625452,0.00873591156,0.005109684119999999,0.004450370039999999,0.00214277076,0.00148345668,0.0008241425999999999,0.15922435032
Heilongjiang,0.10349995968,0.05954564988,0.11726678124,0.02272354884,0.017084127959999997,0.27185325948000005,0.056062478159999984,0.18361290924,0.048598538760000004,0.044617771079999986,0.03549517848,0.01791345456,0.017084127959999997,,0.01343509092,0.01293749496,0.3250960272,0.01525960944,0.012439899,0.007961535359999999,0.02471393268,0.005307690239999999,0.007463939399999999,0.007795670039999998,0.0076298047199999984,0.005971151519999999,0.00398076768,0.0024879798000000002,0.0006634612799999999,0.0008293265999999999,0.20617059276
Shanghai,0.05385564936,0.02979248688,0.16328574540000002,0.15870228588000002,0.044688730320000015,0.052136852040000015,0.17073386712000002,0.02406316248,2.4527237756400004,,1.17279270468,0.10427370408000003,0.05786617643999999,0.028646622000000007,0.39360458628,0.08823159575999999,0.0200526354,0.07276241988,0.08708573087999999,0.04984512228,0.03666767616,0.037813541039999995,0.11630528532,0.05099098716,0.0343759464,0.045261662760000015,0.025209027360000004,0.010885716359999999,0.00916691904,0.00229172976,0.12375340704
Jiangsu,0.18250262280000001,0.07876428983999999,1.0412254900799998,0.45433547676,0.11142265392,0.08740915092,0.26895123359999995,0.041303225160000005,,2.43112704372,1.4792317847999998,0.14312047788,0.13639669704000001,0.04226376528,1.825026228,0.16713398087999998,0.03169782396,0.11238319403999998,0.11814643476,0.07300104912000001,0.03169782396,0.06051402756,0.15944965992000001,0.0624351078,0.0528297066,0.06531672816,0.0288162036,0.02113188264,0.018250262280000002,0.004802700599999999,0.25646421204
Zhejiang,0.08537443416000001,0.036500663880000006,0.21838532796000001,0.30499707276,0.046399149,0.051967046879999985,0.3179888344799999,0.02598352344,1.28432844432,1.2187509804,,0.12929896187999998,0.07361998307999999,0.03217007664,0.6520627072799999,0.170130213,0.02350890216,0.15837576192,0.30994631532,0.0742386384,0.02660217876,0.035882008560000005,0.42872813676,0.07856922563999999,0.05753494476000001,0.14723996616,0.01917831492,0.014229072360000001,0.012373106399999998,0.00185596596,0.13919744699999995
Anhui,0.10618334064,0.051730345440000006,0.27839093796000003,0.56086585056,0.04696570836,0.033352459560000006,0.23482854180000004,0.019058548320000004,2.3489660804400003,0.8882644842000001,1.1564454855600002,0.055814320079999986,0.06874690643999999,0.013613248800000002,,0.17901422172000003,0.01157126148,0.07759551816,0.09325075428,0.03539444688,0.019058548320000004,0.02110053564,0.17765289684,0.02450384784,0.033352459560000006,0.02926848492,0.01293258636,0.00816794928,0.00884861172,0.00272264976,0.19943409492000005
Fujian,0.03546242208,0.019168876799999998,0.06469495920000001,0.07308134279999999,0.027076038480000002,0.01940848776,0.53768699424,0.011261715119999998,0.13633863624,0.15167373767999998,0.36995932224,0.07164367703999999,0.032587090560000004,0.01150132608,0.06685145784,0.07044562223999999,0.006709106880000001,0.08146772640000001,,0.05103713448,0.02012732064,0.017491600080000003,0.24871617648000002,0.044328027600000014,0.05582935368,0.07691511815999999,0.006709106880000001,0.00455260824,0.0026357205600000006,0.0011980547999999999,0.07308134279999999
Jiangxi,0.033876843840000004,0.014921943120000003,0.06493061736000001,0.07098005376000001,0.01855160496,0.012905464320000002,1.1780269149600002,0.0080659152,0.21656982311999998,0.26456201856,0.7065741715199999,0.04113616752000001,0.027827407440000004,0.0080659152,0.14921943120000006,0.21092368248000004,0.0072593236800000014,0.3722419864800001,0.31578058008000004,0.02863399896,0.02258456256000001,0.011292281280000005,,0.0322636608,0.06251084280000001,0.04113616752000001,0.00483954912,0.0016131830400000005,0.0028230703200000013,0.00120988728,0.09477450360000003
Shandong,1.0767756902399999,0.32948214480000004,,0.8258084395199999,0.19208108016000006,0.2032974936,0.20189544192000003,0.09183438504,1.1791254628800003,0.36733754016,0.35191497168,0.10655592768,0.15632876232,0.11637028944,0.28461649104000003,0.12478259952,0.07571079072,0.08482412664000001,0.07991694576,0.056783093040000024,0.025937956080000005,0.04766975712000001,0.07781386824000001,0.05047386048000001,0.04696873128,0.03785539536,0.033649240319999996,0.02173180104,0.016123594319999997,0.0028041033600000004,0.7325720028
Henan,0.5583283344,0.15354029196,0.87608284236,,0.4762212263999999,0.07307532611999999,0.6667097169599999,0.06404354424,0.8547349942799999,0.52794870444,0.7077632709599999,0.12890815955999999,0.37605055464000003,0.02381106132,0.64125651348,0.5263065622800001,0.02381106132,0.1724249268,0.11248673795999999,0.06240140208,0.03859034076,0.0697910418,0.11412888011999997,0.05090640695999999,0.06732782855999997,0.04597998048,0.05172747804,0.03202177212,0.02709534564,0.00656856864,0.66753078804
Hubei,0.08715011292000001,0.03185181792,0.10882704455999999,0.41363124659999995,0.0486624996,0.0243312498,1.00156271904,0.015483522599999997,0.25835363424,0.22827136176,0.32692352004,0.1083846582,0.12519533988,0.00929011356,0.17120352132,,0.00973249992,0.48529783692,0.10440318096000001,0.18182079395999998,0.035833295160000014,0.02521602252,0.23534954351999998,0.0508744314,0.06591556763999999,0.057510226799999994,0.01150204536,0.00752056812,0.00796295448,0.0026543181599999995,0.17474261219999998
Hunan,0.05518643723999999,0.02285498916,0.06912240623999999,0.11037287447999998,0.02954425428,0.02174011164,2.5558567146,0.01337853024,0.1616572404,0.15496797527999998,0.27481730868,0.08417325276000001,0.056858753520000006,0.011706213959999998,0.0641054574,0.4504105180799999,0.01003389768,,0.10981543572000001,0.10145385432,0.056301314759999985,0.02062523412,0.35230129632,0.07636911012,0.29990205288000005,0.23746891176,0.011706213959999998,0.00445951008,0.008919020159999999,0.0027871938,0.1337853024
Guangdong,0.07349730696000001,0.03280045104,0.11480157863999997,0.24418113551999995,0.04130427168,0.05952674447999999,,0.031585619520000004,0.1882988856,0.18647663832,0.24114405672,0.25268495616000003,0.08807528519999999,0.03280045104,0.10265326343999998,0.30370788,0.025511461919999995,0.91051622424,0.3808496815199999,0.14213528783999996,0.16643191824,0.043126518959999985,0.4889696868,0.14517236664,1.18992747384,0.2065213584,0.0242966304,0.01032606792,0.017615057039999996,0.005466741839999999,0.15914292912
Guangxi,0.02956858992,0.008654221439999998,0.02956858992,0.0414681444,0.0144237024,0.01226014704,2.34962112096,0.0072118512,0.05841599472000001,0.04543466256,0.06562784592,0.06202192032000001,0.02307792384,0.00937540656,0.019111405680000002,0.04976177328,0.00613007352,0.24051523752,0.05084355096,0.03894399648,0.05012236584,0.01045718424,0.04182873696,0.11394724896,,0.16803613296,0.00288474048,0.0018029628,0.0018029628,0.0010817776799999998,0.04507407
Hainan,0.018629488080000003,0.00829716696,0.0183946626,0.03107523852,0.014324354280000002,0.01221092496,0.19740995352000001,0.00790579116,0.02833560792,0.04172066028,0.03381486912,0.03545864748,0.02238669576,0.01557675684,0.011428173359999998,0.027396306,0.00954956952,0.04101618384,0.016124682959999997,0.028961809200000008,,0.00422685864,0.015733307159999998,0.01549848168,0.04219031124,0.02199531996,0.00226997964,0.0024265299600000003,0.00187860384,0.00023482548,0.05502743748
Chongqing,0.0351296352,0.0136087776,0.0484219296,0.054118627200000005,0.026901072,0.01582416,0.2661623712,0.01582416,0.0781713504,0.0784878336,0.11171856960000001,1.17098784,0.0867163968,0.006962630400000001,0.033230736000000004,0.2095118784,0.0037977984000000004,0.1164658176,0.06456257280000001,,0.027850521600000004,0.0465230304,0.029432937600000007,0.1303910784,0.047788963200000006,0.3199645152,0.018988992,0.008228563199999999,0.0113933952,0.0117098784,0.0702592704
Sichuan,0.06837455592,0.02853039024,0.09051020352,0.11166204455999998,0.05755268376,0.03148180992,0.45107530776,0.031973713200000003,0.1524900168,0.13428959544000002,0.16380379224000002,,0.29120674176,0.01574090496,0.04476319848,0.11362965768,0.012297582,0.08952639696,0.08313165432,1.30895462808,0.0467308116,0.17364185784000002,0.04131987551999999,0.52928792928,0.08313165432,0.37728981576,0.049190328000000005,0.01820042136,0.05214174768,0.09247781664,0.16577140535999998
Guizhou,0.021617850240000003,0.0092271312,0.029263187520000008,0.031635878400000005,0.009754395840000004,0.010018028160000005,0.43288426944000014,0.005536278720000001,0.07829879904000002,0.05219919936,0.21723303168000005,0.2878864934400001,0.030581349120000007,0.006854440320000001,0.019772424000000004,0.04508112672000001,0.003690852480000001,0.2322600739200001,0.08910772416000001,0.31662241632000004,0.02794502592,0.011336189760000002,0.045344759040000016,0.3719852035200001,0.19245159360000005,,0.004218117120000001,0.002372690880000001,0.002372690880000001,0.0021090585600000004,0.042181171200000006
Yunnan,0.02285350848,0.010677458879999996,0.03034646208,0.035216881919999984,0.013112668799999998,0.01198872576,0.20287171872,0.007867601279999999,0.05076476063999999,0.06237883872,0.08841685247999999,0.45126313056,0.0337182912,0.008242248959999999,0.015360554879999997,0.036340824960000004,0.005619715199999999,0.058819685760000004,0.03409293888,0.08523234719999999,0.015922526399999998,0.01367464032,0.0224788608,,0.13168865951999995,0.34786037087999994,0.004121124479999999,0.0037464768,0.00299718144,0.0149859072,0.04758025535999999
Tibet,0.00205687188,0.0012479896800000002,0.0038364127200000006,0.00503818056,0.0008551040400000001,0.00131732244,0.01169412552,0.0009244368,0.006771499560000002,0.00996080652,0.005292400680000001,0.066443895,0.011370572640000002,0.0009244368,0.0021955373999999997,0.00351285984,0.0003697747200000001,0.004159965600000001,0.00205687188,0.012225676680000002,0.00041599656,0.007048830600000001,0.0012942115200000005,0.013866551999999999,0.00140976612,0.00182576268,0.00351285984,0.00090132588,0.03984322608,,0.008343042120000001
Shaanxi,0.11578252104,0.03142180512,0.11680714512,0.31524267528,0.4590315878399999,0.02800639152,0.17384455224,0.27869774976,0.15745056695999998,0.09768082896,0.0905084604,0.24693440328,,0.0119539476,0.054988158960000005,0.11168402472000001,0.010246240799999999,0.051572745360000005,0.03108026376,0.06864981335999999,0.022541729759999997,0.38286786456,0.02424943656,0.0392772564,0.02527406064,0.03142180512,0.04337575272,0.1383242508,0.0529389108,0.008196992640000001,0.19023853752
Gansu,0.0309903408,0.023522788800000003,0.0397647144,0.055259884800000006,0.024829610400000004,0.0119480832,0.051526108800000005,0.1034255952,0.06664790159999999,0.046112133600000015,0.0395780256,0.1388964672,0.4723226640000001,0.004667220000000001,0.014188348799999998,0.029683519200000005,0.0050405976,0.015868548000000003,0.0156818592,0.030803652000000008,0.006534107999999999,,0.012508149599999999,0.0160552368,0.0097078176,0.0108279504,0.09913175279999999,0.1851952896,0.21711907440000006,0.006907485600000001,0.07934274000000001
