,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Guangdong,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Gansu,Yunnan,Hainan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.602628091,0.4640149962,0.3528774396,0.2718788814,0.235460925,0.2298098628,0.19841507280000004,0.19778717699999998,0.1827176778,0.17455503239999998,0.14881130460000005,0.144416034,0.1337418054,0.1111375566,0.09920753640000002,0.0948122658,0.0759753918,0.0728359128,0.0646732674,0.0577664136,0.053999038799999996,0.05085955980000001,0.0489758724,0.047092185,0.040813227000000014,0.034534269000000006,0.034534269000000006,0.0232321446,0.015697395,0.005651062199999999,
Tianjin,1.217653722,,0.22126664699999998,0.0808104276,0.07558798500000001,0.07943610059999999,0.0827344854,0.04122981,0.039855483,0.053598753000000006,0.0401303484,0.029685463200000005,0.0335335788,0.022264097400000002,0.031609521,0.0340833096,0.017866251000000003,0.0272116746,0.018690847200000003,0.0140181354,0.0118192122,0.017591385600000002,0.0118192122,0.008795692800000001,0.0107197506,0.010994616,0.0093454236,0.0060470388000000005,0.0043978464000000005,0.0010994616,0.4900850082
Hebei,,1.4247055040399998,1.08948067956,0.4927068162,0.24128819784000002,0.6271651249199999,0.29746598436,0.12524883552000002,0.09025283736,0.33338292984,0.13169546676,0.08564810076000001,0.14827251851999998,0.08656904807999999,0.09946231056,0.0736757856,0.0598615758,0.06446631239999999,0.039600734760000006,0.039600734760000006,0.042363576720000004,0.03499599816,0.03499599816,0.030391261560000004,0.0276284196,0.03775884011999999,0.026707472280000002,0.021181788360000002,0.011972315159999998,0.0018418946399999998,3.3743509804799996
Shanxi,0.53132436,0.08683358112000003,0.16334428896000006,0.3962161656000001,0.11992749840000005,,0.030665005920000005,0.06284808144000001,0.06163362576000001,0.23833692720000005,0.06345530928000001,0.05070352464,0.5370930244800001,0.04827461328000001,0.03946980960000001,0.013055398560000002,0.027932480640000003,0.011233715040000002,0.02580718320000001,0.02732525280000001,0.016091537760000003,0.02641441104,0.016698765600000002,0.016091537760000003,0.01426985424,0.013359012480000005,0.013055398560000002,0.019431290880000004,0.007286734079999999,0.0015180696000000006,0.35128130544
Inner Mongolia,0.31681646639999994,0.061837101,0.0755202042,0.0439438122,0.038154807,0.1991944062,0.2836612548,0.0318395286,0.032628938399999995,,0.029208162599999997,0.0260505234,0.272346381,0.016577605800000002,0.0134199666,0.19366853760000002,0.011841147000000002,0.15788196,0.009209780999999998,0.0155250594,0.0073678248,0.22287670020000006,0.0102623274,0.013683103200000001,0.0086835078,0.0073678248,0.0097360542,0.2278762956,0.009209780999999998,0.0007894097999999999,0.2805036156
Liaoning,0.34445213712,0.11499948432,0.1871131752,0.06255316368000001,0.10052211456,0.061460532000000005,,0.08276684976,0.0942394824,0.3127658184,0.07757684928,0.04616368848,0.043705267199999995,0.02622316032,0.035510529600000014,0.21606791472,0.03114000288,0.38979635184,0.0245842128,0.02021368608,0.01666263312,0.013931053920000002,0.021033159840000003,0.02376473904,0.01666263312,0.0163894752,0.011199474720000002,0.00573631632,0.00437052672,0.00109263168,0.3236921352
Jilin,0.07247094624,0.04222480752,0.07082387928000003,0.02156160384,0.041176673999999996,0.013925202480000004,0.4381198113600001,0.04656707496,0.039829073760000014,0.15287776056000002,0.03623547312,0.0172193364,0.01557226944,0.012877068960000002,0.012427868880000002,0.24825791088000004,0.0104813352,,0.012278135520000002,0.007636401360000001,0.00718720128,0.004492000800000001,0.007636401360000001,0.01781826984,0.005540134320000001,0.00853480152,0.00479146752,0.00134760024,0.0014973336000000002,0.00044920008,0.12323055528
Heilongjiang,0.08833701239999997,0.05194518336,0.1034373564,0.02431155384,0.049831135199999994,0.01570435776,0.23284730448000002,0.057079300320000005,0.04711307328,0.16882184592,0.0400159116,0.01978145064,0.014798337119999998,0.012382282079999998,0.01374131304,,0.016308371519999997,0.28101740184,0.01298629584,0.006795154800000001,0.006946158239999999,0.0045301032,0.0128352924,0.02597259168,0.008003182320000002,0.00951321672,0.0030200688,0.0030200688,0.00181204128,0.0004530103199999999,0.17365395600000003
Shanghai,0.0714474432,0.0376374924,0.1971183924,0.1926529272,2.4426094644,0.05039596440000001,0.06251651280000001,0.2443247388,,0.025516944,1.3677081984000001,0.1186537896,0.076550832,0.1078090884,0.4503740615999999,0.0280686384,0.0835679916,0.025516944,0.1186537896,0.0612406656,0.13268810879999998,0.0357237216,0.058051047599999996,0.033172027199999995,0.0529476588,0.0421029576,0.0242410968,0.0114826248,0.0070171596,0.0019137708,0.2066872464
Jiangsu,0.17226639359999998,0.0692810496,0.9306130176,0.4344109056,,0.1170288,0.074898432,0.26120828160000004,2.4164106624,0.0383854464,1.5082671744,0.1385620992,0.1441794816,0.17882000639999998,1.6814697984,0.0383854464,0.1189012608,0.0308956032,0.13013602559999998,0.08800565759999998,0.15822293759999995,0.057110054399999985,0.0674085888,0.032768064,0.07396220160000001,0.053365132799999986,0.0337042944,0.0205970688,0.0177883776,0.0056173824,0.25465466880000004
Zhejiang,0.08383748832000001,0.03328841448,0.1880178966,0.30021218244000003,1.2908507392800002,0.053631334440000004,0.053014882320000005,0.29712992184000003,1.1792729055600002,0.023425180559999998,,0.13808527488000005,0.08260458408,0.17630530632000002,0.63124697088,0.028356797519999997,0.16274335968,0.02219227632,0.3150070333200001,0.08815265316000001,0.43768100520000003,0.03513777084,0.08198813196000003,0.02897324964,0.16644207240000006,0.05856295139999999,0.02034291996,0.011712590279999999,0.011712590279999999,0.0018493563600000002,0.15164722152
