,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Guangdong,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Chongqing,Fujian,Yunnan,Jiangxi,Gansu,Guizhou,Guangxi,Hainan,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.6297375922,0.47903902200000004,0.3235068720000001,0.2756029698,0.2308097106,0.2220999102,0.1972147662,0.18788283719999999,0.18601645140000006,0.1841500656,0.1449559638,0.13873467779999998,0.1225593342,0.10451760480000001,0.0989184474,0.09083077560000001,0.07216691759999999,0.0703005318,0.0647013744,0.057235831200000004,0.0510145452,0.049770287999999996,0.046659645,0.0379498446,0.0360834588,0.035461330199999995,0.034839201600000015,0.0205302438,0.012442571999999999,0.0049770288,
Tianjin,1.185884955,,0.2087693514,0.0865629018,0.07423505820000001,0.0739670616,0.0825429528,0.05493930299999999,0.0377875206,0.044219439000000006,0.0356435478,0.0343035648,0.031891595399999986,0.0209037348,0.028943632799999997,0.0353755512,0.016615789199999998,0.0276036498,0.018223768799999998,0.015275806199999997,0.013667826599999999,0.0112558572,0.015543802799999997,0.009379880999999998,0.0115238538,0.006431918399999999,0.008039898,0.004823938799999999,0.0029479626,0.0008039897999999999,0.4773019445999999
Hebei,,1.376792235,0.98620686864,0.4600604206799999,0.59138521848,0.21266144676,0.27620570376,0.3092487174,0.0804893922,0.10844886527999999,0.12285223019999998,0.0762531084,0.13895010864000001,0.08303116247999999,0.0931982436,0.07116956783999999,0.05761345967999999,0.05337717588,0.03727929744,0.040668324480000004,0.03643204068,0.03727929744,0.031348500120000004,0.02457044604,0.0381265542,0.0169451352,0.027112216319999997,0.02202867576,0.010167081120000001,0.0025417702800000002,3.0365682278400006
Shanxi,0.5415979237199999,0.07672401324,0.13759361784000002,0.37625909076,,0.10673414388000001,0.030293245080000007,0.22394352204,0.05209305696,0.059737146839999984,0.05605665911999999,0.05435797248,0.48950486676000005,0.03765422052,0.035955533879999994,0.01358949312,0.02887767288,0.00905966208,0.02661275736,0.02576341404,0.01783620972,0.01443883644,0.02378161296,0.014155722,0.014155722,0.01585440864,0.013306378679999998,0.01953489636,0.00764408988,0.00113245776,0.3029324508
Inner Mongolia,0.31946805,0.05188161132,0.06363803556,0.0421697826,0.19372542552,0.03552484716,0.27602039520000005,,0.02887991172,0.028113188400000003,0.0242795718,0.03373582608,0.27832056516000003,0.01456774308,0.012778722,0.1942365744,0.01098970092,0.14593300524,0.01073412648,0.00971182872,0.0102229776,0.0063893610000000005,0.22695010272,0.006644935439999999,0.00613378656,0.0063893610000000005,0.0102229776,0.22618337940000002,0.00843395652,0.00076672332,0.26860873644
Liaoning,0.3135455568,0.10164944663999996,0.16916288508000002,0.05588190972,0.04981328604,0.10190230596,,0.28219100112,0.08698360607999998,0.0771220926,0.07434064007999999,0.04627325556,0.039698913240000015,0.026550228600000003,0.027308806560000003,0.20178173736,0.0290788218,0.38358758844,0.02301019812,0.026297369280000003,0.01997588628,0.01618299648,0.01239010668,0.01972302696,0.018964449,0.01365440328,0.0113786694,0.0050571864,0.0027814525200000003,0.0012642966,0.28648960956
Jilin,0.07190995968,0.0411319296,0.07134262272000001,0.01900578816,0.01375792128,0.04028092416,0.41954568192,0.14240157696,0.03815341056,0.039571752960000005,0.031770869760000015,0.016594606079999998,0.012765081600000002,0.01375792128,0.011346739199999999,0.23501933568,0.01106307072,,0.00737538048,0.01007023104,0.00836822016,0.007091711999999999,0.003971358720000001,0.004396861439999999,0.006808043519999999,0.01219774464,0.0045386956800000005,0.0015601766400000002,0.0009928396800000002,0.0008510054399999999,0.11857342464000002
Heilongjiang,0.08295046055999998,0.046642178159999985,0.08630199431999998,0.02206426392,0.0153611964,0.049016181239999984,0.21170521584000002,0.16394585975999998,0.04245276095999999,0.05236771499999999,0.03533075171999999,0.02178496944,0.016059432599999996,0.010892484719999998,0.01075283748,,0.014662960199999997,0.26965882043999995,0.008797776119999998,0.012288957120000001,0.010333895759999998,0.0058651840799999995,0.004468711679999999,0.005306595119999999,0.009914954039999998,0.022762500119999998,0.00404976996,0.00237400308,0.0008378834399999997,0.0008378834399999997,0.15431020019999994
Shanghai,0.06456912408,0.03533027544,0.16690509432,0.18700680276,0.04203084492,2.37931130808,0.05725941191999999,0.02192913648,,0.228428505,1.3005196218,0.11390968115999998,0.0670056948,0.106599969,0.43492787352,0.024365707200000003,0.07736112036000001,0.022538279159999997,0.06517826676,0.1126913958,0.05055884244,0.13279310424000002,0.028629705959999995,0.04690398636,0.03837598883999999,0.02802056328,0.018883423080000003,0.007918854840000001,0.007918854840000001,0.00182742804,0.20893593924000003
Jiangsu,0.15914070000000002,0.06630862500000001,0.833720445,0.421722855,0.09194796,,0.07072919999999999,0.038016945,2.2695232050000005,0.244899855,1.44464391,0.133501365,0.13526959500000002,0.17328654000000002,1.6364968650000002,0.03359637,0.11316672,0.028291680000000007,0.08133858000000001,0.122891985,0.06188805,0.15029955000000006,0.053931015,0.06719274,0.055699245000000015,0.02121876,0.029175795,0.018566415,0.017682299999999998,0.004420575,0.24578397
Zhejiang,0.0812552148,0.0351701676,0.17585083799999998,0.29470174920000003,0.045478665,1.2934132326,0.050329722599999994,0.021223377,1.1606155308,0.2868187806,,0.1388615238,0.07579777500000001,0.16918063379999998,0.6306374880000001,0.027287199,0.1600849008,0.0200106126,0.0800424504,0.3256272414,0.0782233038,0.44932921020000005,0.028499963399999995,0.1582657542,0.05881907340000001,0.020616994800000003,0.0194042304,0.0109148796,0.009095733,0.0018191466,0.1473508746
Anhui,0.08645713524000001,0.035442055439999995,0.21426333516000004,0.50316978708,0.0375900588,1.9519980534,0.02309103612,0.01557302436,0.5418338475600001,0.15734124612000006,0.87208936416,0.049404077280000014,0.05907009240000001,0.17130326796,,0.010203015959999999,0.06390309996,0.009129014280000002,0.03114604872,0.07464311676,0.023628036960000005,0.17398827216000004,0.019332030240000003,0.029535046200000005,0.027387042840000004,0.012888020159999998,0.01127701764,0.006981010920000001,0.006444010079999999,0.0016110025199999997,0.14015721924000002
Fujian,0.02954677824,0.016620062760000002,0.04883425848,0.06750618084,0.02441712924,0.10915893072000002,0.0194926662,0.00964374012,0.11510932356000002,0.42719716872,0.32173158528,0.06648025104000002,0.033855683399999996,0.06606987912000001,0.06319727568000001,0.00984892608,0.07653436308000001,0.005745206880000003,0.04493572524,,0.04165274988,0.2195489772,0.016414876800000002,0.06914766852000001,0.046577212920000007,0.01477338912,0.006976322640000001,0.00430890516,0.0022570455600000004,0.0016414876800000002,0.06524913528000001
Jiangxi,0.026763747839999998,0.011151561599999998,0.03930925464,0.06161237783999999,0.013939452,0.14050967616,0.01087277256,0.006969726,0.1491521364,0.65877850152,0.46334738448,0.035406208079999994,0.02425464648,0.18567350064,0.13186721592,0.006690936959999999,0.32255891928,0.0047394136799999995,0.03289710672,0.25202529216,0.0250910136,,0.010036405439999998,0.03568499712,0.046557769679999986,0.013103084879999996,0.0030666794399999996,0.00250910136,0.00250910136,0.0008363671199999997,0.06495784632
Shandong,0.9503915652,0.26976953124,,0.7372913446799999,0.17945281727999998,1.0353955312799998,0.16587579492,0.08382335543999997,0.23198999076,0.18830739708,0.28216594296,0.09031671396,0.13990236084000002,0.11451923208,0.25619250888,0.09149732460000001,0.08323305011999999,0.054308089439999985,0.05489839476,0.07201724904,0.04368259368,0.06552389052,0.03955045644,0.040140761760000004,0.04073106708,0.01534793832,0.030105571319999996,0.0206606862,0.012986717040000002,0.0029515266,0.4988079953999999
Henan,0.4488034068,0.1156580208,0.6857766342,,0.3941172774,0.6518335193999999,0.0528004008,0.05091467220000001,0.2803449852,0.45634632119999996,0.515432484,0.11251513980000001,0.3098880666,0.4381176114,0.5770329516,0.0182287098,0.141429645,0.0176001336,0.0641147724,0.09868646340000002,0.0521718246,0.0804577536,0.0603433152,0.0452574864,0.053428977,0.0308002338,0.055314705600000014,0.022000167,0.020743014599999998,0.0050286096,0.4211460540000001
Hubei,0.0680466258,0.02356736796,0.0796643424,0.39533429916,0.040496040719999994,0.18887087844000008,0.0199160856,0.014937064200000003,0.12646714356000002,0.5261165946,0.21608952875999998,0.09924849324000004,0.10688299272,,0.15634127196000006,0.00796643424,0.42022940616,0.006306760440000001,0.18256411800000005,0.08032821192,0.045475062120000014,0.19750118220000004,0.024563172240000004,0.044479257840000015,0.0514498878,0.021575759400000002,0.014605129440000003,0.008298369000000002,0.008630303760000001,0.0026554780800000003,0.13476551256
Hunan,0.039543147,0.016947063000000002,0.0493347834,0.0986695668,0.030128112000000002,0.1182528396,0.0180768672,0.0101682378,0.086618322,1.325636928,0.1860410916,0.07230746879999997,0.04858158059999999,0.4063529106,0.0549838044,0.007908629399999999,,0.0075320280000000005,0.0994227696,0.0820991052,0.06552864359999999,0.31559197320000004,0.0165704616,0.1988455392,0.2455441128,0.0331409232,0.0120512448,0.0071554266000000005,0.0075320280000000005,0.0022596083999999995,0.09716316119999999
