,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Guangdong,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Hainan,Gansu,Guizhou,Xinjiang,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.40046251408,0.4420629756,0.30217729428,0.28279919124,0.22587601356,0.21618696204,0.20468121336,0.20347008192000002,0.19135876752,0.18227528172000002,0.15563039003999998,0.14351907564000002,0.13140776124,0.11021296104,0.10052390952,0.09931277807999997,0.09022929228,0.07387901783999999,0.06237326916,0.06116213772,0.055712046239999986,0.0545009148,0.05389534908,0.045417429,0.03875620608,0.03754507464,0.0363339432,0.025433760240000002,0.0121113144,0.00484452576,
Tianjin,1.10592762264,,0.17216549352000002,0.08037697392000001,0.06747696576000001,0.06152311583999999,0.08409813011999999,0.03621925368,0.04068464111999999,0.05135195556,0.0396923328,0.02952117252,0.0272884788,0.02505578508,0.02704040172,0.031009635,0.018605781000000002,0.02530386216,0.01835770392,0.01290000816,0.01066731444,0.010171160279999996,0.01314808524,0.011907699839999996,0.010419237359999998,0.007690389479999999,0.008186543639999998,0.00446538744,0.00223269372,0.0007442312399999997,0.4423214336399999
Hebei,,1.2235191685200002,0.9005679500400001,0.4442587657200001,0.19521678132000006,0.52700497344,0.2602890417600001,0.10524032244000002,0.07390923408000001,0.27876635028,0.11729074104,0.07471259532000002,0.13014452088000006,0.07310587284000003,0.08917309764000003,0.06507226044000003,0.055431925560000005,0.05141511936000001,0.03936470076,0.03374117208,0.03615125580000001,0.03454453332,0.02731428216,0.02731428216,0.024100837200000003,0.02490419844,0.029724365880000006,0.020084031,0.008033612400000001,0.00241008372,3.0479525445599998
Shanxi,0.45915741,0.06983285400000001,0.12764320199999998,0.34174612800000004,0.104365584,,0.02941677,0.05755455,0.046811034,0.20387100600000002,0.052694387999999995,0.047578428000000006,0.458645814,0.037602306,0.035300124,0.010743516000000002,0.024556607999999997,0.0076739400000000015,0.021487032000000003,0.021231233999999998,0.013813091999999999,0.015859476,0.016882668,0.020719638000000002,0.013813091999999999,0.011766708,0.012278303999999999,0.015859476,0.005371758000000001,0.00127899,0.267820506
Inner Mongolia,0.2837571264,0.0494425296,0.059713199999999994,0.0427546512,0.03582792,0.1736459856,0.2687094,0.0341559504,0.0260349552,,0.031050863999999997,0.0289011888,0.2610661104,0.014570020799999996,0.0133757568,0.18009501120000002,0.0114649344,0.1375792128,0.009792964799999998,0.0157642848,0.007165584,0.0100318176,0.0081209952,0.192276504,0.0076432895999999995,0.009792964799999998,0.0078821424,0.2218942512,0.0085987008,0.00047770559999999997,0.23288148
Liaoning,0.2872179,0.09259905096,0.14085165816,0.053077867919999994,0.09627544008000002,0.037912762800000006,,0.07008116760000001,0.07582552560000001,0.26401069368,0.06525590687999999,0.040210506000000014,0.040440280320000015,0.024356077920000004,0.028721790000000007,0.18427900464000002,0.02711336976,0.3469592232,0.028721790000000007,0.01976059152,0.014016233519999999,0.02113923744,0.02044991448,0.012867361920000002,0.017003299680000004,0.009420747120000001,0.01470555648,0.00528480936,0.0029870661600000003,0.0011488716,0.25022423448000003
Jilin,0.06628459067999999,0.035257760999999985,0.052694326439999994,0.0166673052,0.033462820439999985,0.01012859316,0.38706611076,0.03730912164,0.03064219956,0.13603085244000002,0.028975469039999993,0.014487734519999997,0.012564583919999995,0.012308163839999995,0.011795323679999995,0.214751817,0.0102568032,,0.009102912839999998,0.00948754296,0.004871981519999999,0.00717976224,0.01679551524,0.00551303172,0.004487351399999999,0.004230931319999999,0.0060258718799999994,0.0015385204799999994,0.0007692602399999997,0.00038463011999999985,0.09859352076
Heilongjiang,0.07780765392000001,0.041215599360000015,0.07939286928,0.018097875359999998,0.04280081472000001,0.00964339344,0.21096574416,0.04478233392,0.03923408016,0.16539080256000002,0.034346332800000004,0.0211362048,0.01558795104,0.010171798559999999,0.012417520319999998,,0.01294592544,0.25072822944,0.01307802672,0.008058178079999999,0.006208760159999999,0.0105681024,0.02985488928,0.0033025320000000004,0.005284051200000001,0.0033025320000000004,0.00911498832,0.00317043072,0.0014531140800000007,0.0005284051200000001,0.13791373632
Shanghai,0.06107887296000001,0.03490221312,0.14451697619999998,0.16360412400000002,2.0914060518,0.03653825436,0.056716096319999985,0.20668654332000003,,0.0190871478,1.1501369917200002,0.10197990395999999,0.0654416496,0.10143455688,0.39210455052,0.023995271519999996,0.07471254996,0.02072318904,0.10961476307999997,0.05508005508,0.11615892804000001,0.04962658428,0.03653825436,0.02781270108,0.049081237199999996,0.01745110656,0.03599290728,0.00872555328,0.00654416496,0.00218138832,0.18323661888
Jiangsu,0.15073341192,0.058802594759999986,0.7420721817600001,0.38677199651999994,,0.08116414488,0.06791285591999999,0.24266422908,2.24195245092,0.03147181128,1.2928288791599998,0.13002827292000002,0.12008980619999997,0.16315649531999998,1.52058540816,0.030643605719999998,0.10766672279999999,0.02401796124,0.11843339508,0.0786795282,0.13996673963999998,0.061287211439999996,0.02815898904,0.041410277999999995,0.07205388371999999,0.02815898904,0.04720771691999999,0.01407949452,0.01325128896,0.0041410278000000005,0.22692832344
