,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Shanghai,Inner Mongolia,Guangdong,Zhejiang,Sichuan,Shaanxi,Hubei,Hunan,Anhui,Heilongjiang,Jilin,Chongqing,Yunnan,Fujian,Hainan,Jiangxi,Gansu,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,3.1883134885200004,0.6393532953600001,0.38038447259999997,0.33581417076000003,0.27510634584000004,0.26972717148,0.25973727624000004,0.22899913704,0.22515686964,0.21747233484,0.18673419564,0.16675440515999998,0.16368059123999998,0.12910018463999998,0.12525791724000002,0.12372101028,0.11680492896,0.08606678976000001,0.06992926667999999,0.0691608132,0.0691608132,0.06455009231999999,0.062244731880000015,0.052254836639999996,0.043801848359999986,0.03765422052,0.03765422052,0.026127418319999998,0.013063709159999999,0.005379174360000001,
Tianjin,1.3613179431599998,,0.21401156448,0.090173412,0.07213872959999999,0.08356069511999999,0.08957225592,0.04328323776,0.05771098368,0.0405780354,0.04598844012,0.03396531852,0.03486705264,0.02675144556,0.021341040840000002,0.031260116160000004,0.04117919148,0.02885549184,0.016832370240000002,0.0135260118,0.01773410436,0.010520231399999998,0.01082080944,0.01472832396,0.0090173412,0.01172254356,0.0090173412,0.0051098266799999995,0.00270520236,0.00060115608,0.56178035676
Hebei,,1.5604148188799998,1.0534684586399998,0.49375444752,0.22803163415999997,0.66053791548,0.31283678736000003,0.07632463788000003,0.34204745123999997,0.1130735376,0.1319191272,0.08197831475999999,0.16678346796,0.08857427111999999,0.06407500464,0.11024669916,0.08103603528,0.06219044568,0.04051801764,0.036748899720000006,0.04051801764,0.026383825440000005,0.041460297119999996,0.03203750232,0.026383825440000005,0.036748899720000006,0.0282683844,0.023556987,0.0094227948,0.00188455896,3.4346087046000005
Shanxi,0.58712931324,0.08562941891999999,0.15652689479999998,0.41310823608,0.11294489664,,0.03345378732,0.04787881488,0.25074994716,0.053403293519999985,0.057393194759999995,0.05616553284,0.56503139868,0.04296816719999999,0.03345378732,0.04174050528,0.01289045016,0.009514379879999998,0.027929308680000004,0.01810801332,0.025167069359999995,0.02363249196,0.016266520439999998,0.02639473128,0.015345774,0.014118112079999997,0.014118112079999997,0.01902875976,0.0061383096,0.00122766192,0.29709418464000004
Inner Mongolia,0.34201670688,0.06112402559999999,0.06779210111999999,0.05112191232,0.04195330848,0.22560322176,0.31256604,0.03028417632,,0.03417388704,0.02945066688,0.0333403776,0.30478661856,0.01778153472,0.013336151039999996,0.015836679359999998,0.20809952352,0.1639235232,0.013336151039999996,0.011669132159999998,0.01000211328,0.010835622720000002,0.0066680755199999995,0.22254702048,0.007223748479999998,0.0066680755199999995,0.013336151039999996,0.2472744672,0.010835622720000002,0.00055567296,0.26033278176
Liaoning,0.3329758044,0.11072829600000003,0.1724197752,0.05800053600000001,0.10598279759999997,0.040864014,,0.08014619519999999,0.305821008,0.07566433560000001,0.07619161320000001,0.0453458736,0.0453458736,0.0305821008,0.0305821008,0.0308457396,0.21697473239999998,0.41997660840000006,0.020036548799999998,0.021091104000000003,0.0274184352,0.023727492000000003,0.017136522,0.0110728296,0.0187183548,0.0187183548,0.008963719200000001,0.0055364148,0.0034273044,0.0013181940000000002,0.275502546
Jilin,0.07919443224,0.047486023200000005,0.06020002296,0.01899440928,0.042124697999999995,0.010109927519999999,0.4805279186400001,0.03737609568,0.15762296088,0.0428906016,0.03278067408,0.01930077072,0.0137862648,0.012407638320000004,0.01194809616,0.01194809616,0.26484946488,,0.006893132400000001,0.008578120320000002,0.00965038536,0.0199134936,0.0084249396,0.0035231565600000003,0.005361325199999999,0.007659036,0.004289060160000001,0.0035231565600000003,0.0007659036000000001,0.00045954216,0.107226504
Heilongjiang,0.0957328632,0.050101740000000006,0.08617499279999999,0.021428128799999998,0.0482518296,0.014336805600000004,0.26006657040000003,0.0442436904,0.17990378640000002,0.050101740000000006,0.038539800000000006,0.020503173600000004,0.017728308,0.0132576912,0.0160325568,0.0151076016,,0.31479308640000003,0.009866188800000002,0.010945303200000001,0.012949372800000001,0.0382314816,0.006166368,0.0035456615999999996,0.0050872536,0.008632915200000002,0.0040081392,0.0041622984,0.0012332736000000002,0.0006166368000000001,0.1470678768
Shanghai,0.06463596528,0.04285645524,0.16018478351999998,0.19250276616,2.7709157289599995,0.04636927944,0.06955391915999999,,0.022482074879999998,0.21638997071999996,1.63135555848,0.12224628215999997,0.08220008627999999,0.12154371732000001,0.09976420728,0.5297338893600001,0.03021028812,0.023887204559999996,0.06533853012,0.057610316879999984,0.12435397668,0.04426158492,0.13348731960000002,0.02880515844,0.047071844280000004,0.04145132556,0.019671815520000004,0.00843077808,0.0070256484,0.00210769452,0.20304123876
Jiangsu,0.17954740260000002,0.0763820442,0.8967450384000001,0.4612681890000001,,0.0902696886,0.08630179019999999,2.5801259346000003,0.0357110856,0.2638652436,1.6278303186,0.153756063,0.14879619,0.19839492,0.1299486726,1.8956634606,0.0386870094,0.029759237999999997,0.0882857394,0.0704301966,0.1378844694,0.0327351618,0.17260358039999998,0.0505907046,0.074398095,0.0585265014,0.029759237999999997,0.019839492,0.0158715936,0.004959873,0.2559294468
