,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Shanghai,Guangdong,Zhejiang,Shaanxi,Sichuan,Anhui,Hubei,Hunan,Heilongjiang,Jilin,Chongqing,Fujian,Yunnan,Jiangxi,Hainan,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,5.391564456959999,1.19515860288,0.44644887936,0.37809307008000004,0.34498322496,0.30226084416,0.28410383232,0.2456536896,0.22856473728,0.21681608256,0.18263817792,0.17516176127999994,0.14952833279999994,0.13243938047999998,0.13243938047999998,0.1281671424,0.11001013056,0.09398923776000001,0.07262804736,0.0640835712,0.061947452159999986,0.05981133312,0.05447103552,0.04913073792,0.04165432128,0.03951820224,0.03845014272,0.026701488,0.013884773759999998,0.005340297599999999,
Tianjin,1.6104563046000002,,0.24588670392000006,0.09110678148,0.0948323376,0.10262213676,0.07349506164000001,0.051141724920000006,0.03996505656,0.03827162196,0.04030374348,0.030143135880000005,0.029465762040000006,0.034884752760000005,0.02709495360000001,0.017950406760000003,0.03725556120000001,0.02811101436000001,0.013547476800000005,0.016595659080000002,0.0118540422,0.00982192068,0.010837981440000002,0.014224850640000003,0.00982192068,0.009483233760000005,0.00812848608,0.005080303800000001,0.002370808440000001,0.0006773738400000001,0.6743256577200001
Hebei,,1.6424483724,1.0139559328799999,0.4887285400800001,0.6062370415199999,0.3071244924,0.19495728648,0.30890492424000005,0.06854662584,0.10593569448,0.10771612632000001,0.14332476312,0.06943684176,0.09169223976,0.08546072831999997,0.06320533031999999,0.06409554624,0.05252273928,0.032937989040000004,0.032937989040000004,0.02759669352,0.03738906864,0.02136518208,0.026706477599999997,0.02759669352,0.02314561392,0.02581626168,0.0178043184,0.007121727359999999,0.0026706477599999995,3.1887534254400003
Shanxi,0.5781933187199999,0.08908631423999999,0.14317443359999998,0.43068026592,,0.032395023360000004,0.09458189856,0.22878985248000003,0.041072261759999985,0.04974950016,0.047146328639999985,0.55071539712,0.0477248112,0.03702288383999999,0.03789060768,0.02487475008,0.008677238399999999,0.007809514559999999,0.022560819840000003,0.021693096000000002,0.0159082704,0.013883581439999996,0.018511441919999996,0.0245855088,0.011858892479999996,0.01070192736,0.0130158576,0.01532978784,0.00549558432,0.0005784825599999999,0.26292032351999994
Inner Mongolia,0.32239365984,0.05602162176,0.06490966752,0.04578690240000001,0.23539854528000004,0.32266299456,0.038784199680000006,,0.025317463680000003,0.03312817056,0.03043482336,0.31404428351999997,0.027202806719999997,0.01292806656,0.016968087360000002,0.011581392959999999,0.20307837888,0.1642941792,0.013736070720000002,0.011850727680000004,0.010773388800000002,0.00646403328,0.012120062400000004,0.18584095680000004,0.005117359680000001,0.00781070688,0.009965384640000002,0.25209729792,0.010773388800000002,0.00026933472000000003,0.23728388832000005
Liaoning,0.326431134,0.10326382199999998,0.14437359,0.054813024,0.034258139999999986,,0.09714629699999998,0.30905736300000003,0.073165599,0.071452692,0.068271579,0.036705149999999985,0.039396860999999984,0.025448903999999998,0.023491296,0.025938306,0.19331379,0.4196622149999999,0.017618471999999996,0.025204203,0.016394967,0.013947956999999995,0.019086678,0.009543339,0.011990348999999996,0.014192657999999997,0.007341029999999998,0.004159917,0.002936412,0.0014682059999999995,0.25204203
Jilin,0.07061761763999999,0.03641914872,0.052111952639999994,0.01746934776,0.0088827192,0.5082395835600001,0.03789960192,0.15485540472,0.03419846892,0.037751556599999986,0.029461018680000003,0.012139716239999996,0.014212350719999997,0.010067081759999999,0.011103398999999998,0.01125144432,0.26781398388,,0.007846401959999999,0.00947490048,0.006662039400000001,0.00473745024,0.01806152904,0.0029609064000000003,0.0060698581199999995,0.004293314279999999,0.0034050423600000003,0.0022206798,0.0013324078799999998,0.00029609064,0.09578532203999998
Heilongjiang,0.08136976500000001,0.042722640000000006,0.07068910500000003,0.01883169,0.010540125,0.238487895,0.043003710000000014,0.17777677500000005,0.033306795000000014,0.051857415,0.035836425,0.015458850000000003,0.01630206,0.01180494,0.011102265000000002,0.016442595,,0.3136741200000001,0.007026750000000001,0.011242799999999999,0.00955638,0.0056213999999999995,0.030074490000000006,0.003794445000000001,0.008432100000000001,0.0054808650000000006,0.002951235,0.0028106999999999997,0.00168642,0.000140535,0.12451401
Shanghai,0.06525704736,0.04350469824,0.17129974932,0.1903330548,0.04984913340000001,0.06435069948,4.16648120436,0.022658697,,0.22114888272,2.12266673496,0.07522687404,0.11148078924,0.64894508208,0.12507600744,0.10151096256,0.029003132160000007,0.022658697,0.06435069948,0.12416965955999998,0.058006264320000014,0.15317279171999998,0.039879306720000014,0.028096784280000002,0.04259835036,0.048036437640000006,0.019033305480000002,0.01087617456,0.00815713092,0.00181269576,0.21208540392
Jiangsu,0.168014088,0.071278704,0.9154222128,0.45822024,0.08451617759999999,0.07535177280000001,,0.028511481600000006,2.4662431584,0.2352197232,1.7544743856,0.1313564688,0.12728340000000002,2.362379904,0.1873611648,0.1252468656,0.0336028176,0.024438412799999996,0.08044310880000001,0.1232103312,0.0590594976,0.168014088,0.0315662832,0.038694153599999996,0.0478585584,0.07026043679999999,0.0274932144,0.014255740800000003,0.0132374736,0.0030548015999999996,0.2362379904
Zhejiang,0.0878497488,0.038568182400000005,0.1849844304,0.3171161664,0.0442819872,0.051424243200000004,1.6598602943999998,0.0207125424,1.4277369744,0.2956893984,,0.0878497488,0.1299890592,0.8270732448,0.2085538752,0.1949835888,0.028569024,0.0221409936,0.08999242560000001,0.3699688608,0.0828501696,0.49138721280000003,0.029283249599999995,0.0314259264,0.04999579199999999,0.16141498559999998,0.0171414144,0.0121418352,0.0092849328,0.0021426768,0.15355850399999998
Anhui,0.07681566312,0.031171573440000006,0.21374793216,0.5900333543999999,0.033398114400000005,0.02616185628,2.2215312428400003,0.012245975280000002,0.45811080251999997,0.14027208048,0.8277166018800001,0.06401305260000001,0.046200724920000005,,0.18257635872000003,0.07347585168000001,0.01001943432,0.009462799079999999,0.031171573440000006,0.07124931072000001,0.024491950560000003,0.18535953492000004,0.01614242196,0.018925598159999998,0.0222654096,0.027831762000000003,0.01001943432,0.006122987640000001,0.004453081920000001,0.00166990572,0.12134648232
Fujian,0.03202950924,0.015446855519999999,0.04588624728,0.06655777452,0.02089868688,0.01749129228,0.12402916344,0.00863206632,0.12357484415999999,0.46931181623999996,0.3973022103599999,0.03543690384,0.07087380768,0.06496765704,0.06860221127999999,0.08382190716,0.0090863856,0.004770352439999999,0.05201955756,,0.040434415919999994,0.27963351684,0.02203448508,0.01408389768,0.046567726199999986,0.06315037992,0.006360469920000001,0.008404906680000001,0.003180234960000001,0.0011357982,0.068147892
Jiangxi,0.028468441439999995,0.013325653440000002,0.04209695063999999,0.06662826720000001,0.01090280736,0.00999424008,0.15778785096,0.004239980640000001,0.14567362056,0.63811708632,0.50970624408,0.029679864480000002,0.03603983544,0.17141636016000006,0.22835324304000001,0.41703238151999994,0.0051485479200000005,0.003937124879999999,0.02392560504,0.2713587609600001,0.033919845120000014,,0.017262778319999998,0.00878281704,0.044822652479999996,0.03452555664,0.00272570184,0.0033314133600000004,0.0021199903200000004,0.0006057115200000001,0.060571152
Shandong,0.9513875088,0.2620073952,,0.7237417392000001,0.1412048052,0.1358358012,1.0077620508,0.062280446399999995,0.17878783320000002,0.14496310800000006,0.2421420804,0.1240239924,0.077850558,0.2399944788,0.09449447040000003,0.07570295640000001,0.07838745840000001,0.04778413559999999,0.041878231200000005,0.05691144240000001,0.034898526000000006,0.05691144240000001,0.02684502,0.0327509244,0.039193729200000006,0.033287824800000004,0.0252343188,0.015570111599999999,0.011811808800000002,0.0016107012,0.3924741924
Henan,0.5118090915599999,0.11296402883999998,0.7074451191600001,,0.489090069,0.051117800760000005,0.5723931517199999,0.0410204574,0.2240348058,0.38874771936,0.45690478704,0.4120978258799999,0.10475993736,0.59132567052,0.5332659461999999,0.14388714288,0.01956360276,0.01388384712,0.06247731203999999,0.09340042607999999,0.045438045119999985,0.08330308271999999,0.03534070176,0.05427322056,0.042913709280000004,0.0410204574,0.04859346492,0.0220879386,0.02082577068,0.005048671679999999,0.37107736848
Hubei,0.06676642727999997,0.02059461936,0.066434256,0.42252186816,0.0365388408,0.02092679064,0.19697756904,0.012954679920000002,0.11692429056,0.4218575256,0.2042853372,0.1195816608,0.0963296712,0.17272906559999998,,0.5181871967999999,0.00896862456,0.006643425600000001,0.18634808807999997,0.08071762103999999,0.0381996972,0.232519896,0.026241531119999998,0.01860159168,0.04583963664,0.03886403975999999,0.00963296712,0.006311254319999999,0.006311254319999999,0.00132868512,0.11360257775999999
Hunan,0.03997366848,0.01810128384,0.0433676592,0.10144261152,0.01960972416,0.018855504,0.11614990464,0.010559082240000002,0.08711242847999999,1.22485353984,0.169699536,0.05204119104,0.07617623616000001,0.05204119104,0.46610805888,,0.00867353184,0.006787981440000001,0.09276907968,0.0810786672,0.05920628256000001,0.37107631872,0.040727888639999994,0.01433018304,0.27038792736,0.20665632384,0.012067522560000002,0.00867353184,0.006033761280000001,0.0033939907200000005,0.08409554784
Guangdong,0.08501479416000002,0.03849726528,0.09864924228000001,0.2526383034,0.045715502519999986,0.060151977,0.24943019796,0.02646686988,0.21815116992,,0.31038420132,0.11468976948,0.28632341051999993,0.12190800672,0.3825665737199999,1.4532717643200002,0.03047700168,0.02486281716,0.19168430004,0.5140988967600001,0.17724782556,0.6368089298399999,0.15398906112,0.03689321256,1.7379911221200002,0.25103425068,0.028872948960000002,0.01283242176,0.01523850084,0.0040101317999999995,0.2085268536
Guangxi,0.025240367880000003,0.010539933840000001,0.02884613472,0.03494820168,0.01220413392,0.01220413392,0.04770706896000001,0.005269966920000001,0.0388313352,1.54826080776,0.05880173616000001,0.0249630012,0.06712273656000001,0.018028834200000003,0.043269202080000006,0.26460781271999995,0.005824700279999999,0.0047152335600000005,0.04188236868,0.046042868880000004,0.11899030572000001,0.04049553528,0.03494820168,0.00943046712,,0.17529574175999998,0.00360576684,0.0019415667600000005,0.00305103348,0.0013868334,0.039663435239999996
Hainan,0.019930004640000002,0.00933598224,0.01311010272,0.02959705008,0.01311010272,0.01198448784,0.02688233184,0.006886114559999999,0.03323874528,0.13182936624000002,0.025359441119999996,0.021519108,0.03310632,0.013904654399999999,0.023174424,0.039462733439999995,0.01231555104,0.00648883872,0.028007946720000003,0.01807605072,0.0168842232,0.013308740639999995,,0.00536322384,0.03489406128,0.021585320640000003,0.00258229296,0.0029133561600000004,0.0017215286399999998,0.0003310632,0.0437003424
Chongqing,0.03264644736,0.013942753559999998,0.03774745476,0.0629124246,0.023124566880000003,0.01632322368,0.08297638703999999,0.01088214912,0.068013432,0.19485848268,0.09555887196,0.08501679000000001,1.57689142092,0.03128617872,0.23566654188,0.10780128972000001,0.006461276039999999,0.0051010074,,0.049989872520000006,0.09963967788,0.028225574280000002,0.025164969840000002,0.025164969840000002,0.04794946956,0.32612440644,0.015983156519999996,0.0068013432,0.00816161184,0.008841746159999999,0.06563296188
Sichuan,0.06157814076,0.02606957784,0.05573495952,0.0854003412,0.043149646079999986,0.028766430719999996,0.12720156084,0.022923249480000005,0.1056267378,0.28811378268000004,0.13124684016,0.28406850336,,0.04000331772,0.09798565464,0.07461292968,0.012135837959999998,0.00809055864,1.51518184308,0.06876974844,0.50655886596,0.036407513880000006,0.039553842240000005,0.12630260988,0.06472446912,0.33800556095999995,0.039553842240000005,0.01258531344,0.043149646079999986,0.06697184652,0.13484264399999998
Guizhou,0.016886167199999996,0.006272004960000001,0.02195201736,0.03280741056,0.00916677648,0.005789543039999999,0.06079020192000001,0.00458338824,0.04390403472,0.26028820584,0.16862044104,0.02557048176,0.34568396568000004,0.01978093872,0.042939110880000006,0.23134049064,0.004342157279999999,0.00385969536,0.34640765856,0.06754466879999999,0.3968249292,0.0349784892,0.01833355296,0.0096492384,0.18647153208,,0.0033772334400000003,0.0026535405600000006,0.00096492384,0.00289477152,0.03328987248
Yunnan,0.0232177104,0.011234376,0.021532554,0.0333286488,0.0119833344,0.0104854176,0.047746098,0.0059916672,0.057482557199999985,0.1621494936,0.07845339240000003,0.0368862012,0.490567752,0.0200346372,0.034639326000000005,0.0612273492,0.006178906800000001,0.0031830732000000003,0.0947432376,0.0359500032,,0.0232177104,0.0162898452,0.0108598968,0.1222674588,0.3815943048,0.005617188,0.0043065108,0.0035575524,0.0091747404,0.044937504
Tibet,0.0022965832800000002,0.0012782869199999998,0.0029682255600000005,0.0073014015599999985,0.0010182963599999998,0.0009966304800000001,0.00361820196,0.0001083294,0.0031415525999999995,0.006889749840000001,0.0028815620399999997,0.01070294472,0.08033708303999999,0.0021015903600000003,0.00236158092,0.0025132420800000003,0.00034665407999999996,0.0005416469999999999,0.013302850319999998,0.00106162812,0.015014454839999997,0.0006066446400000001,0.0005416469999999999,0.006889749840000001,0.0015166115999999995,0.0017332704,0.004528168920000001,0.0005416469999999999,0.034427083319999996,,0.004744827720000001
Shaanxi,0.10468548864,0.02949343488,0.09172134143999999,0.31826981375999996,0.46314415872000003,0.02819702016,0.12575222784,0.29525845248000004,0.06546894335999999,0.12024246527999999,0.08297054208,,0.26673732864,0.048615551999999985,0.1312619904,0.04796734464,0.01393645824,0.008426695679999999,0.07454384639999999,0.03435499008,0.033706782719999995,0.02236315392,0.0210667392,0.3937859712,0.0210667392,0.0307898496,0.0421334784,0.14811538176,0.03467909376,0.005833866239999999,0.13158609408
Gansu,0.02588275296,0.012855672,0.023311618560000004,0.051422688,0.01782653184,0.007027767359999999,0.046280419200000006,0.09050393088,0.030339385920000007,0.04405210272,0.028968114239999995,0.48011649696,0.14689747872,0.014569761600000003,0.019026394560000003,0.013712716800000002,0.0029139523200000005,0.00308536128,0.02502570816,0.015769624319999998,0.01234144512,0.007027767359999999,0.00565649568,,0.00839903904,0.01045594656,0.08124784704000003,0.19094958144,0.24528622176000006,0.0051422688000000005,0.0454233744
Qinghai,0.0069785712,0.00389636892,0.008257975919999999,0.01959815412,0.00447791652,0.00157017852,0.01273589244,0.005815475999999999,0.0070948807199999984,0.013375594799999998,0.0069785712,0.042743748599999985,0.05111803403999999,0.004419761760000001,0.006280714079999999,0.00616440456,0.0007560118799999999,0.0005815476000000001,0.008839523520000002,0.00360559512,0.00540839268,0.0022098808800000004,0.0020354166,0.27565356239999994,0.00197726184,0.002907738,0.02343636828,0.013142975759999998,,0.023378213519999996,0.0151202376
Ningxia,0.01413554976,0.004295332800000001,0.01116786528,0.0203052096,0.01476032544,0.00320197536,0.01515081024,0.17696771136,0.010855477439999999,0.01702513728,0.01116786528,0.15478817472000006,0.016947040320000002,0.007028726400000001,0.00851256864,0.008668762560000001,0.0023429088,0.00148384224,0.0077315990399999986,0.00406104192,0.0050763024000000006,0.0021867148800000006,0.00492010848,0.20227112640000006,0.00359246016,0.00367055712,0.01077738048,,0.01077738048,0.0005466787200000001,0.02506912416
Xinjiang,0.01954793736,0.01202016024,0.0203371398,0.048748427639999994,0.00837768744,0.0067385746800000005,0.023493949559999998,0.01317360996,0.021915544680000003,0.025982972640000004,0.016148296080000003,0.053605058040000014,0.05032683252,0.00916688988,0.01432705968,0.01165591296,0.004978046159999999,0.004067427960000001,0.019305105840000003,0.0073456534799999995,0.005827956479999999,0.0020640679200000004,0.006313619520000001,0.10824215004000001,0.0032175176399999996,0.0032175176399999996,,0.01202016024,0.031750221240000015,0.0016391127599999999,0.0406742796
Taiwan,,,3.2192640000000004e-05,9.657792e-05,,0.00012947040000000002,0.00032332607999999987,,0.0019763481599999995,0.00029113343999999993,0.00038841120000000003,3.2192640000000004e-05,0.00019385568,,3.2192640000000004e-05,3.2192640000000004e-05,,3.2192640000000004e-05,,0.00230037408,0.00012947040000000002,3.2192640000000004e-05,,3.2192640000000004e-05,9.657792e-05,,3.2192640000000004e-05,3.2192640000000004e-05,,,0.00032332607999999987
Hong Kong,,6.311844e-05,,,3.0187080000000006e-05,6.311844e-05,3.0187080000000006e-05,3.0187080000000006e-05,0.00071076852,0.025206211800000003,0.00012898115999999995,,3.0187080000000006e-05,3.0187080000000006e-05,,,,,3.0187080000000006e-05,0.0004528062,3.0187080000000006e-05,3.0187080000000006e-05,3.0187080000000006e-05,3.0187080000000006e-05,9.60498e-05,,3.0187080000000006e-05,3.0187080000000006e-05,,,0.00012898115999999995
Macau,0.0007583219999999999,0.000342468,0.000562626,0.0007338599999999999,0.000464778,0.0007338599999999999,0.002666358,0.00012231,0.003155598,0.21942414,0.002152656,0.000415854,0.0007093979999999999,0.00036693,0.001320948,0.002030346,0.00024462,0.00024462,0.00036693,0.0014432579999999998,0.00036693,0.0006360119999999999,0.00036693,0.000220158,0.00195696,0.000415854,2.4462e-05,0.00012231,4.8924e-05,2.4462e-05,0.001638954
