,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Liaoning,Jiangsu,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Hainan,Gansu,Xinjiang,Guangxi,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Beijing,3.1662261071999995,0.6358517333999999,0.2867163156,0.257221575,0.2133224262,0.19548839699999998,0.1927447002,0.1858854582,0.181769913,0.1769684436,0.14747370299999998,0.13306929480000002,0.12895374959999995,0.1049464026,0.10288863,0.09877308480000001,0.0884842218,0.075451662,0.06653464740000001,0.0596754054,0.057617632800000006,0.056245784399999985,0.044585072999999996,0.043899148799999996,0.0390976794,0.0363539826,0.032238437399999986,0.0185199534,0.0130325598,0.0041155452,
Tianjin,1.3644020862000001,,0.2011674204,0.07855384859999999,0.0655098516,0.0382623912,0.08029304820000001,0.05826318659999999,0.039421857600000006,0.046378656,0.0342042588,0.0307258596,0.0263778606,0.0263778606,0.0208703952,0.033044792399999995,0.021739995,0.026087994000000003,0.017391996,0.0147831966,0.0113047974,0.011884530599999998,0.010145331,0.014203463400000001,0.006956798399999999,0.010725064199999999,0.0092757312,0.004347999,0.0020290662000000004,0.0002898666,0.5884291979999999
Hebei,,1.5022128618,0.9567309006,0.4693880826000001,0.542916999,0.1000335258,0.2915507034,0.17441742960000006,0.07352891639999999,0.28129085460000003,0.09575858880000004,0.06925397940000001,0.123973173,0.08720871480000003,0.0718189416,0.06155909280000001,0.052154231399999994,0.046169319600000015,0.03761944560000001,0.033344508599999996,0.0350544834,0.029924559,0.023084659800000004,0.023084659800000004,0.021374685,0.029069571600000007,0.02393964720000001,0.0179547354,0.007694886600000002,0.0017099748000000002,3.2523720696
Shanxi,0.5247861112800001,0.07122475476000001,0.12100265028,0.39372197148000004,,0.05480864028,0.028066260239999998,0.08922952548,0.04580625492,0.21420381636,0.04713013512,0.0503074476,0.4808332886400001,0.033097005000000006,0.03230267688,0.00820805724,0.02753670816,0.007413729120000001,0.02594805192,0.02303551548,0.01217969784,0.014297906160000004,0.01747521864,0.02065253112,0.011914921800000002,0.01032626556,0.013238802,0.012444473880000001,0.0052955208,0.0007943281199999999,0.24597694116000002
Inner Mongolia,0.30077948375999997,0.049126512960000014,0.06068569248,0.047922431760000016,0.20180400912000004,0.03178774368,0.28849785551999996,0.031306111200000014,0.028897948800000007,,0.026489786400000003,0.030824478720000006,0.27236316744000005,0.013244893200000002,0.01541223936,0.17338769280000002,0.01155917952,0.1553264748,0.016616320559999998,0.01011428208,0.006502038480000001,0.009391833359999999,0.008910200880000002,0.13750607304,0.009391833359999999,0.00457550856,0.006742854720000001,0.2191427784,0.00915101712,0.00024081624,0.22636726559999998
Liaoning,0.28287109007999994,0.08066071368,0.12936995352,0.04625143416,0.030387415679999998,0.07217011224,,0.08691694632000001,0.08311851936,0.27236955672,0.05831702568,0.04066551216,0.03843114336,0.0256952412,0.0245780568,0.17271670824000002,0.02636555184,0.37716145344,0.02524836744,0.020556192959999997,0.013853086559999998,0.016534329119999996,0.02033275608,0.00849060144,0.008267164559999998,0.01720463976,0.015417144719999998,0.0037984269599999998,0.0031281163200000003,0.0008937475200000002,0.2279056176
Jilin,0.0623445336,0.0321865488,0.0474683976,0.015822799199999998,0.0079790184,0.0374608152,0.4372231608,0.0354322512,0.0404360424,0.13970044080000002,0.031780836,0.014199948,0.0123066216,0.011900908799999999,0.011900908799999999,0.2484314712,0.01014282,,0.0100075824,0.006220929599999999,0.0068971176000000006,0.005815216800000001,0.017445650400000002,0.0021638016,0.002704752,0.0067618800000000005,0.0056799792,0.0010819008,0.000676188,0.0004057128,0.08736348960000001
Heilongjiang,0.07277421996,0.03475977948,0.06626489796,0.017184610080000003,0.012237525359999998,0.0507727116,0.21246427008000002,0.03918611844,0.04218040656,0.15713503308000001,0.03306735576,0.017444982959999997,0.015231813479999997,0.01054510164,0.013148830439999998,,0.0169242372,0.27104816808000004,0.01184696604,0.009113050799999998,0.006509322,0.00937342368,0.03137493204,0.00403577964,0.0039055932000000002,0.00963379656,0.00546783048,0.0026037288,0.00091130508,0.00052074576,0.12159413496
Shanghai,0.05997813804000001,0.03462655392000001,0.13355956512000006,0.15705615528,0.041428198440000015,0.185499396,0.05750481276000001,2.63656474848,,0.0216415962,1.3393056391200002,0.10882631232000002,0.06925310784000002,0.4433435564400001,0.09707801724000002,0.026588246760000003,0.07605475236,0.0216415962,0.09769634856000002,0.053176493520000014,0.12613958928000002,0.05441315616000001,0.03833654184,0.02535158412,0.020404933559999998,0.035244885239999996,0.046374849,0.00989330112,0.008656638480000003,0.0024733252800000004,0.14097954095999998
Jiangsu,0.14508529811999998,0.0585748098,0.8371692046799999,0.4109248195199999,0.07840013003999999,0.22168312632,0.06848746991999999,,2.38714878708,0.025232225759999997,1.4130046425599998,0.12616112879999994,0.12075422328,1.960003251,0.15409680732,0.032441433119999995,0.1081381104,0.02433107484,0.11174271408,0.06758631899999999,0.14508529811999998,0.059475960719999985,0.028836829439999996,0.04235409323999999,0.02433107484,0.04866214968,0.06217941348,0.016220716559999997,0.014418414719999998,0.0027034527599999994,0.19915435331999995
