,Hebei,Tianjin,Shandong,Henan,Shanghai,Jiangsu,Shanxi,Guangdong,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Jiangxi,Chongqing,Yunnan,Hainan,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.87875659204,0.6388434068399998,0.35435282544,0.31906158876,0.26792530704,0.25640163792,0.24919934472,0.24847911539999998,0.24199705152,0.21462833735999998,0.17429549543999998,0.15917067972,0.14620655196,0.1188378378,0.11667714984,0.10587371004000001,0.09002866500000001,0.08714774771999999,0.07130270268,0.06554086812000001,0.061219492199999996,0.05545765764,0.0504160524,0.048255364440000004,0.04033284192,0.04033284192,0.0396126126,0.0252080262,0.018005733,0.00504160524,
Tianjin,1.42624634112,,0.22346394048,0.09246783743999999,0.0507872592,0.07460473247999999,0.07915807295999999,0.04483289088,0.09176732352,0.049386231360000005,0.033974925120000006,0.033974925120000006,0.03187338336,0.02416773024,0.03432518208,0.03572620992,0.02241644544,0.027320042880000003,0.02066516064,0.012959507520000002,0.013309764479999998,0.011558479679999999,0.011558479679999999,0.01366002144,0.01085796576,0.01015745184,0.008406167039999999,0.005253854400000001,0.0024517987200000004,0.00035025696000000003,0.99858259296
Hebei,,1.6365880515600002,1.0437024279599998,0.5000374976399999,0.0894921696,0.19688277312,0.60183484056,0.10627195140000001,0.31434124572,0.30427337664000004,0.10962790776,0.07383103992000001,0.13647555864,0.08166160475999999,0.09284812596000001,0.06264451872,0.055932606,0.05481395388,0.038034172080000005,0.03579686784,0.03020360724,0.03020360724,0.023491694520000002,0.02684765088,0.029084955120000002,0.02684765088,0.02013573816,0.02013573816,0.00894921696,0.00111865212,5.4142762608
Shanxi,0.53531567064,0.08692660152000001,0.13756061519999999,0.4003891948800001,0.05502424607999999,0.09892657008,,0.05678033904000001,0.028682851680000006,0.24351155711999997,0.048877920719999995,0.048877920719999995,0.5344376241600001,0.03658527,0.038341362960000014,0.007902418320000002,0.02458530144,0.0087804648,0.023121890640000003,0.013170697200000005,0.026634076560000004,0.015219472319999998,0.017268247440000002,0.019902386880000004,0.01141460424,0.01287801504,0.01141460424,0.01346337936,0.0055609610399999995,0.00087804648,0.35912101032
Inner Mongolia,0.31850812223999997,0.053515569240000005,0.05972027292000001,0.042915867120000006,0.034384399560000015,0.03567704616,0.19880904708000005,0.034125870239999995,0.31075224264,,0.02533587336,0.02688704928,0.29963548188000005,0.01473617124,0.0155117592,0.19053610884,0.012926466,0.15951259044000002,0.01473617124,0.00749735028,0.012409407360000001,0.010082643480000002,0.012150878039999998,0.12512819088000002,0.0062047036800000005,0.010858231440000001,0.008531467559999999,0.22207668588000004,0.008531467559999999,0.00025852932000000004,0.3089425374
Liaoning,0.32238405,0.10264708152,0.14133316752,0.050807726279999986,0.08614101815999999,0.09155707019999998,0.045133767000000005,0.08175659508,,0.29633541876,0.06782960412000001,0.04229678735999999,0.03842817876,0.02604863124,0.03043305432,0.21715789608,0.02733816744,0.43147881252,0.02372746608,0.01444280544,0.017021877839999998,0.01831141404,0.02011676472,0.0090267534,0.01650606336,0.0141848982,0.0090267534,0.00490023756,0.0025790724,0.0007737217199999997,0.32393149344
Jilin,0.06265286495999997,0.03378057695999999,0.049082889599999985,0.014869228319999997,0.03724525152,0.034791107039999984,0.008517324959999998,0.03941067312,0.4596468249599999,0.15028025903999995,0.02685122784,0.015446674079999997,0.0129925296,0.01068274656,0.01053838512,0.27717396479999995,0.00981657792,,0.01053838512,0.006207541919999999,0.007795517759999999,0.007073710559999998,0.016457204159999995,0.003753397439999999,0.006496264799999999,0.004763927519999999,0.00317595168,0.0012992529599999995,0.0008661686399999997,0.00028872287999999994,0.11823201935999998
Heilongjiang,0.068677632,0.038631168,0.066129048,0.01609632,0.037289808,0.043191792,0.011669832,0.047886552,0.22333644,0.16713345599999999,0.032460912,0.018510768,0.013950144,0.0134136,0.011401560000000002,,0.014889096000000003,0.28892894399999997,0.012877056000000001,0.005097168,0.007377480000000001,0.008584704,0.031924368,0.0033534000000000003,0.007914024,0.004560624000000001,0.005633712,0.0029509920000000004,0.0016096320000000002,0.0006706800000000001,0.133062912
Shanghai,0.058924859400000015,0.043673719320000005,0.15320463444000001,0.16568283996000002,,2.755603719,0.04228725204,0.24956411040000004,0.06516396215999999,0.0207970092,1.5985967738400002,0.12270235428,0.07486923312,0.11646325152,0.4915026507600001,0.028422579239999995,0.09220007412000003,0.02287671012,0.12270235428,0.14072642892,0.06169779396,0.06863013036,0.038821083840000006,0.02911581288,0.04228725204,0.051299289360000014,0.02149024284,0.01109173824,0.00831880368,0.00207970092,0.21698212932
Jiangsu,0.1522197684,0.072221058,0.8855412803999999,0.4455483732,3.8377159128,,0.094442922,0.2811065796,0.0811098036,0.0288884232,1.6577510544,0.1322200908,0.13666446359999998,0.1844414712,1.9521907524000002,0.0377771688,0.11666478599999999,0.02777733,0.12999790439999998,0.16110851399999998,0.07555433760000001,0.06444340559999999,0.033332796,0.043332634800000006,0.05222138039999999,0.07110996480000001,0.0244440504,0.0144442116,0.0144442116,0.0033332795999999995,0.2788843932
