,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Hainan,Gansu,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.6673268248,0.48366483479999994,0.3239641818,0.28876485420000003,0.23792138100000002,0.2333585052,0.2268401112,0.2242327536,0.2098922868,0.1909889442,0.16752272579999994,0.1453601862,0.13362707699999998,0.11016085859999998,0.1095090192,0.0971240706,0.0827836038,0.0723541734,0.07039865520000001,0.0625765824,0.059969224800000005,0.0547545096,0.0495397944,0.0430214004,0.0404140428,0.039110364,0.0378066852,0.0221625396,0.0143404668,0.0052147152,
Tianjin,1.2381179086799998,,0.21632957388,0.08742276216000001,0.041762466,0.07016094288,0.06876886068,0.04204088244,0.08380334844,0.04927970988,0.041762466,0.02839847688,0.0292337262,0.025335896040000003,0.03173947416,0.03563730432,0.021716482319999997,0.03034739196,0.0194891508,0.01336398912,0.013085572679999996,0.01197190692,0.0111366576,0.01197190692,0.0111366576,0.0083524932,0.00918774252,0.00584674524,0.00250574796,0.00055683288,0.5192466606
Hebei,,1.35460947456,0.9961615872,0.45721262592,0.10046757888,0.20859793920000003,0.58492564992,0.08343917567999999,0.28607717376,0.3107683584,0.11749598208,0.07151929343999999,0.13452438528000002,0.07407355392000001,0.09110195712,0.05704515072000001,0.05278804992,0.048530949119999986,0.03235396608,0.03065112576,0.034908226559999984,0.02809686528,0.024691184640000002,0.02639402496,0.02298834432,0.02639402496,0.02213692416,0.01617698304,0.00936562176,0.00170284032,3.19452844032
Shanxi,0.5234740992,0.06788804724000001,0.12977795375999998,0.3816998640000001,0.053983266479999986,0.09487968048,,0.046621911960000005,0.02753691876,0.2194774218,0.048530411280000005,0.0449860554,0.5139316025999999,0.03517091604,0.035443558800000004,0.01036042488,0.02290199184,0.007906640040000001,0.020175564240000003,0.01935763596,0.01145099592,0.013632138,0.01990292148,0.0218114208,0.0109057104,0.01281420972,0.01199628144,0.01417742352,0.00627078348,0.00109057104,0.293090967
Inner Mongolia,0.3100321008,0.0487502064,0.055474372800000005,0.03890410560000001,0.0316996416,0.033620832,0.19932350399999998,0.026416368000000003,0.29970570240000005,,0.0297784512,0.026896665600000005,0.2802536496,0.013208184,0.0124877376,0.18083204640000006,0.012247588799999999,0.1532149344,0.009365803200000002,0.01200744,0.007204464000000002,0.0098461008,0.0100862496,0.1087874064,0.0086453568,0.0055234224,0.0079249104,0.208929456,0.0076847616,0.0004802976,0.24807371039999998
Liaoning,0.31310204616000004,0.09006720480000001,0.13367869344000002,0.05048503848,0.06446915712000001,0.08627490144000001,0.051670133279999995,0.07821625680000001,,0.27660112632,0.06423213816000001,0.039345147360000006,0.03839707152000001,0.02180574432,0.025361028720000005,0.19506660408,0.025598047680000003,0.3927404167200001,0.021094687440000003,0.016117289280000002,0.01232498592,0.01990959264,0.0225168012,0.008532682560000001,0.01279902384,0.01161392904,0.00995479632,0.0042663412800000005,0.0018961516800000003,0.0011850947999999999,0.27636410736
Jilin,0.0613899648,0.0308956032,0.046410278400000005,0.015380928,0.0331693056,0.032768064,0.0073560959999999995,0.034774272,0.4221061632,0.1460519424,0.0255457152,0.0135084672,0.0115022592,0.0121709952,0.009362303999999998,0.2485022976,0.008693568,,0.012438489600000002,0.006821107200000001,0.0052161408000000005,0.006553612800000001,0.0165846528,0.0038786688,0.0056173824,0.0077573376,0.00334368,0.0025411967999999997,0.0005349888,0.00040124160000000003,0.1040553216
Heilongjiang,0.06958876535999999,0.0371400714,0.0703706616,0.014986344599999996,0.04052828844,0.039616076160000006,0.007558330319999998,0.038964495960000005,0.21723683868000002,0.166152951,0.034403434559999994,0.0175926654,0.01329223608,0.01146781152,0.01003433508,,0.014986344599999996,0.28004916996,0.01211939172,0.006515801999999999,0.004300429319999999,0.011076863400000001,0.02984237316,0.0027366368399999994,0.004561061399999999,0.008079594479999999,0.00377916516,0.0027366368399999994,0.00143347644,0.00052126416,0.12927351167999998
Shanghai,0.06335496,0.0392800752,0.1431822096,0.17169194159999998,0.228077856,2.4790795848000005,0.0418142736,,0.0582865632,0.0215406864,1.3919084711999998,0.1127718288,0.07222465439999999,0.1146724776,0.4662925056,0.0272426328,0.0880633944,0.0234413352,0.1178402256,0.0608207616,0.1368467136,0.066522708,0.0373794264,0.0240748848,0.050050418400000005,0.0399136248,0.022174236,0.0101367936,0.0069690456,0.0025341984,0.2021023224
Jiangsu,0.16198237440000002,0.0653451624,0.8504074656,0.4215223152000001,0.25493816880000003,,0.0883540224,2.5061250312000003,0.07362835200000001,0.032212404,1.5056997984,0.12700890720000002,0.13989386880000002,0.17394698160000002,1.707257412,0.030371695200000007,0.11228323679999999,0.02576992320000001,0.12516819839999999,0.07823012400000001,0.15646024800000002,0.05982303600000001,0.031292049599999996,0.0404955936,0.0754690608,0.049699137600000005,0.0266902776,0.014725670400000003,0.0119646072,0.0036814176,0.23561072640000005
