,Hebei,Tianjin,Shandong,Henan,Jiangsu,Guangdong,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Jilin,Chongqing,Fujian,Jiangxi,Hainan,Yunnan,Gansu,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.68399230264,0.48769943508,0.32513295672000003,0.29683190988,0.246811455,0.23496450515999995,0.22575021084,0.22114306368,0.21192876936000002,0.19284201684,0.16059198671999994,0.15401034791999996,0.13492359539999998,0.11781133452,0.10925520408,0.10004090976,0.09016845156,0.07503068231999999,0.06976537127999999,0.06647455188,0.056602093679999986,0.0526531104,0.049362291,0.04343881608,0.04146432444,0.0394898328,0.03685717728,0.02435206356,0.013821441479999998,0.003948983279999999,
Tianjin,1.19361809952,,0.20430102528000002,0.08432737632000001,0.06969644352000001,0.04602093408,0.06357805343999999,0.036976357439999996,0.07900703712000001,0.04495686624,0.03671034048,0.03272008608,0.029261865600000006,0.0385724592,0.02500559424,0.03511423872,0.01755711936,0.029527882560000007,0.015961017600000002,0.01888720416,0.0106406784,0.012236780159999999,0.010906695359999998,0.0106406784,0.0093105936,0.010374661440000002,0.007448474880000002,0.0053203392,0.0015961017600000002,0.00053203392,0.4748402736000001
Hebei,,1.2731185368,0.9658140623999999,0.45497026079999997,0.19396100592,0.09099405216,0.54915708672,0.07742476368000001,0.26899118928000004,0.28655144496,0.12292178976,0.06704824896,0.13808746512,0.08780127840000003,0.07263560304000001,0.060662701439999994,0.05427715392000001,0.0518825736,0.03751509168,0.03911147856,0.0319277376,0.027138576960000004,0.0279367704,0.023945803199999997,0.023147609759999997,0.030331350719999997,0.022349416320000003,0.01756025568,0.006385547520000001,0.00239458032,2.86232167584
Shanxi,0.53692532208,0.06725070684000001,0.13369116420000002,0.4040444073600001,0.09371885652000002,0.052396133040000015,,0.040512474000000014,0.02511773388000001,0.20742386688,0.048074802480000005,0.048885051960000016,0.4904710185600001,0.03511081080000001,0.034300561320000006,0.009993076920000002,0.024847650720000003,0.006752079000000001,0.021606652800000004,0.021876735960000008,0.01269390852,0.019986153840000003,0.01728532224,0.021876735960000008,0.013234074840000002,0.013774241160000002,0.01134349272,0.014044324319999997,0.0059418295200000006,0.00108033264,0.26117041572
Inner Mongolia,0.31871866392,0.04828367232,0.05640832872000001,0.04155181416,0.03412355688,0.02832023088,0.1903490928,0.025998900480000003,0.2971302912,,0.02344543704,0.027159565679999997,0.26834579424000005,0.015785046719999998,0.0127673172,0.17897457383999998,0.010678119840000002,0.15622553592,0.0081246564,0.0104459868,0.0062675920799999995,0.00905318856,0.00835678944,0.0882105552,0.00487479384,0.006499725120000001,0.00905318856,0.1903490928,0.00673185816,0.00023213304,0.23491863648000003
Liaoning,0.29924704476,0.08915212187999999,0.13729887504000002,0.049528956599999986,0.09145579427999999,0.07141384440000001,0.037319492880000006,0.0760211892,,0.27252444492,0.06127768584000001,0.03893206356,0.035246187719999995,0.027644068799999998,0.025340396400000003,0.190052973,0.02672259984,0.380105946,0.02050268436,0.02257598952,0.011748729240000002,0.02211525504,0.015664972319999998,0.006911017199999999,0.01197909648,0.013822034399999999,0.011057627519999998,0.00322514136,0.00207330516,0.0009214689599999999,0.24741441576
Jilin,0.061431048,0.034727616,0.049197455999999994,0.015390647999999996,0.03485916,0.029071224,0.007103376,0.03025512,0.4234401359999999,0.13627958399999998,0.024072552,0.013154399999999998,0.012365135999999995,0.00920808,0.009471168,0.24467184000000006,0.009734256,,0.0072349200000000015,0.007761095999999999,0.005524848000000001,0.019468512,0.006577199999999999,0.003025512,0.003551688,0.007498007999999999,0.003025512,0.002367792,0.0005261759999999999,0.00013154399999999999,0.10168351199999999
Heilongjiang,0.07425096660000001,0.03732260976,0.07017701976,0.01747854612,0.042710733,0.04363065648,0.01025057592,0.0348256746,0.21710194128000002,0.16124944428,0.03127739832,0.0190555578,0.013273181640000001,0.01169616996,0.012353258159999998,,0.013273181640000001,0.285833367,0.00867356424,0.00998774064,0.0042053644799999994,0.033642915839999996,0.00880498188,0.00236551752,0.0045996174,0.007359387840000001,0.00381111156,0.0032854409999999996,0.0005256705599999999,0.0005256705599999999,0.12800078136
Shanghai,0.06420317904,0.044497252800000005,0.17099658575999999,0.18371008655999999,2.47658995584,0.25999109136,0.04004752752,,0.06102480384,0.01970592624,1.3069478822399998,0.1207782576,0.07691667984,0.46340710416,0.11505718224,0.02987672688,0.09471558096,0.02669835168,0.06865290432,0.11632853232,0.13730580864,0.038140502400000005,0.06293182895999999,0.023519976480000003,0.047675628,0.043861577760000006,0.01970592624,0.009535125600000001,0.007628100479999999,0.00127135008,0.21040843824000002
Jiangsu,0.15549120936,0.06289532063999999,0.8473397363999998,0.41231376864,,0.2445929136,0.08123978916,2.271219912,0.06813659736000001,0.029700568080000003,1.42912145232,0.13190546412,0.12229645679999998,1.6754614581599998,0.16859440115999996,0.031447660319999994,0.10831971887999997,0.025332837480000002,0.07949269692000001,0.11530808784,0.14588220204000002,0.029700568080000003,0.05852759004,0.03668893704,0.06289532063999999,0.04629794436,0.021838653,0.015723830159999997,0.01135609956,0.00349418448,0.2271219912
Zhejiang,0.08890815960000001,0.035062372800000005,0.17468575020000002,0.3093002172000001,1.3004383626,0.30679576199999997,0.045080193600000006,1.2196696824,0.0525935592,0.0231662106,,0.1389972636,0.0807686802,0.6855946109999999,0.17280740879999998,0.0294273486,0.1684246122,0.0231662106,0.09016038720000001,0.350623728,0.4370274324,0.030679576200000003,0.0745075422,0.0256706658,0.14776285679999998,0.0538457868,0.017531186400000003,0.0106439346,0.006887251800000001,0.0025044551999999997,0.1465106292
Anhui,0.07858083456,0.0315293472,0.20227288896,0.4967084851199999,1.79911305792,0.13193819135999998,0.033954681599999995,0.46711940544,0.02473841088,0.012126671999999998,0.7484581958399998,0.04753655424,0.05287228992,,0.14988566591999994,0.009701337599999998,0.062088560639999985,0.009216270720000001,0.033954681599999995,0.06887949695999998,0.14697526463999994,0.014552006399999998,0.0218280096,0.017462407679999997,0.023283210239999998,0.023283210239999998,0.009216270720000001,0.005335735679999999,0.004365601919999999,0.00194026752,0.11447578367999997
Fujian,0.03231456768,0.015306900480000002,0.04570810559999999,0.07206998976,0.1158647328,0.43518368448,0.01955881728,0.11714030784000001,0.019771413119999998,0.00871642944,0.34908236928,0.06824326464,0.03231456768,0.06462913536,0.07355816064,0.01084238784,0.08503833599999999,0.0063778752,0.04932223488,,0.23534359488,0.023385542400000004,0.04060580544,0.01105498368,0.05973943103999999,0.046558488960000005,0.007440854399999999,0.00403932096,0.00255115008,0.0010629792,0.06611730623999999
Jiangxi,0.0263012508,0.0100563606,0.040999008600000005,0.0575017542,0.1338269526,0.5577412302,0.011345637600000002,0.1343426634,0.0105720714,0.005414963399999999,0.4311342288,0.0366154668,0.0224334198,0.1423361808,0.1812723462,0.0041256864,0.321029973,0.003867831,0.0281062386,0.22227135480000001,,0.0159870348,0.022691275200000003,0.0074778065999999985,0.0304269372,0.040483297800000005,0.003867831,0.0020628432,0.0015471323999999998,0.0015471323999999998,0.0649795608
Shandong,0.8853343416,0.21828070836,,0.69147664956,0.9504623851200001,0.13534421544000005,0.13890590532000002,0.1958929434,0.12669439716000006,0.05953110227999999,0.2498271044400001,0.08446293144000001,0.12109745592,0.228965778,0.08548055712000001,0.06818092056000001,0.06563685636000001,0.04121384004000001,0.043757904240000006,0.05444297388000001,0.054951786720000007,0.02137013928,0.031546396080000004,0.02696708052,0.02645826768,0.03663452448000001,0.018317262240000003,0.012720321,0.01068506964,0.0015264385199999998,0.3933123253200001
Henan,0.43059153852,0.09417417048,0.6751039931999999,,0.53724662316,0.34889828219999997,0.4164086815199999,0.21331016928,0.044250513840000005,0.039711999599999985,0.4311588528,0.10608777036,0.32507108244000005,0.5463236516400001,0.41754331008,0.014750171279999997,0.12424182732000001,0.01304822844,0.0538948566,0.08623177056,0.07999131347999999,0.03744274248,0.044250513840000005,0.051058285200000005,0.04254857099999999,0.049356342359999986,0.04765439952,0.01872137124,0.01872137124,0.00397119996,0.35003291076
Hubei,0.06376831919999999,0.017878968000000002,0.0738997344,0.3703926204,0.180279594,0.3900594852,0.031288194,0.11204153279999997,0.0199648476,0.011323346399999998,0.18713319840000006,0.09386458199999999,0.1180011888,0.1510772796,,0.007151587199999998,0.3995949348,0.0062576388,0.1734259896,0.07181385480000001,0.18564328440000002,0.030692228399999997,0.0354599532,0.016389054,0.0390357468,0.04469742,0.0110253636,0.0062576388,0.0050657076,0.0020858796000000003,0.1180011888
Hunan,0.0439547472,0.01825812576,0.041587953119999986,0.0963623304,0.10380082607999998,1.1306513433599998,0.02231548704,0.08689515407999998,0.016905672,0.007776609119999998,0.16668992591999998,0.07404684335999999,0.04530720096,0.049364562239999986,0.371924784,0.008114722559999999,,0.007776609119999998,0.08452836,0.07506118367999999,0.29483491968000003,0.04226418,0.05511249071999999,0.014538877919999997,0.18460993824000002,0.2163926016,0.011833970399999998,0.00574792848,0.00540981504,0.0023667940800000003,0.08993817504000001
