,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Guangdong,Shanghai,Inner Mongolia,Zhejiang,Shaanxi,Sichuan,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Chongqing,Fujian,Jiangxi,Hainan,Yunnan,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,3.2713877851200004,0.6155433647999999,0.3933472233600001,0.3460554770400001,0.2552252976000001,0.25372397232,0.2514719844000001,0.21168686448,0.20267891280000008,0.20192825016,0.16514578080000006,0.14788054007999998,0.14562855216000006,0.12085668504,0.11635270920000003,0.11259939599999999,0.09683548055999999,0.08707686624000001,0.07957023984000001,0.06981162552000003,0.06155433647999999,0.050294396880000015,0.045790421039999994,0.04278777048,0.041286445200000015,0.03603180672,0.030777168239999996,0.02402120448,0.01201060224,0.0030026505600000003,
Tianjin,1.3411207227600002,,0.23059994328,0.09131526576,0.06993131111999999,0.07253206236000001,0.08611376327999999,0.04074510276,0.03698846208,0.04652454996,0.03583257264,0.030631070160000003,0.02831929128,0.02398470588,0.02860826364,0.03120901488,0.01993909284,0.02658545712,0.01502656272,0.017627313959999998,0.009536087879999999,0.0130037562,0.009536087879999999,0.01329272856,0.0101140326,0.00664636428,0.00635739192,0.00462355776,0.0020228065200000003,,0.5360437278
Hebei,,1.3914550494000002,1.0007097048000002,0.47525343840000006,0.18658717740000005,0.556414677,0.2987068266,0.0970588008,0.06191682120000001,0.28782954720000004,0.1012423698,0.13387420800000002,0.062753535,0.0819979524,0.08869166279999999,0.062753535,0.056896538400000016,0.0485294004,0.044345831399999994,0.0368154072,0.030958410600000007,0.025101414,0.029284982999999997,0.0259381278,0.028448269200000008,0.0217545588,0.016734276000000003,0.0175709898,0.0075304242,0.0008367138,3.0740865012000005
Shanxi,0.53481022416,0.07026903251999997,0.15284198123999998,0.4114976418,0.08722109483999999,,0.027068615639999998,0.04456751868,0.041013053999999986,0.21818944728,0.046481461200000004,0.51293659536,0.0492156648,0.0396459522,0.0314433414,0.00902287188,0.02652177492,0.006562088639999999,0.029529398880000002,0.01804574376,0.0123039162,0.020779947360000002,0.01613180124,0.02296731024,0.013124177279999998,0.0109368144,0.010389973680000001,0.013397597639999998,0.00628866828,0.0008202610799999999,0.24553148328000002
Inner Mongolia,0.3128729004,0.04687145352,0.06899858639999999,0.0440163396,0.037354407119999995,0.20628198072,0.30359378016,0.02569602528,0.024506394480000002,,0.0202237236,0.279563238,0.029264917680000002,0.01403764344,0.01617897888,0.18986507568,0.009754972559999998,0.15774504407999998,0.017844462,0.009041194079999999,0.0047585232,0.01284801264,0.008327415599999999,0.08065696824,0.0066619324800000004,0.005710227839999999,0.00880326792,0.19938212208000006,0.00499644936,0.00023792616000000002,0.22864703976
Liaoning,0.30550536720000004,0.08617987224,0.14500105488,0.050385586680000004,0.09415949004,0.034198362,,0.06588884412,0.06680080044,0.26971108164,0.06064509528000001,0.033742383839999994,0.034654340160000005,0.026446733280000002,0.026446733280000002,0.18056735136,0.023482875240000003,0.39738496644,0.02211494076,0.02188695168,0.009803530440000001,0.02530678788,0.016871191919999997,0.00729565056,0.014363312040000001,0.01003151952,0.007067661479999999,0.00478777068,0.00136793448,0.00068396724,0.23300483976000005
Jilin,0.06596918316000001,0.03501549,0.051682863240000015,0.015266753640000004,0.03613598568,0.0084037176,0.4592631668399999,0.03375493236,0.030673569240000007,0.14090233176000005,0.027452144160000004,0.011204956800000002,0.014566443840000004,0.010924832880000002,0.009804337199999999,0.27760280472000004,0.010784770920000002,,0.010224523079999999,0.007703407800000002,0.007003098000000001,0.020308984199999998,0.005742540359999999,0.00224099136,0.006162726240000001,0.0029413011600000006,0.002381053320000001,0.0014006196000000005,0.00014006196,0.00042018587999999996,0.09230083164
Heilongjiang,0.07505193024000001,0.03527969256,0.07373059343999999,0.017177378400000002,0.043736248080000005,0.01004215968,0.22740206328,0.042282777599999995,0.03646889568,0.15618200976000002,0.032637018960000014,0.01242056592,0.01612030896,0.014798972160000003,0.00845655552,,0.01400617008,0.29492237375999997,0.0075316197599999985,0.01004215968,0.00475681248,0.031183548480000003,0.00845655552,0.0018498715200000004,0.00819228816,0.003699743040000001,0.0030390746399999997,0.00237840624,0.0009249357600000002,0.00052853472,0.125526996
Shanghai,0.07181848476,0.04207547592,0.199495791,0.22778792136,2.8589560448399998,0.04425179364,0.06964216704,0.25317829476,,0.0217631772,1.6286110938,0.07834743792,0.10736500752,0.11824659611999998,0.54117767304,0.0290175696,0.1124430822,0.0290175696,0.0761711202,0.12114835308,0.14944048344,0.04062459744,0.055858821479999994,0.02248861644,0.04062459744,0.04135003668,0.01741054176,0.00870527088,0.006528953159999999,0.00145087848,0.2248861644
Jiangsu,0.15524659584,0.06283790784000001,0.90837740304,0.4481821368,,0.07854738480000002,0.07115468976000001,0.22085676432000004,2.3887645848000005,0.02679851952,1.4942484849600004,0.12197946816000002,0.12013129440000005,0.17927285472000004,1.8712759320000003,0.03326712768,0.13491668448000002,0.02587443264000001,0.09887729616000004,0.11273859936,0.15801885648000005,0.0323430408,0.05174886528000002,0.035115301439999996,0.04805251776,0.06191382096000001,0.02217808512,0.012937216320000005,0.00831678192,0.00277226064,0.23656624128000006
