,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Guangdong,Shanghai,Shaanxi,Zhejiang,Sichuan,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Gansu,Hainan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,5.8034984004000005,1.18186406964,0.54470455236,0.41660429975999996,0.34085806344,0.31301018244,0.28739013191999996,0.23726394611999999,0.22166913276000005,0.21498564132,0.16485945552,0.16485945552,0.15706204884000002,0.13589765928,0.13032808308,0.11027760876,0.10248020207999999,0.09022713444000002,0.06906274488,0.06906274488,0.06126533820000001,0.04901227056,0.04678444008,0.045670524840000004,0.044556609600000005,0.0389870334,0.035645287680000005,0.02450613528,0.01225306764,0.00334174572,
Tianjin,1.66416823404,,0.27707239404,0.10507250988,0.0832257504,0.095362839,0.0745564014,0.049588676280000014,0.03537094392,0.03675803976,0.0277419168,0.03849190956,0.027048368880000003,0.02184675948,0.035024169960000004,0.032249978280000015,0.01837901988,0.0277419168,0.016991924040000002,0.01491128028,0.00832257504,0.00936289692,0.01456450632,0.00936289692,0.0104032188,0.010056444840000001,0.007629027120000001,0.0052016094,0.00208064376,,0.70291081692
Hebei,,1.5948726238800004,1.07345513412,0.52754152068,0.58878182988,0.31757474628000004,0.18022148136,0.28870431480000003,0.09098560223999999,0.06299003232000001,0.1268549262,0.09535991004,0.0699889248,0.07611295572,0.08748615600000001,0.052491693600000014,0.052491693600000014,0.04899224736000001,0.027995569920000005,0.033244739280000005,0.033244739280000005,0.032369877719999995,0.02537098524,0.022746400559999998,0.026245846800000004,0.02099667744,0.01924695432,0.014872646520000003,0.006998892480000001,0.0008748615600000001,3.1390032772800005
Shanxi,0.5848232594399999,0.08212532652000001,0.15089463107999998,0.4572306241199999,,0.028417067999999997,0.08752456944,0.22676820264000006,0.046603991519999985,0.03722635908,0.5248632459599999,0.050298210360000005,0.04603565016,0.03466882296,0.034384652280000004,0.008525120399999999,0.0241545078,0.007672608359999999,0.016766070119999997,0.02500701984,0.01250350992,0.01193516856,0.017050240799999998,0.01818692352,0.01193516856,0.007104266999999999,0.01023014448,0.016766070119999997,0.0042625602,0.00113668272,0.25092271044
Inner Mongolia,0.32316851556000004,0.052295926320000005,0.06575070347999999,0.045949333320000015,0.23228530379999998,0.32926124484,0.0355409208,,0.02741728176,0.022847734800000002,0.30869828352,0.025640235719999998,0.026147963160000003,0.015485686919999998,0.01345477716,0.19572892811999998,0.01218545856,0.16780391892000002,0.008631366480000001,0.01599341436,0.00456954696,0.007362047879999999,0.08098252668,0.01193159484,0.005077274400000001,0.005585001840000001,0.008123639040000002,0.23253916751999998,0.00456954696,0.00076159116,0.24853258188000002
Liaoning,0.31518112824,0.08978728176,0.14671426968,0.05114172492,0.027306441360000003,,0.08839881864,0.27607275036,0.06224942988000001,0.06734046132,0.03401734644,0.058315451040000015,0.03748850424000001,0.02452951512,0.023372462519999998,0.18697970015999998,0.02452951512,0.41839022016000005,0.02059553628,0.018050020559999998,0.012033347040000001,0.01527309432,0.00995065236,0.023835283560000003,0.01365322068,0.010876294440000002,0.006710905079999999,0.0034711578,0.00138846312,0.0006942315599999999,0.2418239934
Jilin,0.0635800914,0.0324447606,0.050776777799999985,0.017313571799999997,0.008002071,0.5079132701999999,0.035063620199999986,0.1414184184,0.0353546046,0.029534916599999995,0.012366837,0.028079994599999998,0.0142582356,0.011493883799999998,0.0091660086,0.2936032596,0.010038961800000001,,0.006401656800000001,0.0069836256,0.005237719199999999,0.006401656800000001,0.0032008284000000003,0.0190594782,0.006401656800000001,0.0027643518,0.0045102582,0.0017459063999999995,0.0007274609999999999,,0.08860474979999998
Heilongjiang,0.07328813903999999,0.03758023188,0.07609662612000001,0.017787084839999998,0.008826673680000001,0.2393900892,0.040656193919999986,0.16449710039999998,0.04399963091999999,0.03303315756,0.014309910359999999,0.031294570319999986,0.015513547679999996,0.012705060599999998,0.0093616236,,0.0140424354,0.30732872904,0.00962909856,0.007489298879999999,0.00454707432,0.010698998400000001,0.0016048497599999998,0.02728244592,0.008960411159999999,0.00387838692,0.00280848708,0.00227353716,0.0018723247199999998,0.00053494992,0.113676858
Shanghai,0.07337164032,0.04537456703999999,0.19887576192,0.22590741888,0.04537456703999999,0.06950997503999999,4.424502994559999,0.02220457536,0.25776615744000003,,0.08399121983999999,2.19439129536,0.12453870528,0.13515828479999994,0.70668474624,0.031858738559999995,0.12067704,0.027031656960000004,0.12743495423999998,0.06564830976,0.16701702336,0.058890395519999986,0.02799707328,0.03089332224,0.04633998335999999,0.04923623232,0.0193083264,0.0096541632,0.0057924979199999995,0.00193083264,0.23459616575999998
Jiangsu,0.16008456383999994,0.0684572148,1.01316677904,0.48551963112,0.08109546983999999,0.07161677856000001,,0.026329698,0.24539278536,2.52027869256,0.13270167791999998,1.7472387592799996,0.13796761752,0.19062701352000003,2.5329169476,0.034755201359999995,0.13796761752,0.027382885919999995,0.11163791952,0.08530822152,0.16851006719999995,0.057925335599999996,0.03896795304,0.029489261760000003,0.04423389264,0.06635083895999999,0.02211694632,0.014744630880000002,0.009478691279999998,0.00210637584,0.24539278536
