,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Guangdong,Jiangsu,Inner Mongolia,Shanghai,Sichuan,Zhejiang,Shaanxi,Hubei,Anhui,Heilongjiang,Jilin,Hunan,Fujian,Chongqing,Jiangxi,Yunnan,Gansu,Hainan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,3.28797004032,0.6243597158399999,0.33303820032,0.29201679360000005,0.22318426368,0.20927870208000002,0.2051070336,0.19398258432,0.16756201728,0.14739895296,0.13488394752000002,0.13279811328,0.11889255168,0.10151059968,0.09803420927999999,0.09594837504,0.07648058880000001,0.07509003264000001,0.055622246400000006,0.054231690240000005,0.05006002176,0.04797418752,0.04102140672,0.04032612863999999,0.038935572480000014,0.035459182080000005,0.027811123200000003,0.018077230080000003,0.009733893120000002,0.0034763904000000003,
Tianjin,1.33768239912,,0.22009972211999998,0.07744776767999999,0.06463471788,0.07004467224,0.0341681328,0.06007896683999999,0.04299490044,0.028473444,0.026765037359999997,0.030181850639999997,0.02363295852,0.02192455188,0.0270497718,0.03217499172,0.02391769296,0.016514597519999997,0.01366725312,0.01224358092,0.00797256432,0.00882676764,0.0128130498,0.00797256432,0.006833626559999999,0.008257298759999998,0.006548892119999999,0.00398628216,0.0017084066399999998,0.00028473444,0.6136027182
Hebei,,1.4491446847199998,1.0293865592399998,0.46914143436,0.5261876704799999,0.27756825336,0.09025225416,0.16773296291999998,0.276716817,0.05449192704,0.06385772699999999,0.09876661775999998,0.11494390859999999,0.06981778151999997,0.08173789055999997,0.0553433634,0.04938330887999999,0.04427469072,0.028948836239999998,0.034908890759999985,0.0340574544,0.02809739988,0.02213734536,0.021285909,0.02639452716,0.01958303628,0.01958303628,0.014474418119999999,0.00681149088,0.00085143636,3.3248589857999997
Shanxi,0.5245402665600001,0.06936285960000001,0.13715523936,0.42612352991999997,,0.026174664,0.04266470232,0.08559115127999999,0.2120147784,0.03638278296,0.04659090192,0.03900024936,0.47690237807999997,0.032718330000000004,0.03245658336,0.00942287904,0.006805412640000001,0.02251021104,0.0157047984,0.0274833972,0.01204034544,0.016751784960000002,0.01858401144,0.013087332,0.00968462568,0.0104698656,0.00994637232,0.01204034544,0.00549667944,0.00157047984,0.23400149616000002
Inner Mongolia,0.31465158264000004,0.0496696698,0.06584119020000001,0.04065982272000001,0.20376115704000006,0.29570780160000004,0.02610545436,0.031649975640000015,,0.021947063399999998,0.027491584680000004,0.02564341092,0.2795362812,0.014554368360000004,0.012937216320000005,0.17395935516000002,0.15432250896000002,0.00831678192,0.011320064280000002,0.007623716760000001,0.005082477840000001,0.0080857602,0.07600614588,0.008547803640000002,0.006237586440000002,0.00415839096,0.00970291224,0.18897576695999999,0.00485145612,0.0004620434400000001,0.22848048108000005
Liaoning,0.30754173312,0.08080593696000002,0.14680108224000002,0.048570684480000015,0.030275000639999997,,0.06359928192000001,0.07993471392000001,0.27095036544,0.06076780704000001,0.03441331008000001,0.05815413792,0.029839389120000007,0.023958633600000005,0.022216187520000003,0.17119532736000004,0.38399155488,0.02199838176,0.018731295359999997,0.01829568384,0.01263273408,0.015246403200000001,0.0052273382400000006,0.01546420896,0.011543705280000002,0.01067248224,0.007405395840000001,0.0039205036799999995,0.0010890288000000002,0.0004356115200000001,0.21780576000000004
Jilin,0.062111626199999985,0.028408644,0.053976423600000004,0.014849973,0.007360421399999998,0.424192707,0.030345597000000002,0.03228255,0.140751918,0.030345597000000002,0.0125256294,0.0256969098,0.0131712804,0.0112343274,0.0100721556,0.24457259879999999,,0.0114925878,0.008780853600000001,0.0061982496,0.0063273798,0.0056817288,0.0016786925999999998,0.0102012858,0.0055525986,0.0046486872,0.003228255,0.0009039114,0.000645651,0.0003873906,0.0812228958
Heilongjiang,0.06700390632,0.036889791119999994,0.07403053320000001,0.016939189800000004,0.01028898936,0.2008862434800001,0.043289040600000016,0.036136938240000006,0.15684435000000002,0.03249814932,0.020828929680000004,0.03174529644,0.011669219640000002,0.013174925400000002,0.010414464840000002,,0.29223239292000003,0.011292793200000005,0.009536136479999999,0.0069011514000000005,0.004517117280000001,0.009661611960000002,0.00163118124,0.017190140760000003,0.008406857160000001,0.0037642644,0.00301141152,0.0020076076800000005,0.00075285288,0.0006273774000000001,0.11844885312000003
Shanghai,0.05899060224,0.03318221376,0.1444040784,0.17881526304,0.041170524480000005,0.05653266048,0.19233394272,2.63429908128,0.01966353408,,0.10630598112,1.2818166278399998,0.06329200032,0.10139009759999999,0.43567017696,0.02703735936,0.021506990400000002,0.08357001984000001,0.09585972864,0.05714714592,0.11736671903999997,0.06021957312,0.02027801952,0.02826633024,0.037483611839999986,0.04424295168,0.0184345632,0.008602796159999999,0.0073738252799999985,0.00245794176,0.15362136
Jiangsu,0.14435401392000002,0.052657439040000004,0.91151842752,0.43850936304,0.07989404543999999,0.0726309504,0.21698496432000006,,0.024512945759999998,2.4413078203200005,0.12347261568,1.35638299872,0.11802529440000002,0.16523541215999998,1.96466720832,0.03359181456,0.024512945759999998,0.1044069912,0.10622276496,0.07353883728000002,0.14980133520000002,0.05628898656,0.03813124896,0.02088139824,0.04176279648,0.05810476032,0.019973511359999998,0.01452619008,0.01089464256,0.00272366064,0.19791933984
Zhejiang,0.09340127495999999,0.033905942280000004,0.18488334564,0.31027135859999994,0.03902382036,0.04861984176,0.26740912968,1.41189461532,0.0223907166,1.3165741360799998,0.12730721724000002,,0.07484896691999998,0.17144891568,0.69283274508,0.02686885992,0.02047151232,0.17464758947999998,0.31986738000000003,0.07804764071999999,0.463807701,0.07548870167999999,0.028148329439999998,0.01983177756,0.058215863160000006,0.15417607715999998,0.01855230804,0.01087549092,0.00831655188,0.00127946952,0.13306483008
Anhui,0.072400878,0.027462402000000004,0.19822861079999998,0.5672234304,0.029958983999999998,0.0209712888,0.1168400376,2.0127444084,0.0104856444,0.42541757280000003,0.0444391596,0.7035368076,0.0519289056,0.15928193159999998,,0.008488378800000002,0.007489745999999999,0.061415917199999996,0.059418651600000004,0.029958983999999998,0.16826962680000002,0.019972656,0.0159781248,0.009986328,0.0229685544,0.02496582,0.008488378800000002,0.0039945312,0.0039945312,0.0009986328,0.0983653308
Fujian,0.032493312,0.017058988799999997,0.046099886400000005,0.0688452048,0.02030832,0.02030832,0.4049479008000001,0.11169576,0.0115757424,0.0970737696,0.06742362240000001,0.3352903632000001,0.0371642256,0.06681437280000001,0.06051879360000001,0.0125911584,0.007107911999999999,0.0718914528,,0.0471153024,0.2534478336000001,0.033711811200000004,0.0129973248,0.01523124,0.0398043072,0.058081795200000015,0.0067017456000000005,0.0032493312000000003,0.002843164800000001,0.0006092496,0.06194037600000001
Jiangxi,0.02418835608,0.011600538119999995,0.0382570938,0.05824951056,0.0098727984,0.0098727984,0.50400635832,0.12168224027999998,0.005676859079999999,0.104898483,0.030112035119999995,0.4094743136399999,0.02122651656,0.20239236719999995,0.13797235764000002,0.0037022994,0.00394911936,0.35887622183999995,0.2122651656,0.02616291576,,0.02517563592,0.0051832191599999996,0.008638698599999998,0.035542074239999985,0.0296183952,0.0034554794399999996,0.0022213796399999995,0.0024681996,0.0004936399199999999,0.05701541075999999
Shandong,0.8749348487999999,0.2150840952,,0.7124052384,0.12652005600000002,0.12652005600000002,0.1182475908,0.9255428712,0.0530411004,0.1474445268,0.07639864920000003,0.20194547399999999,0.1085152788,0.0866175768,0.221410098,0.0671529528,0.0423355572,0.061313565599999995,0.0481749444,0.0467150976,0.0593671032,0.030656782799999997,0.0253040112,0.017031545999999998,0.0330898608,0.0253040112,0.018978008400000003,0.01216539,0.0087590808,0.0019464623999999999,0.3644750844
Henan,0.43039733939999997,0.08180222724000001,0.69398229384,,0.40954579127999996,0.04170309624,0.31437718704,0.4576647484800001,0.03421792512,0.17376290100000003,0.08982205344000001,0.3534070078800001,0.30528805068000003,0.46301129928,0.56619972972,0.01390103208,0.01229706684,0.10960429139999997,0.07485171119999999,0.04865361228,0.08607946787999998,0.045445681800000005,0.047584302120000005,0.02512878876,0.04170309624,0.035821890360000004,0.04063378608,0.0160396524,0.014970342240000004,0.0026732754000000003,0.30635736084000004
