,Hebei,Tianjin,Shandong,Henan,Jiangsu,Guangdong,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Hainan,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.7045538416,0.475511634,0.34914278880000005,0.29507776739999997,0.25729739100000004,0.2234253294,0.2195170146,0.21626008559999998,0.1980212832,0.1869477246,0.15958952099999998,0.14395626179999998,0.1341854748,0.11008420019999997,0.10552449960000003,0.09770787,0.08728569720000001,0.07621213859999999,0.0703496664,0.059927493600000006,0.0579733362,0.0566705646,0.0495053208,0.0403859196,0.036477604800000014,0.0351748332,0.0201929598,0.019541574,0.0117249444,0.0026055432,
Tianjin,1.171841418,,0.2060466174,0.0826265124,0.0761307174,0.0413132562,0.0615801366,0.041573088,0.0787290354,0.0459902286,0.0405337608,0.0283216662,0.0267626754,0.019487385,0.0293609934,0.0329986386,0.0145505808,0.022865198399999998,0.016629235200000002,0.01299159,0.013511253599999998,0.008314617600000001,0.0101334402,0.0111727674,0.0085744494,0.008314617600000001,0.0041573088000000005,0.0057162995999999995,0.0018188226,0.0007794953999999999,0.4710750534
Hebei,,1.29078117324,1.00017377964,0.45932113044,0.20261793275999995,0.09606188843999998,0.56668441752,0.06700114907999999,0.26719735356,0.28899290807999994,0.09929085948,0.06700114907999999,0.12350814228,0.07588081943999997,0.09041118912,0.054892507679999994,0.047627322839999986,0.04359110904,0.03390419592,0.03309695315999999,0.03148246764,0.03309695315999999,0.028253496599999994,0.024217282799999997,0.02663901108,0.02260279728,0.01695209796,0.012108641399999998,0.007265184839999998,0.00161448552,2.94562883124
Shanxi,0.5120396467199999,0.06191748863999999,0.14490233855999998,0.38101093632,0.08298484991999999,0.04855769856,,0.038280936960000005,0.024150389759999998,0.21658275072,0.04085012736,0.044190074879999985,0.4675926527999999,0.032628718079999994,0.031344122879999985,0.006422976,0.02132428032,0.006936814079999999,0.01849817088,0.019525847040000002,0.019268928,0.011047518719999998,0.01644281856,0.02003968512,0.012075194879999996,0.01130443776,0.014901304319999998,0.006936814079999999,0.0038537856,0.00051383808,0.24869763071999995
Inner Mongolia,0.29903834016,0.045627390719999994,0.06016552992,0.041601444480000006,0.033549552,0.026615977919999995,0.19570572,0.0257213232,0.2896444656,,0.02169537696,0.0201297312,0.25296362208,0.014090811840000002,0.0123015024,0.17982559871999995,0.010735856639999998,0.15142031135999998,0.00939387456,0.011183184,0.01252516608,0.00603891936,0.009170210879999998,0.06665177664,0.0044732736,0.0073809014400000005,0.18049658976,0.0073809014400000005,0.00380228256,,0.23350488192
Liaoning,0.2921183773199999,0.09395098307999998,0.15286561379999994,0.04976501003999999,0.08814878459999999,0.06315469884,0.028341507959999995,0.06873373583999999,,0.2689095834,0.058245146279999986,0.03525951384,0.02968047684,0.02432460132,0.0234319554,0.17607440771999994,0.022092986519999996,0.3713407027199999,0.025217247239999997,0.015621303599999997,0.0301267998,0.012720204359999996,0.014728657679999996,0.006025359959999999,0.013166527319999998,0.011381235479999998,0.00379374516,0.00691800588,0.0020084533199999995,0.0004463229599999999,0.23811329916
Jilin,0.06298020539999999,0.030642542999999994,0.0581556348,0.015125680799999998,0.035075932199999986,0.034554356999999994,0.0099099288,0.030772936799999994,0.4046119614,0.14082530399999998,0.027121910399999997,0.015386468399999997,0.013169773799999998,0.0114746544,0.010953079199999998,0.2369255346,0.0103011102,,0.006780477599999999,0.0048245706,0.021514977,0.006128508599999998,0.007954021799999999,0.0029990574,0.005476539599999999,0.0044333892,0.00039118139999999986,0.0022166946,0.0009127566,0.0001303938,0.09023250959999997
Heilongjiang,0.06955823484,0.040095262440000015,0.07570702908,0.019855481400000003,0.0409919616,0.04726885572000001,0.00935129124,0.032409269639999995,0.20291020991999997,0.1639678464,0.02600427564,0.01690918416,0.01101658968,0.01421908668,0.009607491,,0.0108884898,0.27900153864000005,0.00845459208,0.00614879424,0.035739866519999997,0.005636394720000001,0.008070292440000001,0.0019214982000000003,0.008070292440000001,0.0038429964000000006,0.0025619976,0.0019214982000000003,0.00102479904,0.00038429964,0.12502548287999998
Shanghai,0.05167155888,0.03484826064,0.1622246616,0.16462798992,2.44778989392,0.21509788464000001,0.034247428559999994,,0.056478215519999986,0.0180249624,1.2647515284000002,0.10033895736,0.060083208,0.11175476688,0.43620409008,0.02463411528,0.07930983456,0.02463411528,0.1081497744,0.05828071176,0.03544909272,0.12737640096,0.05287322303999999,0.0210291228,0.0360499248,0.04145741352,0.007810817039999998,0.01261747368,0.00540748872,0.0012016641599999999,0.2012787468
Jiangsu,0.15131302200000002,0.057931271279999995,0.85081150656,0.42540575328,,0.24555941856,0.07263025056,2.2783417884,0.07003631303999999,0.0259393752,1.3886212190399998,0.11326860504,0.11499789672,0.16082412624000006,1.68519474216,0.031127250239999998,0.10721608416000002,0.02507472936,0.10721608416000002,0.07695347976,0.029397958560000007,0.15823018872000003,0.06311914632,0.03372118776,0.040638354479999986,0.06138985464,0.0129696876,0.016428270959999998,0.009511104240000002,0.00172929168,0.21356752248
