,Hebei,Tianjin,Shandong,Henan,Liaoning,Jiangsu,Shanxi,Guangdong,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Chongqing,Fujian,Hainan,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,3.4394268988799994,0.6403018507199999,0.47743205328,0.36246513744000003,0.26985289968000004,0.26825613695999995,0.25787717928000004,0.23232897575999997,0.22514354352,0.21875649264000002,0.16845846695999994,0.16286979744000002,0.15488598384000002,0.13652321256,0.13093454303999996,0.11736205991999997,0.10059605136,0.09660414456000001,0.07664461055999999,0.06945917832000001,0.06786241559999999,0.06067698336,0.05588669519999999,0.044709356160000005,0.040717449360000005,0.03832230528,0.0239514408,0.0159676272,0.01117733904,0.00319352544,
Tianjin,1.3758860782799998,,0.2491785828,0.08946411768,0.08796304188000001,0.07295228388000001,0.07535400515999999,0.0420301224,0.03722667984,0.04923528624,0.04172990724,0.028220225039999994,0.028220225039999994,0.022516137000000002,0.033924313080000004,0.03692646468000001,0.016812048960000003,0.0270193644,0.01831312476,0.016812048960000003,0.015010758,0.0135096822,0.012008606399999998,0.01531097316,0.00930666996,0.00660473352,0.00480344256,0.004203012240000001,0.00240172128,,0.56350385532
Hebei,,1.4655787293600002,1.09582673472,0.49598693711999997,0.2954434824000001,0.21218213736000005,0.5837246985600001,0.10116701064,0.0626698296,0.2999198988000001,0.11101512672,0.08147077848000002,0.13876890840000006,0.08773776143999999,0.09937644408,0.07162266240000001,0.059088696480000015,0.053716996800000014,0.03670661448,0.03670661448,0.035811331200000004,0.038497181040000016,0.033125481360000014,0.030439631520000007,0.030439631520000007,0.022382082000000005,0.019696232160000004,0.01611509904,0.007162266240000001,0.0017905665600000003,3.3152339858400017
Shanxi,0.5660187271200001,0.07596794304000001,0.16833805559999998,0.4261686501600001,0.028200221280000007,0.09409665672,,0.0446023908,0.041437059840000005,0.22646504232000006,0.048918751200000006,0.052371839520000005,0.53753074848,0.04517790552000001,0.036832942080000014,0.008057206080000002,0.025322647680000004,0.0077694487200000014,0.0201430152,0.01640216952,0.02417161824,0.013812353280000002,0.01496338272,0.02474713296,0.01208580912,0.012661323840000002,0.01812871368,0.0077694487200000014,0.0057551472000000005,0.0008632720800000001,0.26790210216000004
Inner Mongolia,0.33736704768,0.05639419584,0.07785393407999999,0.05040543168,0.33137828352,0.03842790336,0.2083590864,0.02545224768,0.02595131136,,0.02220833376,0.02669990688,0.27972519264,0.01572050592,0.016718633280000002,0.19862734464,0.010979400959999998,0.17167790591999998,0.01072986912,0.00798501888,0.011478464640000002,0.005739232320000001,0.008733614399999999,0.07461002016000001,0.005988764159999999,0.007236423359999998,0.19937594016,0.00648782784,0.0049906368,,0.25352434944
Liaoning,0.3210863619600001,0.09376009524,0.16953551748,0.057071362319999985,,0.09567846036,0.029974455,0.06522441408,0.07697440044,0.28511701596,0.06330604896,0.03572955036,0.03093363756,0.030693841920000006,0.02805608988,0.18560182535999997,0.024698950919999997,0.4124485008,0.01654589916,0.02349997272,0.029255068080000002,0.01366835148,0.01510712532,0.005275504079999999,0.01390814712,0.01270916892,0.00407652588,0.01007141688,0.0016785694800000002,0.0007193869199999999,0.24147420948000003
Jilin,0.06794685324000001,0.033751378080000005,0.07194372696000001,0.018948142080000004,0.4664499663600001,0.04189315788000001,0.008585876880000001,0.03271515156,0.033603345720000004,0.14551580987999999,0.032271054480000005,0.01465520364,0.013322912400000005,0.01317488004,0.013767009480000005,0.29473242876000005,0.010806362280000002,,0.005921294400000001,0.00932603868,0.02042846568,0.006809488560000001,0.007845715080000001,0.00384884136,0.00636539148,0.004589003160000001,0.0014803236000000002,0.0022204854000000005,0.0010362265200000002,0.0002960647200000001,0.09340841916
Heilongjiang,0.08325069192000001,0.0434473308,0.0939022956,0.02396610828,0.23629741848,0.045970079039999986,0.01023114564,0.04568977368,0.035879086080000004,0.16285741416000002,0.033636643199999997,0.01653801624,0.01065160368,0.01513648944,0.01457587872,,0.012333435840000002,0.30146841468,0.00658717596,0.011492519759999998,0.03601923876,0.00602656524,0.008689466160000001,0.0022424428800000003,0.00995084028,0.0042045803999999996,0.00252274824,0.0015416794800000007,0.00042045804,0.00014015268000000002,0.12375481644
Shanghai,0.0662608674,0.041504059799999986,0.185676057,0.2067921576,0.0662608674,2.9875641642,0.0393196356,0.21844242,,0.0189316764,1.6230271805999998,0.1135900584,0.0742704228,0.12596846220000002,0.5839694028,0.029125656,0.091017675,0.025484949,0.06771715019999999,0.1172307654,0.042232201199999986,0.14926898699999994,0.0487854738,0.0211161006,0.0385914942,0.041504059799999986,0.0080095554,0.008737696799999998,0.0058251312,0.0014562828,0.2177142786
Jiangsu,0.18156291264000002,0.07400662200000001,0.9749139004800002,0.48252317544,0.0838741716,,0.07894039679999999,0.24767549496,2.56654965096,0.027629138880000004,1.58472846576,0.13123840968,0.12334437,0.19636423704000006,2.0080463436,0.037496688480000005,0.1184105952,0.028615893839999997,0.08190066168,0.12235761504,0.03256291368,0.17366887296000005,0.06413907240000001,0.038483443439999994,0.043417218240000006,0.06315231744000001,0.012827814479999998,0.0148013244,0.007894039680000001,0.0019735099200000003,0.24668874
