,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Liaoning,Jiangsu,Inner Mongolia,Shanghai,Sichuan,Zhejiang,Shaanxi,Heilongjiang,Anhui,Hubei,Jilin,Hunan,Hainan,Fujian,Chongqing,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,3.29683991616,0.6107874336000001,0.37706414975999997,0.3142201248000001,0.22807438272000005,0.21677658048,0.21395212991999998,0.19629931392,0.17440982208000005,0.15393255552,0.13345528896000006,0.12145137408000002,0.11580247295999999,0.10803523392000003,0.1023863328,0.09603131904000002,0.07979072832,0.07555405248000002,0.06072568704000001,0.05931346176000001,0.056489011200000015,0.05437067328000001,0.05013399744,0.04024842048,0.035305632,0.02753839296,0.02188949184,0.017652816,0.009885576960000005,0.00211833792,
Tianjin,1.38348022032,,0.22598566488,0.07638143184000001,0.05972683392000001,0.02957626872,0.07178706,0.057429648,0.04221079128000001,0.02756623104,0.026704786320000003,0.02900197224,0.0229718592,0.032160602880000014,0.02555619336,0.01923893208,0.022684710960000003,0.01206022608,0.015506004960000003,0.01407026376,0.014644560240000003,0.0086144472,0.008901595440000002,0.0114859296,0.008040150720000002,0.005168668320000001,0.004020075360000001,0.0031586306400000004,0.00172288944,0.00028714824,0.60645708288
Hebei,,1.4614898688000002,0.9794011968,0.4643275104,0.5252229216000001,0.093034656,0.27402935040000004,0.164925072,0.2698005024,0.0532834848,0.0642784896,0.0896515776,0.11417889600000003,0.0583581024,0.08119388159999999,0.07189041600000001,0.0439800192,0.0414427104,0.031293475200000004,0.027064627200000003,0.0346765536,0.0279103968,0.027064627200000003,0.022835779200000003,0.022835779200000003,0.018606931200000003,0.0177611616,0.011840774400000002,0.005920387200000001,0.0008457696000000001,3.3424814592000005
Shanxi,0.5245652664,0.06933029760000002,0.13942526759999999,0.3859046712000001,,0.044350999200000005,0.022430390400000003,0.0836041824,0.21563761680000004,0.03899829240000001,0.04664501640000001,0.038743401600000005,0.45854854920000004,0.0061173792,0.032880913200000014,0.035939602800000005,0.007136942400000001,0.022685281200000004,0.018607028400000003,0.016567902000000002,0.019881482400000004,0.0122347584,0.013254321600000002,0.01911681,0.0091760688,0.009940741200000002,0.0119798676,0.006372270000000001,0.0045880344000000005,0.0005097816000000002,0.2291468292000001
Inner Mongolia,0.29724353892000005,0.048321470160000005,0.06383753856,0.03967680348,0.19439417124,0.02526902568,0.2817274705200001,0.032583743639999996,,0.02127917952,0.022165812000000003,0.020170888920000005,0.25535015424,0.17333664984000002,0.016624359000000002,0.014407777800000004,0.1562689746,0.011304564120000004,0.011969538480000002,0.008201350440000001,0.0088663248,0.0037681880400000007,0.008423008559999999,0.06694075224000001,0.0033248718000000003,0.005541453000000001,0.18951769260000004,0.006649743600000001,0.004211504279999999,,0.22165812000000004
Liaoning,0.29085659496,0.08150021712000001,0.15200437320000001,0.05066812440000001,0.026951130000000004,0.06231101256,,0.08969336064,0.26002450224,0.0636046668,0.032772574080000005,0.05929248600000001,0.028460393280000003,0.1660189608,0.023501385359999998,0.02285455824,0.37602216575999997,0.0204828588,0.03212574696000001,0.02436382152,0.01358336952,0.01250532432,0.0172487232,0.0053902260000000006,0.01099606104,0.010780452,0.0032341356,0.00495900792,0.0010780452,0.0008624361600000001,0.2080627236
Jilin,0.056615355,0.0278414334,0.06327598499999999,0.016651575,0.008658819,0.0322374492,0.4181543514,0.0374327406,0.1406725056,0.0309053232,0.014120535600000001,0.0274417956,0.0094580946,0.26669162519999995,0.010923433199999995,0.011722708799999999,,0.0107902206,0.0222465042,0.0071934804000000005,0.00666063,0.0049288662,0.007593118199999999,0.003330315,0.006927055199999999,0.0035967402000000002,0.0010657008,0.0017317637999999995,0.0003996378,0.0005328504,0.0800607726
Heilongjiang,0.06809225472000001,0.038397888,0.08050757184,0.021630810240000003,0.00947147904,0.04441355712,0.20056496832,0.044669543039999995,0.14220017856,0.033278169600000004,0.01881496512,0.03571003584,0.00972746496,,0.0108794016,0.01164735936,0.2969436672,0.010239436800000001,0.038397888,0.008703521280000001,0.006527640960000001,0.004351760640000001,0.008831514240000001,0.00243186624,0.00806355648,0.00332781696,0.0020478873600000003,0.00102394368,0.0005119718400000001,0.00012799296000000002,0.11583362880000002
Shanghai,0.058164855840000015,0.03387623472,0.16171108272,0.19047392352000006,0.034515408960000014,0.20197905984000009,0.06008237856,2.7458925350400003,0.01981440144,,0.09843283296000002,1.3467401236800003,0.06391742400000001,0.03004118928,0.48513324816,0.10290705264,0.025566969600000003,0.0735050376,0.034515408960000014,0.09204109056,0.06008237856,0.12527815104,0.055608158879999994,0.023010272640000003,0.035154583200000006,0.034515408960000014,0.00767009088,0.01150513632,0.0070309166400000025,0.0025566969600000003,0.15851521152
Jiangsu,0.14191224300000002,0.05101420500000002,0.909907911,0.44892500399999996,0.06399963900000001,0.22260744,0.06770976299999999,,0.023188275000000005,2.497840983,0.108521127,1.42839774,0.10573853400000001,0.032463585,2.123118459,0.16139039400000002,0.026898399,0.09275310000000002,0.028753461,0.10202841000000004,0.07513001100000002,0.14098471199999998,0.05565186,0.033391116000000005,0.038028771,0.052869267000000005,0.009275310000000002,0.012985434000000004,0.010202841000000002,0.001855062,0.191998917
