,Hebei,Tianjin,Shandong,Henan,Shanghai,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Jilin,Fujian,Hainan,Chongqing,Jiangxi,Yunnan,Gansu,Guizhou,Guangxi,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.7019315508400004,0.47938581216000004,0.4107097548,0.302982606,0.25315879967999994,0.25181221031999995,0.24979232628000003,0.22016736036,0.20737476144,0.19390886784000003,0.16428390191999998,0.15687766044,0.13263905195999998,0.11580668496,0.11513339027999998,0.1043606754,0.08618171904,0.07742888819999999,0.07136923608,0.07002264672,0.06867605736,0.058576637159999986,0.054536869080000015,0.04309085952,0.04107097548,0.03972438612,0.01952554572,0.01750566168,0.01077271488,0.0033664734,
Tianjin,1.2095093987999999,,0.2290758084,0.08940206519999999,0.043206469200000014,0.0415760364,0.0741846924,0.06603252840000001,0.0817933788,0.055162976399999994,0.0374999544,0.032608656,0.0260869248,0.035326044000000015,0.0222825816,0.038043432,0.015217372800000004,0.030434745600000007,0.017391283200000003,0.015217372800000004,0.0182064996,0.011141290799999998,0.0103260744,0.011141290799999998,0.007880425199999999,0.0092391192,0.004619559600000001,0.003804343200000001,0.0021739104000000004,0.00027173880000000005,0.4733689896000001
Hebei,,1.33772456448,1.0804031942399999,0.4756546540800001,0.07624336896,0.10223542656,0.21746688191999997,0.59088610944,0.28504623168000004,0.31017188735999995,0.1126322496,0.08837299584000001,0.14035711104000004,0.09617061312,0.0823081824,0.07017855552000002,0.055449722879999996,0.055449722879999996,0.03638888064,0.03985448832,0.04158729216,0.035522478719999986,0.034656076800000005,0.03119046912,0.024259253760000002,0.03119046912,0.021660047999999998,0.01646163648,0.00953042112,0.00259920576,3.14763817536
Shanxi,0.5350847752800001,0.06860767716,0.15484945607999998,0.39869601948,0.04876931268,0.049320378359999986,0.08789497595999997,,0.028930948199999997,0.22483479744000004,0.0468405828,0.055106568,0.4926527179199999,0.037747999080000004,0.0385745976,0.009092583719999998,0.02286922572,0.007990452359999999,0.02011389732,0.0234202914,0.02700221832,0.012950043479999998,0.014878773359999998,0.02369582424,0.01047024792,0.013776642,0.015705371879999996,0.01019471508,0.00606172248,0.0013776642,0.2628583293599999
Inner Mongolia,0.3206707509599999,0.05391600732,0.07840187963999999,0.047323657079999984,0.020483373959999995,0.023544108,0.033432633359999984,0.19494521424,0.2891216462399999,,0.0188352864,0.02660484204,0.27452429927999994,0.013420141559999996,0.015539111279999997,0.19612241964,0.009653084279999998,0.16104169872000001,0.010594848600000002,0.014597346959999997,0.011536612919999998,0.00541514484,0.00871131996,0.06898423644,0.005886026999999999,0.00447338052,0.18623389428,0.005886026999999999,0.0049442626799999995,0.00023544108,0.24509416428
Liaoning,0.314328924,0.095729688,0.182823966,0.056993706,0.08388684,0.069576732,0.10979307,0.031334202,,0.284475078,0.068096376,0.038489256,0.03454164,0.027633312000000004,0.02837349,0.210457278,0.020724984,0.393774696,0.03207438,0.033308010000000006,0.018997902,0.016777368,0.019491354,0.006908328000000001,0.012583026,0.016777368,0.0029607120000000003,0.005181246,0.0014803560000000002,0.0007401780000000001,0.24450546600000006
Jilin,0.07171327872000001,0.034765666560000005,0.08262300671999999,0.0189101952,0.034765666560000005,0.0349111296,0.04058418816,0.009018708479999998,0.42795226368,0.14997239424,0.03171094272,0.01571000832,0.01221889536,0.01105519104,0.013237136640000001,0.28627126272,0.01207343232,,0.0080004672,0.02080121472,0.00916417152,0.00625491072,0.0101824128,0.0029092608,0.00378203904,0.007709541119999998,0.0011637043199999998,0.00247287168,0.00043638911999999987,0.00029092607999999995,0.09105986304
Heilongjiang,0.08505925344000001,0.04486802544,0.1088816904,0.024407036639999997,0.047937173759999986,0.0445757256,0.048814073279999995,0.00920744496,0.22536317664,0.18034900127999998,0.03653748,0.019876389119999997,0.012568893119999999,0.01417654224,0.014761141919999998,,0.012568893119999999,0.30749943168,0.010668944159999999,0.036099030239999996,0.007453645920000002,0.006576746400000001,0.010668944159999999,0.00277684848,0.00277684848,0.008915145119999999,0.00277684848,0.0021922488,0.00116919936,0.0010230494400000002,0.1286119296
Shanghai,0.059130323999999984,0.037113714,0.180536202,0.193746168,,0.24469889399999997,2.470263642,0.03585562199999999,0.061646508,0.017613288,1.33043229,0.11322828,0.064791738,0.491284926,0.11511541800000001,0.029565161999999992,0.07988884199999999,0.024532794,0.110712096,0.036484668,0.07108219799999999,0.14027725800000002,0.05472700199999999,0.019500426,0.039000852,0.03774276,0.007548551999999998,0.008806644,0.005032368,0.001258092,0.19500426
Jiangsu,0.16405181100000002,0.06749560224,0.95337538164,0.45840763188,2.3951564406,0.26998240896,,0.07405767467999999,0.08061974712,0.03093548436,1.5308377563599995,0.14717791044,0.12467937636,1.77363443664,0.19030010076,0.034685240039999995,0.1124926704,0.02906060652,0.12561681528,0.03656011788,0.09468133092,0.17248876128,0.07124535792,0.037497556800000005,0.06655816331999999,0.046871946,0.013124144879999999,0.0140615838,0.009374389200000001,0.00281231676,0.23060997431999997
Zhejiang,0.09460752696,0.03628781856,0.20541497292,0.3337183314,1.1942580286799998,0.30326248368000003,1.3394093029200005,0.0388798056,0.05443172784,0.01879190604,,0.16199919000000002,0.06933565332000001,0.6940045299600001,0.19180704096,0.028511857440000007,0.1717191414,0.02138389308,0.35056624715999996,0.04017579912,0.09849550752,0.47498162508,0.10108749456,0.02721586392,0.18856705716,0.06285568572000001,0.0097199514,0.0097199514,0.005831970840000001,0.00129599352,0.13802330988
Anhui,0.0785430756,0.02939031216,0.22397444784,0.51990448752,0.49507474103999993,0.13985734752,1.9007424295200002,0.031417230239999996,0.022802828400000003,0.010641319920000001,0.76972214088,0.04965949296,0.054220058640000006,,0.16367363495999998,0.0101345904,0.0608075424,0.00912113136,0.06942194423999999,0.0177355332,0.03445760736,0.15809961024000002,0.02584320552,0.012668238,0.022296098880000004,0.02482974648,0.00608075424,0.0050672952,0.00304037712,0.00152018856,0.10945357632
Fujian,0.02794042188,0.01554579864,0.05251959,0.07163672076000001,0.11932450847999998,0.43255134324,0.12163537044,0.016386112079999997,0.01974736584,0.008193056039999999,0.33738584615999995,0.06995609387999999,0.02794042188,0.06260335128,0.06911578043999997,0.009873682919999998,0.0693258588,0.005882194079999999,,0.022058227799999996,0.05020872804,0.25188395364,0.03844433988,0.0115543098,0.06449405651999998,0.04747770935999999,0.0031511754,0.00336125376,0.0025209403199999997,0.00084031344,0.06092272439999999
Jiangxi,0.02639309508,0.0093308922,0.04585467024,0.06158388852000001,0.13569783228,0.5982434884800001,0.13809720456,0.009064295279999999,0.01119707064,0.00479874456,0.45134858556,0.034924196520000006,0.02319393204,0.1359644292,0.1826188902,0.00559853532,0.32978039004,0.0034657599600000006,0.23833764648000003,0.019461575159999998,0.0253267074,,0.026659692,0.00773131068,0.0306586458,0.04505487948,0.0018661784400000004,0.00159958152,0.00159958152,0.0005331938400000001,0.05518556244
Shandong,0.94058259156,0.24254381447999995,,0.7636068417599999,0.24602530464,0.15782755392,1.0560520152,0.15550656048,0.16711152767999998,0.07427179008,0.28838343492,0.1044447048,0.13171637772,0.27039573576,0.10850644332,0.08297551548,0.072531045,0.053382849119999985,0.07137054828,0.033654404879999995,0.05570384255999999,0.06440756796,0.04816061388,0.03017291472,0.03017291472,0.0464198688,0.01624695408,0.01624695408,0.01044447048,0.0017407450799999994,0.4525937208
Henan,0.4347105537600001,0.08670776544000001,0.72881392032,,0.23434531200000006,0.3468310617600001,0.5266910887200001,0.4095184327200001,0.051555968640000005,0.04452560928,0.4452560928,0.11834438255999999,0.33628552272,0.5624287488,0.4634178544800001,0.0205052148,0.12713233176000002,0.0175758984,0.09256639824,0.048626652240000005,0.05975805456000001,0.08084913264,0.05038424208,0.0556570116,0.039838703040000006,0.049798378800000015,0.019919351520000003,0.031636617119999995,0.0175758984,0.006444496080000001,0.33980070240000004
Hubei,0.06791127804,0.021396704040000002,0.085276719,0.38452047840000003,0.11535614352,0.40126572504,0.18357751872000003,0.033490493280000005,0.023567384159999996,0.010853400599999998,0.201563154,0.09737050824,0.11225517192,0.15566877431999998,,0.008372623320000001,0.4161503887199999,0.0068221375199999995,0.0759738042,0.03038952168,0.18636839316,0.20342373696,0.037831853519999986,0.01891592676,0.03938233932,0.0511660314,0.005891846039999999,0.00651204036,0.00496155456,0.00186058296,0.1069835202
Hunan,0.03787464096,0.0122741892,0.049447447920000005,0.10029766032,0.08486725104000001,1.1835825300000002,0.10380457152,0.01683317376,0.017534556000000003,0.008065895759999999,0.16938381096000002,0.07083960623999999,0.0403294788,0.055759888080000014,0.39522889224,0.0105207336,,0.007715204640000002,0.07645066416,0.04068016992,0.0894262356,0.31807684584,0.06277371048,0.012975571440000002,0.20094601176,0.23987272608,0.0035069111999999998,0.00455898456,0.00385760232,0.0014027644800000002,0.08100964872000001
Guangdong,0.08345414447999999,0.03741047856,0.11654802936000005,0.26690937588,0.22590173592000004,,0.26115391764,0.04100763996,0.05467685328,0.01942467156,0.30144212532000003,0.32086679688,0.10719540972000001,0.12733951355999998,0.35396068176,0.03669104628,1.0633209098399998,0.02302183296,0.4215873160800001,0.19424671560000006,0.17626090860000002,0.58705674048,0.18633296052,0.02805785892,0.24172924608000002,1.4439005859600003,0.00935261964,0.01294978104,0.0071943228000000015,0.0035971614000000008,0.21511025172000006
Guangxi,0.0268353,0.008855648999999998,0.035690949,0.036764361,0.039447890999999985,1.5269285699999997,0.045888363,0.010197413999999998,0.01341765,0.004293648,0.054744012,0.061452837,0.017174592,0.020394828,0.04508330399999999,0.007245530999999999,0.231588639,0.004830353999999999,0.039984597000000004,0.04508330399999999,0.035959302,0.04293648,0.11243990699999999,0.006977177999999999,0.16208521199999998,,0.001341765,0.001341765,0.0016101179999999998,0.001073412,0.035690949
Hainan,0.021053092320000005,0.012955749120000002,0.02316544272,0.030206610720000006,0.03210772608,0.17025544224000005,0.027953436960000005,0.012814925760000002,0.014786452800000002,0.006477874560000001,0.026263556640000005,0.03936012912,0.016546744800000002,0.013589454240000002,0.020348975520000003,0.01556098128,0.031685256,0.007252403040000002,0.016687568160000003,,0.02337667776,0.01471604112,0.013589454240000002,0.004717582560000001,0.014152747680000001,0.04302153648,0.0030277022400000005,0.0024644088,0.0012674102400000002,,0.04309194816000001
Chongqing,0.03236997168,0.016468932959999998,0.040604438160000006,0.055085741279999996,0.06559178472,0.17547932015999998,0.08064098207999999,0.02072813976,0.013345514639999998,0.009086307840000002,0.08631992447999999,1.16105977368,0.07098678000000001,0.03236997168,0.19904693112,0.005394995279999999,0.09654202080000003,0.004543153920000001,0.045147592080000014,0.031234183200000005,,0.025555240800000004,0.10477648728,0.018172615680000004,0.31347762048,0.042592068,0.00596288952,0.008234466479999999,0.005394995279999999,0.009086307840000002,0.05906100096
Sichuan,0.06282526536000001,0.02454762024,0.07031436983999999,0.10359927864,0.10443140135999998,0.30122842464,0.12107385576,0.03869370648,0.031620663359999995,0.017474577119999998,0.12648265343999998,,0.26003835,0.044518565520000004,0.09444592872000002,0.014146086240000001,0.07447498343999999,0.00956941128,0.0665698176,0.06407344944,1.1811982010399995,0.034117031519999994,0.5055145524,0.10651170816,0.33950606976,0.07946771975999999,0.01289790216,0.03245278608,0.036613399680000006,0.05991283583999999,0.13438781928
Guizhou,0.0154897596,0.0046469278799999994,0.02013668748,0.033192342,0.04049465724,0.25248308148000004,0.05620569912000001,0.00752359752,0.0070810329600000015,0.00376179876,0.1748130012,0.28943722224,0.02345592168,0.01814514696,0.037839269880000005,0.0026553873600000002,0.20999688372000003,0.0026553873600000002,0.06240160296,0.023677203960000004,0.29828851344,0.03562644708,0.36754986708,0.005753339279999999,,0.17658325944000006,0.0022128228,0.0017702582400000004,0.0017702582400000004,0.0008851291200000002,0.0320859306
Yunnan,0.0211717152,0.008821548,0.026464644,0.035991915840000006,0.048518514000000006,0.16655082624,0.04657777344,0.00829225512,0.010938719520000001,0.006880807440000001,0.07815891528,0.43807807368,0.029287539360000003,0.018701681759999998,0.03369831336,0.00564579072,0.0582222168,0.004587204960000001,0.030875418000000005,0.017995957920000003,0.08786261808000001,0.02593535112,,0.0067043764799999996,0.3505683175200001,0.1358518392,0.0024700334400000004,0.00423434304,0.0024700334400000004,0.00811582416,0.04163770656
Tibet,0.002130948,0.0008097602399999999,0.00228011436,0.007479627479999998,0.00168344892,0.00562570272,0.00377177796,0.0008736886799999997,0.0007032128399999999,0.0007032128399999999,0.0019604721600000002,0.08734755852,0.008779505759999999,0.0016408299599999993,0.00232273332,0.0003196422,0.00219487644,0.00040488012,0.00115071192,0.00040488012,0.015790324680000002,0.0008310697200000001,0.011911999319999998,0.006989509439999998,0.00183261528,0.0017047583999999995,0.0007671412799999999,0.0013211877599999995,0.035458974719999994,,0.0035799926399999993
Shaanxi,0.100109196,0.021235284,0.0943453332,0.297293976,0.07978399559999999,0.1186142292,0.1283217876,0.40832417520000003,0.0266957856,0.2572502976,0.07614366119999999,0.25269987959999995,,0.05126804279999999,0.1119402828,0.0118310868,0.043987374,0.0081907524,0.028212591600000003,0.0266957856,0.0673461864,0.0215386452,0.033066370799999995,0.3643368012,0.030942842400000004,0.0233588124,0.1343890116,0.028819314,0.03458317679999999,0.0048537792,0.14318648639999998
Gansu,0.027704177280000002,0.011340051840000002,0.025694547839999998,0.05067137088,0.025694547839999998,0.036891054720000004,0.04105385856,0.018230209919999997,0.006315978240000001,0.06359041727999999,0.030718621440000007,0.11096025408,0.40321779263999996,0.014210951040000001,0.01909147968,0.00244026432,0.01062232704,0.0021531744,0.015502855680000004,0.011196506880000002,0.021962378880000005,0.00746433792,0.0086126976,,0.01047878208,0.009330422400000002,0.16378479935999998,0.05971470336,0.17699093568000002,0.00588534336,0.04134094848
Qinghai,0.00701790804,0.00151366644,0.008623311839999998,0.01894376484,0.00692617068,0.011788250759999995,0.01110022056,0.00426578724,0.0011925856799999998,0.00426578724,0.008210493719999998,0.045226518479999984,0.038392085159999985,0.0066509585999999996,0.004495130639999999,0.00041281811999999986,0.00371536308,0.0005504241599999999,0.00371536308,0.00380710044,0.004724474039999999,0.0013760603999999998,0.00316493892,0.19269432468,0.00151366644,0.00123845436,0.01155890736,0.01807225992,,0.021695885640000002,0.0110084832
Ningxia,0.017438107680000002,0.00351692928,0.013481562239999998,0.023666003280000004,0.011283481440000001,0.01582618176,0.01699849152,0.01260232992,0.0032971212,0.16397682768,0.013041946079999998,0.017218299599999997,0.13825928231999998,0.006740781119999999,0.0065942424,0.0023446195199999997,0.00637443432,0.00095250168,0.0065942424,0.0065942424,0.007766552159999999,0.0025644275999999995,0.00381000672,0.18339320807999998,0.00454270032,0.0029307744,,0.0058615488,0.011283481440000001,0.00051288552,0.021980808
Xinjiang,0.0173941992,0.004376604960000001,0.01947028104,0.050106515759999984,0.015766999919999997,0.01385924904,0.0173941992,0.008248217039999999,0.005386590719999999,0.012624821999999996,0.01200760848,0.07266286439999999,0.04230718127999999,0.009202092479999995,0.0076310035200000004,0.00286162632,0.009819306,0.00213219216,0.0044888256,0.007743224159999998,0.01885306752,0.00201997152,0.00572325264,0.12142273248,0.0034788398399999997,0.00274940568,0.01032429888,,0.03512506032,0.0017394199199999994,0.02311745184
Taiwan,9.68274e-05,,6.440148e-05,6.440148e-05,0.00113355612,0.00016167923999999998,0.00035623476000000003,,6.440148e-05,,0.00032380884000000003,3.197556e-05,3.197556e-05,,0.00012925332,,3.197556e-05,,0.0014253894,,,,,,6.440148e-05,6.440148e-05,,3.197556e-05,,,0.00019410516
Hong Kong,,,0.00012798,,0.0004837644,0.0239092236,3.07152e-05,,,3.07152e-05,3.07152e-05,,3.07152e-05,,,,,,0.0002892348,0.00012798,,3.07152e-05,,,,0.0001612548,,,,,3.07152e-05
Macau,0.0007309083599999999,0.00037533132000000004,0.00067164552,0.001975428,0.00270633636,0.16982754515999998,0.00278535348,0.00063213696,0.0005728741200000001,0.00021729707999999998,0.00233100504,0.00102722256,0.00027655992,0.0008296797599999999,0.0020346908399999997,0.00015803424,0.0018766566,0.00011852568,0.00199518228,0.00061238268,0.00047410272,0.00092845116,0.0005136112799999999,7.901712e-05,0.00047410272,0.001481571,1.975428e-05,,,,0.00144206244
