,Hebei,Tianjin,Shandong,Henan,Shanghai,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Sichuan,Zhejiang,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Hainan,Chongqing,Fujian,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.6124196140000002,0.46314006983999995,0.37670445792,0.29220397164,0.26188700328000003,0.23286011868,0.23027995116,0.21995928108,0.19609273152,0.18448197768,0.15222988367999998,0.15158484179999998,0.13481375291999995,0.1064319102,0.09869140764,0.09611124012,0.07869510935999999,0.07611494183999999,0.06966452304,0.06643931364,0.06514922987999999,0.05547360168,0.052248392280000014,0.04063763844,0.03805747092,0.036767387159999984,0.020641340159999997,0.016126046999999998,0.010320670079999998,0.0032252094,
Tianjin,1.1606803858799999,,0.20727352764000004,0.0783375786,0.04623201360000001,0.03955405608,0.07345753272000001,0.05676263892000001,0.0783375786,0.04289303484,0.02928027528,0.035187699239999995,0.025941296519999997,0.02234547324,0.028766586240000006,0.034160321160000014,0.01489698216,0.025941296519999997,0.01592436024,0.015410671200000003,0.01592436024,0.00924640272,0.008732713680000002,0.00924640272,0.008989558199999999,0.0048800458799999995,0.0041095123200000005,0.0035958232800000008,0.0017979116400000004,0.0005136890400000001,0.46540227023999997
Hebei,,1.270677618,1.00282684392,0.4421151331200001,0.07503048792000001,0.0927796356,0.18797960952,0.5397354453600001,0.25897620024,0.26301009744000003,0.07018981128,0.09923387112,0.12585759264000002,0.07341692904000001,0.080677944,0.058088119679999994,0.048406766399999995,0.052440663600000006,0.041145751439999996,0.031464398160000004,0.036305074799999996,0.030657618719999998,0.030657618719999998,0.026623721519999997,0.022589824320000004,0.01855592712,0.015328809359999999,0.01290847104,0.0080677944,0.00161355888,3.0359110327200005
Shanxi,0.4847213826000001,0.06488396460000001,0.13943691216000004,0.3702202686000001,0.055469428560000006,0.04351042332000001,0.08294969592000001,,0.023918010479999998,0.21119094360000004,0.050380490160000006,0.04172929488,0.4760701873200001,0.035622568800000004,0.031551418080000004,0.008142301440000001,0.02188243512,0.006615619920000001,0.02315466972000001,0.02010130668000001,0.016539049800000004,0.009923429880000004,0.01450347444,0.013231239840000002,0.019083519000000004,0.00916008912,0.013994580600000004,0.007633407600000002,0.0045800445600000005,0.00076334076,0.2394345517200001
Inner Mongolia,0.28883949084000005,0.04759657524,0.06172341264,0.04085916047999999,0.02629765116,0.0239069556,0.032600394,0.18386622215999998,0.27232195788,,0.024993635400000002,0.021733596,0.24493762692,0.01369216548,0.01282282164,0.17821548719999994,0.009780118200000002,0.15104849220000002,0.0119534778,0.00804143052,0.010649462040000002,0.004564055159999999,0.008476102440000001,0.00369471132,0.06563545992,0.004998727079999999,0.18017151084,0.006954750720000001,0.00478139112,0.00021733596,0.2249427186
Liaoning,0.2624394168,0.07461087552,0.1539933768,0.0520540992,0.08610615576,0.0618142428,0.08827507656,0.02711151,,0.25636643855999997,0.03622097736,0.05986221408,0.02732840208,0.02212299216,0.02581015752,0.17828528976000002,0.01995407136,0.368716536,0.03101556744,0.01431487728,0.02646083376,0.01214595648,0.017351366400000002,0.015399337679999996,0.0078081148800000005,0.010410819839999998,0.0028195970399999995,0.00368716536,0.0017351366399999998,0.0006506762399999999,0.2201454612
Jilin,0.05794340183999999,0.029440065600000006,0.06503578128000001,0.017931676320000003,0.041082273360000005,0.03385607544,0.03853972224,0.0093672936,0.4201900272,0.13502284632,0.01565676216,0.027700425360000003,0.00923347512,0.01217748168,0.01124075232,0.24448636296,0.0080291088,,0.022080049200000004,0.00789529032,0.010036386,0.0053527392000000005,0.006958560959999999,0.006021831600000001,0.00227491416,0.00281018808,0.0016058217600000001,0.00294400656,0.0006690924000000001,0.00013381848000000002,0.090327474
Heilongjiang,0.06960749256,0.04006090872,0.08517934079999999,0.017568239040000003,0.04285585584,0.039129259679999986,0.043255134,0.008384841359999999,0.2255921604,0.16144146935999998,0.015438755519999996,0.029945862,0.01437401376,0.01357545744,0.0119783448,,0.012510715679999998,0.30092263992,0.03274080912,0.006388450559999999,0.011179788479999998,0.00372659616,0.007985563199999999,0.008251748639999999,0.00306113256,0.0034604107199999994,0.0013309271999999998,0.00212948352,0.0013309271999999998,0.00053237088,0.11485901736
Shanghai,0.05664708432,0.03445544304,0.17110923408,0.1664373096,,0.23710016736,2.32661839104,0.032703471360000014,0.05723107488,0.015183754559999997,0.10395031968,1.2082764686399998,0.06073501824,0.10336632912,0.44558479728,0.026863565760000003,0.07241482944,0.025111594080000004,0.03971135808,0.06073501824,0.10979022528,0.1255579704,0.05022318816000001,0.04263131088,0.016935726239999997,0.03328746192,0.00642389616,0.008175867840000002,0.00467192448,0.00058399056,0.1839570264
Jiangsu,0.15153698699999998,0.06234664607999999,0.8780485989600001,0.40785097644,2.30422812804,0.24938658431999997,,0.06667627427999999,0.07360367940000001,0.025111843560000003,0.12729106907999999,1.3664306599200002,0.11516811012,0.16798957416000002,1.6599794518800002,0.031173323039999996,0.0995814486,0.026843694839999998,0.03203924868,0.0692740512,0.11430218447999999,0.15500068956,0.0606147948,0.0519555384,0.03636887688,0.05974886916,0.01125703332,0.01385481024,0.007793330759999999,0.00259777692,0.21474955871999998
