,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Liaoning,Guangdong,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Sichuan,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Hainan,Fujian,Chongqing,Jiangxi,Yunnan,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,5.641030592999999,1.1541170725199998,0.5797575939599999,0.41133639348000006,0.30553333164,0.27422426232,0.27206501616,0.2321189622,0.22456160064,0.20404876212,0.15978421584,0.15222685428,0.14035100039999998,0.13171401576,0.12307703112,0.10904193107999999,0.1025641926,0.08205135408,0.07773286176,0.06909587712000001,0.06909587712000001,0.055060777080000005,0.055060777080000005,0.0377868078,0.03346831548,0.03346831548,0.01943321544,0.01403510004,0.00971660772,0.0021592461600000003,
Tianjin,1.6176860697600002,,0.27895741632,0.08976022127999998,0.07340984639999999,0.07541193312000001,0.08475500447999999,0.03537019872,0.041710140000000014,0.037372285440000014,0.036037560960000006,0.02469240288,0.025693446239999997,0.02369135952,0.02969761968,0.03470283648,0.01601669376,0.027028170720000005,0.01635037488,0.017017737119999998,0.015349331519999997,0.009343071360000002,0.0100104336,0.009343071360000002,0.0076746657599999985,0.00533889792,0.003670492320000001,0.0030031300800000002,0.0016684056000000002,,0.68004212256
Hebei,,1.5415674278400002,1.0743486969600002,0.49604892479999996,0.5486216313600001,0.18739626048,0.29254167360000005,0.09242620992000003,0.26371147968,0.06529190976000003,0.10090567872000002,0.12803997888000002,0.06868369728000003,0.07631521920000002,0.08649058176000002,0.052572706560000015,0.05172475968,0.047485025280000016,0.04324529088000001,0.031374034560000014,0.028830193920000007,0.030526087680000005,0.02798224704,0.021198672,0.02543840640000001,0.01865483136,0.015263043840000002,0.011023309440000002,0.007631521920000001,0.0008479468800000003,3.0271703616000005
Shanxi,0.568227312,0.0777134412,0.15431271119999998,0.44316159479999995,,0.0757636416,0.023676138000000003,0.0467951904,0.2197702692,0.0415028772,0.0428955912,0.519482322,0.052923132000000005,0.0367676496,0.0381603636,0.0080777412,0.0256259376,0.0058493988,0.023676138000000003,0.016991110799999997,0.0214477956,0.0122558832,0.0136485972,0.018105282,0.010863169200000002,0.011141712,0.011420254799999998,0.0058493988,0.0044566848,0.0008356284,0.2487387204
Inner Mongolia,0.30569810832,0.04623803676,0.06085213127999999,0.04384228356000001,0.21897184248000004,0.03018649032,0.32390583264,0.02252008008,,0.02204092944,0.02252008008,0.28221972696,0.02803031244,0.01461409452,0.01269749196,0.19501431048,0.00982258812,0.16770272400000005,0.013176642600000002,0.01030173876,0.009103862159999998,0.0047915064,0.008385136199999999,0.0766641024,0.004551931079999999,0.0047915064,0.21969056844,0.0047915064,0.003593629800000001,0.00023957532000000006,0.22472165016000006
Liaoning,0.32023919592000005,0.08967624372000002,0.16915673879999998,0.053295958800000015,0.025025928480000004,0.09546928272000002,,0.06696753084000001,0.26184536280000004,0.07530950700000001,0.06325998588000001,0.02340387756,0.03614856336000001,0.027343144080000003,0.028038308760000002,0.18074281680000004,0.025257650040000003,0.4071347809200001,0.029660359680000005,0.02433076380000001,0.012976407360000004,0.012281242680000002,0.016452230760000002,0.005097874320000001,0.01320812892,0.012281242680000002,0.0020854940399999996,0.003939266520000001,0.0016220509200000005,0.00023172156000000004,0.22940434440000004
Jilin,0.07089818867999999,0.03537508788,0.06971408532000001,0.0199817442,0.00917680104,0.04085156592,0.48503833883999997,0.034190984519999995,0.14475663576,0.0340429716,0.02827046772,0.0096208398,0.013913214479999995,0.011841033600000002,0.011100969,0.29247352992000003,0.01228507236,,0.02264597676,0.01139699484,0.00562449096,0.005920516800000001,0.007400645999999999,0.0029602584000000005,0.00636455556,0.0025162196399999997,0.00103609044,0.00192416796,0.0007400646000000001,0.00029602584,0.08540345483999999
Heilongjiang,0.08388092700000001,0.0411518394,0.1033814502,0.0184968198,0.010037033999999998,0.044306335799999985,0.2378777058,0.044306335799999985,0.1633168818,0.0381407292,0.0325486674,0.0154857096,0.017493116399999998,0.0127613718,0.0123312132,,0.014195233799999997,0.3471379902,0.035416391400000004,0.0101804202,0.0061656066,0.0054486756,0.009463489200000001,0.002150793,0.0068825376,0.0034412688,0.0011470896,0.0011470896,0.0014338620000000002,,0.1115544636
Shanghai,0.06331246416,0.05084182728,0.22830858288,0.20912298768,0.04220830944,4.450098806640001,0.0767423808,0.23598282096,0.0191855952,,2.18907641232,0.07866094031999997,0.11127645215999997,0.12758420808,0.7012335045599999,0.03645263088,0.09784653552000001,0.02590055352,0.04220830944,0.13333988664000002,0.06523102368,0.16883323776,0.05851606535999999,0.0191855952,0.04220830944,0.041249029679999986,0.0095927976,0.008633517839999999,0.005755678559999999,0.00095927976,0.23214570192
Jiangsu,0.14914826784000002,0.06570867744000003,1.02526396704,0.4714336857600001,0.06883766208000001,,0.07405263647999999,0.24614679168000006,0.02398888224,2.5209186249600006,1.7532743932800003,0.12724537536000002,0.11785842144,0.18773907840000006,2.5490794867200006,0.029203856640000005,0.12515938560000006,0.025031877119999997,0.03233284128,0.11577243168000002,0.07509563136000001,0.16583618592000005,0.05527872864000001,0.031289846400000015,0.054235733760000016,0.057364718400000014,0.00938695392,0.011472943680000002,0.00938695392,0.0020859897600000003,0.2294588736000001
