,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Shanghai,Zhejiang,Sichuan,Shaanxi,Hubei,Heilongjiang,Anhui,Hunan,Hainan,Jilin,Fujian,Jiangxi,Yunnan,Chongqing,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.7530845444800005,0.49628435616000005,0.31399981776,0.25343430984000004,0.19228078728000006,0.17581637736000005,0.17346431880000004,0.15347182104,0.15170777712000005,0.12348307440000005,0.10819469376000003,0.10819469376000003,0.09055425456000002,0.08761418136000003,0.07996999104000002,0.07879396176000003,0.07526587392000003,0.06526962504000001,0.06115352256000001,0.054097346880000015,0.04586514192000001,0.04586514192000001,0.044689112640000014,0.03410484912,0.031164775920000005,0.028812717360000007,0.015288380640000003,0.013524336720000002,0.009408234240000002,0.0041161024800000015,
Tianjin,1.11925203192,,0.183348198,0.06647850792,0.028389398399999998,0.05015460384,0.056542218479999996,0.0461327724,0.037615952880000005,0.02886255504,0.026969928480000002,0.02294809704,0.01868968728,0.017506795680000003,0.026969928480000002,0.023184675359999997,0.01585074744,0.01443127752,0.01845310896,0.01585074744,0.007807084559999999,0.009936289440000001,0.011828916,0.0082802412,0.009699711120000001,0.0049681447200000005,0.00449498808,0.00260236152,0.0016560482400000006,0.00023657832000000006,0.4819100378400001
Hebei,,1.1554590222000003,0.8049494070000001,0.36817095240000003,0.08966525040000001,0.40417290899999997,0.2180495862,0.1406114154,0.20989819980000002,0.0516254472,0.0821931462,0.06181468020000001,0.08830668600000001,0.057059704800000006,0.047549753999999986,0.06792822,0.043474060800000006,0.038039803200000014,0.0414362142,0.028529852400000003,0.026492005800000003,0.0251334414,0.03396411,0.0258127236,0.020378466,0.016982055,0.013585644,0.0122270796,0.0061135398,0.0013585644000000002,2.601650826
Shanxi,0.4044923568000001,0.058594687199999995,0.1182394584,0.32006560320000005,0.0438935112,,0.0184814784,0.0753960312,0.17095367520000002,0.033182654400000004,0.038223057600000006,0.0426334104,0.35954876160000004,0.030452436,0.0060904872,0.0268821504,0.0205816464,0.0205816464,0.0050404032,0.015331226399999998,0.01050084,0.014701175999999996,0.0193215456,0.010710856800000002,0.0151212096,0.0090307224,0.0100808064,0.005880470400000001,0.004200336,0.0008400672000000001,0.18733498559999998
Inner Mongolia,0.23621353488,0.04226782176,0.05517259920000001,0.03703110048,0.023004168480000003,0.15953297328,0.23714866368,0.026931709440000003,,0.02132093664,0.01926365328,0.023004168480000003,0.21246126335999999,0.014400983520000002,0.14849845344,0.01253072592,0.01159559712,0.013839906240000002,0.13353639264,0.008229133440000001,0.00542374704,0.00879021072,0.009351288,0.00448861824,0.05760393408000001,0.005984824320000001,0.15092978832000006,0.0056107728,0.0031794379200000005,0.00018702576000000006,0.17991878112
Liaoning,0.21838744368000002,0.06348472200000001,0.12551836464000002,0.044439305400000004,0.059131483919999984,0.02140342056,,0.06892626959999999,0.2094995826,0.05858732916,0.05096916252000001,0.02865881736,0.02503111896,0.02321726976,0.14710317012,0.02049649596,0.022673115,0.031379591160000005,0.31397729651999995,0.02249173008,0.0108830952,0.018138492,0.012152789640000002,0.01305971424,0.004716007919999999,0.01160863488,0.0030835436400000003,0.00417185316,0.0018138492,0.0012696944400000002,0.17431090811999994
Jilin,0.05198078448,0.0251889264,0.06079690872,0.0160293168,0.031486158,0.00847263888,0.34245490391999994,0.03366156528,0.11300668344,0.0274788288,0.02553241176,0.011335016879999998,0.0103045608,0.012365472959999999,0.2141058744,0.00984658032,0.015685831440000002,0.02095260696,,0.00927410472,0.00561026088,0.008587134,0.006182736479999999,0.006526221839999999,0.00194641704,0.00297687312,0.0011449512,0.0014884365599999998,0.00034348535999999995,0.00022899023999999998,0.06823909152
Heilongjiang,0.06393347496,0.03402910764,0.08513005715999998,0.01867590756,0.0418202838,0.010082698559999999,0.17163502776,0.03712266288,0.12752322155999998,0.0326541942,0.02898775836,0.015582352319999998,0.01180134036,0.0126033732,,0.01111388364,0.013519982160000001,0.030935552400000003,0.25057797444,0.00939524184,0.004697620919999999,0.008707785119999999,0.006530838839999999,0.00813490452,0.0020623701600000002,0.004353892559999999,0.0017186418,0.0017186418,0.0005728806,0.00022915223999999998,0.09819173484
Shanghai,0.04965400440000001,0.032738904,0.1615119264,0.1587836844,0.1844291592,0.0414692784,0.0611126208,2.2518909468,0.019097694,,1.124035704,0.0829385568,0.06329521440000001,0.0943971732,0.0305563104,0.3923211996,0.07529947919999999,0.0343758492,0.025645474799999998,0.08566679880000001,0.1102209768,0.0501996528,0.052382246399999985,0.032738904,0.0185520456,0.0360127944,0.0076390776,0.0098216712,0.0049108356,0.0016369451999999993,0.15059895839999998
Jiangsu,0.114999264,0.04523304384,0.7628284511999999,0.34269780671999994,0.20009871936,0.058266293760000004,0.059799617279999995,,0.02223319104,2.04468691392,1.17375915456,0.09506605824,0.09736604352,0.13569913152000002,0.0306664704,1.7035224307199996,0.09659938176,0.0306664704,0.02223319104,0.08969942591999998,0.12113255808,0.04906635264,0.05366632319999999,0.035266440960000006,0.029133146880000002,0.04829969088,0.00996660288,0.010733264640000002,0.00843327936,0.0022999852800000002,0.15946564608
Zhejiang,0.06740988803999999,0.026008539480000002,0.16295146164000002,0.25000045091999995,0.22929977664,0.033970337280000006,0.0424629216,1.17144584964,0.014862022560000004,1.07537348952,,0.1088112366,0.05997887676,0.14384314692,0.02282382036,0.59872719456,0.13747370868,0.0318471912,0.01804674168,0.26910876563999997,0.38694337308,0.07271775324,0.062102022839999986,0.042993708120000015,0.01963910124,0.12579640524000002,0.00690022476,0.007431011280000002,0.00477707868,0.0010615730400000002,0.10297258488
Anhui,0.056273259600000014,0.021675625919999997,0.16715242296,0.4443503313600001,0.10504341792,0.02250930384,0.0166735584,1.69611772824,0.007919940240000001,0.3626498952,0.60691752576,0.03709866744,0.036681828480000005,0.1396410516,0.007919940240000001,,0.05752377648,0.01625671944,0.0062525843999999995,0.052938547919999995,0.12713588280000002,0.018757753200000005,0.025010337599999998,0.015839880480000002,0.00917045712,0.015423041520000003,0.00375155064,0.0041683896,0.002917872720000001,0.0008336779200000001,0.07711520760000001
Fujian,0.026455740480000003,0.01136240136,0.04341454848,0.06444347040000001,0.33290140104000004,0.015093339119999999,0.01797633648,0.08971209432,0.008140227840000002,0.09174715128,0.27151051608000004,0.05782953528,0.022724802720000003,0.05443777368,0.00712269936,0.05240271672,0.06173006112000001,0.01984180536,0.00559640664,,0.20452322448,0.03595267296,0.041888255760000014,0.0330696756,0.01237992984,0.046127957760000005,0.004578878160000001,0.00390052584,0.00271340928,0.00067835232,0.050876424
Jiangxi,0.020095957440000003,0.007426766880000001,0.036260097120000015,0.047618681759999996,0.4563092944800001,0.0076452012,0.00786363552,0.11293054344,0.004150252080000001,0.09720327240000004,0.3645668800800001,0.025993684080000003,0.014853533760000003,0.17474745600000002,0.00393181776,0.12996842040000006,0.3088661284800001,0.01332449352,0.00393181776,0.18872725248,,0.023809340879999998,0.021188129040000003,0.03145454208,0.005460858000000001,0.021843432000000003,0.0015290402400000005,0.0013106059199999999,0.0013106059199999999,0.0006553029599999999,0.044997469920000005
Shandong,0.7367042534400001,0.17418364415999998,,0.5738804121600001,0.11822609664,0.10181749248,0.11023216128000002,0.7863507993600002,0.04585994496,0.15482990592,0.18848858112000005,0.07362835200000002,0.0820430208,0.07909788672,0.06226854912000001,0.18596418048,0.06395148288000001,0.02903060736,0.03912820992000001,0.051750213120000006,0.044597744640000006,0.035762342400000015,0.035762342400000015,0.034920875520000005,0.02019520512,0.02356107264000001,0.00967686912,0.01220126976,0.006311001600000001,0.0016829337600000006,0.3168122803200001
Henan,0.34586025408,0.06248918016000001,0.5754212006399999,,0.24474928896000006,0.3163514745600001,0.032980400640000004,0.3792746073600001,0.025603205759999997,0.15275132928,0.28640874239999997,0.0824510016,0.24648509952,0.36625602816,0.01562229504,0.46780094592,0.10241282303999999,0.03818783232,0.013452531840000002,0.06422499072000001,0.05381012736000001,0.039055737600000015,0.04599897984,0.03515016384000001,0.03341435328,0.03124459008,0.01258462656,0.019961821440000003,0.011716721280000002,0.00390557376,0.22695723072000004
Hubei,0.04820310648,0.0143177544,0.06299811936000001,0.3316946436,0.2899345266,0.02123800236,0.0143177544,0.12575760947999998,0.006920247959999999,0.08184982932000001,0.13434826211999998,0.07087288427999999,0.0799407954,,0.006681618720000001,0.13267785744000002,0.36915943428000003,0.02338566552,0.006204360239999999,0.05106665736,0.1694267604,0.03173768892,0.14055262236,0.038657936880000014,0.011931462,0.0274423626,0.0035794386,0.004056697079999999,0.0033408093600000004,0.0016704046800000002,0.077554503
Hunan,0.03216128328,0.012413126880000002,0.0451386432,0.07222182912000001,0.90954366048,0.015798525120000004,0.013823709480000002,0.07617146040000003,0.007052913000000002,0.06291198396,0.1213101036,0.05896235267999999,0.031597050240000014,0.3636481942800001,0.0076171460400000016,0.04739557536,,0.032725516319999995,0.0056423304,0.05444848836,0.29452964688,0.051345206640000016,0.07222182912000001,0.183375738,0.0076171460400000016,0.16137064944,0.0028211652,0.0042317478,0.0031032817200000004,0.0011284660800000002,0.06291198396
Guangdong,0.06881968656000001,0.027290565360000005,0.0949237056,0.20823887915999997,,0.03381657012,0.04212239436000001,0.19518686964,0.01601837532,0.17026939692,0.22781689344,0.23315635188000006,0.09017752032,0.32808005748,0.030256931160000007,0.09848334456,0.9255061295999999,0.14772501684000006,0.02254438008,0.35833698864,0.5013158202,0.14416537788000006,0.12874027572000002,1.26426510396,0.02432419956,0.18866086488000006,0.008305824240000002,0.0088990974,0.0059327316,0.0023730926400000003,0.16908285060000006
Guangxi,0.02049623352,0.0062743572,0.029698624079999993,0.02844375264,1.1289660055199997,0.007320083399999998,0.014012731079999998,0.0397375956,0.0031371786,0.03199922172,0.045384517079999985,0.05144972903999999,0.016104183480000003,0.03471810984,0.007320083399999998,0.01631332872,0.19513250891999995,0.03890101464,0.007320083399999998,0.03074435028,0.031371785999999985,0.09557937468000001,0.028234607400000004,,0.0064835024399999995,0.13217979168,0.0012548714399999994,0.0016731619199999998,0.002509742879999999,0.0006274357199999997,0.03325409316
Hainan,0.02476829664,0.011800961280000001,0.02030863104,0.024699686400000004,0.14675730335999998,0.015300083519999999,0.01632923712,0.0284732496,0.00802739808,0.029090741760000004,0.027306875520000003,0.05022269568,0.01811310336,0.01934808768,0.01536869376,0.015848965439999998,0.0298454544,,0.00912516192,0.01653506784,0.012212622720000002,0.01001709504,0.0226413792,0.033138745920000004,0.00500854752,0.01207540224,0.004322445120000001,0.00288163008,0.00281301984,0.00013722048,0.05207517216
Chongqing,0.02691304704,0.01445330304,0.03663164736,0.04136635008,0.14253947136,0.01794203136,0.012459743999999998,0.06803020223999999,0.00548228736,0.05656723776000001,0.06952537152,1.1286036115199998,0.05656723776000001,0.16646217983999995,0.006977456640000001,0.02815902144,0.08572303871999999,0.03289372416,0.00423631296,0.03463808832,0.01968639552,0.07450926912,,0.032395334399999996,0.014204108159999998,0.23922708480000002,0.00448550784,0.0074758464000000005,0.00448550784,0.00523309248,0.049589781119999995
Sichuan,0.05254929432,0.01957718808,0.0618226992,0.07453069847999999,0.2301178248,0.031598268480000004,0.026102917439999998,0.09685556208,0.013051458719999996,0.07899567119999999,0.10063361592,,0.20126723184,0.07350032016,0.012707999279999998,0.035376322319999993,0.0566708076,0.05598388871999999,0.00961686432,0.04739740272,0.027820214639999997,0.42554624616,1.0757149660799998,0.058388104799999986,0.08380410335999998,0.26652452544,0.01064724264,0.02369870136,0.02678983632,0.04499318664,0.10509858864
Guizhou,0.010640594159999996,0.00476992152,0.01706164236,0.0238496076,0.1907968608,0.0064210482,0.004953380039999999,0.04476387887999999,0.004403004479999999,0.02696840244,0.1128269898,0.27665544815999993,0.02036389572,0.028986446160000005,0.0027518778,0.015777432719999998,0.18400889556,0.019813520159999997,0.0018345852,0.044213503319999986,0.0247669002,0.32068549296,0.25610809391999995,0.1541051568,0.006054131159999999,,0.0012842096400000002,0.0011007511199999998,0.00073383408,0.0005503755599999999,0.024583441680000002
