,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hainan,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.7266606207999997,0.38753926416,0.3376767204,0.28339597656,0.23858280432,0.22343468976,0.21459828960000002,0.19566314640000002,0.17862151752,0.15653051712000002,0.14516943119999998,0.14075123112,0.12434077368,0.10856148768,0.10161860184,0.09720040176000001,0.08710165871999999,0.07700291567999999,0.07069120127999999,0.06879768695999999,0.06122362968,0.05680542960000001,0.05680542960000001,0.039132629280000004,0.03660794352,0.03408325776,0.02019748608,0.016410457439999998,0.01009874304,0.00252468576,
Tianjin,1.1084218848,0.1981867824,,0.07998676128,0.03607711488,0.05838796224,0.055777118399999985,0.06550844544,0.042960248640000004,0.02634578784,0.03061807776,0.02302289568,0.0225481968,0.02088675072,0.025396390079999998,0.03299157216,0.01566506304,0.01519036416,0.02088675072,0.016851810239999997,0.0154277136,0.00925662816,0.013528918079999995,0.00783253152,0.01020602592,0.0066457843200000005,0.00379759104,0.0035602416,0.00213614496,0.00023734944,0.4011205535999999
Hebei,,0.9955748879999999,1.1230386426,0.4366953486,0.0950321484,0.17799672239999997,0.5362528374000001,0.2519106156,0.2624697432,0.0482702976,0.0957863718,0.0663716592,0.1116250632,0.0739138932,0.0807019038,0.05882942519999999,0.0392196168,0.054304084800000006,0.0475160742,0.032431606200000004,0.0460076274,0.029414712599999997,0.030923159399999994,0.0241351488,0.0233809254,0.020364031799999998,0.0165929148,0.0120675744,0.0060337872,0.0007542234,2.734059825
Shanxi,0.51377303376,0.1420226136,0.056061558,0.37773031968,0.04385259648,0.07923366864,,0.02566373544,0.21502722024,0.03189279744,0.0386201844,0.04260678408,0.43777847736000003,0.034882747199999994,0.03114531,0.00672738696,0.023172110640000004,0.01943467344,0.006229062,0.01843802352,0.0236704356,0.01270728648,0.0149497488,0.01345477392,0.018687186,0.01046482416,0.012458124,0.00697654944,0.00448492464,0.0007474874399999999,0.22474455696
Inner Mongolia,0.2915771904,0.0733307904,0.0366653952,0.039502598400000005,0.0274990464,0.0270625536,0.1881283968,0.28153785600000003,,0.0154954944,0.0183326976,0.024007103999999998,0.2492373888,0.0144042624,0.0135312768,0.177870816,0.0146225088,0.007638623999999998,0.1534272192,0.0096028416,0.01091232,0.0069838847999999995,0.0096028416,0.0045831744,0.0659104128,0.0056744064,0.1824539904,0.0048014208,0.0028372032,0.00021824639999999998,0.2219565888
Liaoning,0.27823787712,0.16870726656,0.0634804128,0.046695761280000005,0.06735379392000002,0.08112581567999999,0.02840479488,,0.26145322559999995,0.04798688832,0.0581007168,0.03034148544,0.02711366784,0.02517697728,0.021518784,0.17839071935999995,0.03808824768,0.01979728128,0.3615155712,0.030126297599999994,0.01807577856,0.011404955520000001,0.015923900159999997,0.0139872096,0.006240447359999999,0.011835331200000002,0.00344300544,0.00451894464,0.00150631488,0.00043037568,0.22659279551999995
Jilin,0.0617943168,0.07518308543999999,0.023172868800000003,0.01725091344,0.03566047032,0.03553173216,0.007080598800000002,0.38235233520000006,0.14392926288,0.0238165596,0.028579871519999998,0.01248760152,0.010556529119999998,0.01184391072,0.00914040936,0.24421628952,0.02240043984,0.013260030479999999,,0.00862545672,0.007080598800000002,0.00592195536,0.0102990528,0.00682312248,0.0019310724,0.00244602504,0.00102990528,0.0012873816,0.00051495264,0.00012873816,0.0811050408
Heilongjiang,0.07042902047999999,0.10040717232000003,0.032727240000000005,0.0183272544,0.047519952479999995,0.038618143199999996,0.00824726448,0.20107616255999997,0.16389801792000006,0.029978151839999998,0.03246542208,0.01623271104,0.01099635264,0.01191271536,0.0117818064,,0.036916326719999996,0.01204362432,0.28603607760000005,0.0104727168,0.0091636272,0.006152721119999999,0.00903271824,0.007199992800000002,0.0024872702399999997,0.005105449440000001,0.0019636344000000003,0.0015709075199999997,0.0006545448,0.00039272687999999993,0.12318533136
Shanghai,0.0607246794,0.18911400156,0.026024862599999997,0.16251080867999998,0.24058539648,2.3017545144,0.03816979848,0.05609803716,0.0202415598,,1.2000353309999998,0.0925328448,0.05898968856,0.10756943207999999,0.4077228473999999,0.02833818372,0.03816979848,0.0751829364,0.02775985344,0.10236445956,0.05725469771999999,0.12260601935999997,0.056676367439999986,0.035856477359999986,0.01908489924,0.03816979848,0.008674954200000001,0.00809662392,0.00462664224,0.00057833028,0.18448735932
Jiangsu,0.15204840479999998,0.8815484015999999,0.0423741456,0.4162636656,0.24344362079999998,,0.07228530719999998,0.066469248,0.0232642368,2.031466392,1.3476640031999998,0.1063507968,0.1071816624,0.16368052319999998,1.6758559152,0.034065489599999985,0.039881548799999986,0.1030273344,0.024925968,0.1113359904,0.074777904,0.14872494239999998,0.0614840544,0.04320501119999999,0.0324037584,0.054006264000000005,0.0116321184,0.012462983999999998,0.0091395216,0.0024925967999999995,0.2027312064
