,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Shanghai,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hainan,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.64787683264,0.4067861990400001,0.31701702239999996,0.2887679808,0.23917521888000004,0.22222579392000005,0.21594822911999997,0.20276534304,0.1851881616,0.15945014592,0.14877828576000002,0.13936193855999998,0.12617905248,0.10420757568,0.10357981919999999,0.0973022544,0.09353571552,0.08035282944000001,0.07533077760000001,0.07344750816000001,0.06654218687999999,0.05712583968000001,0.05461481376,0.04143192768,0.034526606400000014,0.032643336960000005,0.017577181440000002,0.016321668480000003,0.01318288608,0.0025110259200000003,
Tianjin,1.1221647498,0.18768396600000006,,0.0739150434,0.036609958800000016,0.054451520999999996,0.051439309200000005,0.059780818799999996,0.0410124222,0.0294269922,0.022707442799999998,0.0190001052,0.019695231000000004,0.023865985800000003,0.018304979400000004,0.029890409399999998,0.0169147278,0.012975681600000004,0.018536688000000003,0.0141342246,0.015756184800000003,0.008573218200000001,0.010426887000000004,0.0083415096,0.008573218200000001,0.0055610064,0.0020853774,0.0027805032,0.0013902516,0.0004634172000000001,0.3966851232000001
Hebei,,1.0254640176,1.09121896224,0.44775986111999994,0.09158724431999997,0.17456372207999998,0.5213427753600001,0.26380257552,0.2622369816,0.09628402608,0.049316208480000005,0.05714417807999999,0.11820234095999999,0.0821936808,0.0704517264,0.058709771999999986,0.04070544192,0.048533411519999986,0.049316208480000005,0.033660269279999995,0.05166459936,0.032094675359999984,0.029746284480000003,0.02818069056,0.019569924,0.01643873616,0.01252475136,0.014090345279999996,0.00626237568,0.00078279696,3.01924787472
Shanxi,0.5043427351199999,0.14766680376,0.04872757176,0.37893725856,0.04674878712,0.07568851248,,0.027208288799999997,0.20703034296,0.03858630048,0.02795033304,0.04625409096,0.44992615752,0.03067116192,0.03363933888,0.007173094319999998,0.02325071952,0.0210245868,0.0056890058400000006,0.016324973280000002,0.0259715484,0.0098939232,0.013604144399999999,0.008904530879999999,0.018056409840000003,0.0098939232,0.006183701999999999,0.013851492480000002,0.0037102212,0.0007420442399999999,0.22162387968
Inner Mongolia,0.28072618415999995,0.07357400748,0.03307649904,0.042405768,0.0254434608,0.02777577804,0.18064857168,0.27203300171999995,,0.02268708588,0.014629989959999997,0.019718682119999997,0.24849780048,0.01081347084,0.013145788079999998,0.17619596603999998,0.014205932279999996,0.008905211279999999,0.14714801496,0.00826912476,0.012085643879999995,0.004876663319999999,0.009117240119999998,0.004876663319999999,0.06360865199999999,0.006148836359999999,0.005088692159999999,0.17004712967999994,0.00339246144,0.00042405768,0.21711753216
Liaoning,0.2845683738,0.16234048188,0.05355345779999999,0.04956320016,0.06489419003999998,0.08694561383999999,0.02541164076,,0.24802601436000002,0.05754371544,0.041372671319999985,0.02814181704,0.0220514238,0.02289147804,0.023941545839999998,0.1711610514,0.036332345879999985,0.02016130176,0.35681303843999995,0.02961191196,0.0178511526,0.010500678000000001,0.0189012204,0.01617104412,0.0073504745999999985,0.010290664439999998,0.00378024408,0.0031502034,0.0010500678,0.00042002712,0.22093426512
Jilin,0.062494578,0.0797611212,0.021905316,0.018039672,0.032213700000000005,0.035950489200000005,0.0079889976,0.3893992056,0.1427711184,0.0278326368,0.0195859296,0.010566093600000001,0.0091486908,0.0112103676,0.010308384,0.2423758788,0.023709283199999997,0.00966411,,0.0112103676,0.007860142799999999,0.006442740000000001,0.009277545600000001,0.0076024332,0.0027059508,0.0024482412,0.001288548,0.001288548,0.0003865644,0.0001288548,0.08066310480000001
Heilongjiang,0.0711635058,0.1116418302,0.02964057948,0.01906398504,0.045701334,0.04204522728,0.00874854108,0.20082471912,0.15616798704,0.031990933799999996,0.026245623239999998,0.01279637352,0.011882346840000002,0.010837744920000001,0.011882346840000002,,0.035777615760000006,0.013318674479999999,0.29261911284000003,0.011621196359999999,0.01005429348,0.00639818676,0.010968320159999998,0.00809566488,0.0022197790800000004,0.003264381,0.00156690288,0.00078345144,0.00156690288,0.00013057524,0.11399218452
Shanghai,0.05565314952000001,0.18208846008,0.0243144828,0.15291108072,0.22639485096000006,2.16560993472,0.03187898856,0.049709609280000004,0.016749977040000003,1.1292726456,,0.0837498852,0.05511282768,0.38200754088,0.09131439096,0.02539512648,0.04106445984,0.06754023,0.022693517280000002,0.09185471279999999,0.05619347136,0.11400790823999997,0.049709609280000004,0.03133866672,0.01837094256,0.03728220696,0.00702418392,0.005403218400000001,0.00324193104,0.0005403218400000001,0.17236266696
Jiangsu,0.15073620480000002,0.9127914624,0.042708591360000006,0.41284971648,0.24787731456,,0.07034356223999999,0.07285583232000001,0.02177300736,1.32061663872,2.09607067008,0.09881595648,0.11053988351999999,1.6287884352000002,0.16915951872,0.0293098176,0.04019632128,0.10216564992,0.02428527744,0.11472700032,0.08039264255999999,0.15241105152,0.06448159872,0.05108282496,0.032659511040000005,0.058619635199999985,0.0125613504,0.00921165696,0.007536810240000001,0.0016748467200000002,0.21940492031999997
Zhejiang,0.08070171263999999,0.19834435008,0.0255744864,0.2904125011200001,0.28529760384,1.24917158016,0.03466763712,0.04887568512,0.01477636992,,0.9849018873599998,0.10968613055999997,0.06649366463999999,0.6211758585599999,0.17220154176,0.02500616448,0.03750924672,0.1477636992,0.021027911040000003,0.29950565184,0.08638493184,0.42169486464,0.08013339072,0.0483073632,0.021027911040000003,0.13867054848,0.00966147264,0.0085248288,0.005114897279999999,0.00113664384,0.13696558272
Anhui,0.07157942136,0.21563863415999998,0.02115869688,0.4821481778400001,0.12695218128000002,1.7206072228799998,0.02656091736,0.02070851184,0.0090037008,0.66132182376,0.37185284304,0.035564618160000006,0.044568318960000006,,0.14991161832000002,0.008103330720000001,0.02070851184,0.0630259056,0.008103330720000001,0.058524055200000015,0.03781554336,0.15486365376000005,0.02566054728,0.020258326800000004,0.01080444096,0.0180074016,0.0045018504,0.0045018504,0.003151295280000001,0.00135055512,0.09859052376
Fujian,0.02496416760000001,0.05159261304000001,0.009800747280000004,0.06601635432,0.39036561336,0.10429474464000002,0.013868982000000002,0.019046735280000004,0.007396790400000001,0.30456284472,0.08080993512000002,0.05492116872000001,0.025703846640000003,0.05418148968000002,0.05898940344,0.007766629920000001,0.018861815520000002,0.06435207647999999,0.0059174323200000024,,0.046784699280000015,0.22338307008000005,0.037538711280000005,0.03716887176000001,0.008691228720000001,0.05640052680000001,0.0033285556800000003,0.0033285556800000003,0.0014793580800000006,0.00055475928,0.06176319984000001
Jiangxi,0.021760076520000005,0.04352015304000001,0.00502155612,0.051889413240000015,0.5248721754000001,0.12529978128000002,0.010760477400000005,0.00908662536,0.0038259475200000006,0.3866598212400001,0.10569180024,0.02367305028,0.018412372439999998,0.13342991976000002,0.1805368986,0.00502155612,0.02008622448,0.32066222652000004,0.0038259475200000006,0.20875326156000004,0.029411971560000007,,0.02223831996000001,0.042563666160000006,0.006695408160000003,0.029890215000000005,0.0016738520400000007,0.0016738520400000007,0.0009564868800000002,0.00071736516,0.047824344000000005
Shandong,0.8720251797600002,,0.17450708688000002,0.7092539496000001,0.14644308168,0.96540177888,0.13725849816000002,0.1428712992,0.05714851968000001,0.23012484264,0.15256613736000002,0.07245615888,0.11429703936000005,0.23471713440000005,0.10052016408,0.07296641352000001,0.038269098,0.07857921456000001,0.053576737200000016,0.055107501120000006,0.07245615888,0.055107501120000006,0.03673833408,0.040310116560000005,0.024492222719999998,0.029084514480000004,0.014287129920000002,0.01122560208,0.00663331032,0.0020410185600000003,0.39340632744
Henan,0.3962795238,0.70270203456,0.058558502879999995,,0.29178288504000005,0.43817914224,0.36043768151999994,0.044928506519999994,0.032308139520000015,0.31449954564000004,0.16002625356,0.09389553048000003,0.28824918228,0.5149109736,0.4230347018400001,0.015144440400000004,0.045938135880000015,0.1186314498,0.014134811040000004,0.06613072308000001,0.09086664240000003,0.06915961116000001,0.043414062479999994,0.03584184228,0.041899618439999994,0.037356286320000015,0.025745548680000004,0.016154069760000004,0.013629996360000002,0.00605777616,0.27966733272
Hubei,0.05826732083999999,0.08891979767999998,0.012702828239999998,0.3556791907199999,0.34242406559999994,0.15768075923999994,0.027890992439999998,0.01877809392,0.0071798594399999985,0.16624136087999994,0.07676926631999999,0.08008304759999997,0.09554736024,0.14553022787999995,,0.00745600788,0.03092862528,0.39019774572,0.006351414119999999,0.06102880523999999,0.17756344691999995,0.19385620488,0.04335530508,0.04749753168,0.01215053136,0.035623148759999994,0.004418375039999999,0.004970671919999999,0.00386607816,0.0013807421999999998,0.10162262592
Hunan,0.0354823254,0.051217965360000006,0.00956480076,0.08608320684000001,0.9922709433599998,0.0956480076,0.017586891719999997,0.01573563996,0.008022090959999999,0.13174741691999994,0.0586229724,0.05954859827999999,0.0354823254,0.04689837791999999,0.36839910024,0.008639174880000001,0.04227024852,,0.008947716839999998,0.06386818572000001,0.08855154252,0.29836007532,0.05492046888,0.21721353984,0.00956480076,0.18173121444,0.005553755279999999,0.00370250352,0.0030854196,0.00123416784,0.07960382567999999
Guangdong,0.07436398752000001,0.11872145375999998,0.0228310488,0.23548596048,,0.24331374864,0.033920415360000004,0.04827136032,0.013698629280000001,0.26810174448,0.16177428864,0.24396606431999995,0.09589040496,0.11285061264,0.3163731048,0.03326809968,0.18330070608,1.00717540992,0.02413568016,0.38356161984,0.16373123567999998,0.5388127516800001,0.16568818272,1.30658830704,0.026092627200000003,0.21265491168,0.012393997920000002,0.00913241952,0.006523156800000001,0.00260926272,0.21395954304
Guangxi,0.0230559372,0.0330016356,0.005650965,0.035488060200000004,1.2158616294000002,0.0370703304,0.0081373896,0.0097196598,0.0038426562,0.0445296042,0.0289329408,0.04678999019999999,0.014014393200000001,0.0174049722,0.036844291800000005,0.0070071966000000005,0.0433994112,0.2027566242,0.0038426562,0.03390579,0.0499545306,0.03390579,0.117540072,,0.005650965,0.1532541708,0.0015822702000000005,0.0020343474,0.0009041544,0.0009041544,0.0379744848
Hainan,0.024712633440000003,0.01892592864,0.009531043199999999,0.02661884208000001,0.17040143664000004,0.023078740320000003,0.012322277280000002,0.017019720000000002,0.006807888000000001,0.024508396800000002,0.023078740320000003,0.03921343488,0.016815483360000005,0.008986412159999999,0.018040903200000003,0.01450080144,,0.02784426192,0.008714096640000002,0.01436464368,0.028388892960000005,0.01443272256,0.013888091520000005,0.039689987040000006,0.0063313358400000005,0.017428193280000004,0.0013615776,0.0023146819200000005,0.0017700508800000004,0.00013615776000000006,0.047791373760000005
Chongqing,0.029368967040000006,0.041955667200000005,0.00996447096,0.052444584,0.15602263740000002,0.06057349452000001,0.016520043959999998,0.01206225432,0.0073422417600000015,0.07525797803999999,0.0445778964,1.0803584304,0.06660462167999999,0.02858229828,0.18512938152,0.00550668132,0.038546769239999994,0.09387580536000001,0.005244458400000001,0.043266781799999994,,0.023075616960000003,0.09623581164,0.04379122763999999,0.0157333752,0.30444081011999996,0.00839113344,0.00603112716,0.0036711208800000008,0.008128910520000001,0.05532903612
Sichuan,0.0461147904,0.0596564352,0.0135416448,0.08234783999999999,0.2485074816,0.08710571519999999,0.032939136000000015,0.0230573952,0.014639616,0.1013793408,0.07210010879999999,,0.24045569280000004,0.032939136000000015,0.0816158592,0.0117116928,0.051238656,0.0625843584,0.0069538176,0.051604646399999995,1.1550657024,0.029645222400000008,0.4633438464,0.0629503488,0.0893016576,0.30779792640000003,0.0190315008,0.010979711999999999,0.031109183999999998,0.0446508288,0.11894688
Guizhou,0.015407236799999996,0.0227054016,0.0032436288,0.0271653912,0.215904042,0.0478435248,0.005879077199999999,0.0066899844,0.002027268,0.1291369716,0.0289899324,0.2813847984,0.019259046000000002,0.017029051200000003,0.033449922,0.0024327215999999994,0.0198672264,0.20252407320000002,0.0014190876,0.050478973200000006,0.2844257003999999,0.0259490304,0.3726118584,0.16826324399999998,0.004257262800000001,,0.0016218144,0.0008109072,0.001013634,0.0014190876,0.030409019999999995
Yunnan,0.02205075312,0.02706228792000001,0.0056797394400000005,0.034245487799999995,0.15235065792000002,0.044435608560000006,0.010023069600000002,0.0116935812,0.005178585960000001,0.06581815704,0.034245487799999995,0.4226394348000001,0.022551906600000005,0.017874474120000004,0.033076129680000003,0.00684909756,0.015869860200000002,0.05830085484000001,0.0031739720400000004,0.028732799520000005,0.09688967279999999,0.019544985719999998,,0.11760401664000003,0.0058467906,0.34780051512000004,0.0030069208799999997,0.0021716650800000003,0.0016705116000000002,0.005345637120000001,0.046106120160000014
