,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hubei,Heilongjiang,Anhui,Hainan,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,3.00570923016,0.45082333296000004,0.35166864096,0.31332882672,0.22210651008,0.21880135368,0.21483516600000002,0.20756382192000006,0.17913947687999998,0.14146069392000002,0.13352831856,0.12229078680000002,0.12030769295999998,0.1024598484,0.09849366072,0.09452747303999999,0.08328994128,0.08064581616000001,0.0760185972,0.06412003416,0.0627979716,0.05552662752,0.049577345999999994,0.039000845519999994,0.033051564,0.031729501439999995,0.01916990712,0.01388165688,0.0099154692,0.0026441251199999997,
Tianjin,1.10003220936,0.18971348256000006,,0.06862907088000003,0.03540735504000001,0.045679859280000006,0.052236776880000016,0.04327565616,0.036500174639999994,0.02426059512,0.01901506104,0.0174851136,0.020763572400000003,0.01573660224,0.026883362160000004,0.02163782808,0.01267670736,0.01289527128,0.017266549680000003,0.01158388776,0.014206654800000003,0.007431173280000002,0.010709632080000002,0.008523992880000001,0.008523992880000001,0.004808406240000001,0.00284133096,0.0021856392,0.0013113835199999998,0.00021856392,0.3490465802400001
Hebei,,0.9502983018,1.02253499928,0.41869231452,0.09187385796,0.45796663548,0.23564592576,0.16411055544000003,0.23003530848,0.08556191352,0.058210154279999995,0.10940703696,0.04137830244,0.07013271600000001,0.05330086416,0.07784731476000001,0.035767685160000014,0.05119688268,0.04698891972,0.03436503084,0.04137830244,0.02875441356,0.02875441356,0.02665043208,0.02033848764,0.018935833319999998,0.01613052468,0.00981858024,0.00631194444,0.0014026543200000002,2.5668574056
Shanxi,0.4760852760000001,0.14932821095999999,0.048305237760000015,0.3560188917600001,0.046447344000000015,,0.022759198560000003,0.06734864880000001,0.18973740024,0.03762234864000001,0.044124976800000014,0.4026984724800001,0.02183025168,0.03715787520000001,0.006038154720000001,0.029261826720000005,0.023223672000000004,0.020436831360000005,0.006734864880000001,0.018578937600000005,0.023223672000000004,0.011844072720000005,0.01416643992,0.01137959928,0.016024333680000002,0.010218415680000002,0.012540782880000002,0.004644734400000001,0.0032513140800000014,0.00069671016,0.20692291752000005
Inner Mongolia,0.26222258304,0.07111120895999999,0.03090913344,0.039596014079999985,0.02525256,0.17272751039999998,0.24929327231999995,0.0343434816,,0.018787904640000002,0.02141417088,0.23373769536,0.013737392639999998,0.014949515519999996,0.17030326463999998,0.0111111264,0.01575759744,0.01030304448,0.13797998783999998,0.009696983039999996,0.013939413119999996,0.005454552959999999,0.009494962559999995,0.005252532479999999,0.06424251264,0.005454552959999999,0.16848508031999998,0.005454552959999999,0.00343434816,,0.19171743552
Liaoning,0.2603637432,0.16307836920000002,0.0525541608,0.0473388624,0.06318534599999999,0.0264776688,,0.08184006719999999,0.23729607719999998,0.054158868000000006,0.0256753152,0.0262770804,0.0399170916,0.0244717848,0.163479546,0.0208611936,0.035102970000000004,0.022064723999999997,0.35163146520000005,0.03008826,0.018052956,0.0108317736,0.015645895200000003,0.0116341272,0.005215298399999999,0.011032361999999999,0.0024070608,0.0038111796000000002,0.001002942,0.0006017651999999999,0.1957742784
Jilin,0.05966629128000001,0.07539979608000001,0.01742788224,0.017064801360000003,0.031588036560000005,0.008108806320000002,0.36985838975999996,0.036913222800000006,0.1252629036,0.02807825472,0.010287291600000002,0.01077139944,0.0175489092,0.011376534240000001,0.22305268728,0.008955995040000001,0.021058691040000004,0.01246577688,,0.01004523768,0.007745725440000002,0.00835086024,0.0084718872,0.005809294079999999,0.00217848528,0.0026625931200000004,0.00096821568,0.0018154044,0.00036308087999999995,,0.07418952648000003
Heilongjiang,0.06902630459999999,0.104604291,0.0246790962,0.017538443999999997,0.0473537988,0.007892299799999999,0.1980591426,0.0423428148,0.14494271220000002,0.031945023,0.01252746,0.0101472426,0.0211714074,0.012151636200000001,,0.010272517199999998,0.0354527118,0.015408775800000002,0.2822436738,0.011274714,0.011525263199999998,0.006013180799999999,0.010773615600000001,0.007892299799999999,0.0020043936,0.0023802174,0.0011274713999999998,0.0016285698000000001,0.0003758238,,0.107736156
Shanghai,0.048195648000000015,0.1702912896,0.0208847808,0.15529708799999994,0.1879630272,0.0273108672,0.044982604800000006,2.2566273408,0.0128521728,1.1770448256000001,0.07711303679999999,0.042840576,,0.08353912320000001,0.021420288,0.37646156159999994,0.0364144896,0.0664028928,0.018742752,0.07711303679999999,0.048731155199999994,0.10710144,0.044982604800000006,0.0262398528,0.0171362304,0.0337369536,0.0037485504,0.0069615936,0.0042840576,0.0005355072,0.14726448
Jiangsu,0.14081285268000002,0.8599926200400001,0.03898208916,0.40732305408,0.23468808780000006,0.06284867436000001,0.06762199140000001,,0.019888821,1.2983422348800002,0.10183076352,0.10342186920000003,1.8639803041200005,0.15354169812000001,0.02863990224,1.6619098827599998,0.03739098348,0.09705744648,0.0238665852,0.10660408056,0.07080420276,0.14797282824000002,0.06205312152,0.04295985336,0.0278443494,0.05091538176,0.008751081240000002,0.0119332926,0.00715997556,0.00159110568,0.20127486852
