,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Jiangsu,Guangdong,Inner Mongolia,Zhejiang,Shanghai,Shaanxi,Sichuan,Anhui,Hubei,Heilongjiang,Hunan,Hainan,Jilin,Fujian,Chongqing,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,5.5698105816,0.6794889120000001,0.614537766,0.39870011159999996,0.2987752716,0.2488128516,0.2358226224,0.2258301384,0.21783615120000002,0.14888801159999998,0.1338992856,0.129902292,0.1279037952,0.109917324,0.109917324,0.094928598,0.08793385919999999,0.0779413752,0.0769421268,0.0689481396,0.0589556556,0.053959413600000006,0.051960916799999986,0.0379714392,0.034973693999999986,0.0339744456,0.020984216400000002,0.014988726,0.0109917324,0.0019984968,
Tianjin,1.3420889999999999,,0.23397255,0.0694008,0.056133,0.04720275,0.04822335,0.0311283,0.0372519,0.02525985,0.01913625,0.015819299999999998,0.016584750000000002,0.02168775,0.016584750000000002,0.025515,0.010716299999999998,0.013778100000000001,0.01709505,0.0112266,0.01301265,0.007399349999999998,0.00944055,0.006123599999999999,0.007399349999999998,0.0045927,0.00280665,0.0015308999999999998,0.00127575,0.0005103,0.43401015
Hebei,,1.0197253296,0.9136031472,0.4428560303999999,0.4394546784,0.2496592368,0.15714246240000002,0.08775488159999999,0.2353735584,0.08367325919999999,0.040816224,0.1040813712,0.056462443200000004,0.07142839200000001,0.06530595839999999,0.0537413616,0.0448978464,0.03401352,0.0462583872,0.03401352,0.030612168,0.027891086399999997,0.0292516272,0.027891086399999997,0.0210883824,0.01700676,0.0122448672,0.010884326399999998,0.0047618928000000005,0.0006802703999999999,2.4292455984
Shanxi,0.5194907460000001,0.046097339759999995,0.14354663832000006,0.4062775903200001,,0.020301937200000002,0.07213158864000001,0.041081567039999996,0.18558359064,0.037737718560000015,0.023168093040000004,0.3866921920800001,0.045858493439999995,0.029378097360000008,0.035588101680000005,0.008598467520000002,0.021018476160000004,0.023168093040000004,0.007165389600000001,0.015763857120000002,0.020540783519999998,0.011703469680000002,0.01409193288,0.008837313840000001,0.017435781360000003,0.010748084400000005,0.011464623359999999,0.005732311679999999,0.0038215411200000007,0.0009553852800000002,0.2104236079200001
Inner Mongolia,0.26840014524,0.031477734,0.07176923352000003,0.04469838228,0.18592848216,0.25874697348000003,0.032736843360000004,0.020985156,,0.026860999680000004,0.011541835800000002,0.24888395016000006,0.021404859120000005,0.012381242040000002,0.012591093600000002,0.17102902140000004,0.008394062400000001,0.013850202960000002,0.14626653732,0.008184210840000001,0.010702429560000002,0.00461673432,0.008184210840000001,0.005665992120000001,0.07051012416,0.005665992120000001,0.18299056032,0.00440688276,0.0033576249600000005,0.00020985156000000006,0.20313631008
Liaoning,0.25564635179999995,0.045900594,0.1548646128,0.051887628,0.0241477038,,0.0880093998,0.062265153600000005,0.234492165,0.0556794162,0.0381174498,0.0227507292,0.031132576800000002,0.0261433818,0.0241477038,0.1602529434,0.0191585088,0.030533873399999998,0.35982074340000003,0.0271412208,0.0161649918,0.0117745002,0.0175619664,0.015167152799999997,0.0065857374,0.010577093400000001,0.0017961101999999997,0.0037917882,0.0011974068,0.0005987033999999999,0.1939799016
Jilin,0.060566790959999985,0.02010463416,0.07713098639999999,0.0183344148,0.007207321679999998,0.40803556248000006,0.03312839088,0.033760612079999995,0.12606490728,0.028323509760000004,0.017828637839999998,0.00859820832,0.0107477604,0.00847176408,0.009609762239999998,0.23999116752,0.00923042952,0.02111618808,,0.011379981599999998,0.00682798896,0.00556354656,0.00809243136,0.00859820832,0.0025288848,0.0026553290399999995,0.00113799816,0.0018966636,0.00037933271999999985,0.00012644424,0.07447565735999999
Heilongjiang,0.0697485816,0.02676837456,0.10204657343999997,0.01797125616,0.00703769472,0.19894054896,0.039712705919999994,0.04763011247999999,0.14879697408,0.029533183199999997,0.02211846912,0.01043086896,0.0138240432,0.00917413776,0.00980250336,,0.012692985119999998,0.03229799184,0.29809664064,0.011813273279999998,0.007289040959999999,0.0041472129600000004,0.01043086896,0.0069120216,0.0018850968,0.00339317424,0.00175942368,0.0018850968,0.0012567312,0.00012567312,0.10719917135999997
Shanghai,0.045970399800000006,0.023338818360000003,0.16690791312,0.15700659624000002,0.0282894768,0.04031250444,3.45555959112,0.18883225764,0.01202302764,1.56440806704,,0.04243421519999999,0.07567435044000001,0.48304281636,0.08557566731999999,0.02263158144,0.06860198124,0.031825661400000003,0.01909539684,0.08699014115999999,0.04738487364,0.13013159328,0.045970399800000006,0.02616776604,0.01485197532,0.0282894768,0.004950658440000001,0.00565789536,0.00424342152,,0.15064146396
Jiangsu,0.14780628576,0.044161634160000005,0.96344463096,0.4587402405600001,0.0630880488,0.07029811152000001,,0.24063584328,0.02072893032,1.54024964856,1.86920876016,0.10905219864,0.10184213592,2.22340309128,0.16763395824000002,0.02974150872,0.10274339376,0.040556602800000015,0.025235219520000005,0.1081509408,0.07029811152000001,0.16943647392,0.05948301744,0.05047043904000001,0.0315440244,0.05137169688,0.008111320560000001,0.01171635192,0.006308804880000001,0.0018025156800000003,0.20819056104000003
Zhejiang,0.08164967184000001,0.02597944104,0.21525822575999998,0.30927906000000005,0.03587637096,0.051958882080000005,1.4833023717600002,0.27958827024,0.01670106924,,1.0051569450000002,0.06433004448,0.1175260428,0.76020792948,0.17381483172000003,0.02536088292,0.15525808812,0.034020696600000004,0.0216495342,0.31299040872,0.07917543936000003,0.47505263616000004,0.07979399748,0.046391859,0.021030976080000003,0.13731990264000002,0.006804139320000001,0.00804125556,0.0055670230800000005,0.0006185581200000001,0.1422683676
Anhui,0.069255972,0.01939167216,0.21099986136000004,0.5157261381600001,0.024932149920000004,0.022623617520000004,1.87360489584,0.11727344592,0.007849010160000001,0.669474396,0.334737198,0.041553583200000015,0.036936518400000014,,0.15420996432,0.009234129600000002,0.058175016480000015,0.016621433280000004,0.0069255972,0.05725160352000001,0.026778975840000004,0.16159726800000004,0.02354703048,0.01985337864,0.00969583608,0.0161597268,0.0036936518400000006,0.004617064800000001,0.0027702388800000003,0.00092341296,0.09372641544
Fujian,0.02684892420000001,0.010341807840000002,0.050913515520000015,0.06841503648000001,0.016904878200000004,0.019888092000000003,0.1163453382,0.42878726351999996,0.00815411772,0.32656247064000005,0.08134229627999999,0.026252281439999997,0.055686657599999995,0.05807322864,0.06244860888000001,0.008551879560000001,0.06602846544,0.01929144924,0.006761951280000001,,0.04812918264,0.26073288612,0.037986255719999994,0.03818513664,0.00914852232,0.054493372080000005,0.004375380240000001,0.0031820947200000005,0.00357985656,0.0009944046000000002,0.06364189440000001
Jiangxi,0.027938500560000003,0.00737998128,0.042962033879999986,0.05903985024,0.008697835079999999,0.00975211812,0.14285535191999998,0.53979291648,0.00316284912,0.42935676804,0.09831189348,0.02003137776,0.031628491200000004,0.15603388992,0.21375588636,0.006589269,0.38982115404,0.0171320994,0.00368999064,0.24406652376,0.02187637308,,0.02319422688,0.04770630756,0.0052714152,0.028202071319999997,0.0023721368399999996,0.00184499532,0.00105428304,0.00026357076,0.04691559528
Shandong,0.8791917778799999,0.1534868352,,0.6844553557199999,0.11463548004,0.13717885896,0.9046130349600001,0.13478062715999997,0.04988322143999999,0.21871874016,0.12998416355999998,0.09257174748,0.06906907584,0.20672758116,0.0911328084,0.07194695400000001,0.06091508772000001,0.03405489156,0.05324074596,0.059476148640000004,0.047964636000000005,0.0503628678,0.03933100152,0.0383717088,0.024461964359999998,0.026380549800000003,0.01055221992,0.013430098080000005,0.0071946954,0.00095929272,0.38275779528
Henan,0.39127990896,0.05711081904,0.6584263847999999,,0.32661724608000003,0.039175189920000006,0.40874354784,0.24637890528,0.028319414400000006,0.2883860366400001,0.1321572672,0.30820962671999996,0.09015013583999999,0.4922858203200001,0.43375903056,0.013215726720000005,0.10100591136000002,0.04436708256,0.012743736480000002,0.06702261408,0.048143004480000015,0.06230271168,0.039175189920000006,0.035399268000000005,0.037287228960000016,0.030679365600000005,0.013215726720000005,0.02454349248,0.013215726720000005,0.004247912160000001,0.26337055392000003
