,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Sichuan,Zhejiang,Shanghai,Shaanxi,Heilongjiang,Hubei,Anhui,Hunan,Hainan,Jilin,Fujian,Yunnan,Jiangxi,Chongqing,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,3.0244138894800003,0.37766667636,0.33638826312000003,0.29141327555999996,0.20392768332000002,0.19653453467999998,0.17065851444000002,0.15772050432,0.14847906852,0.11459380392,0.10843284672000003,0.0985753152,0.09734312376,0.09487874087999999,0.08440511364,0.08194073076000001,0.06900272064000001,0.06900272064000001,0.06653833776000001,0.06407395488,0.049287657600000014,0.049287657600000014,0.044974987560000006,0.03943012608,0.033269168880000005,0.03018869028,0.01786677588,0.016634584440000003,0.0092414358,0.0018482871600000001,
Tianjin,1.0494290923199998,0.18749962296,,0.059114182319999986,0.0243769824,0.044691134400000006,0.039612596399999984,0.03737803968,0.03189321864,0.0182827368,0.0182827368,0.01645446312,0.01381362336,0.023564416319999996,0.011782208159999995,0.017876453759999997,0.009750792959999996,0.012188491199999998,0.015032472479999996,0.009750792959999996,0.009750792959999996,0.006094245599999999,0.008328802319999997,0.007109953199999999,0.007922519279999998,0.004469113439999999,0.0028439812800000004,0.0026408397599999994,0.0008125660799999999,0.00020314152,0.33640235711999994
Hebei,,0.787121064,0.9419645520000001,0.3787213644,0.08838982440000001,0.3664629216,0.2219423328,0.14774649480000002,0.20452244039999998,0.0664536636,0.0800024688,0.0380656908,0.08903500560000001,0.056130764400000005,0.06000185160000001,0.0651633012,0.038710872,0.0296783352,0.042581959200000005,0.0270976104,0.0296783352,0.0277427916,0.0303235164,0.022581342,0.0238717044,0.0154843488,0.0154843488,0.011613261599999999,0.0058066307999999995,0.0012903624,2.5271747604
Shanxi,0.4338682185600001,0.11911348080000002,0.039634220160000004,0.34890762960000005,0.041109962400000005,,0.02129285232,0.07252219007999999,0.15031488816000002,0.04490472816,0.037736837280000005,0.0242443368,0.35017255152000004,0.00801117216,0.03204468864,0.026352540000000004,0.02129285232,0.018552188160000004,0.008643633119999999,0.0147574224,0.013281680160000002,0.01096265664,0.02255777424,0.00969773472,0.01644398496,0.009908555040000001,0.013070859840000002,0.006535429920000001,0.00379476576,0.0008432812800000003,0.18383531904
Inner Mongolia,0.23777660808,0.06333124967999999,0.031476010320000004,0.041525579879999996,0.02161605528,0.15245007407999994,0.24043121136,0.029769479640000006,,0.026356418280000002,0.01971991008,0.01175610024,0.22886472564,0.15055392888,0.012324943800000002,0.01118725668,0.008343038879999999,0.012514558319999999,0.13690168344,0.00910149696,0.008911882440000001,0.00398190492,0.01118725668,0.005309206560000001,0.06276240612,0.0062572791599999995,0.15548390639999998,0.00492997752,0.003223446840000001,0.00018961452,0.18487415699999998
Liaoning,0.22907205,0.1429409592,0.04581441,0.04691395584,0.05790941424000001,0.024739781400000004,,0.07641843588,0.21514446936,0.034635693960000005,0.05442751908,0.03353614812,0.02492303904,0.15466944815999994,0.02162440152,0.02052485568,0.019425309840000002,0.02528955432,0.30860586576,0.02785516128,0.01630992996,0.01429409592,0.015210384119999998,0.01356106536,0.004398183359999999,0.00934613964,0.00329863752,0.0049479562800000005,0.00146606112,0.00036651528,0.18160832124
Jilin,0.05683770000000001,0.0730932822,0.0165966084,0.01705131,0.030237656400000007,0.0067068486,0.3335236236,0.0355804002,0.1174266882,0.0160282314,0.030237656400000007,0.0162555822,0.008525655,0.2157559092,0.0076162518,0.010230786000000002,0.010685487599999998,0.0160282314,,0.009662409,0.0086393304,0.0082983042,0.006593173199999999,0.006365822400000001,0.0020461572,0.0037512882,0.0018188064,0.0012504294,0.0006820524000000001,0.0001136754,0.06729583680000001
Heilongjiang,0.06798722687999999,0.10245134016000003,0.026700865919999997,0.019996243200000003,0.046814734079999996,0.006939872640000001,0.17796656448000006,0.040815861120000005,0.13620970368,0.018937618559999998,0.030935364480000005,0.023289742080000002,0.00893949696,,0.00858662208,0.0094099968,0.01023337152,0.025171741440000003,0.24571854144000002,0.012468245759999998,0.01035099648,0.00576362304,0.0071751225599999986,0.00929237184,0.00270537408,0.0038816236799999997,0.00129387456,0.00141149952,0.00047049984,0.00011762496,0.11186133695999999
Shanghai,0.03891561408,0.12925543248000002,0.01667812032,0.13620464928,0.15658901856,0.02409061824,0.03335624064,2.07596269872,0.012508590239999999,0.06485935679999999,0.9659411351999999,,0.033819521760000006,0.01806796368,0.05929998336,0.33263584415999997,0.05605701552,0.029186710560000002,0.015751558080000002,0.07041873024,0.04679139312,0.09311950512,0.03845233296,0.0254804616,0.01343515248,0.025943742720000003,0.005559373439999999,0.00416953008,0.0046328112,0.00092656224,0.09450934847999999
Jiangsu,0.1306481724,0.8014615956000001,0.035909146799999986,0.3980567124,0.206286588,0.061121952,0.06647012279999999,,0.0221567076,0.1100195136,1.1941701372,1.8092097792,0.09550305,0.0320890248,0.13752439200000002,1.6946061192,0.0932109768,0.030560976,0.0252128052,0.1046713428,0.05959390320000001,0.13370427,0.061885976400000015,0.03820122,0.030560976,0.0557737812,0.011460366000000001,0.0106963416,0.0091682928,0.0030560976,0.16426524599999998
