,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Sichuan,Shanghai,Zhejiang,Shaanxi,Hubei,Heilongjiang,Anhui,Hainan,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.40373698768,0.39275561556,0.3824677180800001,0.29532317472,0.25901294832000005,0.21725618796,0.21241482444,0.18941834772,0.18276147288000005,0.14947709868000006,0.14584607604,0.14342539428,0.11558755404000001,0.10166863392000001,0.09803761128000002,0.09743244084,0.0938014182,0.08109283896000001,0.07504113456,0.0726204528,0.05809636224,0.056280850920000014,0.053254998719999995,0.039941249039999994,0.03691539684,0.034494715079999995,0.019970624519999997,0.01876028364,0.012103408799999998,0.0030258521999999995,
Tianjin,1.0368685746,0.1606919796,,0.06341849640000001,0.0362391408,0.048636741600000005,0.04410684900000001,0.0426763566,0.0331397406,0.017165908799999997,0.021934216800000003,0.0276561864,0.0147817548,0.017404324199999998,0.022172632200000004,0.021695801400000003,0.0128744316,0.009775031399999998,0.0150201702,0.0114439392,0.010728693,0.0114439392,0.008582954399999999,0.008344539,0.008582954399999999,0.0052451388,0.0030994002,0.0030994002,0.0011920770000000002,0.0004768308,0.6613643196
Hebei,,0.91023941484,1.1636637357600002,0.4442044276799999,0.09016970219999998,0.16230546395999998,0.4935604752,0.2277971424,0.23728869,0.06454252367999999,0.04555942847999999,0.08922054743999998,0.10630533312000001,0.06833914272000001,0.05789844035999999,0.07593238079999999,0.04176280944,0.04366111896,0.0427119642,0.03227126184,0.0284746428,0.031322107079999995,0.027525488039999997,0.02562717852,0.02183055948,0.01803394044,0.01138985712,0.0142373214,0.007593238079999998,0.00094915476,4.89479109732
Shanxi,0.4046111611200001,0.11389735295999998,0.04661524728,0.3375586872,0.043400402639999995,0.07210437264000001,,0.02158538544,0.19794257712000002,0.046155983759999984,0.024570598320000005,0.03995592624,0.40805563751999996,0.03168918288,0.00849637512,0.0275558112,0.023652071280000003,0.01882980432,0.0068889528000000005,0.017222381999999998,0.025718757120000005,0.013318642079999998,0.010792692719999998,0.0091852704,0.01974833136,0.010563060959999999,0.0068889528000000005,0.01217048328,0.003214844640000001,0.0006888952799999999,0.28956564936
Inner Mongolia,0.24110823528,0.059510175120000015,0.03415188744,0.04069596168,0.0224952552,0.02985733872,0.16073882352000002,0.25951344408000004,,0.02924383176,0.0143151624,0.023313264480000002,0.24703880256,0.012270139200000002,0.16626038616000002,0.01104312528,0.013088148480000002,0.00940710672,0.14212911240000006,0.008793599760000001,0.00940710672,0.00981611136,0.006135069600000001,0.0040900464,0.05889666816000001,0.0081800928,0.0051125580000000006,0.16073882352000002,0.003272037120000001,0.00061350696,0.25051534200000003
Liaoning,0.23350236768,0.14583510864000002,0.04861170288,0.04902718752,0.06855496559999999,0.08268144336000001,0.02887618248,,0.23433333696,0.03406974048,0.048403960560000014,0.05588268408,0.026798759280000004,0.027006501600000003,0.17990484912000002,0.022228428240000004,0.034485225120000004,0.01994326272,0.3608484098400001,0.029707151760000005,0.014957447040000002,0.015372931680000004,0.01391873544,0.014749704719999998,0.0064400119200000005,0.011010342959999999,0.00436258872,0.00394710408,0.00166193856,0.00083096928,0.25614628056000005
Jilin,0.050219559359999985,0.07222169303999999,0.016532676719999997,0.0167812884,0.034432717679999995,0.03517855272,0.007085432879999998,0.37329043752,0.12716487431999998,0.0167812884,0.02138060448,0.030082013279999993,0.009944467199999998,0.007831267920000001,0.2467470924,0.010193078879999998,0.01951601688,0.010317384719999998,,0.011684748959999996,0.006215291999999999,0.0087014088,0.00546945696,0.006712515359999999,0.00198889344,0.0029833401599999986,0.0026104226399999994,0.00099444672,0.00049722336,0.00012430584,0.08738700551999999
Heilongjiang,0.06278361839999999,0.0956585052,0.0245943702,0.0202687272,0.0427620708,0.041155403400000005,0.0091456452,0.2021929128,0.145835964,0.0161902638,0.0263246274,0.0306502704,0.0109994922,0.0107523126,,0.009269235,0.037694889,0.0121118004,0.2597857596,0.0126061596,0.005932310399999999,0.0108759024,0.00617949,0.008280516600000001,0.0025953858,0.003089745,0.0011123082,0.0016066674,0.0013594878,0.0002471796,0.12185954279999997
Shanghai,0.04025508516,0.13554243864,0.021910995719999996,0.14063801904,0.19159382304,2.10243647304,0.02649701808,0.0356690628,0.013758067080000002,0.0789814962,,1.1755503982800002,0.037707294960000005,0.07388591580000001,0.01936320552,0.36586267272,0.034649946720000005,0.059108732639999995,0.01681541532,0.08305796052,0.04687933968000001,0.055541826360000005,0.11057409468,0.028535250240000008,0.012738951,0.031592598480000005,0.005605138440000001,0.00662425452,0.0030573482399999996,0.0005095580400000001,0.1299373002
Jiangsu,0.13496696928000002,0.8098018156800001,0.04152829824,0.4284965318400001,0.27937218816000003,,0.06701157216,0.07267452192000001,0.025483273920000004,0.11420282016,2.9664418492800007,1.42234421472,0.11231517024,0.17743909247999998,0.036809173439999995,1.74324470112,0.03869682336,0.10287692064,0.025483273920000004,0.12080959488,0.0660677472,0.06795539712,0.15667494335999999,0.04624742303999999,0.03397769856,0.05757332256,0.012269724479999999,0.012269724479999999,0.0094382496,0.00188764992,0.2406753648
