,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Liaoning,Shanxi,Inner Mongolia,Zhejiang,Sichuan,Shanghai,Shaanxi,Hubei,Anhui,Hainan,Hunan,Fujian,Chongqing,Yunnan,Jiangxi,Jilin,Heilongjiang,Guangxi,Guizhou,Gansu,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.51578693152,0.3951978984,0.3277998072,0.30022786079999997,0.29471347152,0.22731538031999998,0.21444847200000006,0.21077221248,0.16543167840000006,0.14459954112,0.13540889231999995,0.13357076256,0.12438011375999998,0.11580217488,0.0980335872,0.09619545743999999,0.08516667888,0.07475061023999999,0.06065828208,0.0582074424,0.056369312639999995,0.0551438928,0.054531182879999994,0.042889694400000004,0.038600724960000006,0.038600724960000006,0.01899400752,0.0183812976,0.00980335872,0.0030635496000000003,
Tianjin,0.9937051488,0.17876829600000002,,0.06739770240000001,0.0332878896,0.0501373152,0.0622606824,0.0456167376,0.0273289464,0.0244522152,0.0191097144,0.0191097144,0.0145891368,0.0186987528,0.021575484,0.0145891368,0.011301443999999999,0.0106850016,0.0094521168,0.008630193599999999,0.0078082704,0.0129452904,0.0127398096,0.0059589432,0.0045205776,0.0080137512,0.0022602888,0.0024657696,0.0006164424,0.0004109616,0.3630845736
Hebei,,0.9571281894000002,1.0092674682000002,0.4372250950800001,0.09831978288,0.17652870108000004,0.25026853824,0.5571454363200001,0.167590539,0.09236100816,0.06256713456,0.04618050408,0.11023733232000002,0.07746407136000001,0.08342284608000003,0.04394596356000001,0.04245626988,0.035752648320000004,0.032773260960000015,0.032773260960000015,0.028304179920000005,0.03649749516,0.02755933308,0.029049026760000006,0.019366017840000003,0.020110864680000003,0.011917549440000005,0.016386630480000004,0.005213927880000003,0.0014896936800000006,2.9265032343599997
Shanxi,0.4818553725600001,0.14775595560000002,0.04518157320000001,0.37048890024,0.051531415920000004,0.08108260704,0.025643595600000003,,0.19562400072,0.04249510128,0.05275253952000001,0.024910921440000004,0.4479081364800001,0.03834328104000001,0.03150498888,0.02368979784,0.02295712368,0.01733995512,0.021003325920000003,0.01416503376,0.01172278656,0.003419146080000001,0.00561716856,0.010501662960000002,0.0097689888,0.020026427040000003,0.00634984272,0.013432359600000002,0.0041518202399999996,0.00048844944,0.21516197832000006
Inner Mongolia,0.1809749466,0.05313353112,0.02086115148,0.0383345946,0.02335735764,0.027279967319999997,0.1979134884,0.16599770964000002,,0.01979134884,0.02959787304,0.011589528600000001,0.25122531996,0.01212442992,0.00998482464,0.016760241359999997,0.007310318039999999,0.01087632684,0.011054627279999998,0.0071320175999999985,0.006062214959999999,0.10020484728,0.16724581272,0.004457511,0.004814111879999999,0.06757586676,0.006418815839999999,0.15975719424,0.00338770836,,0.16439300567999998
Liaoning,0.2000522772,0.128547648,0.042420723839999994,0.04547373048,0.07070120640000001,0.0811457028,,0.022174469280000005,0.13385023848,0.05334727392,0.03261896568,0.035029234080000006,0.02522747592,0.02281720752,0.0224958384,0.033422388479999995,0.017193247919999998,0.03101212008,0.013015449360000002,0.017514617040000003,0.0112479192,0.24890038344,0.09175088376,0.01542571776,0.011087234640000002,0.00690943608,0.00498122136,0.00273163752,0.0016068456,0.00096410736,0.1799667072
Jilin,0.045738736559999986,0.05884568675999999,0.01554755472,0.013468521240000001,0.030371967359999995,0.029377647000000003,0.26611628544,0.006056314920000001,0.09644907492,0.024677223480000003,0.013106950199999998,0.01184145156,0.006779456999999999,0.00795456288,0.0072314208,0.021603869640000002,0.0077737773599999985,0.010214381879999998,0.00479081628,0.008496919439999999,0.0054235656,,0.12835771919999994,0.006146707679999999,0.0029829610800000002,0.00262139004,0.0015366769199999999,0.00072314208,0.0004519638,0.00027117828,0.06743299895999999
Heilongjiang,0.04823207856000001,0.07234811784,0.017400180240000004,0.014856294240000003,0.039888132480000005,0.032052963600000005,0.12373461504,0.007021125360000001,0.15059805120000005,0.029610833040000006,0.013329962640000002,0.01872300096,0.01027729944,0.01078607664,0.007529902560000002,0.03317227344,0.0091579896,0.01200714192,0.005494793760000001,0.008242190640000003,0.00325617408,0.25917110568,,0.00620708184,0.0022386196799999997,0.0014245761600000005,0.0010175544,0.00193335336,0.00091579896,0.00040702176,0.07448498208000001
Shanghai,0.047968336080000014,0.1573155108,0.02166311952,0.15164183664,0.21714698376,2.1559961808000003,0.040747296240000015,0.02217890808,0.009799982640000001,1.06200864504,0.07943143824,,0.042810450480000005,0.07839986112000001,0.39922034544,0.0361051992,0.06602093568,0.09645246072,0.045389393279999996,0.05003149032,0.11347348320000003,0.01237892544,0.009799982640000001,0.03197889072,0.027852582240000003,0.01495786824,0.0056736741599999994,0.0051578856,0.004642097039999999,0.00103157712,0.13874712264
Jiangsu,0.13758876431999995,0.90271652688,0.0377530146,0.42031689588,0.26762692572,,0.07802289684000001,0.06627751452000001,0.02013494112,1.3129659522,0.10990322027999999,2.0780937147599996,0.10654739676000001,0.16863013187999995,1.70811417168,0.040269882239999985,0.10151366148,0.12248755848,0.06459960276,0.06459960276,0.15268997016,0.01845702936,0.01845702936,0.04698152928,0.05788795572,0.0335582352,0.01342329408,0.01090642644,0.0083895588,0.0025168676399999995,0.20218836708000001
