,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Shanghai,Sichuan,Shaanxi,Hubei,Anhui,Hainan,Hunan,Fujian,Heilongjiang,Yunnan,Chongqing,Jilin,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.73379105728,0.40842032544,0.34187650559999994,0.29547897984,0.23442960384,0.21184133472,0.2045154096,0.198410472,0.1495709712,0.13247714591999998,0.12331973952,0.12270924575999995,0.11538332064000001,0.1007314704,0.0946265328,0.08546912639999997,0.07264875743999999,0.06227036352000001,0.056165425920000005,0.05250246336,0.05250246336,0.05250246336,0.04639752576,0.035408638079999985,0.034798144319999995,0.02991419424,0.0183148128,0.014651850239999997,0.0091574064,0.0030524688,
Tianjin,0.97203203064,0.17156939183999995,,0.0651652452,0.027233236799999998,0.041044378319999984,0.04007176272,0.051937673039999986,0.02431539,0.0233427744,0.01867421952,0.0184796964,0.01536732648,0.01381114152,0.01867421952,0.01050424848,0.011282340959999998,0.011087817839999998,0.01342209528,0.00836449416,0.009726156,0.013033049040000001,0.006419262959999999,0.006030216719999999,0.0068083091999999994,0.00350141616,0.00330689304,0.0011671387199999998,0.0005835693599999999,0.00019452311999999998,0.33438524328
Hebei,,0.8642258064,0.9290427418799999,0.3934846285200001,0.08511314760000001,0.15975083088,0.42949403712,0.21212815248000005,0.18724892472,0.08576786412000001,0.03993770772,0.06023391984,0.10409992668,0.06285278592,0.07332825024000003,0.038628274680000005,0.038628274680000005,0.03077167644,0.03077167644,0.029462243400000008,0.02684337732,0.033390542520000004,0.02749809384,0.0229150782,0.02095092864,0.018986779080000002,0.014403763440000003,0.009166031280000002,0.0058924486800000005,0.00130943304,2.5010171064
Shanxi,0.40165195896,0.12269179187999997,0.04413525732,0.31823843436,0.04582464516,0.073910718,,0.0200614806,0.18667735632,0.03716653248,0.023440256280000002,0.04265704296,0.36342955908,0.03632183856,0.02871959328,0.023440256280000002,0.01816091928,0.01647153144,0.0029564287200000003,0.013937449679999998,0.01921678668,0.004434643079999999,0.01119219444,0.012881582279999998,0.017738572319999996,0.00929163312,0.01098102096,0.00549051048,0.0029564287200000003,0.0008446939199999999,0.19259021376
Inner Mongolia,0.16315407504,0.04028303664,0.020685883680000003,0.032506388639999995,0.023018878080000003,0.024885273599999997,0.15739935552,0.1337583456,,0.01539776304,0.01026517536,0.02597400432,0.23189964336,0.01057624128,0.008865378719999999,0.01228710384,0.00653238432,0.008865378719999999,0.13749113663999998,0.006843450240000001,0.00979857648,0.08989805088000001,0.0046659888000000005,0.0034217251200000004,0.06081338736000001,0.00528812064,0.15382209744,0.00513258768,0.0027995932799999997,0.00031106592000000003,0.14557885056
Liaoning,0.20468928096,0.11974033008,0.038560445280000015,0.036820876319999994,0.05740577568,0.0659586564,0.019425186719999998,,0.12959788751999998,0.04508382888,0.03290684616,0.02681835480000001,0.02449892952,0.01971511488,0.01609101288,0.031022313120000006,0.0166708692,0.03276188208,0.07030757879999999,0.015221228400000003,0.011452162320000002,0.21831590448,0.008552880720000001,0.01261187496,0.003624102,0.008117988480000001,0.0033341738400000003,0.0030442456800000004,0.00101474856,0.0007248204000000001,0.17207236295999995
Jilin,0.02337057684,0.03552079716,0.006695019359999999,0.010600447320000001,0.01531175724,0.015559720919999997,0.004463346239999999,0.20481799968,0.06961580316,0.01339003872,0.008306783279999999,0.00917465616,0.005331219119999999,0.00601311924,0.00421538256,0.0080588196,0.003099546,0.005083255439999999,0.11350537451999998,0.0044013553200000005,0.00272760048,,0.004091400720000001,0.0029135732399999986,0.0008678728800000001,0.0021696822,0.00068190012,0.00068190012,0.00043393644,0.00012398183999999998,0.03744251568
Heilongjiang,0.028141956360000005,0.029365519680000004,0.00955544688,0.00850667832,0.016314177599999997,0.01211910336,0.004486398839999999,0.08203700736000001,0.11047028832,0.01264348764,0.005709962159999999,0.007690969440000001,0.0044281339200000006,0.004486398839999999,0.00402027948,0.014100110639999996,0.00355416012,0.00565169724,,0.00297151092,0.0022140669600000003,0.14752677743999998,0.00279671616,0.00402027948,0.001456623,0.001456623,0.0006409141200000001,0.0008739738000000001,0.00046611935999999994,5.826491999999999e-05,0.053661991320000005
Shanghai,0.03611352924,0.14000176404,0.0197882352,0.13159176408,0.16918941096,2.15048646036,0.02176705872,0.03413470572,0.008904705839999999,1.0908264654000002,,0.06282764676,0.03561882336,0.07371117612000001,0.37993411584,0.03561882336,0.05639647031999999,0.0816264702,0.008409999960000001,0.04749176448,0.03858705864,0.00939941172,0.10240411716,0.02572470576,0.013851764640000002,0.026714117519999997,0.0049470588,0.0049470588,0.0034629411600000004,0.00098941176,0.11922411707999998
Jiangsu,0.12344342327999999,0.7770986586,0.03643811892,0.3740484452400001,0.22234688892000004,,0.058003536240000014,0.060978076560000004,0.01710360684,1.17196888608,1.81000778472,0.09369802008,0.09890346564000002,0.14872701600000002,1.5921227062800003,0.03569448384,0.09072347976,0.0966725604,0.01189816128,0.061721711639999996,0.06246534672,0.018590877,0.13311067932,0.03420721368,0.026770862880000003,0.04907991528,0.00966725604,0.0111545262,0.0074363508000000016,0.00223090524,0.18665240508
