,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Liaoning,Guangdong,Inner Mongolia,Zhejiang,Shanghai,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hainan,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Guizhou,Gansu,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,4.88716349256,0.6224817761999998,0.5397871168799999,0.3771239958,0.27443722104,0.25081017552,0.23263552512,0.22173073487999995,0.18992509668,0.13994480807999998,0.13630987799999994,0.13449241295999995,0.13176621539999994,0.11086536743999996,0.11086536743999996,0.0954169146,0.08814705443999997,0.0772422642,0.06906367152000001,0.06633747395999999,0.06361127639999999,0.05452395119999999,0.050889021119999996,0.034531835760000004,0.031805638199999986,0.03089690568,0.017265917880000002,0.01635718536,0.010904790239999995,0.00181746504,
Tianjin,1.0649948137199998,,0.18690094872,0.06641582687999999,0.04810890024,0.04832177148,0.05066335512,0.02511880632,0.031717814760000004,0.02213860896,0.018732669119999996,0.01851979788,0.015326729280000001,0.017881184159999997,0.0223514802,0.020861381519999996,0.01149504696,0.008514849599999999,0.017455441679999996,0.012133660679999998,0.009366334559999998,0.007663364640000001,0.005534652239999999,0.005534652239999999,0.00340593984,0.007237622159999999,0.0012772274400000001,0.00170296992,0.0012772274400000001,,0.37422763992
Hebei,,0.9188547012,0.8746977261600001,0.4181925283199999,0.40780265184,0.17013422735999997,0.23312285351999998,0.08571648096000001,0.19545955128,0.09156078648,0.04480634232,0.06104052431999999,0.09935319383999999,0.06753419712,0.07857344088,0.04740381143999999,0.042858240480000004,0.045455709599999984,0.04610507688,0.030520262159999995,0.03116962944,0.02987089488,0.03311773128,0.023377222080000003,0.01818228384,0.020779752959999998,0.015584814719999996,0.0097405092,0.00454557096,0.0006493672799999999,2.3344753716
Shanxi,0.4059486849599999,0.04198741596,0.12174240707999995,0.31585508387999994,,0.08355284783999997,0.0221541642,0.04578527267999999,0.14115367476,0.04156543187999999,0.02299813236,0.048528169199999985,0.34834785804,0.034813686600000004,0.028483925400000002,0.008650673639999997,0.02299813236,0.02131019604,0.006329761199999999,0.016668371159999997,0.023631108480000003,0.013925474639999998,0.012237538319999994,0.012237538319999994,0.009072657719999998,0.02067721992,0.014558450759999998,0.005696785079999999,0.0033758726399999994,0.00042198407999999993,0.21099204
Inner Mongolia,0.20892307967999998,0.030146618880000003,0.053983480320000006,0.03628110528,0.17982808704,0.02821863744,0.19998425664,0.02190888,,0.0210325248,0.01612493568,0.027342282239999998,0.19612829376,0.01297005696,0.01069153344,0.15388797312000002,0.015248580480000001,0.007186112639999998,0.11410144703999997,0.00736138368,0.008413009919999999,0.007536654720000001,0.004907589120000001,0.0043817759999999996,0.0057839443200000005,0.05818998528,0.14074264511999998,0.00508286016,0.0024537945600000004,0.00017527103999999999,0.17106453504
Liaoning,0.25589074500000003,0.050061534840000005,0.1516734234,0.05099204664,0.02121566904,0.08132673132000001,,0.05973885755999999,0.19336035204,0.05043373956,0.037220472000000004,0.03182350356,0.02121566904,0.020843464320000005,0.022332283199999997,0.13715743932,0.032754015360000006,0.01693531476,0.32549302763999993,0.02568212568,0.01470208644,0.01656311004,0.010607834519999998,0.015074291160000003,0.00911901564,0.0046525590000000006,0.00223322832,0.002605433040000001,0.00074440944,0.00074440944,0.19391865912
Jilin,0.04331417975999999,0.01620310392,0.05009194872,0.01408505112,0.0063541584,0.033147526319999995,0.34301865095999995,0.035265579119999994,0.09944257896,0.023192678159999997,0.018532962,0.0127083168,0.007413184799999998,0.007942697999999998,0.0084722112,0.20259175032,0.017579838239999996,0.007836795359999999,,0.01090797192,0.005718742559999999,0.007624990079999999,0.004447910879999999,0.005401034639999999,0.00338888448,0.00201215016,0.0005295132,0.0010590264,0.00031770791999999993,0.00031770791999999993,0.06767178695999998
Heilongjiang,0.05147908992000001,0.016749630360000003,0.06520053852,0.015992584919999997,0.0052993180800000005,0.027348266520000004,0.15358559364000002,0.032269061880000005,0.13361852015999998,0.020629488240000004,0.01826372124,0.01220735772,0.00955769868,0.007286562360000002,0.007381193040000002,,0.02327914728,0.007381193040000002,0.21367607544,0.009463068000000002,0.003595965840000001,0.0052046874000000005,0.00406911924,0.003785227200000001,0.0010409374800000005,0.00113556816,0.002081874960000001,0.0006624147600000003,0.00056778408,9.463068e-05,0.09141323688
Shanghai,0.04452959448,0.02049774984,0.16680927455999994,0.15903426599999998,0.02685912048,3.4422083351999997,0.04311595656,0.18589338648,0.01201592232,1.51400621232,,0.07775008559999999,0.046650051359999986,0.0918864648,0.5159778407999999,0.019084111919999997,0.038168223839999994,0.07209553392000001,0.0212045688,0.09400692168,0.04523641344,0.050184146159999984,0.13288196447999998,0.03110003424,0.027565939439999996,0.01555001712,0.0035340948,0.004240913759999999,0.004240913759999999,0.00070681896,0.14489788679999996
Jiangsu,0.14614610975999998,0.04175603136,0.8760067412399999,0.44104808124,0.06611371631999999,,0.06785355096,0.239227263,0.01913818104,1.4179652315999998,1.88076124584,0.10786974767999996,0.10960958231999998,0.17311354667999998,2.16696404412,0.0260975196,0.037406444760000004,0.10004049179999998,0.02870727156,0.10612991303999998,0.060024295079999984,0.06089421239999999,0.14962577904000002,0.043495866,0.05567470848,0.02870727156,0.012178842479999999,0.012178842479999999,0.006959338559999999,0.0017398346399999998,0.19834114896
