,Hebei,Shandong,Tianjin,Henan,Guangdong,Liaoning,Shanxi,Jiangsu,Inner Mongolia,Zhejiang,Sichuan,Heilongjiang,Shaanxi,Shanghai,Hainan,Hubei,Anhui,Hunan,Jilin,Yunnan,Fujian,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.4330726378000005,0.32764300416000003,0.27105991956000003,0.2618988487200001,0.20369910456,0.17028814032000006,0.16921036728000005,0.16004929644000002,0.13687717608,0.11532171528000006,0.10939396355999999,0.10131066575999999,0.09915511968,0.08783850276,0.08514407016000003,0.08191075104000001,0.08137186452000003,0.067360815,0.06358860936,0.05604419807999999,0.055505311560000006,0.046344240720000006,0.043110921600000005,0.036644283360000016,0.035566510319999994,0.030177645120000006,0.0188610282,0.017783255159999997,0.009161070840000002,0.0021555460800000005,
Tianjin,0.8091807659999999,0.12920523839999998,,0.06262498799999999,0.022248351,0.0390582162,0.035762164199999995,0.034608546000000004,0.02472039,0.0168098652,0.0149970366,0.023896377,0.014667431399999997,0.014008221000000001,0.010712169,0.014832234,0.0168098652,0.010052958599999998,0.014337826199999997,0.009393748199999998,0.008240129999999998,0.0057680909999999995,0.0084049326,0.005932893599999999,0.0056032884,0.0039552624,0.0009888156,0.0023072364,0.0008240129999999999,0.0003296052,0.2847788928
Hebei,,0.7870749523199999,0.7964152405199999,0.37485689976,0.08842139495999997,0.19240993692,0.36302586804,0.15068998295999997,0.15940758528,0.08966676671999999,0.06040053036,0.055419043319999986,0.07845842087999999,0.040474582200000005,0.0373611528,0.062268588,0.07160887619999999,0.03922921044,0.04234263984,0.029888922239999994,0.031134294,0.029266236359999993,0.029266236359999993,0.0186805764,0.02428474932,0.01930326228,0.011208345839999998,0.016189832879999998,0.00435880116,0.00124537176,2.51129215404
Shanxi,0.33527284128,0.10616666112,0.03280844736,0.29103673247999995,0.0433145232,0.016772857920000002,,0.06838165152,0.1133550288,0.036863424,0.04442042592,0.007372684799999999,0.30744095616,0.02045920032,0.02285532288,0.03446730144,0.027647567999999997,0.01880034624,0.00663541632,0.014376735359999998,0.014929686720000003,0.01032175872,0.021749420159999998,0.016588540800000003,0.01327083264,0.009031538879999999,0.00442361088,0.008294270400000001,0.0029490739199999998,0.0007372684799999999,0.188925048
Inner Mongolia,0.1639651248,0.04678270992,0.0180512064,0.031740037919999985,0.01985632704,0.17359243487999998,0.12620801807999998,0.027828943199999998,,0.017900779680000003,0.02617424928,0.13929514272,0.16366427136,0.011282003999999998,0.01639651248,0.01218456432,0.01113157728,0.008123042879999999,0.11297046672,0.0069196291200000004,0.007521336,0.004663228320000001,0.00917602992,0.05219807183999999,0.00421194816,0.0060170688,0.0067692023999999995,0.11643028128,0.00210597408,,0.15854976287999994
Liaoning,0.20224659960000002,0.14349717,0.033932860199999984,0.048957857999999986,0.0541912842,,0.0212713452,0.07141094460000001,0.1757418282,0.0504772398,0.0265047714,0.15801570719999994,0.019920783600000002,0.0288682542,0.0332575794,0.0172196604,0.016206739199999997,0.0172196604,0.2986429338,0.0170508402,0.0259983108,0.010973313,0.012830335200000001,0.0054022464,0.0148561776,0.00844101,0.0038828646000000004,0.0027011232,0.0010129211999999998,0.0006752808000000001,0.1632491334
Jilin,0.05140235376,0.05921727263999999,0.014639214240000004,0.01607011488,0.03830410944,0.34055435232000003,0.00671422608,0.030929467680000003,0.09895228271999999,0.029608636319999996,0.014419075680000002,0.20373823728,0.01023644304,0.01794129264,0.02047288608,0.008695473120000002,0.008255196,0.010676720159999998,,0.00671422608,0.008475334559999999,0.00484304832,0.00506318688,0.00187117776,0.006273948959999999,0.00319200912,0.0016510392,0.00099062352,0.0005503464,,0.07858946591999999
Heilongjiang,0.05358317184000001,0.07540207704,0.019484789760000003,0.014309142480000004,0.036229530960000006,0.16653406248000002,0.007002346320000001,0.034910248320000004,0.12147548616000002,0.02516785344000001,0.013700242800000005,,0.010351294560000005,0.019281823200000003,0.026487136080000005,0.010554261120000002,0.008626078800000003,0.011975027040000004,0.20956297320000006,0.00598751352,0.010148328000000002,0.005277130560000001,0.004871197440000001,0.00213114888,0.006900863040000003,0.0022326321600000007,0.00091334952,0.0025370820000000004,0.0006088996800000001,,0.10706486040000003
Shanghai,0.040174898400000006,0.13436271576,0.014284408319999999,0.12855967488,0.15221822616,0.03303269423999999,0.02365855128,1.94000120496,0.011159694,0.90661354056,0.06561900072,0.01740912264,0.036157408560000014,,0.03437185752,0.06874371504,0.34193302416,0.05535208224,0.016516347119999997,0.05088820464,0.07276120488,0.09418781735999998,0.03972851064,0.014284408319999999,0.02499771456,0.02722965336,0.005356653120000001,0.0044638776,0.00312471432,0.0008927755199999999,0.0937414296
Jiangsu,0.12388764024,0.7198678267199999,0.027856392480000002,0.37826048736,0.21185519544,0.06450954047999999,0.06084422568,,0.01979269992,1.1054589436799998,0.09309899592,0.027856392480000002,0.09603124776,1.7190326412,0.035920085039999994,0.14148115128,1.7043713820000002,0.08870061816,0.02712332952,0.06157728864,0.10042962552000001,0.12608682912,0.055712784960000004,0.032254770239999994,0.03885233688,0.05791197384000001,0.01172900736,0.01026288144,0.008063692559999999,0.00293225184,0.16420610304000002
