,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shanghai,Shaanxi,Hainan,Hubei,Heilongjiang,Anhui,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.2956283029599995,0.38498825016000005,0.30547358928,0.28430781624,0.23968807848000004,0.20479315536,0.20250496368,0.18305533440000002,0.15559703424000002,0.14644426752,0.1372915008,0.13557535704,0.11669777568,0.10354067352,0.09667609848,0.09495995472,0.08752333176,0.07036189416000001,0.06978984624,0.06921779832000001,0.056060696159999986,0.05377250447999999,0.05377250447999999,0.0371831148,0.0371831148,0.0343228752,0.01944962928,0.01830553344,0.011440958400000001,0.00228819168,
Tianjin,0.9220217104799999,0.13649263992000002,,0.06556789296,0.02764136664,0.03706942968,0.04006926792,0.04264055784,0.028927011600000007,0.02121314184,0.018427577759999998,0.02078459352,0.013070723759999998,0.01199935296,0.01628483616,0.02507007672,0.02057031936,0.010070885519999998,0.01521346536,0.010713708,0.00942806304,0.00878524056,0.00685677312,0.007499595599999999,0.0042854832,0.00342838656,0.0032141124,0.00064282248,0.00128564496,0.00021427416,0.6098242593600001
Hebei,,0.8863515460800001,0.94390684128,0.41085626111999995,0.09208847232,0.17355135168000002,0.4569004972800001,0.22225198608,0.2036571984,0.09740126880000002,0.06109715952000001,0.057555295200000016,0.10979779392,0.04692970224000001,0.07083728640000002,0.06021169344000001,0.07437915072000001,0.045158770080000014,0.044273304000000006,0.030991312799999997,0.033647711040000014,0.029220380640000005,0.034533177120000015,0.022136652000000003,0.025678516319999997,0.02125118592,0.016823855520000004,0.009740126880000002,0.0053127964800000005,0.0008854660800000002,4.551295651200001
Shanxi,0.4104835056,0.12656386079999998,0.045735062400000005,0.3196926144,0.041886072,0.07335722880000001,,0.020377008,0.17886484800000002,0.0389427264,0.0461878848,0.0276221664,0.3821821055999999,0.025131643199999998,0.0341880912,0.0072451584,0.0303391008,0.0210562416,0.006565924799999999,0.021509064,0.0174336624,0.0199241856,0.010641326399999998,0.017207251200000002,0.0095092704,0.010867737599999998,0.013584672,0.005433868799999999,0.0040754016,0.0002264112,0.29410814879999997
Inner Mongolia,0.20871746280000006,0.052585958160000015,0.02602191744,0.03867146064000001,0.023492008800000002,0.027648287280000003,0.14330125368000002,0.20185056792,,0.02150422344,0.024756963120000003,0.016263698400000002,0.22335479136,0.01481803632,0.011926712160000002,0.14763823992,0.011926712160000002,0.010119634560000002,0.11655650520000002,0.008493264720000001,0.00831255696,0.00921609576,0.00415627848,0.057826483200000015,0.003975570720000001,0.006866894880000001,0.13878355968,0.006866894880000001,0.0034334474400000005,0.0003614155200000001,0.23455867248000004
Liaoning,0.22740603876,0.15430435199999998,0.0405048924,0.047448588239999985,0.0655793496,0.08544603491999997,0.02526733764,,0.18670826592,0.04783434912,0.033368316119999984,0.044169620759999986,0.02140972884,0.033754077,0.02391717456,0.17301375468,0.02391717456,0.01870940268,0.33098283504000003,0.02546021808,0.017745000480000002,0.014658913439999997,0.011572826399999998,0.00501489144,0.01485179388,0.00829385892,0.0028932065999999995,0.0044362501200000005,0.0011572826399999998,0.00038576088,0.23492837592
Jilin,0.05073239628,0.06663706055999999,0.013698907919999998,0.01869088284,0.03436336224,0.03854269008,0.0069655464000000005,0.35489458908,0.10309008672,0.02681735364,0.015440294519999998,0.018806975280000002,0.01021613472,0.02054836188,0.009403487640000001,0.22498714872,0.008823025439999998,0.007778193479999998,,0.009751764959999996,0.0075460086,0.0073138237199999985,0.0060368068799999995,0.0030184034399999998,0.004759790039999999,0.00243794124,0.0010448319599999998,0.0013931092799999998,0.00034827731999999994,0.00011609244,0.08463138876
Heilongjiang,0.05855118047999999,0.08862106968,0.01860928992,0.017814990960000002,0.0476579376,0.03653775216,0.00703521936,0.18019239264000003,0.12232203984000001,0.028254348720000006,0.0153186228,0.02348855496,0.010212415200000002,0.03789940752,0.01236836952,,0.01009894392,0.0130491972,0.2343181932,0.01043935776,0.0107797716,0.006921748079999999,0.00556009272,0.002836782,0.008510346,0.00306372456,0.00260983944,0.0015885979200000002,0.0012481840800000002,0.00034041384,0.11642153328
Shanghai,0.04218916103999999,0.14030348904,0.01569829248,0.13539777264,0.19426636944000003,1.9637582749200002,0.024038010359999997,0.03483058644,0.0098114328,1.1106541929600002,0.07211403107999999,,0.04071744612,0.039736302840000015,0.07554803256,0.02305686708,0.3630230136000001,0.05935916844,0.018641722319999998,0.08634060864000001,0.05690631024,0.04562316252,0.11135976228,0.015207720840000001,0.02796258348,0.029434298400000006,0.005396288040000001,0.005396288040000001,0.003434001480000001,0.00049057164,0.14275634724000003
Jiangsu,0.13606631424,0.7877523456000001,0.033121405439999994,0.402827904,0.2640760704,,0.06534763776000001,0.07340419583999999,0.025064847360000003,1.30874310144,0.10831594751999997,2.842174656,0.10294490879999997,0.04117796352,0.16023598847999998,0.04117796352,1.60952126976,0.09936421632000002,0.02775036672,0.11905802496,0.06534763776000001,0.061766945279999985,0.1432276992,0.0313310592,0.046549002239999984,0.05729107968,0.010742077439999996,0.012532423680000002,0.00984690432,0.00268551936,0.24706778112
Zhejiang,0.07528660992000001,0.18409928832000003,0.01940982912,0.27761937408000004,0.29820555648,1.20752664192,0.033526068480000004,0.048818661119999995,0.0205861824,,0.1235170944,1.1869404595200002,0.06528760704,0.038231481600000006,0.15998404608000005,0.02823247872,0.5993519961599999,0.15292592640000002,0.02176253568,0.31232179584,0.09352008576,0.07763931648,0.43583889023999994,0.022938888959999997,0.05528860415999999,0.15880769279999998,0.008234472960000001,0.00941082624,0.00529358976,0.0011763532800000002,0.14939686656
Anhui,0.06346892700000001,0.1861755192,0.016454906999999998,0.4005594504,0.1212961716,1.9661263163999998,0.0263278512,0.0183354678,0.0075222432,0.6892255331999999,0.0385514964,0.4870652472,0.04372303860000001,0.018805608,0.133989957,0.009402804,,0.04842444059999999,0.008462523599999999,0.06346892700000001,0.0225667296,0.024447290400000002,0.1250572932,0.009402804,0.021156308999999998,0.020686168799999998,0.0032909814000000003,0.0042312618,0.002350701,0.0004701402,0.1133037882
Fujian,0.027460192320000004,0.05411862720000001,0.010021968,0.06754806432,0.4592065737600001,0.11164472352000003,0.017037345600000003,0.022850087039999998,0.007817135040000001,0.2928419049600001,0.05852829312000001,0.10242451296000002,0.025054920000000005,0.02164745088,0.06574411008,0.012226800959999999,0.05752609632,0.06694674624000001,0.008819331840000002,,0.04169138688,0.043094462400000005,0.22629603744000001,0.011425043519999999,0.04028831136,0.06333883776000003,0.00420922656,0.00420922656,0.003207029760000001,0.00060131808,0.06995333664
Jiangxi,0.02265820128,0.040939250040000014,0.0059220298800000005,0.050208514200000005,0.6604350714000001,0.1313145756,0.007724386800000002,0.00926926416,0.003604713840000001,0.42896094696,0.03012510852,0.13285945295999999,0.018281048759999998,0.02368811952,0.16324204104,0.0059220298800000005,0.10968629256,0.30150856476000004,0.0051495912,0.23842607256000006,0.024460558200000003,0.0205983648,,0.006694468560000001,0.040424290920000015,0.02909519028,0.0010299182400000002,0.00154487736,0.0012873978,0.0005149591200000001,0.05432818716
