,Hebei,Shandong,Henan,Guangdong,Tianjin,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shanghai,Shaanxi,Hainan,Hubei,Heilongjiang,Anhui,Fujian,Jilin,Hunan,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.46321853416,0.40118343552,0.29372358672,0.26327662956000003,0.26148563208000003,0.21491969760000004,0.21014370432,0.18805473539999998,0.16895076228000006,0.15402578328,0.13671280764000002,0.11999683115999997,0.11760883452,0.10925084628,0.10566885132,0.09910186056,0.08895287483999999,0.07522189416,0.07462489500000001,0.07402789584,0.05850591767999999,0.05193892692,0.0507449286,0.04955093028,0.03761094708,0.035819949600000005,0.01970097228,0.01970097228,0.010745984879999998,0.0029849958,
Tianjin,0.9841104072,0.16122920400000001,0.07204292279999999,0.0312254028,,0.045307447199999996,0.0422461332,0.047348323199999987,0.035103067200000004,0.0216332856,0.0189801468,0.021429197999999997,0.0146943072,0.010612555199999998,0.0191842344,0.0273477384,0.0230618988,0.009183941999999999,0.0191842344,0.0100002924,0.0079594164,0.008163504,0.0073471536,0.00510219,0.0077553288,0.005306277599999999,0.0036735768,0.001020438,0.0008163503999999999,0.00020408759999999997,0.3761334468
Hebei,,1.056531762,0.449310888,0.10825787699999999,0.9816466140000001,0.19535256,0.56163861,0.266167863,0.27919136699999997,0.118839474,0.07244324099999999,0.057791799000000005,0.128607102,0.056977829999999986,0.080582931,0.07162927200000001,0.08628071400000001,0.037442574,0.051280047,0.047210201999999986,0.036628605,0.030930822,0.036628605,0.03255876,0.026047007999999996,0.023605101,0.01627938,0.013837473,0.008953659000000001,0.0016279379999999998,3.1923864180000003
Shanxi,0.5330358381600001,0.13997896416,0.32763192335999997,0.05020984584,0.04488455916,0.07607552399999999,,0.02434416768,0.25180998444,0.047673995039999986,0.054774377279999995,0.028401528960000005,0.42145840296,0.02814794388,0.033219645480000004,0.00988981812,0.02764077372,0.016483030200000002,0.006846797159999999,0.02130114672,0.02079397656,0.02231548704,0.01217208384,0.014200764480000003,0.02510492292,0.011918498759999998,0.014200764480000003,0.00659321208,0.007100382240000001,0.0007607552399999999,0.2510492292
Inner Mongolia,0.27660754800000004,0.0682159968,0.0438828516,0.0266208768,0.0341079984,0.0303644376,0.1738676016,0.238132062,,0.0230852916,0.0295325352,0.013518414000000005,0.2497786956,0.016222096800000002,0.010814731200000002,0.15618967560000002,0.0118546092,0.0076950972000000015,0.1405915056,0.0085269996,0.0079030728,0.0118546092,0.005407365600000001,0.0039515364,0.07133563080000001,0.006863194800000001,0.17157987000000002,0.0087349752,0.0043674876,0.0002079756,0.22461364800000005
Liaoning,0.28507730975999995,0.18836251920000002,0.05551737408,0.07137948096,0.04582386431999999,0.09076650047999997,0.02775868704,,0.23154269904,0.060364128959999985,0.03304605599999999,0.03987557424,0.0264368448,0.03789281088,0.02489469552,0.19475142335999995,0.0264368448,0.026877458879999996,0.3831139425599999,0.02159008992,0.02136978288,0.014980878719999997,0.011896580159999998,0.015641799839999998,0.007049825279999998,0.009913816800000001,0.003965526719999999,0.005507676,0.00198276336,0.0006609211199999997,0.23418638352
Jilin,0.06765224975999999,0.08283405383999999,0.01877749452,0.03582373068,0.017978452199999998,0.03822085764,0.00878946552,0.40098607092,0.12797994491999998,0.029830913280000003,0.0139832406,0.01837797336,0.00945533412,0.02317222728,0.00985485528,0.25955558028000003,0.01038755016,0.01225198224,,0.010520723880000001,0.0079904232,0.006925033439999999,0.006125991119999999,0.0065255122799999996,0.0026634744,0.00359569044,0.0013317371999999998,0.0023971269599999995,0.00053269488,0.00039952115999999986,0.09455334119999996
Heilongjiang,0.07427150172000001,0.10272701556,0.019710011880000003,0.053256191040000005,0.021667960080000003,0.04672969704,0.00744020316,0.20140760484,0.13783955328,0.035373597480000005,0.01553305572,0.029630282760000005,0.013444577640000002,0.039942143280000016,0.01266139836,,0.011225569679999998,0.01200874896,0.287165736,0.014488816680000002,0.013444577640000002,0.00744020316,0.00548225496,0.01200874896,0.00208847808,0.00417695616,0.0018274183200000004,0.00156635856,0.0011747689199999999,0.00026105976,0.11656318284000002
Shanghai,0.0471414168,0.14340915215999997,0.13844689776,0.19898640144000002,0.01389431232,2.03105072592,0.02431504656,0.03126220272,0.01339808688,1.1115449856,0.07046401247999999,,0.03820935888,0.04317161328,0.07889984496,0.024811272000000002,0.35877099312,0.08733567744000001,0.01439053776,0.05259989664,0.054584798399999995,0.04168293696000001,0.11214694944,0.02580372288,0.016375439519999997,0.032254653599999995,0.003969803520000001,0.003969803520000001,0.0049622544,0.0004962254400000001,0.13298841792000002
Jiangsu,0.15886614888000006,0.92415684456,0.43047601632,0.2767345819200001,0.03331064412,,0.07003776456000001,0.07601659812000001,0.02476945332,1.3999011721200003,0.11872255212000002,2.028532815,0.11274371856,0.04441419216,0.17082381600000002,0.04356007308,1.61599329936,0.13153433832000005,0.0298941678,0.10505664684000003,0.07260012180000001,0.07089188364,0.16313674428,0.054663621120000006,0.035873001360000004,0.06235069284000001,0.011957667120000005,0.01452002436,0.00939530988,0.00256235724,0.23061215160000004
