,Hebei,Shandong,Henan,Tianjin,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hubei,Hainan,Anhui,Heilongjiang,Fujian,Hunan,Jilin,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.13169630068,0.31675808483999995,0.23316215148000002,0.21452932296,0.214025733,0.18733546512,0.16467391692,0.1535949378,0.14805544823999994,0.1359692892,0.1082718414,0.10373953176,0.0906461928,0.08963901288,0.08258875343999998,0.08258875343999998,0.08057439359999999,0.06748105464,0.06697746467999999,0.0654666948,0.05136617592,0.0478410462,0.04633027632,0.035251297200000004,0.03122257752,0.02820103776,0.01913641848,0.01812923856,0.01057538916,0.0015107698799999994,
Tianjin,0.7263890330399999,0.1040382144,0.049851644400000006,,0.02066314536,0.030055484160000003,0.02687653872,0.033523424639999994,0.02196362304,0.01705070736,0.013293771840000001,0.011559801599999999,0.015172239600000003,0.015316737119999998,0.00881434872,0.01705070736,0.023697593280000002,0.0086698512,0.007369373520000002,0.012137791680000001,0.007513871040000001,0.0062133933600000005,0.00520191072,0.00549090576,0.0057799007999999995,0.0028899503999999998,0.00231196032,0.0007224875999999999,0.00043349255999999993,,0.24246683855999998
Hebei,,0.7305432444000001,0.33186092040000004,0.7339123908000001,0.07749036720000001,0.148803966,0.3453375060000001,0.18811067400000006,0.19316439359999998,0.08366713560000001,0.0527832936,0.08591323320000001,0.039306707999999996,0.0567139644,0.0381836592,0.0640137816,0.051660244800000005,0.02526859800000001,0.035937561600000015,0.039306707999999996,0.028637744400000005,0.0258301224,0.024707073600000004,0.024707073600000004,0.020776402800000003,0.016845732000000002,0.01403811,0.0106689636,0.006176768400000001,0.0011230488000000002,2.1124547928
Shanxi,0.4160214432,0.11705701392,0.32955424128000005,0.0265111704,0.03833923104,0.07056049968,,0.017334226799999998,0.16498105272,0.03446452152,0.042213940559999996,0.34199409816,0.021208936319999996,0.031201608239999994,0.02365612128,0.02630723832,0.005710098240000001,0.01692636264,0.017334226799999998,0.00550616616,0.0193735476,0.01590670224,0.00876907944,0.0091769436,0.01753815888,0.007749419040000001,0.010400536080000002,0.00469043784,0.004078641599999999,0.0010196603999999998,0.19026863064
Inner Mongolia,0.21377720880000006,0.04814802,0.032740653599999996,0.0219875958,0.019901181599999998,0.026481411000000003,0.1383453108,0.1848883968,,0.0170123004,0.023271543,0.1889007318,0.008827136999999999,0.0093086172,0.0147653928,0.010271577600000002,0.11074044600000002,0.006098749200000001,0.007222203000000002,0.1076910714,0.013160458799999998,0.0069012162,0.0038518416,0.0032098680000000003,0.0544072626,0.006580229399999999,0.14027123160000002,0.006098749200000001,0.0027283878000000004,0.00032098680000000005,0.17445632579999998
Liaoning,0.22166651484000002,0.13243281624000003,0.0366942312,0.04186478196000001,0.05604209856,0.0642149046,0.01684598796,,0.18030210876,0.045033829200000014,0.027520673399999997,0.0216829548,0.0258527538,0.017846739719999997,0.02852142516,0.01851390756,0.14877842832000002,0.026186337720000005,0.0158452362,0.29188593,0.01451090052,0.01617882012,0.0091735578,0.01401052464,0.00350263116,0.007839222120000001,0.0026686713600000004,0.004169799,0.00150112764,0.0006671678400000001,0.17212930272000002
Jilin,0.053360985600000015,0.05931278784000001,0.014776888319999999,0.015289974720000004,0.030579949440000007,0.031195653120000007,0.00492562944,0.3019000377600001,0.10292513184000003,0.0241150608,0.01056957984,0.007593678720000002,0.013237629120000002,0.006567505920000001,0.01959990048,0.0072858268799999995,0.19866705408,0.01005649344,0.0087224688,,0.006464888640000001,0.005643950400000001,0.00420730848,0.005951802239999999,0.0018471110399999999,0.0028732838400000013,0.0007183209600000003,0.00133402464,0.0008209382400000001,0.00030785184,0.07347397248000001
Heilongjiang,0.060800699520000015,0.07687091808000003,0.018015022080000002,0.0214951968,0.040329083519999996,0.033982882560000004,0.008188646400000001,0.15742672704000005,0.10174393152,0.027534323520000004,0.012385327680000002,0.00910986912,0.017400873600000002,0.011157030720000002,0.034289956800000014,0.008905152960000001,,0.01156646304,0.009416943359999999,0.23265991584000004,0.006550917120000001,0.009416943359999999,0.005117904,0.007779214080000002,0.0014330131200000005,0.002866026240000001,0.00133065504,0.00133065504,0.0005117904000000001,0.00020471616000000006,0.09181519776000002
Shanghai,0.032008193279999986,0.1162202256,0.10783712735999999,0.010288347840000002,0.14746631904000002,1.57449826944,0.0209577456,0.02514929472,0.009526248000000001,0.8040153312,0.05563328832,0.03010294368,,0.0685889856,0.0323892432,0.28083379104,0.014860946880000002,0.06820793568,0.04648809024,0.013336747199999995,0.03391344288,0.03962919168,0.0895467312,0.02210089536,0.01257464736,0.02591139456,0.0057157488,0.0030483993599999997,0.0038104992,0.00038104991999999996,0.10821817727999998
Jiangsu,0.111877605,0.7045092611999999,0.3279612078,0.023014821600000002,0.2250338112,,0.0568977534,0.054340550999999994,0.017261116200000003,1.0241595612,0.0907806852,0.08566628039999999,1.4083792218000002,0.1336138254,0.0370794348,1.2798798012000001,0.031325729399999995,0.1003701942,0.083109078,0.026211324599999995,0.0562584528,0.0588156552,0.1208278134,0.0377187354,0.0268506252,0.049865446800000005,0.009589509,0.0121467114,0.0070323066000000005,0.0025572024,0.1796434686
Zhejiang,0.060720632640000015,0.16519583880000002,0.23797130292,0.01384073244,0.26029506492,0.92911497444,0.030806791560000005,0.040182771600000014,0.013394257199999999,,0.09197389944,0.05000522688000001,0.6866789191200001,0.13215667104,0.040182771600000014,0.49156923923999996,0.022770237239999998,0.24511490676000006,0.12545954244000002,0.01919843532,0.0625065336,0.07411488984,0.33351700428000003,0.04598694972,0.01875196008,0.13081724532000005,0.007143603840000001,0.00937598004,0.0044647524,0.0008929504800000001,0.11161881
Anhui,0.05241130272,0.16486999200000002,0.36583783488000005,0.011801220480000004,0.10725226848,1.34915717664,0.02325534624,0.01457797824,0.00728898912,0.5171711328,0.031238524800000007,0.03366818784,0.2811467232000001,0.10690517376,0.017007641280000003,,0.00728898912,0.046857787200000015,0.04234555584,0.005553515520000001,0.023602440960000002,0.01839602016,0.104128416,0.017007641280000003,0.00902446272,0.015966357119999997,0.00416513664,0.00312385248,0.002429663040000001,0.0006941894400000001,0.08087306976000001
Fujian,0.0213468048,0.0437923422,0.0506986614,0.006278471999999999,0.3595994838,0.0875846844,0.012556943999999999,0.0161670654,0.004081006799999999,0.2522376126,0.0506986614,0.0222885756,0.057918904199999996,0.048658158,0.0200911104,0.0395543736,0.0103594788,,0.053367012000000005,0.005650624799999999,0.0395543736,0.0370429848,0.17438455979999998,0.0386126028,0.006592395599999999,0.0472455018,0.0017265798,0.004081006799999999,0.0018835416,0.0004708854,0.0506986614
Jiangxi,0.02144851488,0.040266551520000006,0.04775329728,0.00424923408,0.4898759860800001,0.10279099583999998,0.00829612368,0.00930784608,0.0020234448,0.3449973384,0.02104382592,0.01193832432,0.08316358128000001,0.12990515615999998,0.01699693632,0.10076755104,0.004451578560000001,0.19081084464,0.23168442960000002,0.00424923408,0.0212461704,0.02185320384,,0.035814972960000004,0.004451578560000001,0.02448368208,0.0014164113600000005,0.0012140668800000001,0.00080937792,,0.04208765184
