,Hebei,Shandong,Henan,Guangdong,Tianjin,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hubei,Hainan,Anhui,Heilongjiang,Fujian,Jilin,Hunan,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.1638802834,0.3851019612,0.2912810867999999,0.2476434708,0.21818808,0.2078241462,0.185459868,0.17291405339999996,0.1598227686,0.14018584139999996,0.13527660960000001,0.11509421219999998,0.0960027552,0.09491181479999998,0.0938208744,0.092729934,0.09000258300000001,0.0747294174,0.0730930068,0.0720020664,0.0605471922,0.057819841199999986,0.0507287286,0.0430921458,0.0343646226,0.033819152400000003,0.0201823974,0.0185459868,0.0120003444,0.002727351,
Tianjin,0.8068567950000001,0.139638735,0.067086225,0.026006265000000004,,0.03809835,0.035613675,0.03942351,0.027994004999999995,0.019049175,0.013914179999999998,0.010104345,0.014411115,0.01523934,0.009441765,0.02020869,0.021036915,0.00828225,0.014742405,0.007122735,0.00894483,0.00828225,0.00596322,0.00430677,0.006791444999999999,0.00397548,0.00099387,0.001490805,0.001159515,0.00016564500000000002,0.276792795
Hebei,,0.8542134417599999,0.39659909796,0.09347016384,0.8048819664,0.16487098343999998,0.4258085241599999,0.20381688504000006,0.20316778668,0.08827737696,0.06296254092,0.09541745892,0.03634950816,0.06880442616,0.042191393400000006,0.07594450811999999,0.05452426224,0.030507622919999994,0.04348959012,0.03764770488,0.03829680324,0.03310401636,0.026613032759999995,0.0259639344,0.0194729508,0.01817475408,0.01168377048,0.01168377048,0.00584188524,0.0012981967199999999,2.50487057124
Shanxi,0.3853230102,0.135750654,0.31598575308000004,0.04030750188,0.03613055868,0.07434958896,,0.02339088192000001,0.16310963195999997,0.039054418920000014,0.055344497400000005,0.34940129868,0.01816970292,0.03404208708,0.024643964879999997,0.03174476832,0.007727344920000001,0.015454689840000002,0.0058477204800000005,0.019005091560000003,0.028194366600000006,0.015454689840000002,0.01086005232,0.009189275040000002,0.0187962444,0.0093981222,0.00689195628,0.00981581652,0.004594637520000001,0.0008353886400000001,0.19652517756
Inner Mongolia,0.2163794472,0.06474210443999999,0.041215132799999984,0.02352697164,0.02593118772,0.027648484919999997,0.14099010012,0.201782421,,0.024042160799999997,0.0283354038,0.20332798848,0.011505891239999998,0.01064724264,0.01562740452,0.011505891239999998,0.11402853407999998,0.007899567120000001,0.11540237183999998,0.008071296839999997,0.01253626956,0.007556107679999998,0.004293243,0.00309113496,0.06199442891999999,0.004293243,0.005151891599999999,0.13721204627999994,0.00274767552,0.00017172972,0.18306388152
Liaoning,0.2252467602,0.15669339840000002,0.04700801951999999,0.05893808508,0.0365024394,0.07923700260000001,0.021723402960000002,,0.19123717032,0.05413044672,0.02866776948,0.02083309956,0.02457237384,0.019408614119999997,0.031160619,0.022079524320000002,0.14903678916,0.023504009759999996,0.29949806376000004,0.01638158256,0.016737703919999996,0.016203521880000002,0.01032751944,0.01353261168,0.00676630584,0.00819079128,0.0049856990399999995,0.00284897088,0.00142448544,0.0005341820400000001,0.18945656352
Jilin,0.052264310399999986,0.06328964159999999,0.015371855999999996,0.032545929599999995,0.013675651200000001,0.034878211199999995,0.0066788064,0.3101934528,0.1021963392,0.0266092128,0.014523753600000001,0.0082689984,0.0124034976,0.007844947199999999,0.0250190208,0.010495267199999998,0.190292976,0.009011088,,0.0082689984,0.0081629856,0.007314883199999999,0.00530064,0.0061487424,0.0020142432000000003,0.0020142432000000003,0.0019082304,0.0007420896000000001,0.0006360767999999999,0.0002120256,0.0799336512
Heilongjiang,0.0552886884,0.08762735519999999,0.01533478716,0.039432309840000006,0.019507518360000003,0.036511398000000014,0.008032507559999999,0.15971128668000004,0.09889372944000002,0.027957299039999998,0.01262251188,0.010118873160000002,0.019194563520000003,0.00959728176,0.034425032400000014,0.009388645200000002,,0.011266374240000002,0.23784567840000004,0.00907569036,0.008449780680000001,0.008241144120000002,0.00594614196,0.00813682584,0.0014604559200000005,0.0023993204400000003,0.00187772904,0.00135613764,0.0010431828000000002,0.00041727312000000013,0.09983259396000002
Shanghai,0.042826420440000006,0.12968000208000002,0.1220753106,0.17090543483999998,0.01240765452,1.60939286532,0.020812839840000003,0.026816543640000003,0.00960592608,0.8221071736800001,0.06443975412,0.03482148204,,0.06884247024000001,0.035221728960000004,0.29978494308000003,0.01681037064,0.07404568020000002,0.014809136040000004,0.060437284920000015,0.03962444508,0.042826420440000006,0.090055557,0.02481530904,0.0140086422,0.0240148152,0.00240148152,0.0044027161200000005,0.002801728440000001,0.0004002469200000001,0.11246938452
Jiangsu,0.1287687456,0.7366927708800001,0.36394113888,0.2439828864000001,0.030497860800000012,,0.05828480064000001,0.060995721600000025,0.01897644672,1.0437045696,0.10504818720000003,0.09420450336,1.48965106752,0.14300108064,0.043374735360000014,1.3364840332799999,0.029820130560000005,0.10708137792000004,0.025076018880000002,0.09149358240000002,0.06641756352000001,0.06302891232000002,0.12741328512,0.04676338656,0.029820130560000005,0.056251609920000015,0.013554604800000002,0.009488223360000004,0.00609957216,0.00203319072,0.19247538815999998
