,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Sichuan,Zhejiang,Shaanxi,Heilongjiang,Hainan,Hubei,Anhui,Shanghai,Jilin,Hunan,Yunnan,Fujian,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.60794686852,0.32117036868,0.30432386879999995,0.26737025616,0.1874852406,0.17498622456000001,0.1548791118,0.15324880536,0.13477199903999998,0.1005355638,0.09401433804,0.09075372516,0.08640624132000001,0.08151532199999999,0.07825470911999999,0.07771127364,0.07227691884,0.06629912855999999,0.05923446731999999,0.052169806079999985,0.04782232223999999,0.03967079004,0.03749704812,0.0353233062,0.03043238688,0.027171774,0.015759628919999998,0.014672757959999998,0.008694967679999999,0.0021737419199999997,
Tianjin,0.8675924191199998,0.13799156112,,0.06005500704,0.01990587312,0.03508831872,0.035931787919999986,0.029521422000000002,0.02597885136,0.01484505792,0.0160259148,0.010459018079999998,0.0193997916,0.00995293656,0.013326813359999998,0.01720677168,0.011808568799999995,0.013832894879999995,0.00742252896,0.00742252896,0.0067477536,0.00742252896,0.00539820288,0.0067477536,0.00438603984,0.00489212136,0.00118085688,0.00202432608,0.0010121630399999998,,0.29082818015999995
Hebei,,0.7714555343999999,0.8629103437199999,0.3701742282,0.08336696903999999,0.38510562564,0.19348602516,0.14060399255999995,0.19473030828,0.06159201443999999,0.07963411967999999,0.0902105262,0.05474845728,0.038572776719999986,0.06283629755999999,0.06470272224,0.03172921956,0.0404392014,0.0373284936,0.029240653319999994,0.029240653319999994,0.029240653319999994,0.030484936439999995,0.02239709616,0.02239709616,0.01990852992,0.0124428312,0.015553538999999996,0.00684355716,0.0012442831199999998,2.42759636712
Shanxi,0.378240921,0.117316431,0.034657146,0.32366587500000005,0.041628411000000004,,0.020515437,0.06652578599999999,0.160936632,0.054575046000000016,0.031669461,0.327649455,0.005975370000000001,0.023503122,0.032266998000000005,0.02688916500000001,0.018523647000000004,0.005377833000000001,0.018722826,0.015934320000000002,0.014141708999999999,0.022108869000000003,0.009162234,0.019519542,0.008166339,0.011353203000000001,0.006971265,0.010755666000000002,0.004581117,0.00039835800000000013,0.17687095200000005
Inner Mongolia,0.213280776,0.056456676,0.02393631,0.036977472,0.020799828,0.15434793,0.19198571399999997,0.027072792,,0.022780764,0.018323658,0.200074536,0.098716644,0.01403163,0.011060226000000001,0.008584056,0.007923743999999998,0.12265295399999998,0.007923743999999998,0.007593587999999998,0.0070983539999999986,0.008584056,0.00495234,0.056291597999999984,0.00412695,0.004292028,0.005777729999999999,0.15055113599999995,0.0026412479999999997,,0.15913519199999998
Liaoning,0.20698618176000005,0.12609688608000005,0.036327528000000005,0.043431577920000006,0.053603285760000015,0.02292670656,,0.06248334816000001,0.17743979232,0.0258329088,0.04956689376,0.02228088384,0.13933625184,0.03035366784,0.01792158048,0.01840594752,0.02228088384,0.28771402176,0.015661200960000003,0.014531011200000003,0.02244233952,0.012754998720000002,0.01033316352,0.005489493120000001,0.0129164544,0.007749872640000001,0.0030676579200000003,0.0022603795200000004,0.0008072784000000001,0.00048436704000000004,0.15984112320000002
Jilin,0.04810070304,0.0613048176,0.0125753472,0.016138362240000002,0.03342946464,0.0057637007999999995,0.30138915456000004,0.03280069728,0.09976442112,0.013623292800000002,0.027665763839999996,0.010269866879999999,0.21346651872000005,0.02232124128,0.00702123552,0.007440413759999999,0.01404247104,,0.009012332159999999,0.006916440959999999,0.00869794848,0.00429657696,0.00607808448,0.0027246585600000004,0.00607808448,0.0028294531200000004,0.0018863020800000002,0.00251506944,0.0005239728,,0.06738290208
Heilongjiang,0.05775911063999999,0.08776384344,0.02121763248,0.019288756800000004,0.051115205519999984,0.006965384400000001,0.163418634,0.036434318400000006,0.08872828127999999,0.01296633096,0.029040294960000004,0.010073017439999998,,0.034291123199999995,0.0091085796,0.010073017439999998,0.018860117760000003,0.2534328324,0.010073017439999998,0.009751538160000002,0.0123233724,0.00675106488,0.005786627040000001,0.00182171592,0.00953721864,0.00310763304,0.0010715975999999999,0.00192887568,0.0015002366400000005,0.00042863904,0.09505070712000001
Shanghai,0.035931807360000005,0.11513632895999999,0.01313635968,0.11861360064000001,0.12749996160000002,0.01854544896,0.02356817472,1.71970402752,0.00811363392,0.054090892800000005,0.7843179456,0.028977264,0.01854544896,0.034386353280000004,0.05563634687999999,0.29209082112,,0.01429545024,0.0444318048,0.04095453312,0.05834089152000001,0.027818173439999996,0.077272704,0.011590905600000001,0.021249993600000003,0.027045446400000003,0.00309090816,0.00424999872,0.0034772716799999995,0.00038636352,0.07147725120000001
Jiangsu,0.12413610287999999,0.7136130067199999,0.02916859248,0.36494657568000005,0.21096354096,0.05630216688,0.05630216688,,0.01831516272,0.09293249232,1.03243250592,0.08886245616,0.031881949919999986,0.0373086648,0.13634621135999994,1.5554321524799999,1.49166825264,0.02577689568,0.08547075936000001,0.057658845600000015,0.0915758136,0.054945488160000014,0.11531769120000003,0.02916859248,0.03595198608,0.054945488160000014,0.01153176912,0.01085342976,0.008140072319999999,0.00203501808,0.14719964112
