,Hebei,Shandong,Henan,Tianjin,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hainan,Shanghai,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.2056297213600007,0.3569342727600001,0.2993125964400001,0.25076099879999997,0.21714835428000004,0.19420639056000005,0.18780398208000004,0.16646262048000002,0.14352065676000006,0.12431343132000006,0.1147098186,0.10724034204,0.09817026336,0.09283492296,0.08910018468000001,0.08910018468000001,0.0826977762,0.07362769752000001,0.06775882307999999,0.06242348267999999,0.050685733800000014,0.04695099552000001,0.045350393400000015,0.03521324664,0.03254557644,0.03254557644,0.022941963720000003,0.017073089280000002,0.011204214840000002,0.0026676702000000005,
Tianjin,0.8682789329999999,0.15510825755999996,0.06473451311999999,,0.02691210096,0.041641021079999986,0.03745873512,0.04400492184,0.030548871359999993,0.02473003872,0.01691098236,0.015274435679999997,0.01236501936,0.014728920119999999,0.01563811272,0.01982039868,0.020729591279999997,0.00981928008,0.0163654668,0.010910311200000002,0.008364571920000001,0.00800089488,0.00618250968,0.006909863759999999,0.00490964004,0.005273317079999999,0.0007273540799999999,0.00309125484,0.00109103112,0.00036367704,0.32439991968000004
Hebei,,0.84114339192,0.39555751895999997,0.85248315216,0.0933862608,0.4022279661600001,0.15675550920000006,0.20544977376000004,0.22212589176000005,0.08804990304000003,0.06403629312,0.11206351295999999,0.042023817360000014,0.050028354,0.06803856144000002,0.0767101428,0.05603175647999999,0.04335790680000001,0.049361309280000015,0.03201814656,0.032685191280000005,0.029349967680000005,0.029349967680000005,0.02601474408000001,0.024680654640000004,0.018010207440000002,0.013340894400000004,0.012673849680000002,0.0066704472,0.00200113416,2.6154823471200004
Shanxi,0.39254326272,0.12493761407999998,0.3123440352,0.03669784704,0.04659389568,,0.07071551424,0.02020443264,0.15813061056,0.0402026976,0.05277892608,0.3236832576,0.0247401216,0.01896742656,0.03174982272,0.028863475199999995,0.00783437184,0.01793658816,0.0061850304,0.014019402240000001,0.01587491136,0.01999826496,0.010514551680000001,0.020616768,0.01072071936,0.011751557759999998,0.00804053952,0.01072071936,0.00453568896,0.0008246707199999999,0.21503289024
Inner Mongolia,0.22209771672,0.060400996919999984,0.03490595856,0.027206114760000004,0.02190177792,0.16443444203999996,0.0222439932,0.2147400882,,0.01984848624,0.01830851748,0.20926464372,0.01557079524,0.00752873616,0.00872648964,0.011977534799999998,0.09188480268,0.007186520879999998,0.11943313272,0.007186520879999998,0.007015413239999998,0.008042059079999999,0.004962121559999999,0.05355669132,0.00359326044,0.0039354757200000005,0.00564655212,0.14321709468,0.004106583359999999,0.00017110764,0.18924504984
Liaoning,0.23073879348,0.15050587968,0.045741983039999996,0.042237556919999995,0.06271078320000001,0.02360876544,0.07488405288,,0.20860557588000006,0.045741983039999996,0.02600653068,0.02692874808,0.03522870468,0.028219852440000005,0.02360876544,0.023239878480000004,0.16729023636,0.01586213928,0.31576723776000004,0.021764330640000003,0.013833261,0.01217326968,0.011988826200000002,0.0057177478799999995,0.01180438272,0.00700885224,0.00442664352,0.0033199826399999996,0.0018444348,0.0009222174,0.19919895840000004
Jilin,0.05308830719999999,0.06569678016,0.01614769344,0.013935680639999998,0.03406499712,0.0072996422399999985,0.03417559775999999,0.3191934470399999,0.11425046111999998,0.02621235168,0.01139186592,0.009843456959999998,0.024553342080000002,0.015373488959999997,0.007963246079999998,0.008295048000000001,0.21146842368000002,0.008295048000000001,,0.00951165504,0.006525437759999999,0.005308830719999999,0.0068572396799999975,0.0038710223999999993,0.00564063264,0.00232261344,0.00210141216,0.0011060063999999998,0.00044240255999999993,,0.07885825631999999
Heilongjiang,0.062331612480000013,0.08120364047999999,0.017362265760000002,0.02124451152,0.043998785280000015,0.008842893119999999,0.03440101104,0.17189721504,0.09479150064,0.027714921119999996,0.01477410192,0.010784016,0.03623429376,0.018979868160000003,0.008842893119999999,0.01035265536,,0.01164673728,0.25062053184,0.01218593808,0.009489934080000002,0.005392008,0.005499848160000001,0.00194112288,0.006686089920000001,0.003019524480000001,0.0016176024000000002,0.0018332827200000005,0.0010784016,0.0005392008,0.1013697504
Shanghai,0.035162696160000007,0.12266056799999997,0.12920246495999999,0.014719268159999997,0.15005476151999994,0.01962569088,1.6857650728799998,0.02412324504,0.007768502639999998,0.88765364376,0.05478838704,0.03107401056,0.03434495904,,0.06378349536,0.33404561351999995,0.015537005279999997,0.0470198844,0.01308379392,0.07932050064,0.038433644639999986,0.0327094848,0.08913334608,0.011857188239999998,0.02330550792,0.02330550792,0.0020443428,0.00327094848,0.00286207992,0.00040886856,0.10262600855999998
Jiangsu,0.1351149012,0.7576604405999999,0.3973540374,0.0305098164,0.2353614408,0.06537817800000001,,0.058113936,0.0203398776,1.158646599,0.094435146,0.09806726699999999,0.0385004826,1.6591528727999998,0.15908689980000001,1.4811789437999998,0.032689089000000005,0.0915294492,0.025424847,0.10460508479999997,0.0668310264,0.054481815,0.1351149012,0.034868361599999995,0.043585452000000004,0.0566610876,0.012349211399999999,0.010896363000000001,0.007264242,0.0014528484,0.1823324742
