,Hebei,Shandong,Henan,Tianjin,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Heilongjiang,Hubei,Anhui,Hainan,Hunan,Jilin,Fujian,Yunnan,Jiangxi,Chongqing,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.2298283126,0.3590989362,0.2875992966,0.2443793652,0.2102302836,0.20809596600000002,0.1878199488,0.168077511,0.1483350732,0.1221896826,0.1115180946,0.10404798300000001,0.0976450302,0.0939099744,0.08964133919999999,0.08910775979999999,0.08910775979999999,0.0714996396,0.06989890139999999,0.0581601546,0.049089304800000004,0.0442870902,0.0405520344,0.0368169786,0.0330819228,0.0272125494,0.0224103348,0.0170745408,0.010671588000000001,0.0021343176,
Tianjin,0.82684202544,0.15653805335999998,0.07678566719999999,,0.02670047064,0.03856734648,0.038741859360000006,0.04450078440000001,0.02896913808,0.022163135759999997,0.01692774936,0.01465908192,0.01605518496,0.023908264559999996,0.017625800880000004,0.024257290319999996,0.012041388719999999,0.01029625992,0.01640421072,0.01116882432,0.00802759248,0.007329540959999999,0.00820210536,0.0052353864,0.006107950799999999,0.00331574472,0.0008725644000000001,0.00191964168,0.0008725644000000001,,0.27695194056
Hebei,,0.7639678846799999,0.3721894822799999,0.8055201394800001,0.0949765824,0.31935875832,0.16027298280000002,0.192921183,0.19826361576,0.08310450959999999,0.06292198584,0.07954288776,0.04392666936,0.06351558948000001,0.06529640040000001,0.07301324772000001,0.03799063296,0.04214585844,0.04689468756,0.03146099292,0.02908657836,0.02849297472,0.026712163800000004,0.02552495652,0.01899531648,0.016620901920000004,0.012465676439999998,0.01365288372,0.00474882912,0.00118720728,2.2105799553599996
Shanxi,0.3056855241600001,0.1093550544,0.25923081888,0.029839518720000006,0.041707509120000014,,0.06290034912,0.02068421184,0.1246138992,0.033230373120000004,0.048828303360000005,0.23871614976,0.017971528320000003,0.007629422400000001,0.028144091519999997,0.02594003616,0.02644866432,0.016106558400000002,0.006612166080000001,0.013393874880000002,0.017123814719999998,0.00949439232,0.01814107104,0.0093248496,0.017462900160000003,0.01000302048,0.0057644524800000005,0.009833477759999999,0.0025431408000000004,0.0006781708800000001,0.17479854432000005
Inner Mongolia,0.21279571236000006,0.06498070128,0.0345813138,0.02460902796,0.020909631600000003,0.15280115400000002,0.02686083444,0.20700535284000002,,0.0168885486,0.01914035508,0.18191379491999998,0.008685539280000001,0.09602346204,0.01061565912,0.01013312916,0.016406018640000002,0.00675541944,0.11580719040000002,0.006272889480000001,0.00836385264,0.00386023968,0.007077106080000002,0.00369939636,0.04326685308,0.00466445628,0.005790359520000001,0.12127586327999999,0.0030560230800000003,0.00016084332000000005,0.17145897912000002
Liaoning,0.224829675,0.14283297,0.042144543000000007,0.043202565000000005,0.059425569,0.025039854,0.06859509300000001,,0.20296388699999998,0.048845349,0.025921539,0.022747472999999997,0.02468718,0.16928352000000002,0.018339048,0.019220733,0.033327693000000005,0.017633700000000002,0.2971278450000001,0.024510842999999997,0.014459634,0.009522198,0.01058022,0.011814578999999999,0.003703077,0.006524469000000001,0.003526740000000001,0.0028213920000000003,0.001410696,0.0007053480000000001,0.183743154
Jilin,0.05273936892,0.06406313004,0.014154701399999999,0.014364400679999997,0.033656734439999995,0.007339474799999998,0.031874290560000004,0.30070876752,0.10736603136,0.024954214319999998,0.01069466328,0.00849282084,0.01373530284,0.20487619656,0.0075491740799999985,0.008178271919999999,0.02285722152,0.008597670479999998,,0.00870252012,0.007968572640000001,0.005452181279999999,0.004298835239999999,0.0047182338,0.0020969928,0.00241154172,0.0017824438799999996,0.0008387971199999999,0.0006290978399999999,0.00020969928,0.07098320627999999
Heilongjiang,0.05924234052000001,0.08110181375999999,0.018163427040000003,0.02038105476,0.043296541200000004,0.008342504280000001,0.03453163164,0.16252043148,0.08944431804000001,0.02618912736,0.01256655708,0.010560132,0.0179522244,,0.010876935959999999,0.00971532144,0.03410922636,0.01140494256,0.25439357988,0.0110881386,0.008553706920000001,0.006864085799999999,0.0058080726,0.007708896359999999,0.00190082376,0.0031680396000000003,0.0017952224400000004,0.0021120264,0.0005280066,0.00042240527999999996,0.09937084212000001
Shanghai,0.03761950068,0.12013969572000001,0.13672463687999994,0.01496689812,0.14764642739999995,0.01982102724,1.6843828046399998,0.027102220919999996,0.009303747480000001,0.8430004238400001,0.06229465704,0.030338306999999995,,0.01577591964,0.06755329691999999,0.31834996812,0.032360860799999995,0.04530520512,0.014562387359999996,0.07604802287999997,0.03600145764,0.08777883491999999,0.032765371560000006,0.02143907028,0.0121353228,0.02507966712,0.0028315753200000003,0.004854129119999999,0.0028315753200000003,0.00040451076,0.10759986215999998
Jiangsu,0.12748998240000006,0.7222135219200001,0.40521140351999996,0.031011076800000006,0.23361677856,0.06408955872000001,,0.05719820832000001,0.019295781120000004,1.09641384864,0.0930332304,0.09716804064,1.48301860608,0.036524157120000005,0.15367711392,1.4161725072000002,0.0413481024,0.0930332304,0.02480886144,0.10957247135999999,0.059265613439999996,0.13231392768,0.05719820832000001,0.037902427200000005,0.03238934688,0.05650907328,0.01447183584,0.009647890560000002,0.00620221536,0.00206740512,0.16608154464000002
Zhejiang,0.07679441520000002,0.18331570080000006,0.3027186302400001,0.016845226560000006,0.26209190736000004,0.033195005280000016,0.9874275451200002,0.042608514240000006,0.012881643840000002,,0.10998942048000004,0.06490366704000003,0.7079949633600001,0.02675418336000001,0.16151599584,0.5499471024000001,0.038644931520000016,0.14962524768000005,0.019322465760000004,0.2705145206400001,0.08670337200000003,0.3909083457600001,0.06936269760000001,0.05004023184000001,0.019322465760000004,0.18480204432000005,0.010899852480000005,0.007927165440000002,0.004954478400000001,0.0014863435199999999,0.1015668072
Anhui,0.059220110879999996,0.17985367007999994,0.3882207268799999,0.014987805839999997,0.1078390908,0.0201055932,1.39679039304,0.01608447456,0.008407793519999998,0.5582043784799999,0.032534505359999986,0.036190067759999986,0.29171387952,0.00950446224,0.12136467167999998,,0.020836705679999998,0.043135636320000004,0.006580012319999999,0.05081231735999999,0.01864336824,0.11368799064,0.0201055932,0.01937448072,0.008773349759999998,0.016815587039999996,0.00584889984,0.00402111864,0.00219333744,0.0010966687199999998,0.07713236663999998
Fujian,0.025311589559999997,0.045866638800000005,0.06132539484,0.007474563359999999,0.36268619939999996,0.01257085656,0.09275253624,0.016987644,0.0054360460800000005,0.26891440452,0.059456754,0.02327307228,0.06489280008,0.009173327759999999,0.05453033723999999,0.04773527964,0.02191406076,0.06608193516000001,0.0054360460800000005,,0.037202940360000006,0.20436135732,0.04450762728,0.03771256968,0.01002270996,0.05402070792,0.005266169639999999,0.00152888796,0.00203851728,0.0006795057600000001,0.04467750372
Jiangxi,0.021600999,0.037030284,0.0477279216,0.0047316474,0.48345093,0.008434675799999998,0.1036847952,0.0090518472,0.0026744094,0.34767322199999995,0.026744094,0.0162521802,0.0763235298,0.0043201998,0.14050935539999998,0.1047134142,0.017897970599999997,0.247897179,0.0032915808,0.190294515,0.0242754084,,0.0189265896,0.038058903000000005,0.004114476,0.029624227200000002,0.0018515142000000001,0.0016457904,0.001028619,0.0002057238,0.0394989696
Shandong,0.68275020528,,0.5772776688,0.12760874783999998,0.14063004864000006,0.10503849312,0.79039295856,0.13628961504,0.0585958536,0.2148514632,0.07856184816,0.09635762592,0.13064705136,0.08246823839999999,0.08854484543999999,0.19792377216,0.0368936856,0.060332027039999986,0.05772776687999999,0.05642563680000001,0.04817881296,0.05468946336,0.03385538208,0.0412341192,0.024306428160000004,0.028646861760000003,0.015191517599999997,0.010417040639999998,0.006510650400000001,0.0008680867200000001,0.34983894816
Henan,0.30182360291999993,0.5158295913600001,,0.0415353582,0.24802542467999994,0.21717058716,0.3789606967199999,0.03283271172,0.024130065239999998,0.26424399312,0.08030169251999998,0.20649006648,0.11511227844000001,0.01542741876,0.33426073979999993,0.40862880971999993,0.05063357951999999,0.08900433899999999,0.01424069424,0.06487427375999999,0.03916190916,0.06012737567999999,0.04390880723999999,0.039557484,0.035206160759999994,0.0336238614,0.02689908912,0.01226282004,0.01107609552,0.00356017356,0.24050950272
Hubei,0.044340035039999996,0.07112411712000001,0.29304936864,0.00945320544,0.30160226879999996,0.0213822504,0.135045792,0.0157553424,0.0072024422400000015,0.1361711736,0.06819812496000001,0.07787640672,0.05604400368000001,0.0078776712,,0.11051247312000002,0.028584692640000006,0.3139814664,0.005851984320000001,0.05424339312,0.032636066400000004,0.14967575280000006,0.12109106016,0.04569049296,0.01170396864,0.030610379520000005,0.006752289600000001,0.003151068480000001,0.0022507632000000003,0.0013504579199999998,0.08215285680000001
Hunan,0.0308199816,0.0415399752,0.0750399552,0.0058959964799999995,0.9066434587200001,0.014471991360000004,0.07825595328,0.012059992800000002,0.005359996800000001,0.12059992800000001,0.05386796784,0.028675982880000006,0.041807975040000014,0.01125599328,0.30712781664000005,0.039663976319999995,0.040199976,,0.00643199616,0.05467196736,0.056279966400000006,0.24173585568000006,0.0629799624,0.19027988640000001,0.00857599488,0.16455190175999998,0.00616399632,0.0029479982399999998,0.0029479982399999998,0.00107199936,0.06244396272000001
Guangdong,0.07172011836000003,0.1072450368,0.2446527402,0.019438162919999998,,0.034184355480000005,0.1977330366,0.045579140640000015,0.01407591108,0.23459851800000006,0.23392823652000005,0.08847715536,0.12936432564,0.0368654814,0.31436201412000003,0.09853137756,0.17360290332000003,1.0429579828800002,0.026140977720000003,0.3880929769200001,0.19237078476,0.52684124328,0.1374077034,1.69648242588,0.02077872588,0.23862020688,0.01206506664,0.006702814800000001,0.0046919703600000005,0.00201084444,0.17025149592
Guangxi,0.02295114588,0.031842130319999995,0.03349626696000001,0.004135341599999999,1.1175760673999997,0.008063916119999999,0.03907897812,0.01219925772,0.0028947391200000003,0.04218048432,0.049417332120000004,0.019436105519999997,0.01798873596,0.008477450279999998,0.034530102359999995,0.017161667639999996,0.0454887576,0.18174826332,0.00454887576,0.03597747191999999,0.1013158692,0.034530102359999995,0.0268797204,,0.006409779479999999,0.12881589083999995,0.0020676708,0.00227443788,0.0020676708,0.0006203012399999999,0.028947391199999988
