,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Sichuan,Zhejiang,Shaanxi,Shanghai,Heilongjiang,Hubei,Hainan,Anhui,Jilin,Hunan,Fujian,Jiangxi,Yunnan,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.56095345492,0.37338782544,0.33396178176,0.29569532759999995,0.20350796075999997,0.19365144984000002,0.19191206556,0.17567781227999998,0.15770417472,0.12755484720000002,0.12233669435999996,0.10842162012,0.10088428823999998,0.09566613539999999,0.09392675112,0.08870859828,0.08580962447999999,0.0695753712,0.06609660263999999,0.05566029696,0.05044214411999999,0.0492825546,0.0492825546,0.031888711800000004,0.03130891704,0.02551096944,0.02087261136,0.01507466376,0.008117126640000001,0.0017393842799999998,
Tianjin,0.8926195302000001,0.16499094120000002,,0.07026018732000001,0.03021744204,0.0398573622,0.042081959160000015,0.04745806848,0.029105143560000005,0.0194652234,0.02206058652,0.01631371104,0.016869860280000003,0.022802118840000003,0.017240626440000004,0.01167913404,0.019650606480000003,0.01557217872,0.00945453708,0.009639920159999999,0.0055614924000000005,0.00815685552,0.008342238600000001,0.0070445570400000015,0.006673790880000001,0.00444919392,0.0009269154,0.0027807462,0.00111229848,0.00037076616,0.3077359128
Hebei,,0.8307523458,0.8934628341599999,0.38272792895999996,0.09503548236,0.43509441924,0.16356446964000002,0.20752646148,0.22174945884,0.06529648788,0.08921698344000001,0.10796547996,0.03749699304,0.05689198944000001,0.06852898728,0.0387899928,0.07434748620000001,0.04331549196000001,0.0387899928,0.027152994960000003,0.03103199424,0.032324993999999996,0.029092494600000005,0.02068799616,0.024566995440000003,0.01680899688,0.01099049796,0.014869497240000001,0.00387899928,0.00129299976,2.38817055672
Shanxi,0.40009990824,0.12523364639999998,0.042104415599999986,0.33078956256,0.04663873728,,0.06974218584,0.0226716084,0.20145343464,0.05678698104,0.03713825376,0.37937158056000003,0.0172736064,0.007125362640000001,0.03303577224,0.02742185016,0.0259104096,0.005829842159999999,0.01748952648,0.015762165839999998,0.00993232368,0.016409926079999998,0.02223976824,0.01554624576,0.011227844159999998,0.0086368032,0.005613922079999999,0.01338704496,0.00302288112,0.0006477602399999997,0.18763454952
Inner Mongolia,0.2059498548,0.05773082544,0.0267572646,0.033243874199999995,0.02075715072,0.1548678042,0.02448695124,0.2010848976,,0.024324786,0.015730028280000002,0.19654427087999995,0.008594757719999999,0.09470450016000001,0.011838062520000001,0.016054358759999998,0.00956774916,0.1200022776,0.0071352705599999995,0.00632444436,0.00421629624,0.00600011388,0.00924341868,0.049622563439999996,0.00421629624,0.00340547004,0.005027122439999999,0.13638096684,0.0037298005200000002,0.00016216524,0.16119224855999995
Liaoning,0.22378801824,0.13616545823999998,0.0446875056,0.04083211296,0.06378922367999999,0.02173039488,0.07079902848,,0.20573777088,0.033822308159999995,0.04766667264,0.02733823872,0.0297916704,0.1559681568,0.019101718080000003,0.0297916704,0.019101718080000003,0.2993186649599999,0.017174021759999998,0.02313235584,0.01033946208,0.014194854719999999,0.0113909328,0.005082108479999999,0.012617648640000001,0.00683455968,0.00368014752,0.00280392192,0.0019276963199999998,0.00035049024,0.16963727616000002
Jilin,0.052522382879999996,0.05946749136000001,0.016060563360000002,0.013890216960000002,0.03320629992,0.007053625800000001,0.03331481724,0.3130724682000001,0.11296653012,0.0130220784,0.024090845040000003,0.009766558800000002,0.01399873428,0.22159236744,0.008789902920000002,0.02137791204,0.00954952416,,0.00954952416,0.008681385600000001,0.005859935280000001,0.0060769699200000004,0.0043406928,0.00227886372,0.006945108480000001,0.00282145032,0.0017362771200000002,0.00097665588,0.0007596212400000003,0.00021703464000000005,0.06923405016
Heilongjiang,0.061741874160000015,0.08018014716,0.019807973280000002,0.018122188320000003,0.04172317776,0.0069538629599999995,0.035717568840000005,0.16973747315999999,0.09040021848000003,0.017490018960000003,0.028342259640000006,0.012116579399999999,0.0189650808,,0.00937717884,0.032029914240000006,0.01169513316,0.24918008940000003,0.01064151756,0.010746879120000002,0.005794885800000001,0.008218201680000002,0.005900247360000001,0.00221259276,0.010009348199999999,0.002950123680000001,0.00136970028,0.0017911465200000005,0.00063216936,0.00021072312,0.08787154104000001
Shanghai,0.037413916200000015,0.11840404068000003,0.018046712519999997,0.13733108064000002,0.15185648340000002,0.018046712519999997,1.8684949914000004,0.027730314360000004,0.008363110679999999,0.06118275708,0.9670396928399999,0.03477293388000001,,0.019807367400000005,0.06206308452000001,0.03477293388000001,0.3481695025200001,0.014965566480000003,0.05017866408,0.07570815984000001,0.0924343812,0.039174571080000005,0.03565326132000001,0.01188442044,0.02024753112,0.022448349720000003,0.0022008186000000004,0.003961473480000001,0.0022008186000000004,0.0004401637200000001,0.10651962024000003
Jiangsu,0.13318278875999998,0.7370856986400001,0.03382420032,0.3748848868800001,0.23395071888,0.05848767972,,0.05919235056,0.019730783520000003,0.10076793012,1.11126591468,0.10288194264,1.5869187316799998,0.03452887116,0.15220890144000002,0.04087090872,1.4466892345200002,0.026072821080000003,0.09231188004,0.10851930935999998,0.12754542204000002,0.06342037560000001,0.06060169224,0.03030084612,0.03734755452,0.05073630048,0.013388745959999998,0.009865391760000002,0.007751379240000002,0.00211401252,0.17687238083999998
Zhejiang,0.07346356559999999,0.17833913856,0.016719294239999998,0.29182768128000003,0.27004193424,0.03394523376,1.04470256736,0.04002497712,0.015199358400000001,0.1165284144,,0.06789046752,0.7701008255999999,0.025332264,0.14946035759999998,0.03698510544,0.5476835476799999,0.023812328159999997,0.14946035759999998,0.2710552248,0.38454376752,0.0911961504,0.07650343727999999,0.021279101759999995,0.050157882719999984,0.17985907439999996,0.009119615040000001,0.00709303392,0.005066452799999999,0.00101329056,0.10588886352
Anhui,0.060375974400000004,0.17131682735999998,0.016603392959999998,0.41055662592,0.11735580024,0.0207542412,1.44449518752,0.016603392959999998,0.0075469968000000005,0.0339614856,0.5920618989599999,0.037734984,0.29471022504,0.009433746,0.11961989927999997,0.019244841840000002,,0.0064149472800000005,0.04867812936,0.056602475999999985,0.1094314536,0.018867492,0.0226409904,0.008301696479999999,0.018867492,0.015848693280000003,0.0037734984000000003,0.00301879872,0.00150939936,0.0007546996799999999,0.07999816607999999
Fujian,0.02351063232,0.04228404768,0.008246266559999998,0.05877658080000001,0.4052952288,0.0114044112,0.09702522143999999,0.01561527072,0.0042108595200000005,0.06158382048,0.26861774688,0.02912511168,0.07140915936,0.008772624,0.05649569856000001,0.02122975008,0.04789852704,0.00649174176,0.06526832256000001,,0.2087884512,0.03316051872,0.04175769024,0.008421719040000001,0.038774998080000005,0.053688458880000005,0.004035407039999999,0.0028072396800000003,0.0026317871999999996,0.00035090496000000004,0.05193393408
