,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Liaoning,Guangdong,Inner Mongolia,Sichuan,Zhejiang,Shaanxi,Shanghai,Hubei,Heilongjiang,Anhui,Hainan,Jilin,Hunan,Fujian,Chongqing,Yunnan,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,4.82276993112,0.7406681795999999,0.51625015632,0.35037596520000003,0.26522130024,0.21643477344,0.21377369016,0.20046827376,0.19337205168,0.12684496968,0.12507091416,0.12507091416,0.11265252552,0.10112116463999997,0.0975730536,0.09225088704,0.07983249840000001,0.07007519304,0.06918816528,0.054995721119999987,0.053221665599999995,0.0487865268,0.044351388,0.0310459716,0.030158943839999997,0.025723805040000002,0.02040163848,0.015966499680000003,0.0088702776,0.00177405552,
Tianjin,1.1636047872000002,,0.19976730624000003,0.07249803264,0.04340791296,0.043180646399999995,0.052498575360000015,0.025226588160000004,0.033408184320000006,0.016363192319999997,0.020908523520000003,0.016590458880000002,0.014772326400000002,0.017954058240000004,0.02431752192,0.02136305664,0.013408727040000002,0.0181813248,0.007727063040000002,0.008636129280000002,0.007499796480000002,0.007727063040000002,0.0070452633600000016,0.0070452633600000016,0.004318064640000001,0.0054543974400000006,0.0006817996800000001,0.003863531520000001,0.0011363328000000002,,0.40953434112
Hebei,,0.99357053652,0.83243335824,0.40643102052,0.4227404515200001,0.16439906448000002,0.23224629744000003,0.09198519084,0.22767965676,0.06393296952000001,0.08285190948,0.09981371772,0.036533125440000015,0.06654247848000001,0.058713951600000015,0.07567575984,0.04240452060000001,0.0456664068,0.03718550268,0.028052221319999997,0.029356975800000008,0.03066173028,0.028704598560000006,0.02152844892,0.02674746684,0.017614185480000003,0.0097856586,0.01239516756,0.006523772400000001,0.0013047544800000002,2.3192010882
Shanxi,0.44181847224,0.046069576200000004,0.12382603164000001,0.36091580184,,0.06921672912000001,0.02202350472,0.044945927999999996,0.19461586824,0.05798024712,0.036406201680000014,0.37529849880000005,0.017304182280000004,0.034158905280000006,0.00966337452,0.02741701608,0.02629336788,0.00651715956,0.01842783048,0.014832156240000003,0.022248234359999997,0.016629993359999998,0.01033756344,0.018203100840000003,0.00966337452,0.010112833800000002,0.0053935113600000004,0.012135400560000002,0.004494592800000001,0.0011236482000000002,0.20405451312000006
Inner Mongolia,0.2306390598,0.02911489272,0.05226649416,0.03665670228,0.18117882036,0.026308638,0.214853877,0.0210469104,,0.021573083160000003,0.018416046600000003,0.22029099552000006,0.008594155079999999,0.009821891520000002,0.0990958698,0.00894493692,0.01455744636,0.13119240816000002,0.007541809559999999,0.0061386822,0.008594155079999999,0.007717200480000001,0.00403399116,0.05402040336,0.00420938208,0.0036832093200000002,0.005612509440000001,0.1552209642,0.0019293001200000003,,0.16697215584
Liaoning,0.23465294999999994,0.046678275,0.13733145,0.044155125,0.022528125,0.07389224999999999,,0.0605556,0.20545650000000001,0.031178925,0.045236474999999984,0.0259524,0.0302778,0.0201852,0.16040025000000002,0.02126655,0.032440500000000004,0.32548635,0.01766205,0.020365425,0.0115344,0.015859799999999997,0.00973215,0.006307874999999999,0.013516875,0.008650799999999998,0.004145175,0.0021627,0.000901125,0.0005406749999999999,0.16995217499999998
Jilin,0.049939772400000006,0.016109604,0.057074025599999995,0.016684947,0.0067890474,0.029112355800000007,0.361890747,0.0334849626,0.1296823122,0.0118520658,0.022438377,0.008745213600000001,0.0148438494,0.0078246648,0.2339344638,0.0102411054,0.021172622400000004,,0.0078246648,0.008054802,0.004257538200000001,0.0067890474,0.0065589102,0.0020712348,0.0067890474,0.0026465778000000005,0.0014958918,0.0009205488,0.0003452058,,0.06892609140000001
Heilongjiang,0.06098735592,0.02003713848,0.08135297207999999,0.016971346800000002,0.008978389920000001,0.035694574560000004,0.1828525752,0.03810341088,0.08879846615999999,0.014015047680000002,0.026168721840000003,0.012920122079999999,0.01817576496,0.00974483784,,0.00952585272,0.03142436472,0.29201665751999994,0.010292300639999998,0.00974483784,0.00525564288,0.008321434559999999,0.004270209840000001,0.00186137352,0.008321434559999999,0.003065791680000001,0.00131391072,0.0015328958400000006,0.0008759404800000001,0.0005474628,0.09000288432000003
Shanghai,0.04228848648,0.02335334328,0.14390708832000002,0.14453825975999998,0.0220910004,3.0327787692,0.035345600639999995,0.17546566031999994,0.01009874304,0.0694288584,1.42770979728,0.039132629280000004,,0.07447822992,0.02019748608,0.46769803704,0.039132629280000004,0.016410457439999998,0.05554308672,0.0820522872,0.0378702864,0.04355082936,0.10856148768,0.0126234288,0.02398451472,0.021459828959999996,0.00189351432,0.0031558572,0.00189351432,0.00063117144,0.12055374503999998
Jiangsu,0.13281259607999998,0.040003794,0.8160773976000001,0.39843778824,0.05840553924,,0.06160584276000001,0.22642147404,0.020801972880000002,0.09840933324,1.3161248225999995,0.09920940912000001,1.67295866508,0.16961608656,0.030402883439999997,1.99138886532,0.03840364224,0.02320220052,0.09040857444,0.10561001616,0.05840553924,0.05920561512,0.13521282372,0.0320030352,0.044004173400000006,0.05280500808,0.009600910559999998,0.009600910559999998,0.00640060704,0.00160015176,0.18561760416
