,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Sichuan,Heilongjiang,Zhejiang,Shaanxi,Hainan,Hubei,Anhui,Shanghai,Jilin,Hunan,Yunnan,Fujian,Chongqing,Jiangxi,Gansu,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.5991822862,0.35039171159999993,0.3104534466,0.2545398756,0.16507816199999994,0.1629481212,0.15123289679999996,0.13579010099999994,0.130464999,0.09904689720000001,0.08946171359999998,0.0862666524,0.08573414219999999,0.07721397899999999,0.07348640759999997,0.07242138719999999,0.071888877,0.06070616279999999,0.055381060799999986,0.04632838739999999,0.042068305800000004,0.038340734399999986,0.038340734399999986,0.030885591599999995,0.0287555508,0.018637857,0.016507816199999997,0.013312755,0.006922632599999999,0.0021300408,
Tianjin,0.931869279,,0.15252526800000002,0.067246362,0.023292036,0.037004283,0.044517843000000015,0.035689410000000005,0.02817585,0.018032543999999998,0.025921782000000004,0.018971738999999998,0.014651442000000002,0.01314873,0.014087925,0.018032543999999998,0.015778476,0.018783900000000003,0.008077077,0.011270340000000002,0.009016271999999999,0.008452755000000003,0.0058230090000000005,0.008077077,0.006010848000000001,0.000939195,0.004320297000000001,0.0022540679999999997,0.000939195,0.00018783900000000006,0.3317236740000001
Hebei,,0.9262151161200001,0.7907026215599998,0.37457698968,0.08948938319999998,0.40653748368000003,0.20390795172,0.14829669215999994,0.19368059363999995,0.06583861764,0.05816809908,0.07926202512,0.08054044487999999,0.03963101256,0.06264256823999999,0.06967387691999999,0.032599703880000004,0.044105481719999985,0.04027022244,0.02748602484,0.02748602484,0.02940365448,0.02748602484,0.021093926040000002,0.02365076556,0.012144987719999998,0.015980247,0.012144987719999998,0.0063920988,0.00063920988,2.4711853960799988
Shanxi,0.38098868399999997,0.040104072,0.11509868664000003,0.31060603764000005,0.04150771452,,0.02025255636,0.06998160564000001,0.16502825627999998,0.05654674152000001,0.007419253320000002,0.03529158336,0.3212336167200001,0.02707024860000001,0.02867441148,0.02446348392,0.020052036,0.007419253320000002,0.01824735276,0.01985151564,0.015640588080000004,0.017846312040000003,0.011229140160000005,0.018447873120000003,0.008622375480000001,0.00521352936,0.008221334759999999,0.01082809944,0.00441144792,0.00040104072000000013,0.19029382164000005
Inner Mongolia,0.20336082912,0.02627521416,0.050529258,0.03544821792,0.01896790608,0.14723448408,0.19574257175999998,0.023476670640000002,,0.01881243144,0.0987263964,0.016169362559999997,0.18765789048,0.014925565439999997,0.00995037696,0.01103869944,0.00917300376,0.11940452352,0.00606351096,0.008084681279999999,0.007618257359999998,0.0093284784,0.00373139136,0.04384384848,0.0034204420799999998,0.00450876456,0.00326496744,0.12733373016,0.00279854352,0.00031094928,0.14490236448000002
Liaoning,0.209930292,0.04408536132,0.12789599327999998,0.040694179680000005,0.052805542680000005,0.02002412016,,0.058457512079999996,0.19071359604000002,0.028098362159999998,0.14614378020000002,0.04182457356,0.02083154436,0.031812513479999985,0.01647145368,0.016794423359999998,0.026483513759999997,0.2795302580399999,0.0145336356,0.016148483999999998,0.0209930292,0.011303938799999998,0.00952760556,0.00516751488,0.011303938799999998,0.0032296968,0.007751272319999999,0.0024222726000000003,0.00177633324,0.0008074241999999999,0.15373356767999996
Jilin,0.05092632324,0.01541057076,0.05490653688,0.014185889639999998,0.03082114152,0.005817235319999999,0.29831190948,0.02990263068,0.10726165476,0.0107159598,0.20758344984000002,0.02551419,0.008572767839999999,0.020921635799999998,0.00826659756,0.007756313759999999,0.014492059919999996,,0.008878938119999999,0.006837802919999999,0.007348086719999998,0.00377610012,0.004388440679999999,0.0015308514,0.00571517856,0.00173496492,0.00326581632,0.00091851084,0.00030617027999999994,0.00030617027999999994,0.06256079387999999
Heilongjiang,0.05987361240000001,0.0210477204,0.07714091699999999,0.0175738248,0.047817151199999984,0.006232577399999999,0.15571226159999998,0.035556343199999986,0.0865408698,0.014406449399999997,,0.0258498702,0.0104216868,0.034125915599999994,0.008378218799999998,0.0105238602,0.0201281598,0.23908575599999995,0.0110347272,0.0089912592,0.010115166599999998,0.005006496599999999,0.0063347508,0.0021456413999999995,0.009604299599999998,0.0019412946,0.0028608552000000003,0.002043468,0.0007152138000000001,0.0002043468,0.0884821644
Shanghai,0.04080035124,0.0164849904,0.11044943568,0.11992830516,0.14877703836,0.020606238,0.0247274856,1.8178823163599998,0.007830370440000001,0.05810959116,0.018957738959999998,0.87658936452,0.033382105560000014,0.03379423031999999,0.056873216879999994,0.30909357,,0.014012241840000002,0.04368522456,0.034618479839999994,0.06511571208000001,0.032145731280000006,0.08324920152000001,0.0123637428,0.02349111132,0.0016484990400000002,0.022254737040000003,0.00453337236,0.0024727485600000002,0.00041212476,0.07706733012000001
Jiangsu,0.11905991063999995,0.03284411327999999,0.7075169402399998,0.3414419276399999,0.19774893204,0.05405593644,0.060214207679999986,,0.01984331844,0.09442682567999998,0.03284411327999999,1.0352738206799998,0.08895280679999999,0.03558112271999999,0.13548196727999998,1.5888339799199998,1.5587268760799995,0.023948832599999997,0.08553154499999999,0.0581614506,0.09511107803999998,0.055424441160000004,0.11358589176,0.03010710384,0.03626537508,0.010948037759999998,0.05063467464,0.010263785400000001,0.006842523599999999,0.00205275708,0.14779850975999995
