,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Sichuan,Shaanxi,Heilongjiang,Anhui,Hubei,Hainan,Jilin,Hunan,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.4533653248,0.4075181344799999,0.3815690781599999,0.30431166048,0.21761822231999997,0.19933593264,0.19874618136,0.18400239936,0.16218160199999998,0.13151453544000002,0.1297452816,0.12089901239999998,0.11146299192,0.103206474,0.09318070224,0.09259095096000002,0.09200119968,0.07371891,0.07312915871999999,0.061923884400000004,0.05248786392,0.051898112639999994,0.04600059984,0.034205574239999995,0.03184656912,0.02476955376,0.02417980248,0.01592328456,0.010615523039999998,0.0029487564,
Tianjin,1.1155608230399998,,0.17621029007999994,0.07563124224,0.03702779568,0.04937039423999998,0.0472695264,0.05593560623999999,0.0341391024,0.02389737168,0.025998239519999997,0.01943302752,0.01917041904,0.027573890400000002,0.025998239519999997,0.017332159679999997,0.014968683359999997,0.02127128688,0.0118173816,0.013130423999999998,0.010766947679999998,0.00840347136,0.007353037440000001,0.008928688320000001,0.007353037440000001,0.0015756508799999994,0.006302603519999997,0.00288869328,0.0013130424,0.00026260848,0.7549993799999999
Hebei,,1.2421966086,1.0037347696799999,0.4619574536399999,0.10177032456,0.19855190772000006,0.5008696365599999,0.24345058031999997,0.24345058031999997,0.04689416916,0.10077257627999998,0.07183787616000001,0.12970727640000002,0.06884463132,0.09079509347999999,0.07882211412000001,0.04789191744,0.05587390368000001,0.05288065884,0.035918938080000004,0.035918938080000004,0.033923441520000014,0.033923441520000014,0.02394595872,0.026939203560000003,0.013968475920000004,0.018957217319999997,0.016961720760000003,0.004988741400000001,0.00099774828,4.9737751758
Shanxi,0.46819601208000006,0.05193691488,0.13264280712,0.36304921872,0.051173136719999984,0.07612322328,,0.02087660304,0.22429618632000006,0.02444090112,0.03895268616000001,0.058556325599999993,0.45775771056,0.00967452336,0.029278162799999997,0.03538838808,0.030805719120000002,0.007383188879999999,0.02138578848,0.01858526856,0.01705771224,0.02138578848,0.011965857839999998,0.01985823216,0.00992911608,0.00814696704,0.01247504328,0.01298422872,0.00432807624,0.00101837088,0.30194696592
Inner Mongolia,0.2500066425600001,0.032215362120000014,0.062115847920000015,0.03703802112,0.02257004412,0.02527073316000001,0.17284409856000005,0.2372748228000001,,0.01176728796,0.017747385120000004,0.020255167800000005,0.23920388640000004,0.1118856888,0.01118856888,0.01099566252,0.016975759680000004,0.14332942548,0.006558816240000002,0.0077162544000000015,0.007330441680000002,0.00906659892,0.004822659000000001,0.050734372680000014,0.0034723144800000005,0.006944628960000001,0.004243939920000001,0.15355346256000002,0.00366522084,0.00057871908,0.2444123581200001
Liaoning,0.2631307518,0.0632101806,0.160650459,0.0466201332,0.0697201992,0.0791702262,0.024150069,,0.2280606516,0.0403201152,0.055650159000000005,0.0300300858,0.0296100846,0.18816053760000004,0.022050062999999998,0.0212100606,0.038850111000000014,0.36645104700000003,0.017010048600000004,0.0247800708,0.0159600456,0.0121800348,0.010710030600000002,0.006720019200000001,0.0128100366,0.0046200132,0.0079800228,0.0027300078000000003,0.0018900054,0.0004200012000000001,0.2507407164
Jilin,0.054096854400000005,0.0201319344,0.06385404959999999,0.017291231999999997,0.0361880784,0.0324828144,0.006916492800000001,0.37052640000000003,0.1275845904,0.0180322848,0.0256898304,0.013832985600000002,0.009510177600000001,0.248870232,0.0102512304,0.008645615999999998,0.0250722864,,0.009510177600000001,0.0106217568,0.008645615999999998,0.0060519312,0.0055578960000000005,0.0023466672,0.0060519312,0.0017291232000000002,0.0032112288,0.001235088,0.0003705264,0.00024701759999999997,0.0880617744
Heilongjiang,0.0620918784,0.027771562799999996,0.0864677916,0.0202526244,0.0482667336,0.0380797848,0.0083678508,0.19003510440000002,0.1063565964,0.021829176,0.0263162844,0.015765516,0.013825144799999998,,0.011035861200000002,0.0105507684,0.0354117744,0.3057297372,0.0118847736,0.010186948799999998,0.0111571344,0.0058211136,0.006063659999999999,0.0035169227999999994,0.0095805828,0.0021829176,0.0029105568,0.0021829176,0.0013340052,0.0004850928,0.11460317399999995
Shanghai,0.041761656,0.0226004256,0.13019810399999998,0.125284968,0.2053690848,2.0458298304,0.0240743664,0.0329180112,0.0113002128,,1.1206863215999998,0.0697665312,0.037831147200000005,0.019652543999999997,0.366028632,0.07222309919999999,0.0388137744,0.0162133488,0.0506053008,0.0820493712,0.0476574192,0.0388137744,0.090893016,0.013756780800000002,0.0260396208,0.0029478816,0.025056993599999997,0.0039305088,0.004913135999999999,0.0004913136,0.1346199264
Jiangsu,0.15476776271999998,0.04568446007999999,0.8493580231199999,0.4046337892799999,0.26851274495999994,,0.06433117847999999,0.07085752992000001,0.0279700776,2.9648282256,1.3537517558399998,0.10442162304,0.10628629487999998,0.04009044456,1.70431006176,0.1678204656,0.0419551164,0.0279700776,0.1025569512,0.11560965407999997,0.06992519399999997,0.06712818623999997,0.14637673944000001,0.03449642904,0.046616796,0.014917374719999998,0.05500781927999999,0.012120366959999998,0.00652635144,0.0018646718399999997,0.23681332368
Zhejiang,0.08038726416000001,0.022363374240000004,0.19401738192,0.2840752944,0.30583425312,1.2354253228800005,0.032638438080000005,0.048353241600000006,0.017528050080000003,1.25778869712,,0.1148389488,0.0725298624,0.03384726912000001,0.6449113598399999,0.16984076112000002,0.03989142432,0.02538545184,0.15291712656,0.30160334448000004,0.09066232800000001,0.07736518656000001,0.42732177264,0.02538545184,0.053188565760000014,0.01087947936,0.16500543696000006,0.006044155200000001,0.006044155200000001,0.00120883104,0.13418024544
Anhui,0.06128335584,0.020427785280000003,0.19017295344,0.45378865872,0.12597134256,2.04375127968,0.025291543680000004,0.0194550336,0.010213892640000001,0.48637584,0.69162644448,0.03696456384,0.04182832224,0.01118664432,,0.14348087280000002,0.0194550336,0.00875476512,0.05009671152,0.05690597328,0.02772342288,0.02383241616,0.133753356,0.01167302016,0.019941409440000002,0.005836510079999999,0.01653677856,0.00437738256,0.0024318792,0.00097275168,0.1118664432
Fujian,0.029433967919999998,0.009676920959999998,0.0514086426,0.0645128064,0.4834428429600001,0.11007497592,0.01693461168,0.020563457040000004,0.005846473079999999,0.09918843983999999,0.3064358304,0.0645128064,0.03044198052,0.01189454868,0.0564487056,0.0614887686,0.021369867119999997,0.00846730584,0.06914966436000003,,0.043142939280000014,0.04495736196,0.22055315688000002,0.00766089576,0.04394934936000001,0.00463685796,0.056650308120000006,0.0030240378,0.0028224352800000005,0.00040320504,0.061085563559999986
Jiangxi,0.0221327964,0.0070304176800000005,0.0429636636,0.05285832552,0.6556515451199999,0.12316250232,0.00963427608,0.010155047759999999,0.0041661734399999996,0.12837021912000002,0.4155758006400001,0.029163214080000006,0.020570481360000004,0.0070304176800000005,0.11769439968,0.17680198536,0.023434725600000005,0.00494733096,0.32105574072000004,0.24424191792,0.024997040640000003,0.01900816632,,0.00807196104,0.04192212024,0.0020830867199999998,0.03020475744,0.0010415433599999999,0.0013019292,0.0005207716799999999,0.0533790972
