,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Hainan,Hubei,Heilongjiang,Anhui,Hunan,Sichuan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.25441781632,0.3453996168,0.30099109464,0.27467493336,0.22423562424000001,0.19901596968,0.18750264912,0.17324806176000002,0.15131792736,0.13706334,0.13048429968,0.11677796568,0.10252337832,0.09813735144,0.09649259136,0.09210656447999999,0.07456245696000001,0.07127293679999999,0.07127293679999999,0.06469389647999998,0.053728829279999994,0.053728829279999994,0.044408522160000005,0.03673297512,0.03399170832,0.029057428080000003,0.02247838776,0.01809236088,0.00932030712,0.0027412668,
Tianjin,0.93150316224,0.15438949595999998,,0.07212791124,0.034176310560000006,0.048681372599999995,0.043713885599999995,0.05503975596,0.03735550223999999,0.024042637080000002,0.025830932400000003,0.018677751119999995,0.015101160480000002,0.017485554240000003,0.027420528239999995,0.025830932400000003,0.01152456984,0.0158959584,0.01927384956,0.011127170880000002,0.01033237296,0.009934974000000001,0.00655708284,0.00516618648,0.0129154662,0.006159683879999999,0.00158959584,0.004371388560000001,0.00158959584,0.00019869948,0.33520602276
Hebei,,0.7916708210400001,0.8972717716799999,0.38406460391999997,0.09887477543999999,0.16949961504000002,0.40760621711999995,0.20716619616000004,0.22196378160000005,0.04910107896000001,0.09349383527999999,0.10425571560000002,0.051118931520000015,0.07331530968000001,0.06995222208,0.0773510148,0.0470832264,0.05515463664,0.050446314000000006,0.034303493520000006,0.033630876000000004,0.03228564096,0.03161302344,0.029595170880000007,0.022868995680000004,0.020178525600000004,0.012779732880000002,0.014124967920000004,0.007398792720000002,0.0013452350400000002,2.6245535630400005
Shanxi,0.4046312394,0.11487683736,0.04014283535999999,0.32178326004,0.04377277259999999,0.0725987448,,0.019644366240000002,0.18768910788,0.02370135492,0.03565879524,0.36448840404,0.0298936008,0.02861244648,0.008968080239999999,0.02711776644,0.0192173148,0.0523138014,0.0064057716,0.01558737756,0.014946800399999996,0.02498250924,0.0096086574,0.01153038888,0.01943084052,0.01088981172,0.00555166872,0.01302506892,0.00405698868,0.00021352572,0.19943302248
Inner Mongolia,0.225758988,0.0561851316,0.031402566000000014,0.0358158996,0.0215574372,0.024952309199999998,0.14920462439999999,0.2179507824,,0.011033334000000002,0.0168046164,0.211330782,0.0151071804,0.010184616,0.107787186,0.0103543596,0.0071292312,0.0120517956,0.12306411,0.0078082056,0.006620000400000001,0.0061107696000000005,0.00424359,0.004583077200000001,0.049904618399999996,0.0039041028,0.005601538800000001,0.13698308520000002,0.0028856412000000005,0.00033948720000000004,0.17772154920000002
Liaoning,0.24188800608000005,0.13140501695999998,0.05579207424000001,0.04367932128,0.06441782256,0.07304357088000002,0.022390240319999997,,0.20738501280000005,0.035787679200000005,0.050653330560000015,0.02679487776000001,0.037072365120000006,0.018536182560000003,0.17233143984000004,0.02147260752,0.016700916960000003,0.016150337280000003,0.29988239903999997,0.02367492624,0.016700916960000003,0.011745699840000002,0.010828067040000002,0.011745699840000002,0.0062399030400000005,0.00770811552,0.00440463744,0.0029364249600000005,0.0012846859200000005,0.00055057968,0.19820868480000006
Jilin,0.049242702599999987,0.05075786268,0.02023820964,0.01331176356,0.031385458799999995,0.02748933288,0.007792251839999998,0.30974201064,0.12056345207999998,0.0167749866,0.027597558599999995,0.008874509039999999,0.0211040154,0.006601768919999999,0.23041255787999995,0.008549831879999999,0.00984854052,0.006818220359999999,,0.00952386336,0.00606064032,0.005303060279999999,0.00400435164,0.006168866039999999,0.00194806296,0.00227274012,0.00151516008,0.00119048292,0.00075758004,0.00043290288,0.07370171531999999
Heilongjiang,0.06711688512,0.08222357952,0.027192049920000003,0.0172647936,0.0415434096,0.03258729792,0.008092872000000001,0.17027402688,0.09398522016000002,0.019099177919999998,0.02665252512000001,0.01165373568,0.034961207040000004,0.00841658688,,0.009495636480000002,0.011869545600000002,0.00852449184,0.2611300032,0.011006305919999999,0.00927982656,0.005718962879999999,0.005718962879999999,0.007445442240000001,0.0017264793600000002,0.0030213388800000005,0.0021580992,0.00205019424,0.0010790496,0.00032371488,0.09549588960000001
Shanghai,0.04136832,0.146748672,0.020901888,0.12671769600000002,0.182020608,1.770564096,0.020466432,0.031788288000000005,0.008273664,,0.8939911680000001,0.039626496,0.03919104,0.07054387200000002,0.018724608,0.349671168,0.050512895999999995,0.039626496,0.018289152,0.083172096,0.040497408000000006,0.040497408000000006,0.092752128,0.024820992,0.014805504000000002,0.02438553600000001,0.0034836479999999998,0.002612736,0.0039191040000000005,0.00043545599999999997,0.144135936
Jiangsu,0.13496034024,0.7341559869600001,0.036036530639999995,0.37237748328000003,0.2331775512,,0.060767483039999994,0.06218068032000001,0.019784761919999998,1.7156214979200002,1.08392231376,0.09256442184,0.04310251704,0.14979891168,0.036036530639999995,1.39835870856,0.09115122456000001,0.07277965992,0.026144149680000003,0.09963040824,0.06500707488,0.059354285759999986,0.12294816336,0.04310251704,0.0317969388,0.05370149664,0.01342537416,0.009892380959999999,0.0070659864,0.00141319728,0.18088925184
Zhejiang,0.0763625232,0.17982142559999997,0.0221697648,0.26505185472,0.25421330304,1.03409636256,0.02857436352,0.04532485248,0.015272504640000002,0.7867803196800001,,0.062075341439999994,0.03990557664000001,0.15371036927999998,0.03005234784,0.54882484416,0.13351125024,0.08867905920000001,0.02266242624,0.2561839488,0.08325978335999999,0.07045058592,0.36210615840000004,0.04975880544,0.0197064576,0.15814432224000002,0.0098532288,0.0049266144,0.0034486300800000004,0.00098532288,0.11232680832
Anhui,0.059886397439999975,0.17272113407999998,0.016067082240000002,0.3936435148799999,0.10991344895999998,1.4106167884799998,0.02081417472,0.016797404159999998,0.008763863039999998,0.310386816,0.5137814707199999,0.03724641792,0.01971869184,0.12305924352,0.00985934592,,0.04637544191999999,0.02337030144,0.007668380159999998,0.04564512,0.0219096576,0.02227481856,0.11466054144000001,0.017527726079999997,0.009129024,0.01570192128,0.00511225344,0.00328644864,0.00328644864,0.0010954828799999998,0.08544766463999998
Fujian,0.023185627920000004,0.0473866848,0.007784955360000002,0.059233356000000015,0.3760471915200001,0.09781965648000003,0.0118466712,0.017939244960000003,0.005077144800000001,0.07632641016000001,0.2536880018400001,0.025216485840000004,0.021154770000000003,0.05652554544000001,0.01133895672,0.051279162479999994,0.06126421392000001,0.041294111040000005,0.006431050080000001,,0.03926325312,0.03943249128000001,0.19039293000000004,0.04180182552000001,0.006261811920000002,0.05737173624000001,0.004569430320000001,0.0025385724000000004,0.0015231434400000002,0.0005077144800000001,0.051279162479999994
Jiangxi,0.02296159488,0.040592819520000004,0.00533037024,0.0481783464,0.47235280896000004,0.10619737632000001,0.007380512640000001,0.007175498399999998,0.00287019936,0.08877116591999999,0.3323280830400001,0.018451281599999998,0.0225515664,0.1394096832,0.007380512640000001,0.09922689216,0.25257754368,0.02070643824,0.00389527056,0.18533287296,0.022756580640000003,0.0194763528,,0.04120786223999999,0.005945412959999999,0.026036808480000003,0.0018451281600000001,0.00123008544,0.0010250711999999999,0.00123008544,0.042232933439999995
Shandong,0.7248819276,,0.1420345692,0.6209990388000001,0.1572033096,0.8283051575999999,0.10756015919999998,0.1369783224,0.0579170088,0.1535260392,0.220636224,0.09744766560000001,0.048723832800000005,0.09147210119999999,0.0937703952,0.2169589536,0.06527154959999999,0.06619086719999999,0.0615942792,0.0638925732,0.046425538799999985,0.0422886096,0.0556187148,0.0418289508,0.025281234,0.0326357748,0.015168740399999997,0.012870446399999999,0.0073545408,0.0013789763999999998,0.35117932319999995
Henan,0.32381062848000003,0.538979832,0.049459325759999985,,0.2494102752,0.38468364479999995,0.26674217568,0.042695657279999986,0.03128196672,0.12343694976,0.2663194464,0.23292383328,0.05622299424,0.36988812,0.0190228176,0.42442019712,0.09469135872,0.07778218751999999,0.01310460768,0.07228670688,0.046500220800000006,0.0443865744,0.0655230384,0.04480930368,0.039736552319999986,0.03762290592,0.0253637568,0.014372795519999999,0.013950066240000001,0.00253637568,0.24771935808
Hubei,0.04553871839999999,0.06312297599999997,0.012850034399999995,0.295325352,0.30524467679999995,0.1321073712,0.0207404064,0.015329865600000001,0.007439493599999999,0.06560280719999999,0.1334600064,0.07552213199999999,0.031336048799999995,,0.0094684464,0.1097888904,0.3198982248,0.0504983808,0.006988615199999999,0.055232604000000005,0.034943076,0.122864364,0.15059338560000002,0.043509765599999986,0.0114973992,0.0299834136,0.0051851016,0.0029307095999999994,0.0029307095999999994,0.0018035136,0.08679409199999999
Hunan,0.029017465919999996,0.04218279768,0.00859776768,0.07227498456,0.8979293620799998,0.0859776768,0.01397137248,0.014240052719999998,0.00967248864,0.04513828032,0.12117478824000001,0.032778989280000004,0.04110807672,0.31247511912000003,0.012627971279999995,0.0389586348,,0.03949599528,0.006179645520000001,0.054542088719999986,0.05131792584,0.06475193784,0.24154353575999998,0.19371845304000002,0.0080604072,0.15905870207999998,0.0059109652799999995,0.00349284312,0.00322416288,0.0008060407199999999,0.07039422288
Guangdong,0.07271635032000001,0.12001153752,0.02423878344,0.21637548144,,0.22346975952,0.03074187168,0.047295187200000005,0.01537093584,0.15370935840000002,0.24475259375999997,0.0945903744,0.17913052151999995,0.28909183176,0.04493042784,0.10109346264,0.9027468856799998,0.18445123008000006,0.029559492000000003,0.3535315243200001,0.16375958568,0.14247675144000002,0.46644878376000004,1.11557522808,0.023056403760000004,0.20100454560000006,0.01359736632,0.008867847600000001,0.005911898400000001,0.00236475936,0.19627502688
Guangxi,0.019720127160000003,0.02744553780000001,0.00365940504,0.0325280448,1.1055469226400003,0.03395114676,0.007318810080000002,0.009148512600000002,0.0026429036400000003,0.02317623192,0.04472606160000001,0.01809372492,0.049808568600000006,0.03374784648,0.00874191204,0.015247521000000003,0.18012404808000002,0.035577549000000014,0.0040660056,0.035577549000000014,0.10226004084000002,0.02744553780000001,0.028055438640000003,,0.00548910756,0.13661778816,0.0014231019600000007,0.00182970252,0.0016264022400000002,0.0004066005600000001,0.031714843680000014
Hainan,0.0255453264,0.022139282880000003,0.00844414956,0.02987384004,0.14369246100000002,0.02859657372,0.01731405456,0.021287772000000003,0.00894086424,0.02455189704,0.02291983452,0.01773981,,0.02015242416,0.02029434264,0.01021813056,0.0322864542,0.03881470428,0.015327195840000004,0.01773981,0.01773981,0.023061752999999997,0.015823910519999998,0.03895662276,0.0049671468,0.014901440400000004,0.00439947288,0.00205781796,0.00205781796,0.00014191848,0.05811561756
