,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Heilongjiang,Hainan,Hubei,Anhui,Hunan,Jilin,Sichuan,Fujian,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.72580831612,0.3963032956800001,0.38346013332,0.28438430940000003,0.21772218096,0.20304428112,0.19325901456,0.19020111876,0.16268005656,0.13332425688,0.12537372779999995,0.12048109451999997,0.1039684572,0.09907582392,0.09846424476,0.09051371568,0.07400107836,0.07216634088,0.06605054928,0.06543897012000001,0.05687686188,0.046480016160000005,0.0428105412,0.03791790792,0.03608317044,0.028132641360000005,0.0214052706,0.01651263732,0.0091736874,0.0030578958,
Tianjin,1.0082650672799998,,0.17835581807999998,0.07253705519999999,0.031361609160000005,0.04672239732,0.047362430159999996,0.059949742679999994,0.03754859328,0.022614493680000004,0.02496128076,0.017280886680000003,0.028588133520000007,0.016000821000000002,0.01621416528,0.0234678708,0.013867378200000002,0.02048105088,0.01365403392,0.014080722480000002,0.012587312520000001,0.010880558279999999,0.0072537055200000014,0.00832042692,0.01237396824,0.00618698412,0.00256013136,0.00448022988,0.00128006568,0.00021334428,0.37036567008
Hebei,,0.97368247368,0.8134896225599999,0.37839792816,0.09426986712000002,0.39026406528000007,0.15821516160000001,0.21556815768,0.21952353672,0.04153147992,0.08504064936000001,0.10481754456,0.06724144368,0.04746454848,0.07119682272000001,0.0725152824,0.04812377832,0.05076069768,0.05010146784,0.03362072184,0.035598411360000005,0.031643032319999986,0.029665342799999998,0.02834688312,0.02373227424,0.017139975840000002,0.01186613712,0.016480746,0.00593306856,0.00065922984,2.46354191208
Shanxi,0.4341774798,0.046542762,0.11901649140000001,0.32934544920000003,0.0480941874,,0.072030465,0.018173840400000002,0.1879441056,0.0217199556,0.034352991,0.38298044159999994,0.007757126999999998,0.029920347000000007,0.035461152,0.028812186,0.021055059,0.007757126999999998,0.0507537738,0.0186171048,0.0197252658,0.0214983234,0.009973449,0.009973449,0.0195036336,0.0095301846,0.007757126999999998,0.015514253999999996,0.0042110118,0.00044326440000000004,0.1996906122
Inner Mongolia,0.23640904296000004,0.03387406392,0.06100878528000001,0.035470224,0.023410347839999998,0.17256263976000005,0.026425316880000004,0.22151154888,,0.009931662720000005,0.01525219632,0.21814187760000006,0.10924828992000002,0.014365440720000002,0.01046371608,0.011527822800000002,0.00638464032,0.1294663176,0.01276928064,0.0062072892000000005,0.007094044800000002,0.007094044800000002,0.00372437352,0.004788480240000001,0.05657500727999999,0.003547022400000001,0.0058525869599999995,0.15482752776000006,0.0026602668000000004,,0.16990237296000002
Liaoning,0.25804164168,0.06074846424,0.13765936391999994,0.04105630151999999,0.05907648816,0.020249488080000003,0.06929411976,,0.21345561288,0.03511149768,0.048487306319999986,0.02582274168,0.17574326352000003,0.03659769864,0.018577512,0.017648636399999997,0.017648636399999997,0.32714998632,0.01690553592,0.02322189,0.017648636399999997,0.0111465072,0.00947453112,0.0111465072,0.004644377999999999,0.007059454559999998,0.004830153120000001,0.0022293014399999995,0.0016719760799999998,0.0007431004799999999,0.18057341664
Jilin,0.056978270640000016,0.02197571472,0.05720482440000001,0.013253394959999998,0.0328502952,0.0060036746400000006,0.02843249688,0.32940916704,0.12313196856,0.016878255119999998,0.024920913600000004,0.01223390304,0.23980715496000005,0.023448314159999997,0.006683335920000001,0.00951525792,0.009968365440000002,,0.00611695152,0.008609042879999999,0.007816104720000001,0.00441779832,0.00611695152,0.00702316656,0.002831922,0.00181243008,0.0015858763200000002,0.0011327688,0.0004531075200000001,0.00022655376,0.06977855808
Heilongjiang,0.06820123859999999,0.02570228496,0.07812141876,0.017585773920000002,0.04475354004,0.00744013512,0.03573519444,0.18408697956,0.09875088432,0.01848760848,0.031338750959999995,0.01228749588,,0.034495171920000005,0.008454699,0.00992018016,0.01533118752,0.27776504448,0.00834196968,0.00980745084,0.01025836812,0.00642557124,0.007101947159999999,0.00935653356,0.00270550368,0.0033818796,0.0015782104800000005,0.00191639844,0.0006763759199999999,0.0006763759199999999,0.09491808744
Shanghai,0.040818012480000006,0.02526829344,0.14626454472,0.13557411288,0.16764540840000006,0.02332457856,2.0681126323200005,0.036930582720000014,0.009718574399999999,,1.0301688864,0.046163228400000006,0.021380863680000004,0.04227579864,0.07386116544000003,0.3999193365600001,0.057825517679999994,0.020409006240000003,0.03936022632000001,0.08066416752000001,0.037902440160000016,0.041789869920000014,0.09815760143999999,0.024296436000000005,0.013606004160000004,0.02526829344,0.003401501040000001,0.004373358480000001,0.003401501040000001,0.0004859287200000001,0.13071482568
Jiangsu,0.13121451792000002,0.04003154784,0.7702366334399999,0.40698740304,0.22462146288,0.054858047039999996,,0.06152997168,0.018533123999999998,1.7732493043200002,1.12236598944,0.09711356976,0.03929022288,0.043738172639999996,0.15716089152,1.5656783155200003,0.09563091984,0.024463723680000004,0.06746057136000001,0.10452681936,0.06597792143999999,0.060047321760000015,0.12973186800000006,0.043738172639999996,0.03558359808,0.05263407216,0.01186119936,0.00963722448,0.00518927472,0.0007413249600000001,0.18458991504
