,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Jiangsu,Guangdong,Inner Mongolia,Shanghai,Shaanxi,Zhejiang,Hubei,Anhui,Heilongjiang,Hainan,Jilin,Hunan,Sichuan,Fujian,Chongqing,Yunnan,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,4.86920714688,0.8331308330399999,0.5155738452,0.36227047176,0.26645586336,0.2418178212,0.21991733928000004,0.21626725896,0.20622953808,0.15604093368,0.12866533128,0.12319021080000002,0.1049398092,0.10311476904,0.09763964856,0.09216452808,0.07756420680000001,0.07391412648000001,0.06661396584,0.06296388552,0.04927608432,0.04927608432,0.04471348392,0.03741332328,0.03376324296,0.02646308232,0.02098796184,0.01642536144,0.01003772088,0.00182504016,
Tianjin,1.1993585759999998,,0.2059554276,0.0766803024,0.0530863632,0.06267140099999999,0.04743364859999999,0.0299839644,0.0407978532,0.0206446968,0.0191700756,0.0248227902,0.018432765,0.0255601008,0.0290008836,0.017695454399999998,0.022365088199999997,0.0120427398,0.0130258206,0.0130258206,0.012780050399999998,0.0108138888,0.0078646464,0.01228851,0.0068815656,0.0078646464,0.0041780934,0.005161174199999999,0.0017203914,0.0002457702,0.4514798574
Hebei,,1.0964700108,0.8584816590000001,0.4123363644,0.3937745988,0.23202207,0.15711208740000002,0.07557290280000001,0.21478614480000005,0.037786451400000004,0.1020897108,0.07424706240000001,0.07557290280000001,0.07557290280000001,0.0589998978,0.045078573600000005,0.044415653400000005,0.040438132200000004,0.043752733200000005,0.0304943292,0.0285055686,0.029831409000000007,0.025853887800000003,0.0212134464,0.023865127200000003,0.019224685800000002,0.011932563600000001,0.013258404,0.005966281800000001,0.0013258404,2.3659621938
Shanxi,0.45962869068000006,0.04815588348,0.12615484968,0.3621865039200001,,0.02102580828,0.06737302008,0.04544287596,0.19171919808,0.020799724319999997,0.3936121743600001,0.032330006280000004,0.035495181720000005,0.02848657896,0.010625946119999998,0.028938746880000005,0.0070086027600000005,0.019669304519999996,0.0463472118,0.01559979324,0.019217136600000004,0.017408464920000002,0.008139022559999999,0.01673021304,0.010399862159999999,0.00926944236,0.006782518800000001,0.01153028196,0.00474776316,0.0006782518799999999,0.19171919808
Inner Mongolia,0.2513187162,0.032944401000000005,0.05478183252,0.034450430760000005,0.19804291344,0.24228253764,0.02710853568,0.0225904464,,0.011483476920000001,0.23964698555999997,0.01675458108,0.00997744716,0.01054220832,0.10786938155999999,0.0169428348,0.13591918584,0.0075301488000000015,0.012801252959999999,0.007341895080000002,0.00621237276,0.00677713392,0.00338856696,0.057982145760000006,0.00545935788,0.0032003132399999997,0.00677713392,0.17564072075999998,0.0028238058000000003,0.00018825371999999998,0.17036961660000002
Liaoning,0.252103995,0.062155094040000004,0.13127742575999998,0.04565374164,0.01705139748,,0.0678388932,0.05647129488,0.21396753612,0.0311692212,0.025302073680000002,0.04693718016,0.017784790919999998,0.01906822944,0.15639615107999996,0.03355274988,0.34671174875999994,0.0155846106,0.013751126999999998,0.020168319599999998,0.011367598319999998,0.016684700759999997,0.00935076636,0.005683799159999999,0.01155094668,0.00715058604,0.004400360639999999,0.0033002704799999995,0.0011000901599999998,0.00018334836,0.18554854032
Jilin,0.05402344895999999,0.023202378719999996,0.05125301568,0.014083035839999997,0.00715695264,0.3618878472,0.02932041888,0.02781976752,0.13148014608,0.0178923816,0.008657604000000001,0.025280203680000002,0.0069260832,0.00877303872,0.23571769824000002,0.0225097704,,0.00796499568,0.0051945624,0.010966298400000001,0.004155649920000001,0.00588717072,0.0056563012800000005,0.00253956384,0.0056563012800000005,0.0026549985600000004,0.0017315208,0.0010389124800000002,0.0005771735999999999,0.00011543472,0.07145409168
Heilongjiang,0.06341969519999999,0.0288582426,0.070149483,0.0181362078,0.0078704298,0.1885481226,0.0304551414,0.0459678726,0.1040265504,0.0212159412,0.0134595756,0.029656692,0.0088970076,0.0104939064,,0.030227013,0.30785927579999994,0.011520484199999998,0.006501659399999999,0.0086688792,0.004676632199999999,0.0106079706,0.0041063112,0.0020531556,0.008554814999999999,0.0034219259999999996,0.0018250272,0.0020531556,0.0018250272,0.0005703209999999999,0.0927341946
Shanghai,0.043336788480000006,0.026408355480000003,0.16454436876000006,0.152355897,0.026408355480000003,0.0406282392,3.26786470632,0.19230699888,0.0101570598,,0.050108161680000006,1.45990806192,0.08667357696000001,0.5159786378400001,0.02573121816,0.042659651160000006,0.02099125692,0.06500518272000001,0.043336788480000006,0.09005926356,0.04198251384,0.046045337760000006,0.11240479512,0.01489702104,0.02776263012,0.027085492800000003,0.0033856866000000004,0.004062823920000001,0.0027085492800000004,,0.15167875968000002
Jiangsu,0.126112464,0.043122326399999994,0.8193242016,0.4206460896,0.0536995008,0.06264941759999999,,0.22456154879999998,0.016272576,1.8135785952,0.1008899712,1.2383430336,0.158657616,2.0885851296000006,0.0341724096,0.040681440000000006,0.024408864,0.09356731199999999,0.06590393280000001,0.1017036,0.0545131296,0.0634630464,0.12773972160000002,0.0357996672,0.04556321280000001,0.052072243200000014,0.0105771744,0.008136288,0.006509030400000001,0.0008136288000000001,0.1855073664
