,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Shanghai,Inner Mongolia,Zhejiang,Shaanxi,Anhui,Hubei,Hainan,Heilongjiang,Hunan,Jilin,Sichuan,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.2467726151200003,0.4197576686400001,0.3634898846400001,0.29315515464,0.22788452520000005,0.19412385480000005,0.19187314344000006,0.17611816392000004,0.16148854008000002,0.1575497952,0.12041305776000005,0.11985037992,0.09678058848,0.09396719928,0.09340452144,0.08946577656000003,0.07371079704000001,0.07314811920000001,0.06301991808000001,0.06076920672000001,0.05064100560000002,0.048390294240000006,0.045014227200000013,0.036574059600000014,0.03601138176000001,0.02700853632,0.02363246928,0.017443013040000004,0.011253556800000002,0.00337606704,
Tianjin,1.10463029424,,0.18325402416000006,0.1035413604,0.04170021912,0.07687591416,0.06212481624,0.05616764208,0.02808382104,0.0439696188,0.03148792056,0.026381771280000004,0.03375732024,0.02439604656,0.01900622232,0.031204245600000007,0.014467422960000004,0.023828696639999997,0.02184297192,0.016453147680000002,0.018438872400000004,0.013049048159999998,0.010779648479999999,0.03092057064,0.013049048159999998,0.01730417256,0.00737554896,0.006240849120000001,0.004822474320000001,0.0005673499200000001,0.76648974192
Hebei,,1.1519772696,0.8800080731999999,0.4120745399999999,0.0979821684,0.45602915759999996,0.1895542884,0.1959643368,0.053111829599999986,0.2170259244,0.1016450532,0.11629659239999998,0.09157212,0.07966774439999999,0.0485332236,0.0650162052,0.047617502400000004,0.047617502400000004,0.051280387200000006,0.0338816844,0.038460290399999986,0.0302187996,0.0329659632,0.02289303,0.0283873572,0.0192301452,0.0100729332,0.0146515392,0.007325769599999999,0.0009157212,4.599667587599999
Shanxi,0.36920675448,0.048608262,0.11320324127999999,0.30634006896000004,0.04644789480000001,,0.06977986056,0.017498974320000003,0.025492332960000003,0.18924816672000003,0.03737435256,0.36553413024,0.02527629624,0.0302451408,0.02765270016,0.00799335864,0.01901123136,0.005616954720000001,0.0388866096,0.02009141496,0.01577068056,0.018795194640000002,0.01015372584,0.016850864160000003,0.01101787272,0.00993768912,0.006049028160000001,0.012314093039999998,0.0047528078400000005,0.0006481101599999999,0.28711280088
Inner Mongolia,0.2110029264,0.0371533392,0.0531012348,0.034699816800000005,0.0199786824,0.1493143632,0.025937236800000003,0.2143327068,0.0119171088,,0.0185766696,0.2264250672,0.0098140896,0.0091130832,0.014370631199999997,0.0991924056,0.0073605671999999985,0.12810891959999998,0.0110408508,0.007185315599999999,0.0068348124,0.006133806,0.0047317932,0.0441634032,0.004206038400000001,0.0031545288,0.0040307868,0.14633508599999998,0.0031545288,0.0001752516,0.238342176
Liaoning,0.2295155898,0.06252646931999999,0.12429733176,0.043258493880000005,0.06347097791999999,0.0217236978,0.07121594844,,0.04684762656,0.20816969544,0.04930334891999999,0.02493502704,0.02134589436,0.01813456512,0.03740254056,0.15999975684,0.01454543244,0.32585546699999995,0.016434449639999998,0.02625733908,0.01662335136,0.01057849632,0.01057849632,0.00604485504,0.011523004919999998,0.007744970519999998,0.00510034644,0.00226682064,0.00132231204,0.0005667051599999999,0.24765015492
Jilin,0.04793001336,0.020018502,0.05387836824,0.017158715999999997,0.031800820319999985,0.006749094959999999,0.031000080239999995,0.35221124376,0.01898897904,0.12148370927999998,0.02447976816,0.01189670976,0.010295229599999999,0.007664226479999999,0.020590459199999998,0.21871643328,0.009837663839999998,,0.00583396344,0.01189670976,0.007321052159999999,0.00446126616,0.00606274632,0.00263100312,0.00789300936,0.00331735176,0.0018302630399999998,0.0006863486399999999,0.00045756575999999995,0.00022878287999999997,0.08464966560000001
Heilongjiang,0.06403217184,0.02943603504,0.07575967584,0.024041383199999995,0.05019371712,0.0111411288,0.03846621312,0.1940901912,0.023689558080000003,0.10097380944,0.026269608960000003,0.01266570432,0.011844779040000001,0.0105547536,0.032602461119999995,,0.01383845472,0.26105423903999997,0.00985110336,0.010906578719999999,0.01067202864,0.005629201919999999,0.0076228776,0.00281460096,0.00926472816,0.00621557712,0.0017591256,0.00222822576,0.00211095072,0.00023455008,0.12044146608
Shanghai,0.041406694560000006,0.024153905160000003,0.14935986252,0.13506469416000005,0.20801934648,0.02316803148,2.01660461244,0.035491452480000005,,0.01183048416,1.0795316795999998,0.044857252440000016,0.37808255628,0.08232045228000001,0.040913757720000006,0.02267509464,0.053730115560000014,0.019717473600000004,0.04042082088,0.08823569436,0.048307810320000005,0.035491452480000005,0.09957324168,0.01528104204,0.02809739988,0.02563271568,0.006901115760000002,0.004436431560000001,0.00394349472,0.00049293684,0.15428923092000002
Jiangsu,0.13617968832,0.05063090975999999,0.7577177529599999,0.38758834368,0.25228160208,0.06285216383999999,,0.06285216383999999,2.88247006944,0.020950721279999997,1.2474408628799998,0.09864297935999998,1.5791606164799998,0.15625746287999998,0.041028495839999984,0.03404492208,0.09253235231999997,0.027061348319999998,0.061979217119999985,0.10649949983999996,0.06721689743999999,0.058487430239999985,0.13094200799999994,0.035790815519999984,0.05237680319999999,0.058487430239999985,0.01484009424,0.011348307359999995,0.007856520479999999,0.00174589344,0.21561783984000002
Zhejiang,0.07898864687999999,0.02596130352,0.17786254752,0.2651367168,0.27010803024,0.02872314432,1.10694579264,0.03977050752,1.1610778723200001,0.013256835839999998,,0.0662841792,0.5705963092799999,0.15908203008,0.038665771200000004,0.02596130352,0.14251098528,0.02319946272,0.07954101504,0.28612670688,0.08672180112000001,0.0718078608,0.3894195528,0.02319946272,0.0524749752,0.18172912464000002,0.01049499504,0.00718078608,0.0055236816,0.00055236816,0.12483520416
Anhui,0.05731596288,0.02059792416,0.17015676479999994,0.40345064496,0.11955751632,0.02194126704,1.87575444144,0.01656789552,0.49121571312,0.00985118112,0.6380878679999998,0.03850916256,,0.12985647839999995,0.02194126704,0.00761227632,0.047912562719999996,0.00806005728,0.02328460992,0.05552483904,0.02373239088,0.01970236224,0.11328858288,0.00985118112,0.01925458128,0.014776771679999997,0.00492559056,0.00403002864,0.0031344667200000004,0.0008955619199999998,0.09895959215999997
Fujian,0.028500802560000007,0.013312874879999999,0.05081393088,0.06337678464,0.4408249132800001,0.01612545408,0.10087784064,0.01950054912,0.09000253440000001,0.005625158400000001,0.27244517184,0.026813255040000004,0.053626510080000016,0.056626594560000014,0.02175061248,0.010125285119999999,0.06337678464,0.00900025344,0.04462625664,,0.04068864576,0.037876066560000005,0.21450604032000006,0.00806272704,0.045938793600000014,0.06000168960000001,0.0050626425599999995,0.0030000844800000003,0.0020625580800000005,0.0007500211200000001,0.06318927936
Jiangxi,0.0226407312,0.007235697599999999,0.0359450784,0.050183063999999986,0.5802562655999999,0.007469107199999998,0.11460411359999999,0.007002288000000001,0.12020594400000001,0.0042013728,0.3743889984,0.01750572,0.103867272,0.1619862624,0.0224073216,0.005835239999999999,0.2856933504,0.0037345536,0.0170389008,0.2189382048,0.023574369599999995,0.0189061776,,0.005368420799999999,0.0424805472,0.0261418752,0.0016338672,0.0009336384,0.001167048,0.0014004575999999995,0.0476155584
Shandong,0.7953978059999999,0.215484219,,0.637239555,0.154575378,0.12335319900000001,0.8982774450000001,0.131030784,0.187333074,0.057837806999999984,0.23698145699999998,0.10543883400000001,0.22725651600000002,0.099808605,0.045553671,0.096737571,0.07063378199999999,0.063979875,0.06346803599999999,0.06756274799999999,0.04913654399999999,0.04606551,0.05630229000000001,0.025080111000000002,0.043506315,0.03071034,0.016890686999999998,0.013307814,0.009213102,0.0015355169999999995,0.539990145
Henan,0.35196414839999995,0.07039282967999999,0.5869176991199999,,0.27038305439999993,0.29136104999999995,0.42049226736,0.03682803672,0.15896658887999998,0.032166259919999995,0.28716545087999995,0.26665363295999994,0.46477914696,0.4093040030399999,0.05221190016,0.014451508079999996,0.09976202352,0.013519152719999995,0.06899429664,0.06573105287999999,0.05314425551999999,0.0442868796,0.07272371808,0.0372942144,0.04382070191999999,0.0396251028,0.025639772400000004,0.013985330399999996,0.01305297504,0.00372942144,0.3445053055199999
Hubei,0.048036457080000004,0.01468472004,0.07018798392000002,0.35143770672,0.33202400904,0.022400420400000003,0.14087375495999999,0.01518250716,0.0833793426,0.00796459392,0.14137154208,0.08512159752000001,0.12743350272,,0.029120546519999995,0.00896016816,0.35566889724,0.006969019680000001,0.0398229696,0.0572455188,0.039574076039999996,0.12345120575999999,0.17447438555999997,0.012444678,0.044303053679999996,0.03459620484,0.0072179132399999985,0.0049778712,0.0032356162800000004,0.00149336136,0.099557424
Hunan,0.034579026360000015,0.01152634212,0.04517080019999999,0.07788069000000003,1.1875247611200002,0.01464156972,0.08193048588000001,0.012460910400000002,0.06417368856000001,0.006853500720000001,0.11962473984,0.03489054912000001,0.047351459520000014,0.3554474691600001,0.0404979588,0.014018524200000005,,0.0065419779600000005,0.03364445808,0.06105846096000001,0.055762574040000006,0.06012389267999999,0.27320546052000005,0.00809959176,0.20124370296000005,0.16635315384000002,0.006230455200000001,0.00436131864,0.0034267503600000004,0.0015576138000000005,0.07850373552
Guangdong,0.08584168103999999,0.03267108756,0.12363764507999997,0.23446309896,,0.04292084052,0.22229151731999996,0.05509242216,0.17937067679999996,0.0192182868,0.24791589972,0.1057005774,0.10377874872,0.30172710276000003,0.18641738196,0.04548327876,0.9519458061599998,0.03651474492,0.17488640987999998,0.39589670808,0.18513616284,0.14477776055999994,0.5048003332800001,0.025624382400000003,1.24022010816,0.21268237392,0.01729645812,0.0096091434,0.005765486039999999,0.00448426692,0.20627627832
