,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Anhui,Hubei,Hainan,Heilongjiang,Jilin,Hunan,Fujian,Sichuan,Yunnan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.2139142264,0.3401894376,0.3117508884,0.2768734224,0.22804497,0.1872651636,0.1802896704,0.17170444799999998,0.1545340032,0.1497048156,0.118046808,0.10946158560000001,0.0944374464,0.0922911408,0.08692537680000001,0.08477907119999999,0.06921835559999999,0.0649257444,0.06063313319999999,0.057950251200000004,0.055267369199999986,0.043999264799999986,0.04238953559999999,0.0386335008,0.0364871952,0.028975125600000002,0.024145938,0.016633868399999998,0.011268104399999998,0.0032194583999999994,
Tianjin,1.0019915816399998,0.1856404818,,0.08943434532,0.039463196759999986,0.06935248188,0.05884453007999999,0.06258069072000001,0.04413339756,0.0280212048,0.02895524496,0.02732067468,0.02848822488,0.02008186344,0.01891431324,0.03082332528,0.02638663452,0.0151781526,0.017046232919999998,0.02124941364,0.016112192759999998,0.0140106024,0.010507951800000002,0.016112192759999998,0.023818024080000003,0.016345702799999997,0.00747232128,0.00677179116,0.0035026506,0.0007005301199999999,0.40210428888000005
Hebei,,0.91390046904,0.99072318888,0.4058558784,0.11088562392000002,0.46600951751999997,0.18625885848,0.22394547575999998,0.24713724024000006,0.052181470080000014,0.10001448432,0.11740830768000005,0.08696911680000001,0.07537323456,0.049282499520000016,0.06450209496,0.047108271600000015,0.04638352896000001,0.036237132000000005,0.055080440640000006,0.04203507312,0.033338161440000014,0.03768661728,0.031163933520000006,0.023916507120000003,0.02029279392000001,0.0108711396,0.016669080720000003,0.008696911679999999,0.0007247426400000003,2.7359034660000003
Shanxi,0.3985543926,0.12225199428,0.04361538636,0.31755438936,0.04597878168,,0.07025729723999999,0.01955172492,0.19465783272,0.02320424496,0.038029179239999995,0.35687269331999993,0.02707161912,0.0300795768,0.02879045208,0.007519894199999998,0.00666047772,0.016973475480000003,0.01589920488,0.04425994872,0.01890716256,0.01869230844,0.0096684354,0.01138726836,0.01847745432,0.0096684354,0.00687533184,0.01353580956,0.0042970824,0.00085941648,0.22409284715999997
Inner Mongolia,0.22514222808,0.052923938760000004,0.03516769872,0.0353400894,0.02430708588,0.15928898832,0.0241346952,0.21221292708,,0.01103300352,0.01672189596,0.21083380164,0.0103434408,0.00879192468,0.0163771146,0.09722834352,0.12825866592,0.006378455160000001,0.008447143320000001,0.0094814874,0.0058612831200000005,0.005688892439999999,0.0034478136,0.00413737632,0.04723504632,0.00465454836,0.0065508458400000006,0.14618729664000002,0.00275825088,0.00034478136000000003,0.2016970956
Liaoning,0.25200999936,0.14247373824,0.06951339647999999,0.047299749120000005,0.06625794816000001,0.02240514432,0.07238585087999999,,0.21773204351999997,0.04749124608,0.05285316096,0.02719256832,0.0220221504,0.01972418688,0.038299392,0.15664451328,0.31060806911999994,0.017234726400000004,0.02259664128,0.01493676288,0.018958199040000002,0.00976634496,0.00995784192,0.01283029632,0.006702393599999999,0.007085387520000002,0.00497892096,0.0028724544,0.00172347264,0.0007659878400000001,0.21543408
Jilin,0.056098050120000006,0.05236549883999999,0.01987034652,0.01657691892,0.03194624772,0.007794445319999998,0.03139734312,0.32077984824,0.11834383176,0.01998012744,0.02426158332,0.009331378199999999,0.00845313084,0.007135759800000001,0.02261486952,0.20540010132,,0.00845313084,0.010538968319999998,0.005379265079999999,0.010319406479999998,0.005159703239999999,0.00702597888,0.005818388759999999,0.00296408484,0.00285430392,0.0018662756399999997,0.0008782473599999999,0.0005489046,0.00043912368,0.08123788080000001
Heilongjiang,0.06413904,0.080288334,0.02806083,0.023135867999999997,0.047188008,0.009391788,0.03836889,0.17867304,0.10422594,0.022792266,0.028633500000000006,0.013629546000000001,0.012713273999999998,0.011109798,0.030924180000000006,,0.25689976200000003,0.012827808,0.012026070000000002,0.009277254000000002,0.012713273999999998,0.005841234000000001,0.007101108,0.008933652,0.003321486,0.006528437999999999,0.00229068,0.0016034760000000002,0.0008017380000000001,0.0005726700000000001,0.1088073
Shanghai,0.0455387184,0.1500918984,0.025092763200000003,0.1328987088,0.20817699840000006,0.021375316800000002,1.854076392,0.0381038256,0.0111523392,,0.994416912,0.0432153144,0.3615216624000001,0.07853105519999999,0.0404272296,0.0199812744,0.0181225512,0.052044249600000016,0.0901480752,0.0357804216,0.048326803200000004,0.0353157408,0.0989770104,0.026951486400000002,0.0144051048,0.026951486400000002,0.0074348928,0.0041821272,0.0032527656000000005,0.0004646808,0.14823317519999998
Jiangsu,0.14219334216,0.74893456656,0.044668065599999994,0.38786770296,0.2456743608,0.06179082408,,0.06551316288,0.02307850056,1.84553557704,1.16285864112,0.09975867984,1.4561789385600001,0.15410482632,0.04243466231999999,0.03201211368,0.02754530712,0.09305847,0.1079478252,0.06253529183999999,0.06923550167999999,0.059557420800000004,0.13177079351999998,0.04764593664,0.035734452479999984,0.05881295304,0.01265595192,0.01191148416,0.00670020984,0.00148893552,0.18909481104
