,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Hainan,Heilongjiang,Anhui,Hubei,Jilin,Hunan,Fujian,Yunnan,Sichuan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.24876672496,0.34888117824000003,0.30012449184,0.27466266672,0.21777986591999995,0.18852585408,0.18310844448,0.17660755296,0.15981358320000005,0.14735354112,0.121891716,0.11159863776,0.0975133728,0.09047074032,0.09047074032,0.08884551744,0.07205154768000001,0.06663413807999999,0.05796628272000001,0.0568828008,0.05525757792,0.04821494544,0.0460479816,0.040088831039999995,0.0379218672,0.02600356608,0.020044415519999997,0.01841919264,0.0108348192,0.0027087048,
Tianjin,0.9243664272,0.1884735864,,0.08588669759999999,0.039473179200000014,0.054872056800000006,0.0670176504,0.06181239600000001,0.042075806400000006,0.0307977552,0.026026272000000003,0.02429118720000001,0.018435276000000004,0.031665297599999996,0.029496441600000006,0.018435276000000004,0.022122331200000005,0.0114949368,0.0164833056,0.014097564000000003,0.018001504800000002,0.0123624792,0.0104105088,0.018869047200000003,0.012145593600000004,0.013880678400000002,0.006289682400000001,0.007590996,0.0032532840000000004,0.0008675424000000001,0.3539572992000001
Hebei,,0.8149193406000002,0.90777469176,0.3753174333600001,0.10194608484000003,0.17012658744000006,0.40843367748,0.21752827020000004,0.21687893208000006,0.04999903524000001,0.09480336552000003,0.10584211356,0.046752344640000006,0.06233645952000001,0.08311527936000003,0.06947917884000003,0.049349697120000015,0.041557639680000015,0.034414920360000004,0.035713596600000015,0.047401682760000015,0.031168229760000006,0.032466906000000004,0.023376172320000003,0.029220215400000006,0.021428157960000003,0.012337424280000002,0.01688279112,0.0064933812,0.0012986762400000007,2.3720321523600005
Shanxi,0.35614166508,0.11733578352,0.038980679760000005,0.29983623876,0.040161912480000006,0.06240846204,,0.01830910716,0.17127874440000002,0.02323091016,0.036421342200000005,0.32267340468000005,0.031893283439999996,0.005709291479999999,0.024215270759999998,0.02972769012,0.0059061636,0.017127874440000003,0.01811223504,0.02145906108,0.043705610639999996,0.01909659564,0.010827966599999999,0.016340385960000002,0.00846550116,0.0078748848,0.00610303572,0.011418582959999998,0.00354369816,0.00019687212,0.19628150364
Inner Mongolia,0.20466688608,0.05197122972,0.031697623079999994,0.03443295096000001,0.02139991812,0.02284803288,0.15012123011999998,0.19967893524,,0.013515737759999995,0.015124754159999997,0.19276016472,0.015929262359999998,0.09541467251999998,0.01158491808,0.0074014754399999985,0.12019352508,0.0065969672399999995,0.007884180359999998,0.007723278719999998,0.00949319676,0.006275163960000001,0.003861639359999999,0.050201311680000006,0.004827049199999999,0.0035398360799999994,0.00579245904,0.13210024644,0.00305713116,0.00016090164,0.17602639415999996
Liaoning,0.21563521596000002,0.13519282644000002,0.055281994560000006,0.042701797080000006,0.06396410268,0.06768500615999999,0.02179386324,,0.217052703,0.03933526536,0.0513839052,0.0248060232,0.03667747716,0.14954488271999994,0.02108511972,0.019844818559999998,0.29625479136,0.015415171559999996,0.02356572204,0.0194904468,0.013288941,0.01098552456,0.01009959516,0.006024319920000001,0.01222582572,0.00655587756,0.004429647,0.0028349740799999998,0.00159467292,0.0007087435199999999,0.1825014564
Jilin,0.04905085248,0.050472616320000004,0.01767049344,0.016147175040000003,0.030161704320000007,0.030567922560000002,0.007210373759999999,0.28943049600000004,0.11363955264,0.0198031392,0.02203733952,0.010764783359999999,0.02051402112,0.18513396288000006,0.0091399104,0.00700726464,,0.00934301952,0.01096789248,0.00903835584,0.0055855008000000005,0.004569955200000001,0.00528083712,0.003452855040000001,0.005687055360000001,0.00365596416,0.00192953664,0.0011171001600000002,0.0005077728,0.00020310912,0.07332239232000001
Heilongjiang,0.059149845,0.07677584999999999,0.025627995000000004,0.02270835,0.047038725,0.034927605,0.008975205,0.15830964,0.094618125,0.0259524,0.026276805000000004,0.01275993,0.03287304,,0.011570445000000002,0.009407745,0.24243867,0.014598225000000003,0.01016469,0.012435525,0.009732150000000002,0.00670437,0.00800199,0.00454167,0.009840285,0.00670437,0.002270835,0.002270835,0.0007569450000000003,0.000540675,0.101755035
Shanghai,0.04110865668,0.14275093968000002,0.024845891400000004,0.13145735268,0.19741190075999998,1.8169122765599999,0.02078020008,0.03478424796,0.011293586999999999,,0.94007818188,0.04427086103999999,0.040656913200000006,0.02123194356,0.34829422307999996,0.07950685248000001,0.017166252240000002,0.055564448040000006,0.08989695252,0.04336737408,0.038398195800000014,0.0361394784,0.09441438732,0.014004047880000002,0.024845891400000004,0.026201121839999997,0.00722789568,0.004969178280000001,0.00406569132,0.00045174348,0.15314103972
Jiangsu,0.12593564424,0.7138672430399999,0.04383395352,0.37015338528,0.24491351808000003,,0.06401148767999999,0.06122837952000001,0.02156908824,1.67195222712,1.07080086456,0.09532145447999998,0.04383395352,0.034093074960000004,1.3734638769599998,0.14820050952,0.0278310816,0.08488479887999999,0.10714966416,0.06540304175999999,0.057053717279999985,0.05844527135999999,0.12315253608,0.032701520879999994,0.03757196016,0.05635794024,0.0139155408,0.01113243264,0.007653547440000001,0.00278310816,0.17742314519999994
Zhejiang,0.06912273023999999,0.16992671184,0.02016079632,0.25825020048,0.25489006775999995,0.96435809064,0.0288011376,0.03888153576,0.014880587759999998,0.7886711512799999,,0.05856231311999999,0.04032159264,0.02544100488,0.53090096976,0.14976591552000001,0.02208087216,0.13344527087999994,0.25633012463999993,0.08352329903999997,0.07728305256,0.06672263543999997,0.35809414416,0.0192007584,0.04848191495999999,0.17904707207999998,0.008640341279999998,0.008160322320000002,0.00528020856,0.0009600379199999999,0.10896430392
Anhui,0.056622696840000014,0.15868781280000005,0.016590089520000004,0.3909490660800001,0.11072081484,1.3910429408400002,0.02055728484,0.018032706000000003,0.00865569888,0.3318017904,0.4973420314800001,0.037147374360000006,0.01983597660000001,0.00937700712,,0.11685193488000005,0.007213082400000002,0.045442419120000015,0.053016155640000014,0.02127859308,0.019114668360000003,0.02091793896,0.10531100304000003,0.011901585960000002,0.020196630720000008,0.016229435400000006,0.0057704659200000005,0.00432784944,0.002524578840000001,0.0007213082400000003,0.0829504476
Fujian,0.02187688824,0.04571290079999999,0.009632361240000002,0.06056959356,0.37321318295999995,0.09338492592,0.013387349519999998,0.015183213480000003,0.005877372959999999,0.07444672415999999,0.24162533280000004,0.02432579364,0.02301971076,0.00930584052,0.04620268188,0.04963114944,0.00718345584,0.05861046924,,0.037060101719999995,0.037713143160000004,0.0391824864,0.1804026978,0.0089793198,0.03869270532,0.05256983592,0.00620389368,0.0024489054,0.00130608288,0.0004897810799999999,0.048978108
Jiangxi,0.02098558044,0.034714464839999994,0.00549155376,0.05079687228,0.45069966216,0.09727895232,0.007648949879999999,0.0070605691200000004,0.0035302845600000002,0.093160287,0.31654884888,0.01686691512,0.0186320574,0.00647218836,0.09845571384,0.13787722476,0.0035302845600000002,0.23201814636,0.18455543172000002,0.023339103479999998,0.01588628052,0.01882818432,,0.00549155376,0.036087353280000005,0.02588875344,0.00156901536,0.0009806346,0.00137288844,0.0005883807599999999,0.04157890704
