,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Hainan,Hubei,Anhui,Heilongjiang,Jilin,Hunan,Fujian,Yunnan,Sichuan,Chongqing,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.2045210387200003,0.35634126528000004,0.30730347648,0.28060512480000005,0.22067004960000006,0.20159979840000006,0.18525386880000005,0.17762576832000002,0.15910038144000002,0.15365173824,0.1307674368,0.11932528608,0.09753071328,0.09208207008,0.09153720575999999,0.08717829120000001,0.07137722592000001,0.06974263296000001,0.06374912544,0.059390210879999995,0.0572107536,0.04903778880000001,0.04522373856,0.03759563808,0.03596104512,0.02887780896,0.01961511552,0.01961511552,0.01035242208,0.0027243216,
Tianjin,0.94288252824,0.19185768216,,0.09501740316,0.04124256588,0.06493995179999999,0.07109215776000001,0.06562353023999999,0.04579975547999998,0.0307610298,0.03372320304,0.02483668332,0.02027949372,0.02233022904,0.034406781479999995,0.034178921999999994,0.0250645428,0.015950163599999994,0.017317320479999995,0.017317320479999995,0.021646650599999998,0.01526658516,0.0125322714,0.011848692959999995,0.023013807479999995,0.012987990359999995,0.007975081799999997,0.0077472223199999985,0.0034178921999999997,0.00091143792,0.3622965731999999
Hebei,,0.8261254864800001,0.92059725744,0.385257222,0.100501884,0.17688331584000003,0.40937767416000004,0.21976411967999995,0.21172396895999998,0.049580929440000004,0.0971518212,0.10519197192000003,0.04757089176,0.07638143183999999,0.08241154487999999,0.06968130623999999,0.056951067599999995,0.044890841519999995,0.03551066568,0.03618067823999999,0.05226097968000001,0.032830615439999995,0.03417064056,0.02881054008,0.02546047728,0.01943036424,0.01273023864,0.013400251200000001,0.0067001256000000006,0.0013400251199999999,2.50852702464
Shanxi,0.3503990826,0.1143759204,0.0406800954,0.2985172218,0.0410731398,0.06740711460000001,,0.0198487422,0.16704387,0.025744408200000003,0.0336052962,0.3313364292,0.024565275,0.027120063599999997,0.027906152400000002,0.009433065599999998,0.006681754800000001,0.0184730868,0.0163113426,0.0149356872,0.042055750800000014,0.0198487422,0.009236543399999998,0.0102191544,0.0163113426,0.011005243200000002,0.0056991438,0.0104156766,0.0037339218,0.0005895665999999999,0.19593263340000006
Inner Mongolia,0.21333222720000006,0.0569544372,0.0291356514,0.0408228336,0.021892890600000003,0.0265019202,0.14798277180000002,0.2054310336,,0.0128394396,0.0200822004,0.196706799,0.017283861,0.008559626400000001,0.0130040478,0.09646040520000003,0.11884712039999999,0.0067489362,0.00823041,0.0064197198,0.0105349248,0.0055966788,0.0037859886,0.0039505968,0.0449380386,0.0027983394,0.005432070600000001,0.13761245519999998,0.0024691229999999997,0.00016460820000000002,0.17859989699999998
Liaoning,0.21370073832000003,0.1387433124,0.0558576972,0.04738894956,0.056578441680000015,0.06702923664,0.02594680128,,0.2108177604,0.03801927132,0.04810969404,0.02684773188,0.03315424608,0.01927991484,0.02540624292,0.16523067204000003,0.3081182652,0.019640287080000002,0.023424195600000003,0.018018612,0.015315820200000003,0.0117120978,0.01099135332,0.012613028399999998,0.0066668864399999994,0.008108375400000001,0.00324335016,0.0027027918,0.0009009306,0.00054055836,0.18415021464000006
Jilin,0.047640879,0.054416933999999986,0.021057894,0.016575273,0.032420817000000005,0.034193015999999986,0.00833976,0.294602022,0.114880194,0.019389942000000004,0.024289551000000003,0.009382230000000002,0.020849400000000004,0.007401537,0.009069489,0.194107914,,0.008860995,0.01146717,0.007505784000000001,0.004899608999999999,0.00521235,0.005942078999999999,0.007088796000000001,0.003231657,0.00312741,0.0018764460000000001,0.001146717,0.000416988,0.000104247,0.071409195
Heilongjiang,0.06032052180000001,0.07691664420000001,0.0269155062,0.0213834654,0.0442563264,0.036171036,0.0097874568,0.1534077468,0.0961724016,0.025000569,0.026277193800000005,0.0137237166,0.0321283908,0.010319383800000002,0.012979018799999999,,0.2325584844,0.0139364874,0.0107449254,0.011808779400000002,0.0093619152,0.006489509399999999,0.0059575824000000005,0.007872519599999999,0.0035107182000000004,0.0068086656,0.0022340934,0.0019149372,0.0019149372,0.0009574686,0.100002276
Shanghai,0.0429981696,0.1428793344,0.0255301632,0.13660876800000002,0.19707494400000006,1.771435008,0.0219469824,0.0340402176,0.0098537472,,0.90699264,0.0429981696,0.0438939648,0.08286105600000003,0.34936012800000005,0.020603289599999998,0.0197074944,0.0613619712,0.08913162240000001,0.0429981696,0.038071296,0.041654476800000007,0.0971937792,0.0255301632,0.0129890304,0.028665446400000006,0.0058226688,0.004478976,0.0031352832000000005,0.0004478976,0.1652742144
Jiangsu,0.12787382844,0.7086046957200001,0.04450857012,0.3815020296000001,0.24161795208000006,,0.06146421587999999,0.06287718636,0.02048807196,1.7676260704799998,1.0639667714399998,0.09466902216,0.041682629160000005,0.14553595944,1.3606905722400002,0.03249832104,0.030378865319999997,0.09466902216,0.10738575648,0.06852906828000001,0.05722530444000001,0.053692878240000005,0.12363491700000002,0.04733451108,0.03673723248,0.06075773063999999,0.011303763840000002,0.0105972786,0.007064852400000002,0.0014129704800000002,0.18439264764000002
