,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Anhui,Hainan,Hubei,Heilongjiang,Jilin,Hunan,Fujian,Sichuan,Yunnan,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.7414018626400005,0.4133515147200001,0.4121102188800001,0.29729035368,0.21784741991999998,0.20419316568,0.19488344688000006,0.17564336136000006,0.170678178,0.15516198000000006,0.13157735904,0.11295792144,0.09868301927999999,0.09868301927999999,0.09495913176,0.09247654007999999,0.07261580664,0.07261580664,0.06889191912,0.05958220032000001,0.05585831280000001,0.050893129440000004,0.04778988984,0.03848017104,0.033514987680000004,0.02606721264,0.024825916800000004,0.016757493840000002,0.009930366720000002,0.0037238875200000005,
Tianjin,1.0661741251199996,,0.22176830592,0.10373033663999998,0.042411911039999986,0.06719477471999999,0.07383760416,0.07000520256000001,0.051098688,0.03091470624,0.03628006847999999,0.0281042784,0.041134443839999986,0.0204394752,0.020694968640000002,0.035258094719999994,0.025804837439999995,0.016862567040000002,0.01865102112,0.02248342272,0.02095046208,0.015074112959999997,0.015329606399999997,0.02606033088,0.015074112959999997,0.017884540799999994,0.007920296639999998,0.009197763839999998,0.0025549344,0.0007664803199999999,0.42641855136
Hebei,,1.02328130088,0.9245498176799999,0.4090304304,0.10014193296,0.19323161712,0.43300807632,0.23060853575999998,0.2327242104,0.05148141624,0.10296283248,0.11847777984,0.09097400952,0.04513439232,0.0775747368,0.0669963636,0.0564179904,0.04795529184,0.03667169376,0.052891866,0.039492593280000016,0.033145569359999995,0.02891422008,0.02256719616,0.02750377032,0.02186197128,0.01198882296,0.01622017224,0.00916792344,0.00070522488,2.5352834436000005
Shanxi,0.3989860416,0.04792169303999999,0.13162202568,0.33480133055999994,0.04531961015999999,0.075894084,,0.019949302080000002,0.17368903224,0.02406926664,0.040982805359999985,0.3729652128,0.029273432400000004,0.03209235552,0.03274287624,0.007589408399999998,0.006722047439999999,0.020166142319999997,0.0205998228,0.04445224919999999,0.01929878136,0.009974651040000001,0.020166142319999997,0.014961976559999996,0.010842011999999998,0.007806248639999998,0.005637846239999999,0.012576733919999998,0.0032526035999999995,0.0008673609599999999,0.19905934032
Inner Mongolia,0.22935981708,0.035864807400000004,0.06525645444,0.034815105719999996,0.024667989480000003,0.02659244256,0.16532801460000002,0.21728824776000005,,0.01242146988,0.017844928560000004,0.2090655846,0.011371768200000002,0.016970177160000002,0.01084691736,0.10811927304,0.11844133955999998,0.007872762600000001,0.008572563719999999,0.010497016800000002,0.00822266316,0.00402385644,0.0055984089600000005,0.0489860784,0.0045487072800000005,0.0038489061600000007,0.0055984089600000005,0.1522067436,0.0033240553200000003,0.00017495028000000002,0.17862423588000004
Liaoning,0.23650151580000006,0.05982647040000001,0.14937921828,0.04561768368,0.05702210460000001,0.07702658064000001,0.02580016536,,0.22117098276,0.0383263326,0.05197424616,0.02580016536,0.02580016536,0.031969770120000005,0.020939264640000003,0.16919673660000006,0.32324989788,0.0177609834,0.02654799624,0.016826194800000003,0.0177609834,0.01103050548,0.010843547759999999,0.005234816160000001,0.014582702160000002,0.0074783088000000015,0.0037391544,0.0022434926399999998,0.0009347886,0.00037391544,0.16994456748
Jilin,0.053005661280000005,0.01939500288,0.062262367199999995,0.01719102528,0.030525089760000002,0.03614523264,0.008264915999999999,0.31968695088000004,0.11692101168,0.02016639504,0.02633753232,0.009587302559999998,0.01035869472,0.0209377872,0.007934319359999999,0.20629230336,,0.01146068352,0.009366904799999999,0.0062813361600000004,0.00859551264,0.00528954624,0.00473855184,0.00209377872,0.0066119328,0.0033059664,0.0022039776,0.0011019888,0.00099178992,0.00044079552000000005,0.0721802664
Heilongjiang,0.06294472416,0.02602308384,0.08618756400000001,0.0255782448,0.04526237232,0.041370030720000006,0.01067613696,0.15102285408000002,0.10386991584,0.026134293599999997,0.029915425439999997,0.015680576159999998,0.01234428336,0.03469744512,0.010342507680000002,,0.24443905248000003,0.014123639519999998,0.01023129792,0.01201065408,0.0116770248,0.00767347344,0.007784683199999998,0.00422597088,0.010008878399999999,0.00700621488,0.003113873280000001,0.0022241952,0.00100088784,0.0007784683200000003,0.091748052
Shanghai,0.04762364544,0.025882416000000002,0.16771805568000006,0.14545917792000002,0.18842398848,2.1466875830400003,0.02484711936,0.03571773408,0.010870614720000001,,1.09430854848,0.0440001072,0.42861280896,0.04503540384,0.08230608287999999,0.02484711936,0.023294174400000003,0.055906018560000006,0.09472964256000001,0.04244716224,0.043482458880000005,0.10301201568,0.04244716224,0.0155294496,0.027953009280000003,0.027435360960000002,0.00465883488,0.00465883488,0.0025882416,0.00051764832,0.16098862751999998
Jiangsu,0.13023153432,0.041887335600000006,0.7943362005600001,0.40135683384000004,0.23076113976,,0.06245020944,0.06245020944,0.01980128592,1.8521818214400003,1.1393355283200002,0.09748325376,1.5894339890399998,0.03960257184,0.15688711152,0.03655622016,0.028940340960000005,0.10205278127999999,0.12337724304000006,0.06778132488000001,0.0723508524,0.13480106184,0.057119094,0.03579463224,0.041887335600000006,0.06397338528,0.01294699464,0.011423818799999999,0.007615879200000001,0.0015231758400000002,0.18506586456
Zhejiang,0.07968259655999999,0.024392631600000002,0.19080458496,0.298132164,0.26723483064,1.0911637202399995,0.031981450319999986,0.04499085384,0.01571969592,0.89060208264,,0.06775731,0.63637665552,0.040654386,0.16044931008,0.02656086552,0.0216823392,0.16695401184,0.26723483064,0.08672935679999999,0.1002808188,0.41142238632,0.07209377784,0.022224397679999997,0.05041143864,0.20489810544,0.008672935679999999,0.008130877199999999,0.004336467839999999,0.0005420584799999999,0.11491639775999997
Anhui,0.059662967040000014,0.020803534560000003,0.18526921344,0.4282387963200001,0.10951294608000002,1.5312186475200005,0.02276613216,0.014915741760000004,0.009812988000000002,0.35130497039999997,0.5503123670400001,0.038074393440000014,,0.02001849552000001,0.13110151968000006,0.00942046848,0.007457870880000002,0.049849979040000006,0.051420057120000015,0.02041101504,0.02551376880000001,0.11108302416000004,0.02041101504,0.010990546560000005,0.019625976000000003,0.01844841744,0.0047102342400000006,0.0039251952,0.0023551171200000003,0.0007850390400000001,0.08949445056000001
Fujian,0.02676550716,0.01238132304,0.04806866592,0.0664585722,0.3900116757600001,0.10706202864,0.01493041896,0.019482375960000003,0.00473403528,0.08666926127999999,0.27530235936,0.03040707276,0.052620622920000006,0.021303158760000003,0.05917544100000001,0.0100143054,0.00855767916,0.07355962512,,0.044609178600000014,0.03805436052,0.20811547404000005,0.03860059536,0.009285992280000002,0.04114969128,0.06390947628,0.00473403528,0.00218493936,0.0012745479600000005,0.0003641565600000001,0.05480556228
