,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Anhui,Shaanxi,Hainan,Hubei,Heilongjiang,Jilin,Hunan,Sichuan,Yunnan,Fujian,Jiangxi,Guangxi,Chongqing,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.8764797144400003,0.455238549,0.3679583306400001,0.32212051812,0.22039824924000004,0.1915141482,0.19088623296,0.16514170812,0.15635089476000005,0.12495513275999999,0.11051308224000002,0.10611767556,0.10235018412,0.10235018412,0.09293145552,0.09041979456,0.0753498288,0.07346608308,0.06844276116,0.0596519478,0.05902403256,0.05148904968,0.04207032108,0.04207032108,0.03955866012,0.028256185800000007,0.02260494864,0.01444205052,0.00816289812,0.0025116609600000003,
Tianjin,1.2958921922399995,,0.24271887816,0.12255216084,0.04741068996,0.07066876427999999,0.08945413199999999,0.07305420779999999,0.061425170639999985,0.027134420039999996,0.039359818080000004,0.04949795304,0.0327998484,0.02176717212,0.02325807432,0.044727066,0.029818044,0.02325807432,0.028625322239999994,0.02266171344,0.02117081124,0.02057445036,0.02266171344,0.013716300239999998,0.034588931039999986,0.0238544352,0.00954177408,0.008647232759999998,0.00506906748,0.0017890826399999996,0.46903783212
Hebei,,1.1695341168,0.9761587667999998,0.4455368064,0.1028756862,0.204977871,0.4996819044,0.2544819606,0.2568024648,0.047183585399999985,0.10055518199999999,0.08817915959999999,0.1253072268,0.0448630812,0.081217647,0.0758031372,0.0564656022,0.047957086799999986,0.0603331092,0.0409955742,0.0355810644,0.0371280672,0.0324870588,0.031713557399999995,0.0278460504,0.021658039200000003,0.015470028,0.0177905322,0.007735014,0.0015470028,2.8124510904
Shanxi,0.46615816224,0.0503707248,0.12546889632000002,0.36037964016,0.046020525839999986,0.08517231648000001,,0.018545585040000003,0.18064773576,0.026788067279999998,0.03342784464,0.0309093084,0.39083103288000004,0.03159618192,0.03686221224,0.00732665088,0.006639777359999999,0.020835163440000002,0.047623230719999986,0.01923245856,0.017171838000000002,0.01098997632,0.011676849840000001,0.02152203696,0.02037724776,0.00847144008,0.005952903839999999,0.0125926812,0.00412124112,0.00091583136,0.18545585039999998
Inner Mongolia,0.25788222720000004,0.0370541952,0.06437698559999999,0.035744198399999996,0.023954227200000004,0.029007072,0.17778528000000002,0.233928,,0.0116028288,0.017778528000000002,0.0117899712,0.23486371200000006,0.0142228224,0.011041401599999999,0.11153687040000003,0.14166679680000002,0.008047123199999999,0.0129128256,0.008421408000000002,0.006549984,0.004117132800000001,0.004304275200000001,0.005988556800000001,0.05689128960000001,0.0028071360000000004,0.0054271295999999995,0.16449816960000002,0.003742848,0.0003742848000000001,0.16973815679999998
Liaoning,0.24278849280000006,0.0616338072,0.14012792640000002,0.0526416408,0.0635071752,0.08018015040000001,0.024353784,,0.2411024616,0.0406520856,0.0485202312,0.0232297632,0.0251031312,0.03521931839999999,0.0222930792,0.1476213984,0.3171612024,0.0172349856,0.0183590064,0.020419711200000003,0.020981721600000003,0.0127389024,0.0129262392,0.012364228799999998,0.0059947776,0.0091795032,0.0043087464,0.0024353784,0.0013113576000000002,0.0007493472,0.1641070368
Jilin,0.05568482376,0.019870932959999997,0.05649352452000001,0.0219504492,0.035467304760000005,0.040088451960000014,0.0080870076,0.3227871319200001,0.1305474084,0.02114174844,0.026918182440000004,0.01074416724,0.013863441600000002,0.02333679336,0.009357823080000004,0.22250823768000005,,0.00970440912,0.0080870076,0.007855950240000001,0.008895708359999999,0.00716277816,0.006931720800000001,0.00485220456,0.0034658604000000004,0.00508326192,0.0018484588800000005,0.00103975812,0.00092422944,0.0004621147200000001,0.06769980648000001
Heilongjiang,0.0711615456,0.032636157119999995,0.08367616223999999,0.030918464640000008,0.055088851680000016,0.047604620160000014,0.010796924160000002,0.15888655440000002,0.11803001184,0.033617695680000004,0.0294461568,0.015091155360000004,0.016563463200000003,0.03509000352,0.01325077056,,0.26992310399999997,0.014232309119999998,0.014109616799999999,0.0147230784,0.010183462559999999,0.00944730864,0.01177846272,0.008956539360000002,0.0055211544000000005,0.010060770240000001,0.00576653904,0.00294461568,0.00110423088,0.00147230784,0.09201924
Shanghai,0.04759044192,0.02436177384,0.14900340744,0.15693514775999998,0.17676449855999998,2.5749828396,0.028327644,0.03569283144,0.01303071624,,1.0934470584,0.48780202968,0.050423206320000004,0.04872354768,0.08271672047999999,0.02719453824,0.0226621152,0.06288736968,0.050423206320000004,0.05268941784,0.09008190792000001,0.12067576344,0.030593855519999998,0.044191124639999996,0.0169965864,0.0311604084,0.0073651874400000004,0.0056655288,0.0028327644,0.0016996586399999998,0.113310576
Jiangsu,0.13761723744,0.042474455999999994,0.8707263479999999,0.43069098384,0.22936206239999998,,0.060313727519999985,0.05861474928,0.02208671712,1.99290147552,1.20457557216,2.1407125824,0.09684175968,0.04587241248,0.15715548720000005,0.04332394512,0.0297321192,0.10278818352,0.07390555344,0.07560453167999999,0.12062745503999997,0.15035957424000002,0.039925988639999986,0.060313727519999985,0.03907649952,0.06626015136,0.0127423368,0.011892847679999999,0.00764540208,0.00169897824,0.15035957424000002
