,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Inner Mongolia,Liaoning,Shanghai,Zhejiang,Shaanxi,Anhui,Heilongjiang,Hubei,Hainan,Jilin,Sichuan,Hunan,Yunnan,Fujian,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.2511625462,0.35704359036000005,0.3380807289600001,0.28986088140000005,0.21346763976,0.18746142984000005,0.17283293676000006,0.15820444368000006,0.14520133872000004,0.13869978624000004,0.12027872088000002,0.10348304364,0.09102173472,0.08831275452000001,0.08668736640000002,0.08343659016000002,0.07530964956000001,0.07422605748000001,0.07368426144000002,0.06176474856000001,0.056346788160000015,0.04496907132000001,0.04334368320000001,0.03630033468000001,0.03630033468000001,0.028715190120000005,0.018962861400000003,0.017879269320000002,0.009752328720000002,0.0037925722800000007,
Tianjin,1.0782841661999998,,0.20951713692,0.09695603772,0.043489515599999994,0.070350687,0.06446681136,0.05167577736,0.06958322496000001,0.0281402748,0.03402415044,0.02865191616,0.034279971119999995,0.0422104122,0.027116992080000003,0.01893073032,0.02839609548,0.02481460596,0.02123311644,0.017651626919999996,0.018163268280000002,0.01381431672,0.0140701374,0.030954302279999995,0.01432595808,0.014837599439999996,0.008953723799999999,0.008697903120000001,0.004348951560000001,0.0012791034,0.43387187328000004
Hebei,,1.05858864684,0.9213509559600002,0.41242785228,0.09578047176,0.4817614773600001,0.1679732154,0.23945117940000005,0.22301124768,0.047890235880000014,0.08648833644000001,0.10650216636,0.08505877716,0.06647450652000003,0.06933362507999999,0.043601558039999995,0.053608473,0.052893693360000014,0.042886778400000006,0.034309422719999996,0.027876405960000003,0.032165083800000015,0.027161626320000003,0.021443389200000003,0.02430250776,0.017869491,0.010006914960000002,0.01143647424,0.0071477964000000015,0.0007147796400000001,2.6646984979200004
Shanxi,0.40512565368,0.04110265296,0.11170968552000002,0.3129499022400001,0.03947482512,,0.06755485536000001,0.17010800928,0.016685235359999998,0.02217915432,0.029707858080000007,0.36504039312,0.026859159360000003,0.009156531600000002,0.0295043796,0.02319654672,0.006307832879999999,0.03703308336,0.017906106240000004,0.01444697208,0.01546436448,0.00997044552,0.016888713840000003,0.01444697208,0.009156531600000002,0.00936001008,0.005086962,0.009156531600000002,0.00244174176,0.0008139139200000001,0.19167672816000006
Inner Mongolia,0.23677507224,0.0334816092,0.049278060719999996,0.031936304160000005,0.01854366048,0.15762111408,0.021805971119999996,,0.22801834368,0.010645434720000001,0.01442284704,0.20913128208,0.01081713528,0.11452427352,0.009615231360000002,0.011675638080000002,0.13255283231999998,0.0077265252000000015,0.00566611848,0.005837819040000001,0.005837819040000001,0.00412081344,0.0053227173600000005,0.051853569120000005,0.00463591512,0.0024038078400000005,0.0061812201600000005,0.15040969056,0.00223210728,0.00017170056,0.17067035664000002
Liaoning,0.23735835648000003,0.06304831343999999,0.12309432624,0.04432808592,0.05421801744,0.022252345920000003,0.06304831343999999,0.22481933616,,0.03496797216,0.042208814880000015,0.021016104480000002,0.022075740000000003,0.15170448528000002,0.019073439360000003,0.034791366239999996,0.32989985856000004,0.01289223216,0.016071138720000003,0.014658291359999999,0.019250045280000003,0.010243143359999998,0.010243143359999998,0.006357813120000001,0.011126172960000002,0.007770660480000002,0.003532118400000001,0.0028256947200000003,0.0012362414400000005,0.0007064236800000001,0.15682605696000002
Jilin,0.04721307263999999,0.022157012160000003,0.04804137216,0.015323541119999999,0.030957694560000006,0.00704054592,0.0289904832,0.11844683136,0.30429653616,0.01946503872,0.020707488,0.00911129472,0.008490070079999999,0.20769610464,0.00735115824,0.01801551456,,0.00548748432,0.0068334710400000005,0.005798096640000001,0.00890421984,0.0061087089600000005,0.004555647360000001,0.0041414976,0.004555647360000001,0.00372734784,0.0019672113600000003,0.0016565990400000002,0.0006212246399999999,0.00010353744,0.0657462744
Heilongjiang,0.05773736376,0.0284394078,0.064391112,0.02511253368,0.04303472652,0.014166044640000002,0.03262483008,0.11021612004,0.13940675748,0.02543448924,0.02758085964,0.01459531872,0.013736770559999998,,0.01040989644,0.029297955960000004,0.26046204804,0.012985540919999998,0.01169771868,0.01105380756,0.007512296399999998,0.008048889,0.006868385279999999,0.0048293334,0.010839170519999998,0.00783425196,0.00364882968,0.0017170963199999998,0.0023610074399999996,0.0012878222399999998,0.08392308264000001
Shanghai,0.0437421384,0.027150292800000003,0.1518405264,0.1412820792,0.1991021472,0.021619677599999998,2.0986170768,0.010055664,0.0306697752,,1.0729393487999999,0.0457532712,0.3956903784,0.02513916,0.0844675776,0.0447477048,0.017597412,0.0422337888,0.057820067999999995,0.0462560544,0.090500976,0.103070556,0.0437421384,0.015083496000000002,0.0266475096,0.0286586424,0.007541748000000001,0.0060333984,0.0030166992,0.0010055664,0.133237548
Jiangsu,0.1372949028,0.0499254192,0.8853441004800001,0.41770934064000004,0.23132110895999997,0.06407095464,,0.02163434832,0.062406774000000005,2.2042072576800003,1.28058700248,0.09735456743999997,1.6658448206399998,0.03494779343999999,0.17224269624000002,0.04077242568,0.02829107088,0.06490304496,0.09901874808,0.06823140623999999,0.10983592224000001,0.16059343176,0.06157468368000001,0.03494779343999999,0.04326869664,0.05991050303999999,0.0124813548,0.01164926448,0.0058246322400000005,0.0016641806400000002,0.17557105752
Zhejiang,0.07717521240000001,0.02428590600000001,0.1759378968,0.2914308720000001,0.2439384336,0.032381208,1.1236279176,0.011873109600000004,0.038857449599999996,0.9547059492,,0.05720680080000001,0.6141635784000001,0.0259049664,0.16190604,0.035079642000000015,0.0221271588,0.075556152,0.14841387,0.08904832200000001,0.27308152080000003,0.4042254132000001,0.07609583880000001,0.0226668456,0.052889306399999995,0.2234303352,0.008634988800000002,0.0070159283999999995,0.0021587472000000004,0.0010793736000000002,0.10955642039999999
Anhui,0.060919205760000004,0.0198649584,0.19511803584,0.45910126079999997,0.1015320096,0.02163073248,1.81698152832,0.00706309632,0.015450523199999996,0.4392363024,0.63832732992,0.03840558624,,0.011036088000000001,0.13596460416,0.01500907968,0.00750453984,0.019423514880000003,0.04811734368,0.02339650656,0.04944167424,0.12536995967999998,0.01721629728,0.00927031392,0.01809918432,0.01721629728,0.00309010464,0.00309010464,0.0022072176000000002,0.00088288704,0.08608148639999999
Fujian,0.02554126668,0.01157625756,0.04189502736,0.06174004032,0.46194780168000005,0.01543501008,0.09775506383999999,0.00661500432,0.016537510800000002,0.08691380676,0.26845892532,0.027562518,0.04832628156,0.011208757319999998,0.05457378563999999,0.01984501296,0.0073500048,0.04171127724,0.06412879188,0.039322525680000005,,0.2094751368,0.039873776039999996,0.008268755400000001,0.036382523759999987,0.06559879283999999,0.00496125324,0.0025725016800000004,0.0014700009599999998,0.00055125036,0.053838785160000006
Jiangxi,0.0218004048,0.005566060799999999,0.0387305064,0.0500945472,0.5545188071999999,0.0076533335999999985,0.11410424639999997,0.003478788,0.0064937376000000005,0.1080743472,0.4019159735999999,0.0153066672,0.11340848879999997,0.00579798,0.16651798559999995,0.0213365664,0.0037107072,0.017162020799999997,0.29755233359999994,0.0227280816,0.20571233039999995,,0.017625859199999996,0.0062618184,0.0373389912,0.0310771728,0.0018553536,0.0013915151999999995,0.0006957575999999999,0.0002319192,0.0364113144
Shandong,0.8229024025199998,0.19935522684,,0.6994920239999999,0.14689332503999994,0.11791436975999996,0.94981024116,0.054960087599999985,0.13740021899999996,0.15838497971999996,0.21534361596,0.10092670631999998,0.24782003135999994,0.09493106039999998,0.09593033471999997,0.04396807007999999,0.0674510166,0.07694412263999999,0.06695137943999999,0.04746553019999999,0.05695863623999998,0.05545972475999999,0.03947133564,0.022483672200000002,0.037472787,0.03297605255999999,0.013490203319999998,0.010992017519999998,0.005496008759999999,0.0014989114799999995,0.36573440112
Henan,0.35531398116,0.0624139992,0.6009576494400001,,0.23316086844000006,0.3076118532,0.41817379464,0.028086299639999996,0.035219328120000004,0.133744284,0.25723483956,0.24163133976,0.5059992078,0.016940942639999998,0.39989540916,0.049485385080000006,0.0133744284,0.06196818492,0.10164565584,0.04279817088000001,0.060630742080000015,0.06464307059999999,0.04279817088000001,0.03432769956,0.041460728040000006,0.03700258524,0.02095327116,0.01382024268,0.010699542720000002,0.0026748856800000004,0.25545158244000005
Hubei,0.049423786199999986,0.013260040200000002,0.07063985052,0.34861851144,0.28762232651999997,0.0229037058,0.13308258528,0.00747384084,0.01470659004,0.07739041644,0.12826075248000002,0.08438207400000003,0.1350113184,0.008197115759999998,,0.02700226368000001,0.0053040160800000005,0.04315540356000001,0.3628429182,0.0373692042,0.05231688588,0.17840781360000002,0.1289840274,0.0144654984,0.04315540356000001,0.03423501288,0.00747384084,0.0036163746,0.0036163746,0.00144654984,0.08124788268000001
Hunan,0.03028172688,0.00925274988,0.04598336304,0.0799101126,0.925274988,0.01626240888,0.07962972624,0.006448886280000001,0.01233699984,0.054114567479999987,0.1065468168,0.030562113239999994,0.04289911308,0.00729004536,0.35496913176,0.03476790864,0.006168499920000001,0.03420713592,,0.049628385719999994,0.054394953839999996,0.2795452009200001,0.07262006723999999,0.00813120444,0.20804667912,0.17159645232,0.00532734084,0.00252347724,0.00364502268,0.0008411590800000001,0.06476924916
Guangdong,0.0706460778,0.028872744839999995,0.107504901,0.22668176268000004,,0.03194431344,0.19535176296,0.01597215672,0.04423058784,0.16033588091999998,0.22668176268000004,0.08477529336000002,0.10320470496,0.04361627411999999,0.31145705604,0.17937960624000002,0.03010137228,0.16832195928000002,0.9540292071600001,0.17262215532000003,0.36920254571999994,0.51725215224,0.13637764584,0.02334392136,1.2083550872400002,0.24326823312,0.01474352928,0.006757450920000001,0.0061431372,0.00184294116,0.168936273
Guangxi,0.0212706648,0.006294380399999999,0.029301426,0.0366810444,1.2412952243999995,0.0091159992,0.03255714,0.0039068568,0.009550094399999999,0.0225729504,0.037766282400000004,0.0175808556,0.01627857,0.008247808799999999,0.035378758799999986,0.042107234400000006,0.004557999599999999,0.028433235600000002,0.19317236399999999,0.09962484839999998,0.028216188,0.033208282799999995,0.0240922836,0.005209142399999999,,0.14607303479999995,0.0026045712,0.0015193332000000002,0.0008681903999999999,0.0002170476,0.0275650452
Hainan,0.032689759680000006,0.012739391640000002,0.029324637360000006,0.034292198880000006,0.16433013995999998,0.01979012412,0.03188854008,0.01089658656,0.02427695388,0.0388591506,0.024998051519999998,0.02379622212,0.013140001439999998,0.023635978199999998,0.01898890452,,0.0132201234,0.034212076919999994,0.032689759680000006,0.01658524572,0.01786719708,0.015864148079999998,0.025318539360000003,0.005929025040000001,0.0384585408,0.015062928479999996,0.00392597604,0.00248378076,0.0028843905600000005,0.0003204878400000001,0.07066756872
Chongqing,0.01975736448,0.0062497785600000005,0.027015171839999998,0.03770027712,0.11068156224000002,0.014314008959999997,0.041933998079999986,0.0040321152,0.008467441919999999,0.030442469760000004,0.050199834240000005,0.04818377664,0.01975736448,0.00423372096,0.15221234879999998,0.02741838336,0.0040321152,0.8433168940800001,0.07056201599999999,0.08185193855999999,0.025805537280000002,0.017539701119999997,,0.012297951359999998,0.03064407552,0.26672442048,0.008265836159999998,0.00423372096,0.00262087488,0.00544335552,0.03709545984
Sichuan,0.027438276960000004,0.006605511120000001,0.0304869744,0.05284408896000001,0.14328877968,0.0203246496,0.047254810320000014,0.006351453000000001,0.01092449916,0.03912495048,0.055384670159999996,0.14506718652,0.016767835919999998,0.00609739488,0.04293582228,0.04115741544000001,0.00533522052,,0.0342978462,0.42681764159999996,0.029724800039999996,0.01473537096,0.8716734097200001,0.06351453,0.03531407868,0.24160927212,0.008892034200000001,0.0055892786400000005,0.023627405160000003,0.027946393200000003,0.054368437680000006
Guizhou,0.01137133728,0.0024023952,0.01697692608,0.02434427136,0.152151696,0.004484471040000001,0.035875768320000015,0.00208207584,0.00416415168,0.01889884224,0.07191169632000001,0.017457405120000002,0.01169165664,0.00192191616,0.02674666656,0.015855808319999998,0.00208207584,0.21285221472,0.17040989952000002,0.328327344,0.03251241504,0.02546538912,0.22214147616000002,0.00496495008,0.15599552832,,0.0011211177600000002,0.00128127744,0.0008007984000000001,0.00048047904,0.021621556800000004
