,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Inner Mongolia,Liaoning,Shanghai,Zhejiang,Shaanxi,Hubei,Anhui,Heilongjiang,Hainan,Sichuan,Jilin,Hunan,Yunnan,Fujian,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.3845522219200004,0.35607688776,0.34555517568000005,0.29239284096,0.19437478632,0.19105214040000004,0.17610023376000006,0.16114832712000002,0.14342754888,0.14232000024,0.11407750992,0.10577089512,0.09303408576,0.08971143984000003,0.08694256824000003,0.08085105072000001,0.07531330752000001,0.07420575888000001,0.06811424136000001,0.05814630360000001,0.051501011760000014,0.049285914480000005,0.042086848319999995,0.037102879440000014,0.034887782160000005,0.028242490320000008,0.022150972799999998,0.014398132319999998,0.00941416344,0.00332264592,
Tianjin,1.0500862680000005,,0.20830582079999999,0.1021969872,0.040340916,0.07383610080000001,0.0630785232,0.0491425704,0.06674587920000001,0.030072319200000006,0.036918050400000006,0.026649453599999998,0.021515155200000004,0.0339841656,0.0400964256,0.017603308800000002,0.0200482128,0.028605376800000002,0.0154028952,0.020781683999999998,0.016136366399999998,0.013691462400000005,0.0114910488,0.023715568800000003,0.0127135008,0.0144249336,0.0078236928,0.008068183199999999,0.0034228656000000013,0.0009779616,0.3816495144
Hebei,,1.0578268224,0.9036468345600002,0.4404154809600001,0.09195488064,0.4763677651200001,0.17423030016000002,0.23714679744000006,0.2177878752,0.04217479488,0.0933376608,0.1106224128,0.07397873856,0.08365819967999999,0.06775622784,0.04010062464,0.050471475839999995,0.051854255999999994,0.04217479488,0.034569504,0.029729773440000006,0.028346993280000003,0.032495333759999995,0.02281587264,0.02627282304,0.018667532160000003,0.01244502144,0.01244502144,0.0055311206400000005,0.00138278016,2.41986528
Shanxi,0.4169106709200001,0.04699949184000001,0.11770854876000003,0.32920626204000003,0.039026363760000016,,0.07049923776,0.17519899860000002,0.01720517112,0.025807756680000002,0.029584501560000007,0.3783039454800001,0.030843416520000007,0.027276490800000004,0.006294574800000001,0.026227395000000004,0.040495097880000004,0.007133851440000002,0.01972300104,0.016995351960000002,0.014057883720000004,0.017834628600000003,0.010490958000000002,0.016995351960000002,0.01028113884,0.00881240472,0.005245479000000001,0.0094418622,0.0031472874000000005,0.0012589149600000002,0.17540881776
Inner Mongolia,0.2411586432,0.033203001600000004,0.051027770880000003,0.033203001600000004,0.01817427456,0.16828679232000002,0.02201883264,,0.23189675327999995,0.01328120064,0.0139802112,0.21302346816,0.009960900479999998,0.00943664256,0.12250160064,0.01083466368,0.00856287936,0.1319382432,0.0052425792,0.0069901056,0.0052425792,0.0061163424,0.00297079488,0.04962974976,0.004194063359999999,0.00279604224,0.00471832128,0.14609320703999998,0.00332030016,0.00034950528000000003,0.17387887679999994
Liaoning,0.24757816859999998,0.06682655519999997,0.11285867699999999,0.050653107,0.0511862976,0.022216275,0.0664710948,0.2388693888,,0.0344796588,0.042299787599999986,0.0206167032,0.018661671,0.021327624,0.1596017196,0.0296809434,0.020438973,0.319025709,0.015995718000000003,0.0147516066,0.017062099199999996,0.010130621399999998,0.009775161,0.0056873664,0.0111970026,0.0094197006,0.005509636199999999,0.0021327624,0.0015995718,0.0007109208,0.1462719546
Jilin,0.053313552,0.023217192,0.053098578000000014,0.017627867999999998,0.027839133,0.008921421,0.031063742999999998,0.125544816,0.308272716,0.021174939,0.02364714,0.011608596,0.007739063999999999,0.011393621999999999,0.207127449,0.021497400000000003,0.0069866550000000005,,0.010211265,0.007309116,0.008491473000000001,0.004191993000000001,0.005051889,0.003762045,0.005159375999999999,0.003869532,0.00214974,0.001182357,0.0006449219999999999,0.0005374350000000001,0.060085233
Heilongjiang,0.05674871339999999,0.0294965064,0.0640159686,0.026183493,0.04200046019999999,0.0111146256,0.0369775044,0.1081538568,0.14192521919999998,0.028000306800000003,0.0226567368,0.0134657964,0.0091909404,0.0120764682,,0.032168291399999986,0.0135726678,0.2615143158,0.0120764682,0.0113283684,0.0081222264,0.006946641,0.008763454799999999,0.0045954702,0.008977197599999999,0.008549712,0.003206142,0.003206142,0.0008549711999999999,0.001068714,0.0795123216
Shanghai,0.046676415240000005,0.028723947840000007,0.16772733828,0.14926194324,0.19183493735999999,0.026159309640000003,2.12198164668,0.01231026336,0.03128858604,,1.06535070828,0.046676415240000005,0.09027526463999999,0.39854477628,0.02718516492,0.04411177704,0.051292764000000005,0.022568816159999998,0.061038389160000005,0.047702270520000006,0.09796917924000001,0.04462470468,0.1102794426,0.015900756840000002,0.03128858604,0.030775658400000006,0.008206842240000001,0.0051292764000000005,0.00307756584,0.0010258552800000002,0.13643875224000002
Jiangsu,0.14336197128000006,0.05021718768,0.8682713740800002,0.4479049159200001,0.22597734456000004,0.06803618976,,0.023488684559999997,0.0566968248,2.0086875072000003,1.25866951056,0.10043437536,0.17495020224000005,1.62314909856,0.042117641280000014,0.042117641280000014,0.07127600832000001,0.032398185600000004,0.11096378568000002,0.06965609904000003,0.11420360424000002,0.06398641656000002,0.14984160840000005,0.03401809488,0.040497732000000015,0.06155655264000001,0.012959274240000002,0.010529410320000002,0.005669682480000002,0.0016199092800000005,0.16766061048000006
Zhejiang,0.07706251223999999,0.025140961439999998,0.18855721079999999,0.30988967688,0.24430456008,0.02896675992,1.1133073576799999,0.013663566,0.03880452744,0.90944695296,,0.05848006248,0.17434710216,0.63726871824,0.02678058936,0.04263032592,0.08362102392000001,0.0218617056,0.16177662144000002,0.09181916352,0.28365563016,0.0765159696,0.41318623583999997,0.02022207768,0.057386977200000015,0.2350133352,0.0109308528,0.006558511679999999,0.0038257984800000007,0.0005465426400000001,0.09619150464
Anhui,0.06358799052,0.0231611886,0.19539620928,0.46617155963999996,0.11454260544000001,0.022318963560000002,1.6545510910799996,0.009264475440000001,0.016423388280000003,0.39753021888,0.5954531032799999,0.03874235184,0.13222933127999997,,0.00968558796,0.01810783836,0.023582301120000003,0.008422250400000001,0.04800682727999999,0.02063451348,0.05432351508,0.02063451348,0.12886043112,0.010106700479999998,0.01937117592,0.017265613319999998,0.005053350239999999,0.00379001268,0.0025266751199999994,0.00042111252,0.08422250399999999
Fujian,0.02488735368,0.01040068512,0.044202911759999984,0.06630436763999999,0.43534296288,0.016529660279999997,0.09936368820000001,0.005386069079999999,0.017829745919999997,0.08970590916000001,0.26466029099999994,0.027487524960000002,0.06388992287999999,0.05144624603999999,0.010586411639999998,0.02210145588,0.040859834399999996,0.0074290608,0.07094753063999999,0.038816842679999984,,0.0455029974,0.21618566928000002,0.008729146439999998,0.04197419352,0.06909026543999999,0.0074290608,0.0018572652,0.00204299172,0.0005571795599999999,0.048474621719999986
Jiangxi,0.02262722688,0.00730670868,0.03794774508,0.0553895658,0.5725159801199999,0.007778109240000001,0.11290043412,0.004006904760000001,0.00848521008,0.10912922964000002,0.383012955,0.0153205182,0.16899710075999996,0.12067854336000003,0.00424260504,0.021448725480000003,0.016499019599999998,0.004006904760000001,0.29651095224,0.025927030800000004,0.20741624640000006,0.02215582632,,0.00494970588,0.04549015404,0.03276233892,0.00212130252,0.00141420168,0.00070710084,0.0004714005600000001,0.040304747880000005
Shandong,0.8352771321600001,0.19665505296,,0.71566220304,0.13583390256,0.12620388708,0.9528646896,0.05625956412000001,0.13532705964000002,0.15864183396,0.22706562816000006,0.114039657,0.10187542691999996,0.25240777416,0.09680699772,0.041054276519999995,0.09072488268,0.07501275216,0.0684237942,0.0456158628,0.05930062163999999,0.04460217696,0.05423219244,0.023821617239999995,0.041054276519999995,0.03142426104,0.0152052876,0.012671073,0.007095800880000002,0.00050684292,0.34110528516000005
Henan,0.35091750528000004,0.06692756544000003,0.60099144912,,0.23334205248000006,0.31564486944000003,0.3961388332800001,0.02758501008,0.035724849120000006,0.13249849104000005,0.27223239456000003,0.24464738448000006,0.42236720351999996,0.51009657984,0.016279678080000002,0.0429602616,0.07325855136000002,0.014923038240000004,0.11305332,0.04476911472,0.07144969824000001,0.04476911472,0.06828420528000001,0.037985915519999996,0.04160362176000001,0.033011569440000006,0.02351509056,0.01401861168,0.01175754528,0.0027132796799999997,0.25052615712000004
Hubei,0.048816432,0.01488901176,0.06980749776,0.35538362496000003,0.29021368824000005,0.0231878052,0.13326885936000002,0.006102054,0.01537717608,0.07664179824000003,0.13424518800000002,0.08933407055999999,,0.13400110584000002,0.00829879344,0.02758128408,0.04173804936,0.0068343004800000004,0.37442203344,0.034171502400000005,0.053942157360000006,0.1391268312,0.17085751200000002,0.012936354479999999,0.043934788800000006,0.03710048832,0.00756654696,0.00414939672,0.0031730680800000004,0.00097632864,0.07712996256000001
Hunan,0.030724764480000003,0.00775039104,0.04511834783999999,0.07888790879999999,0.90125975808,0.01217918592,0.07888790879999999,0.005812793279999999,0.011902386239999998,0.0512079408,0.10850547455999998,0.02851036704,0.34655319935999995,0.04235035103999999,0.01024158816,0.0401359536,0.036260758080000004,0.00664319232,,0.05646713472,0.05646713472,0.06836952096,0.28538047008,0.00913438944,0.20123336736,0.17106220223999996,0.0055359936,0.00332159616,0.00304479648,0.00110719872,0.05674393439999999
Guangdong,0.07353066600000001,0.0280753452,0.10895907779999997,0.2413142766,,0.03342303,0.2058858648,0.0153745938,0.0461237814,0.16577822879999998,0.2366350524,0.096926787,0.32620877279999994,0.1076221566,0.040776096599999985,0.1918481922,0.18315820440000002,0.03342303,1.0280924028,0.1878374286,0.3923863722,0.1577567016,0.5568276797999999,0.0207222786,1.4879932956000002,0.2660473188,0.0140376726,0.0073530666,0.006016145400000001,0.0020053817999999995,0.16912053179999995
Guangxi,0.0236680704,0.004779129599999999,0.0334539072,0.030040243199999997,1.2917304576000002,0.0088755264,0.035274528,0.0031860864000000004,0.0111513024,0.0218474496,0.039826080000000014,0.0163855872,0.0377778816,0.0166131648,0.007510060799999999,0.0402812352,0.030722976000000006,0.0054618624,0.2089162368,0.11265091199999999,0.0320884416,0.027309312,0.0336814848,0.0059170176,,0.15042879360000005,0.002275776,0.0020481984,0.001137888,0.00045515519999999996,0.0336814848
Hainan,0.03613971816,0.01240741476,0.033558309720000006,0.03797168544,0.18386289792,0.019235656440000002,0.029977646400000005,0.01032563376,0.02264977728,0.03505719204,0.02797913664,0.023482489680000003,0.02273304852,0.01357321212,0.02523118572,,0.032142698639999995,0.013156855920000002,0.03605644692,0.014239382040000003,0.01715387544,0.023232675959999997,0.01490555196,0.005828986800000001,0.043717401,0.01715387544,0.00549590184,0.00474646068,0.0019152385199999998,0.0004996274400000001,0.06653372076
Chongqing,0.018258242400000003,0.0081147744,0.028401710400000002,0.032661966960000004,0.1095494544,0.0131865084,0.04848577704,0.0050717340000000005,0.007709035679999999,0.03671935416,0.050514470639999996,0.0446312592,0.15560079912,0.02312710704,0.00527460336,0.0294160572,0.8362275019200001,0.0038545178399999997,0.07161288408,0.08297356824,0.03103901208,,0.01805537304,0.011969292240000002,0.03205335888,0.25886130336,0.008317643759999998,0.00426025656,0.00263730168,0.0071004276000000005,0.0385451784
Sichuan,0.030307361760000005,0.008621921880000001,0.03553276896,0.06165980496,0.15101426808,0.017243843760000002,0.055911857040000006,0.005486677560000001,0.0104508144,0.03762293184,0.06218234568,0.15127553844,0.049118827680000005,0.019595277,0.006531759000000001,0.043370879759999995,,0.005486677560000001,0.03736166148,0.43553769012,0.031352443199999996,0.8522639143199999,0.017243843760000002,0.060875993880000014,0.041280716880000005,0.24794557164,0.01201843656,0.010189544040000002,0.021685439879999997,0.029262280320000007,0.05930837172000001
Guizhou,0.009791024040000002,0.0029870920800000003,0.016760905559999997,0.02422863576000001,0.16661335824,0.0046465876800000005,0.03501535716,0.00099569736,0.0038168398800000006,0.021075594120000003,0.07915794012,0.01825445160000001,0.027879526080000005,0.013110015240000005,0.002323293840000001,0.021739392360000002,0.22038101568000004,0.0011616469200000006,0.17723413008000002,0.32243999508000004,0.03667485276,0.23681002212,0.023730787080000003,0.004480638120000001,0.15897967848000005,,0.00199139472,0.00099569736,0.00016594956000000005,0.00033189912000000015,0.022071291480000005
Yunnan,0.024166207440000004,0.006729829920000001,0.028295875800000005,0.03380210028,0.12756086712,0.012389005080000005,0.0405319302,0.0050473724400000005,0.01330670916,0.03181374144,0.052309132560000006,0.0290606292,0.02890767852,0.01667162412,0.0071886819599999985,0.01269490644,0.36968179355999997,0.005659175160000001,0.052615033920000005,,0.027531122400000003,0.0657687924,0.01820113092,0.0070357312800000005,0.10905383484000002,0.34704509291999996,0.0029060629200000003,0.00260016156,0.0018354081600000002,0.0053532738,0.041296683600000016
