,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Liaoning,Shanghai,Shaanxi,Zhejiang,Anhui,Heilongjiang,Hubei,Hainan,Sichuan,Jilin,Hunan,Fujian,Yunnan,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.5085591136,0.3969866376,0.3325657824,0.27750522240000003,0.1822504536,0.1673841024,0.16242865199999998,0.1525177512,0.1304935272,0.121133232,0.10131143039999999,0.099109008,0.0925017408,0.08809689600000001,0.085343868,0.07928720639999999,0.0710281224,0.06717388319999999,0.066072672,0.0534087432,0.0479026872,0.044048448,0.0407448144,0.034688152800000004,0.0286314912,0.0214736184,0.0159675624,0.0159675624,0.008259084,0.0022024224,
Tianjin,0.97134331032,,0.17981388936,0.08032848084000002,0.060083091360000014,0.036572316480000006,0.05159308932000002,0.04658616504000001,0.05181078168000001,0.026123083200000004,0.02525231376,0.02525231376,0.026776160280000003,0.036136931760000005,0.017633081160000005,0.015891542280000004,0.02198692836,0.02459923668,0.013714618680000002,0.016544619360000002,0.015673849920000003,0.00957846384,0.012190772160000005,0.020680774199999998,0.011537695080000002,0.012843849240000002,0.0076192326,0.006748463160000001,0.002394615960000001,0.0010884618000000005,0.34351854408000004
Hebei,,1.0207608173999998,0.76878922824,0.36293717952,0.3801031272,0.08337746016000001,0.14836283352,0.20721751128,0.19740839832,0.0398495214,0.10176954696,0.07908597324,0.07295527764,0.06253309512,0.06743765160000001,0.034944964919999995,0.04659328656,0.047206356119999994,0.0398495214,0.028201199760000004,0.03433189536,0.02636199108,0.026975060640000003,0.022683573720000003,0.023909712840000003,0.0183920868,0.0091960434,0.013487530320000002,0.0061306956,0.00183920868,2.14819573824
Shanxi,0.3499926537600001,0.049341415680000014,0.09868283136,0.2896046524800001,,0.03792661056,0.05983567200000001,0.15207466175999998,0.014176451520000003,0.022645500480000004,0.3339751046400001,0.029641671360000007,0.024302488320000003,0.006259731840000002,0.029457561600000005,0.02522303712000001,0.03313975680000001,0.006443841600000001,0.01804275648,0.013808232000000002,0.016201658880000004,0.010126036800000005,0.016753988160000004,0.013624122240000005,0.009205488,0.006996170880000001,0.005155073280000002,0.009205488,0.004050414720000001,0.0003682195200000001,0.1509700032
Inner Mongolia,0.20220951131999998,0.0319606398,0.050825212559999985,0.031648828680000005,0.14811028199999998,0.021514967280000002,0.02697166188,,0.19145202768,0.01044567252,0.19784415564,0.01777323384,0.008730711359999999,0.1083543642,0.01106929476,0.012784255919999998,0.00966614472,0.10788664752,0.007639372439999998,0.008107089120000001,0.007639372439999998,0.0043653556799999995,0.00670393908,0.0483307236,0.00358582788,0.0032740167600000003,0.00592441128,0.14327720964000001,0.0021826778399999997,,0.12597169247999998
Liaoning,0.22891142376,0.060183285119999985,0.1262774286,0.06322827276000001,0.036360734759999985,0.05319772524,0.06842266343999999,0.2185226424,,0.036360734759999985,0.026867538,0.043525411560000005,0.02758400568,0.16908637248,0.02274784884,0.02561371956,0.02471813496,0.28784089044,0.016657873559999998,0.0205984458,0.018628159680000003,0.011105249040000001,0.01289641824,0.008418495239999999,0.017195224319999997,0.02203138116,0.010926132120000001,0.0035823384,0.00340322148,0.0007164676799999999,0.12126215483999997
Jilin,0.0484584768,0.0217053594,0.05088140063999999,0.02231109036,0.01029742632,0.0312960996,0.0333152028,0.11922804396000003,0.24310002528000002,0.01928243556,0.012316529520000001,0.02523879,0.011811753719999998,0.2064533022,0.00918691956,0.02200822488,0.00837927828,,0.012013664039999998,0.00848023344,0.006864950880000001,0.00726877152,0.00424011672,0.0038362960799999996,0.00514871316,0.0040382064,0.00242292384,0.0017162377200000002,0.00090859644,0.00020191032,0.054818651879999986
Heilongjiang,0.054063748079999994,0.025011698399999997,0.062529246,0.02472310188,0.012698246880000002,0.04242368844,0.033573395160000005,0.10610732052,0.10812749615999999,0.02193333552,0.011543860800000002,0.02174093784,0.011255264279999998,,0.00875409444,0.03011023692,0.012986843400000002,0.23337838584000004,0.011255264279999998,0.01000467936,0.0105818724,0.007407310679999999,0.005675731559999999,0.003944152439999999,0.00798450372,0.0061567257600000005,0.002404971,0.00211637448,0.0007695907200000001,0.00038479536,0.07041755088
Shanghai,0.0409831002,0.02314339776,0.14271761952,0.13934254068000002,0.025072014240000003,0.17550409968000005,2.04770854764,0.010607390640000002,0.027482784839999996,,0.048215412000000006,0.9942017954400002,0.38668760424000004,0.02603632248,0.07569819684000002,0.04291171668,0.045322487280000004,0.022661243640000002,0.05592987792,0.09016282044,0.042429562560000016,0.10173451932,0.0409831002,0.014464623600000004,0.027482784839999996,0.024107706000000003,0.0067501576800000004,0.004339387080000001,0.00289292472,0.0004821541200000001,0.12053853000000002
Jiangsu,0.12028214232,0.04285915416,0.7057934902800002,0.3677591937600001,0.05806724112000001,0.18940981032000004,,0.018664470360000004,0.04285915416,1.7503125537600002,0.08848341504000001,1.01479416624,1.4862448620000002,0.03318128064,0.14032916604,0.034563834000000015,0.06498000792,0.028342343880000002,0.08502703164000001,0.09539618184,0.06290617788000001,0.11889958896,0.05461085772000001,0.031107450600000006,0.035255110680000014,0.05806724112000001,0.011751703560000002,0.00829532016,0.005530213440000001,0.0013825533600000002,0.14240299607999998
Zhejiang,0.06724273643999999,0.02241424548,0.15356142648,0.2670633504,0.02718323388,0.22271175828,0.9747812289600002,0.012399369840000002,0.030998424600000005,0.8193122071200001,0.05579716427999999,,0.5455722729600001,0.02527563852,0.14783864040000005,0.0381519072,0.08202660047999999,0.020983548960000004,0.13305477636000002,0.23797252116000006,0.0906107796,0.35624343348000004,0.07058102832000003,0.018599054760000004,0.042443996760000005,0.18599054760000006,0.008107280280000002,0.008107280280000002,0.00286139304,0.00047689884000000007,0.08774938655999999
Anhui,0.050558025959999996,0.017928378000000002,0.16422394248,0.40625704548,0.019721215800000004,0.09645467364,1.4346288075599998,0.0053785134,0.01326699972,0.31302947988,0.03693245868,0.49267182743999993,,0.010398459240000001,0.12047870016,0.013984134840000002,0.0215140536,0.00752991876,0.046972350360000005,0.04625521524,0.01864551312,0.10255032216,0.019721215800000004,0.00932275656,0.016852675319999996,0.012191297040000002,0.00394424316,0.0035856756,0.00215140536,0.0007171351200000001,0.07171351200000001
Fujian,0.0223577496,0.009672501600000001,0.042019884,0.061840584000000004,0.0125266824,0.34551444239999995,0.09133378560000001,0.004122705599999999,0.0153808632,0.07008599519999999,0.0255290616,0.23800696559999998,0.04661828639999999,0.008245411199999999,0.0502652952,0.0195035688,0.0424955808,0.007452583199999999,0.061840584000000004,,0.0294932016,0.1802890872,0.0432884088,0.007135452000000001,0.033298776,0.060254928,0.0034884432,0.0020613528,0.0019027872,0.00031713119999999997,0.0429712776
Jiangxi,0.0218498148,0.00675357912,0.03515833836,0.04906276596,0.007548117840000001,0.4509007236,0.10448184167999999,0.0027808855200000004,0.00655494444,0.08859106728,0.01747985184,0.30073290552,0.10269412956,0.005561771040000001,0.15433914635999998,0.020062102680000003,0.01668531312,0.00417132828,0.26875272204,0.17618896115999996,0.020658006719999997,,0.0188702946,0.00436996296,0.03555560772,0.02463070032,0.0013904427600000002,0.0011918080799999998,0.00039726936,0.00039726936,0.03416516496
Shandong,0.7155358430400001,0.17221815648,,0.6084458726399999,0.1005334416,0.11976592607999999,0.7972739020799999,0.05463774,0.10665286848,0.14336942975999994,0.10446735888,0.19101353903999999,0.20806051392000002,0.098347932,0.08960589359999999,0.038464968960000005,0.087420384,0.06731369568000001,0.055511943839999994,0.052015128480000006,0.04414729392,0.048081211200000015,0.043710192,0.024477707520000003,0.03627945936,0.03016003248,0.01223885376,0.010927548,0.006119426880000001,0.00087420384,0.29416959216
Henan,0.31810397760000003,0.06173340480000001,0.5147071776,,0.2591230176,0.2032877088,0.3523129344000001,0.0251652096,0.031063305600000007,0.1152094752,0.2343510144,0.2347442208,0.4333134528,0.016121462399999998,0.3574246176,0.0436459104,0.06684508800000001,0.0153350496,0.092403504,0.06369943680000001,0.044039116800000014,0.0558353088,0.0436459104,0.031456512,0.0349953696,0.027524448,0.022019558400000003,0.0114029856,0.0106165728,0.0023592384,0.2036809152
Hubei,0.04627624932,0.0134134056,0.0681848118,0.32505152904,0.02257923276,0.2593258416,0.12630956940000002,0.00715381632,0.01318984884,0.06863192532000001,0.07936264979999999,0.11937930984,0.11893219632000002,0.008048043359999998,,0.02481480036,0.04404068172,0.006930259559999999,0.34494808068000005,0.045829135800000004,0.03263928696000001,0.15716040228,0.12273266124,0.014754746159999999,0.0380046492,0.0368868654,0.007377373079999999,0.004024021679999999,0.0033533514,0.0013413405599999998,0.06885548208
Hunan,0.02749578048000001,0.009819921600000002,0.04099817268,0.07217642376,0.012274901999999999,0.7897671946800001,0.06947594532000001,0.004664462760000001,0.01031091768,0.047135623679999995,0.029459764800000007,0.09427124735999999,0.038297694240000006,0.00932892552,0.31914745200000005,0.036579207960000006,0.030196258920000007,0.0061374509999999995,,0.050572596239999996,0.0478721178,0.23960608704,0.06211100412000001,0.0085924314,0.17945906724000002,0.15441826715999998,0.0039279686400000005,0.0017184862800000006,0.00196398432,0.00098199216,0.05008160016000001
