,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Liaoning,Heilongjiang,Shanghai,Anhui,Shaanxi,Hubei,Zhejiang,Hainan,Sichuan,Jilin,Hunan,Yunnan,Fujian,Gansu,Jiangxi,Chongqing,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.2590738000000004,0.315779229,0.29417069700000004,0.286313049,0.16353729900000002,0.156661857,0.13259781,0.126704574,0.11098927800000001,0.08692523099999999,0.085943025,0.08348751000000001,0.08103199500000001,0.08004978900000001,0.07955868600000003,0.07268324400000001,0.06679000800000001,0.06384339000000001,0.059914566,0.047636991,0.041252652,0.040761549,0.039779343000000016,0.032903901,0.027992871000000003,0.022099635000000003,0.015224193,0.014241987,0.008348751000000001,0.002455515,
Tianjin,1.0001523340799998,,0.1803054816,0.08993550528000001,0.061260416639999996,0.034323212160000005,0.05018140512,0.04496775264,0.05387440896000001,0.04214369088000001,0.021723552000000004,0.029544030720000006,0.022592494080000004,0.01824778368,0.02541655584,0.01368583776,0.021723552000000004,0.031281914880000004,0.01238242464,0.015640957440000002,0.014989250880000003,0.02042013888,0.00934112736,0.011730718079999999,0.010644540479999999,0.013034131200000002,0.006734301120000001,0.005648123520000001,0.0017378841600000003,0.0008689420800000002,0.30282631488
Hebei,,0.99420139044,0.785869047,0.38646266076,0.40865190444,0.08752423896,0.16580295972,0.22004333316,0.18984130704,0.07396414559999999,0.041913015840000005,0.08012782440000002,0.10478253960000003,0.07519688136,0.08136056016000001,0.036982072799999995,0.06040405224000001,0.056089477080000005,0.043145751600000004,0.03143476188,0.02835292248,0.02650381884,0.033900233400000014,0.030202026120000006,0.024038347320000004,0.01910740428,0.01171098972,0.01910740428,0.007396414559999999,0.0018491036399999998,2.0290830609599997
Shanxi,0.38164589856,0.0516254472,0.11128151952,0.29139696864,,0.039005893439999995,0.06233294736,0.17342326151999998,0.014340402,0.0065009822400000005,0.021223794959999997,0.02695995576,0.34283121048,0.02944562544,0.02925442008,0.02370946464,0.039005893439999995,0.006692187599999999,0.019120536,0.01453160736,0.013193169840000001,0.014914018080000003,0.008413035840000001,0.014340402,0.008986651919999998,0.0072658036799999985,0.004780134,0.01223714304,0.00516254472,0.00076482144,0.13346134127999998
Inner Mongolia,0.21608510616,0.034922845439999996,0.05519056824,0.03772914552,0.14748665976,0.01933228944,0.02603622852,,0.179291394,0.1083543642,0.010757483640000001,0.010913389199999998,0.18895753872,0.011692917,0.01527874488,0.01184882256,0.0101338614,0.11396696436,0.0065480335200000005,0.00826299468,0.00530078904,0.04957796808,0.0043653556799999995,0.00530078904,0.0031181112,0.0032740167600000003,0.00514488348,0.14280949295999998,0.0028063000800000004,0.00015590556,0.12191814792
Liaoning,0.23725897920000003,0.054184334400000006,0.1236698928,0.0853268256,0.0505840464,0.0532842624,0.06354508319999999,0.20683654559999998,,0.15031202400000002,0.031322505599999995,0.037803024000000005,0.0286222896,0.0226818144,0.045003600000000005,0.0225018,0.0320425632,0.2460796848,0.0205216416,0.0228618288,0.0203416272,0.0228618288,0.013141051200000002,0.0151212096,0.0226818144,0.036902952,0.0140411232,0.0055804464,0.003600288,0.0016201296,0.10566845279999999
Jilin,0.06527385,0.02182757544,0.061305199920000004,0.02830274136,0.014621342399999997,0.035091221759999985,0.039895377119999985,0.11425534703999997,0.21347159904,0.20313222120000002,0.02151426096,0.014516904239999996,0.01305477,0.01002606336,0.029869313760000002,0.02161869912,0.009817187039999998,,0.01368139896,0.00814617648,0.00960831072,0.00459527904,0.007310671199999999,0.005013031679999999,0.00762398568,0.00814617648,0.004386402719999999,0.00250651584,0.00177544872,0.0006266289599999999,0.0511746984
Heilongjiang,0.06218857944,0.025894575719999997,0.07653979007999999,0.031406272560000004,0.014975176319999997,0.04710940884,0.03515006664,0.10264235436000001,0.10472223996,,0.0296383698,0.01445520492,0.014767187759999996,0.012583307879999998,0.02641454712,0.03099029544,0.01580713056,0.23211523296,0.013103279280000001,0.01331126784,0.011127387959999999,0.006343651079999999,0.007695576720000001,0.007279599599999999,0.010191439439999998,0.011647359360000002,0.0031198284000000004,0.00239186844,0.00093594852,0.00020798856,0.07310797883999999
Shanghai,0.044645988240000004,0.02347366392,0.13393796472,0.15372948528,0.0276160752,0.16431564743999996,1.9354266036,0.01104643008,0.02807634312,0.030837950639999997,,0.36177058511999993,0.04694732784,0.07916608223999999,0.9255987871200001,0.04234464864,0.046026792000000004,0.02347366392,0.05707322208,0.050629471200000005,0.08699063687999999,0.01702991304,0.09987813864,0.04648705992,0.02669553936,0.032679022319999994,0.00736428672,0.0046026792,0.00276160752,0.00184107168,0.07778527847999997
Jiangsu,0.13399845228,0.03828527208,0.7309651021200001,0.4154661007200001,0.061681827239999994,0.18929940084000002,,0.019851622560000004,0.04183020468,0.037576285560000006,1.7150383918799998,1.56898716876,0.09500419367999999,0.1488871692,1.0209405888,0.033322366439999994,0.07231662504000001,0.03048642036,0.09854912627999998,0.06664473287999999,0.09429520716,0.037576285560000006,0.12619960055999999,0.053173989000000005,0.03828527208,0.06522675984,0.01134378432,0.009925811280000002,0.00638087868,0.0014179730400000002,0.1098929106
