,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Shanghai,Liaoning,Anhui,Heilongjiang,Zhejiang,Shaanxi,Sichuan,Hubei,Hainan,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.4010746408,0.43555725972,0.3758203785600001,0.37002068136,0.20240943228,0.19486982592,0.17283097656,0.15775176384,0.13745282364,0.12295358064,0.10729439820000003,0.10555448903999999,0.10497451932,0.10207467072000001,0.10149470099999999,0.0985948524,0.08293566996,0.07481609387999999,0.07481609387999999,0.05393718396000001,0.05161730508,0.051037335360000005,0.04813748676,0.043497729000000006,0.033058274039999995,0.029578455719999997,0.01855903104,0.01855903104,0.01217936412,0.00231987888,
Tianjin,1.30838004,,0.24486530688000002,0.12021237216,0.08595660383999999,0.04408844256,0.06946308576,0.059313228480000015,0.030766754880000007,0.06216787584,0.03933069696,0.04662590688,0.034890134400000015,0.029498022720000006,0.02664337536,0.024423094080000003,0.01807943328,0.015859151999999998,0.03457295136000001,0.017127884160000002,0.013004504640000001,0.01681070112,0.012370138560000002,0.023471544960000004,0.011418589440000002,0.012687321599999999,0.008246759040000001,0.007929575999999999,0.0041233795200000005,0.00063436608,0.7425254966399999
Hebei,,1.37154394368,1.0644963235200002,0.4823650310400001,0.5811626879999999,0.10170347040000002,0.20921856768000005,0.2876755305600001,0.05521045536,0.23440228416000006,0.10267207488000002,0.09008021664000003,0.09879765696000002,0.14141625408000005,0.06877091808000001,0.08814300768000001,0.04358720160000002,0.05521045536,0.06586510464000002,0.0339011568,0.036806970240000014,0.040681388160000005,0.040681388160000005,0.0339011568,0.030995343360000007,0.025183716480000003,0.013560462720000005,0.020340694080000003,0.009686044800000002,0.0019372089600000004,4.237644599999999
Shanxi,0.52348268196,0.06784458911999999,0.14391276479999998,0.39267625824,,0.04600068732,0.07863804647999999,0.2300034366,0.02801159172,0.01721813436,0.03315133332,0.0102794832,0.03649216536,0.47953789128,0.04471575192,0.03880504908,0.02544172092,0.02235787596,0.008480573639999999,0.01721813436,0.02158691472,0.01747512144,0.0102794832,0.020815953480000003,0.008994547799999999,0.00950852196,0.006167689919999999,0.01721813436,0.00796659948,0.0007709612399999999,0.20019293532000002
Inner Mongolia,0.28855233288000004,0.04442345208000001,0.06623496683999999,0.043623029519999995,0.18869961852,0.0220116204,0.02541341628,,0.01440760608,0.21071123892000002,0.012606655320000002,0.15268060331999994,0.017609296320000002,0.25833638124,0.012406549679999998,0.010005281999999999,0.014607711719999998,0.0074039086800000015,0.15428144844,0.00540285228,0.006603486120000001,0.00720380304,0.00480253536,0.05422862844,0.00520274664,0.0038020071600000003,0.007003697399999999,0.17529254064,0.00540285228,0.00040021127999999995,0.17829412524
Liaoning,0.27772522488,0.06968452032000001,0.15314388767999998,0.08913136320000001,0.04517339544,0.05327624664,0.07029223416000001,0.24754210415999997,0.03261397608,,0.0384885432,0.16347502296000002,0.04841453592,0.030588263280000003,0.036462830400000014,0.02552398128,0.027752265360000004,0.02370083976,0.29231035704,0.01863655776,0.017015987519999998,0.02208026952,0.014179989599999996,0.02248541208,0.01904170032,0.03362683248,0.01539541728,0.0064822809600000005,0.0040514256,0.0012154276800000001,0.12215048184
Jilin,0.07365799476000001,0.02789115120000001,0.07796844540000003,0.034863939000000004,0.017241802560000002,0.034230049200000015,0.044879397840000015,0.13628630700000002,0.02497525812,0.26712116172,0.020030917680000003,0.26458560251999996,0.03270871368,0.016861468680000002,0.01166357232,0.012297462120000002,0.02573592588,0.014959799280000003,,0.012297462120000002,0.00735312168,0.00938156904,0.009001235160000001,0.0069727878000000005,0.007987011479999999,0.00735312168,0.004944340440000001,0.00228200328,0.00164811348,0.0006338898000000001,0.057810749759999995
Heilongjiang,0.07198425612,0.03826079712000001,0.08768099340000003,0.034827135839999995,0.016555152600000005,0.054570688200000016,0.040468150800000005,0.13072439015999998,0.03311030520000001,0.12581915976000002,0.018026721720000003,,0.029554013160000007,0.016309891080000003,0.015574106520000004,0.013121491320000005,0.03409135128,0.014715691200000004,0.28315442484000003,0.01152729144,0.0085841532,0.01201781448,0.009810460800000002,0.006008907240000001,0.01275359904,0.01005572232,0.0030657690000000003,0.0034336612800000012,0.00159419988,0.00036789227999999995,0.08559627048000001
Shanghai,0.05993793288,0.03180380112,0.17002801367999998,0.19449247608,0.033027024239999994,0.23791689684,2.50087966884,0.014067065879999998,,0.02813413176,0.48990085956,0.031192189560000003,1.32964353144,0.061772767560000004,0.08012111436000001,0.11070169235999999,0.05443342884,0.06972371783999999,0.02996896644,0.10336235364,0.05443342884,0.0581030982,0.12232231199999999,0.0214064046,0.03425024736,0.03914313984,0.01039739652,0.005504504039999999,0.00489289248,0.00122322312,0.11681780796
Jiangsu,0.15247311372000003,0.05654632032,0.91281917088,0.5068973714399999,0.07573167899999997,0.25849746432,,0.024234137279999998,3.18375978516,0.050487785999999986,1.97508218832,0.04341949596,1.4055799622399998,0.1211706864,0.10198532772,0.20094138827999997,0.04139998451999999,0.11814141923999998,0.03736096164,0.12319019783999995,0.07573167899999997,0.08279996903999998,0.1565121366,0.0454390074,0.051497541720000005,0.0807804576,0.01615609152,0.012117068639999996,0.00908780148,0.00201951144,0.15348286943999995
