,Hebei,Henan,Tianjin,Shandong,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Liaoning,Shanghai,Anhui,Heilongjiang,Shaanxi,Hubei,Sichuan,Zhejiang,Hainan,Hunan,Jilin,Fujian,Yunnan,Jiangxi,Gansu,Chongqing,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.22154696008,0.3463324452000001,0.31922816688000005,0.31471078716,0.17718167124,0.15158318616000002,0.13853297808,0.13752911592000006,0.10389973356,0.09386111196000002,0.09386111196000002,0.09135145656000003,0.08833987008000001,0.08281862820000001,0.08181476604,0.07528966200000001,0.06424717824000001,0.06424717824000001,0.06424717824000001,0.045675728280000015,0.04416993504,0.04115834856,0.03814676208,0.03814676208,0.028610071560000006,0.025096554000000004,0.014054070240000004,0.01305020808,0.008532828360000001,0.00150579324,
Tianjin,1.0950539072399998,0.11698344648000004,,0.23149888776000005,0.07946976744,0.04146248736,0.06095972844000001,0.050840907120000015,0.057751321679999995,0.02591405460000001,0.03899448216000001,0.04615169724000001,0.02640765564000001,0.025173653040000004,0.026160855120000003,0.030356463960000007,0.014561230680000004,0.016782435360000004,0.03183726708,0.016782435360000004,0.016288834319999997,0.013820829120000004,0.021718445760000003,0.014561230680000004,0.012340026000000002,0.013080427560000002,0.006170013000000001,0.007404015600000002,0.0032084067600000005,0.00074040156,0.32108747651999997
Hebei,,0.4333848138000001,1.0636405585200002,0.907084494,0.47571542351999996,0.08533313388000001,0.18276072767999998,0.22777899516,0.2049339042,0.045690181919999996,0.09608376492,0.08331739056,0.1142254548,0.08533313388000001,0.05644081296,0.08130164724,0.03897103752,0.050393583,0.062488042920000014,0.03225189312,0.03493955088,0.037627208640000014,0.02754849204,0.03292380756,0.024188919840000003,0.02082934764,0.011422545479999999,0.01612594656,0.006719144399999999,0.0013438288800000002,2.1662521545600004
Shanxi,0.4462029374400001,0.3476406211200001,0.049815660960000015,0.13298429664,,0.04083601392,0.06991296624000001,0.18023434416000006,0.014538476160000003,0.023090520960000003,0.033352974720000005,0.009621050400000004,0.3874076294400001,0.035063383680000004,0.04083601392,0.03185636688,0.02266291872,0.02009730528,0.00769684032,0.014324675040000004,0.011972862720000005,0.01133145936,0.01838689632,0.015821282880000002,0.009621050400000004,0.007910641440000001,0.006414033600000001,0.01325566944,0.00555882912,0.0008552044800000003,0.12464605295999998
Inner Mongolia,0.24546727296,0.03725842536,0.03388662215999999,0.053274490560000005,0.16791579936,0.0177019668,0.02208531096,,0.18275173344,0.0109583604,0.01230708168,0.13672661975999995,0.21309796224,0.00876668832,0.01028399976,0.013150032479999999,0.012981442320000001,0.00623783592,0.13436635751999998,0.00488911464,0.00539488512,0.00404616384,0.048048195599999996,0.0059006556000000005,0.0033718032,0.00269744256,0.005226294960000001,0.15881193072000002,0.00354039336,,0.12172209552000002
Liaoning,0.23596791371999998,0.06758069436000001,0.053709716520000006,0.11532266460000001,0.031451635799999995,0.04145164308,0.055967782679999994,0.20677434408,,0.0274193748,0.03096776448,0.13645171224000002,0.025967760840000003,0.01870969104,0.031774216679999995,0.035806477680000004,0.02274195204,0.02000001456,0.24967760112,0.015161301359999997,0.0169354962,0.012258073440000001,0.01741936752,0.0096774264,0.01338710652,0.02112904764,0.0096774264,0.00338709924,0.00290322792,0.00096774264,0.07919360603999999
Jilin,0.06627531455999999,0.030657968639999995,0.02693843568,0.06571174896000001,0.016681541759999998,0.030657968639999995,0.03899873952,0.13311419472000002,0.2299347648,0.02164091904,0.01701968112,0.22835678112,0.01555441056,0.01149673824,0.01059503328,0.02772742752,0.022542624,0.01510355808,,0.01217301696,0.008453483999999999,0.00991875456,0.005522942879999999,0.006875500319999999,0.006875500319999999,0.007213639680000002,0.004621237919999999,0.00214154928,0.0011271312,0.0004508524800000001,0.050157338400000015
Heilongjiang,0.06392988827999999,0.029448441000000002,0.029769696719999995,0.0792430776,0.01477776312,0.0497946366,0.034802703,0.12689600939999998,0.09573420455999998,0.030947634360000004,0.016491126959999998,,0.014242336919999998,0.01156520592,0.014242336919999998,0.02420126424,0.03298225392,0.012421887839999998,0.25454161548,0.010815609240000001,0.01135103544,0.006746370119999999,0.005461347239999999,0.008673904440000001,0.00899516016,0.008566819199999999,0.00246296052,0.00117793764,0.0012850228799999998,0.00032125571999999994,0.06649993404
Shanghai,0.050589411839999994,0.20130370128,0.023713786800000004,0.158091912,0.03109140936,0.19129121352000003,2.1584815718400003,0.01212037992,0.02424075984,,0.47005995168,0.029510490240000006,0.055332169199999996,0.09643606632000001,0.06639860303999999,1.0513112148000001,0.051643357919999994,0.06639860303999999,0.022659840719999998,0.09485514720000003,0.053751250080000014,0.12014985312000001,0.0210789216,0.049008492720000005,0.0316183824,0.03636113976,0.0079045956,0.00579670344,0.004215784320000001,0.0005269730400000001,0.06956044128000001
Jiangsu,0.145722726,0.487106865,0.042570684000000004,0.7376189670000001,0.06467469299999999,0.20957875199999998,,0.018010673999999997,0.037658682,2.0695901759999997,1.89112077,0.038477349,0.103152042,0.189112077,0.085960035,1.198528488,0.039296016,0.10642671,0.028653345,0.10397070900000001,0.07122402900000001,0.15390939599999998,0.042570684000000004,0.063037359,0.042570684000000004,0.06713069399999999,0.014736006000000001,0.011461338,0.005730669000000001,0.0016373339999999998,0.099058707
