,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Inner Mongolia,Guangdong,Liaoning,Anhui,Shaanxi,Heilongjiang,Hubei,Sichuan,Shanghai,Zhejiang,Hunan,Jilin,Hainan,Jiangxi,Fujian,Gansu,Chongqing,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,3.1458855168,0.46660536,0.3932356896,0.3880869408,0.22654494719999999,0.16669074239999998,0.1608984,0.12678793919999998,0.11906481600000003,0.11584684800000003,0.1074801312,0.1074801312,0.10361856960000002,0.09911341439999999,0.0971826336,0.0804492,0.07530045120000001,0.0682209216,0.0585670176,0.0489131136,0.0431207712,0.0424771776,0.0424771776,0.0392592096,0.0270309312,0.0244565568,0.019307808,0.0186642144,0.0077231231999999985,0.0025743744,
Tianjin,1.44899088192,,0.30872070108000005,0.12528215892,0.08419655483999999,0.06625776996,0.04860832032,0.034720228799999996,0.0636537528,0.03963892788,0.02864418876,0.045714967919999995,0.027197512559999998,0.0231468192,0.0274868478,0.02777618304,0.014756097240000002,0.03298421736,0.01504543248,0.01070540388,0.012730750559999999,0.0188067906,0.012730750559999999,0.0130200858,0.00983739816,0.00839072196,0.005208034320000001,0.00491869908,0.0023146819199999996,0.00028933523999999996,0.32665948595999994
Hebei,,1.1854166940000002,0.93109093056,0.4720113745200001,0.49428283968,0.17673485256000002,0.23995707624,0.08405682011999999,0.22343308596,0.10129924476,0.12644444736000002,0.08190151704,0.09411490116,0.06681439548000001,0.05172727392,0.07902777960000001,0.056037880080000005,0.0682512642,0.035921718,0.03807702108,0.03089267748,0.02730050568,0.03735858672,0.0323295462,0.02442676824,0.020116162080000003,0.01221338412,0.01365025284,0.00646590924,0.0014368687200000002,2.35933843824
Shanxi,0.4750250022,0.0560120184,0.12408816383999995,0.3675250130399999,,0.07238476223999997,0.16911320939999994,0.04050099791999999,0.016157312999999996,0.031022040959999993,0.3716181989999999,0.008401802759999999,0.03533065775999999,0.04416332219999999,0.026067131639999998,0.031668333479999984,0.019173344759999995,0.007755510239999998,0.02348196156,0.010125249479999996,0.015080158799999997,0.01809619056,0.01852705224,0.014864727959999997,0.007755510239999998,0.00947895696,0.005816632679999999,0.012494988719999996,0.0043086168,0.0008617233599999999,0.11267032932
Inner Mongolia,0.261302436,0.038091270600000005,0.05943710340000001,0.043243712999999996,0.21051407519999998,0.03404292300000001,,0.020057722200000003,0.1795994208,0.013433153400000002,0.2287316394,0.14316429240000006,0.012145042800000002,0.0126970902,0.0150892956,0.0160093746,0.010120869000000005,0.1367237394,0.0141692166,0.0047844108000000005,0.005888505600000001,0.057044898,0.0077286635999999995,0.007176616200000001,0.0047844108000000005,0.004968426600000001,0.004968426600000001,0.1770231996,0.0042323634,0.0001840158,0.10967341679999999
Liaoning,0.22228040411999994,0.052609859639999985,0.11361331512,0.06834785183999999,0.028478271599999994,0.04976203248,0.194851332,0.03852060947999999,,0.028927928519999993,0.02083410396,0.12650348015999996,0.015588106559999997,0.025330673159999997,0.026229987000000003,0.0314759844,0.014838678359999996,0.24371405064,0.02083410396,0.008993138399999998,0.013639593240000001,0.013339821959999998,0.008243710199999999,0.012290622479999996,0.010491994799999998,0.018286048079999995,0.00794393892,0.0032974840799999995,0.00284782716,0.00119908512,0.07194510719999997
Jilin,0.07427781,0.0311320908,0.07169423400000001,0.043533255599999994,0.0255774024,0.0431457192,0.15630634799999998,0.0311320908,0.24298532280000001,0.018730926000000002,0.016793244000000002,0.271921374,0.0139513104,0.015501456,0.0291944088,0.034878276,0.0145972044,,0.0228646476,0.0099467676,0.0126595224,0.0098175888,0.007750728,0.009042516,0.0098175888,0.012142807199999998,0.0059422248,0.0033586487999999995,0.0016793243999999998,0.0005167152,0.048183692400000006
Heilongjiang,0.07261948404,0.03674273724,0.08338250807999999,0.03562932096,0.021649761000000003,0.04156754112,0.13954817375999998,0.04960888092,0.11183647968,0.01818579924,0.021526048080000002,,0.01311356952,0.02016520596,0.035876746800000005,0.029567387880000007,0.016082679600000004,0.3006223956,0.03377362716,0.00903104316,0.012989856600000002,0.0074227752,0.01125787572,0.012247579080000001,0.01088673696,0.013360995359999999,0.0030928229999999998,0.0018556938,0.00197940672,0.00024742584,0.06878438351999999
Shanghai,0.05463204407999999,0.026649777599999997,0.19121215428,0.25517162052000003,0.03797593308,2.8282076478,0.011326155479999999,0.19920708756,0.02398479984,0.7102165730399999,0.06729068844,0.03197973312,0.13857884352,0.07728435503999999,,1.2405471472799998,0.08794426607999999,0.027316022039999995,0.045304621919999996,0.17788726548,0.11592653256,0.02065357764,0.05596453296,0.05063457744,0.03197973312,0.03597719976,0.007328688840000002,0.00799493328,0.00266497776,0.00133248888,0.08061557724
Jiangsu,0.15326020692,0.0492942186,0.8720595399600001,0.57270919428,0.07349319864000001,,0.01882142892,0.21779082036,0.04122789192,2.21913609552,0.12009864168,0.04122789192,0.2195833374,0.09141836903999999,2.1761156865599998,1.1785799538,0.12099490019999999,0.031369048199999985,0.03943537488,0.16760034324,0.112032315,0.043020408959999985,0.06901190603999999,0.06990816456,0.04122789192,0.06990816456,0.012547619280000002,0.010755102239999998,0.00717006816,0.00179251704,0.09679592016
Zhejiang,0.07701275555999999,0.024354461160000004,0.19154454588000006,0.3850637778,0.03225320532,1.3329130770000002,0.013822802280000001,0.25802564256,0.02567091852,0.9274442101200001,0.08096212763999999,0.029620290600000005,0.25605095652000004,0.11782293372000001,1.04790005856,,0.20668380552000004,0.02567091852,0.03356966268,0.6075450716399999,0.29093707656,0.024354461160000004,0.10465836012000003,0.10400013144000002,0.05200006572000001,0.23432941008,0.008556972840000001,0.006582286800000001,0.0032911434000000004,0.00131645736,0.06582286799999999
Anhui,0.06977715840000001,0.02049704028,0.19712047248,0.52507311696,0.02224146924,1.7793175391999998,0.007413823080000001,0.10597405932000002,0.012211002720000004,,0.047535689160000005,0.011774895480000002,0.16877350188,0.030527506800000003,0.3624051164400001,0.5630144468399999,0.061491120839999996,0.00915825204,0.01613596788,0.13650156612000006,0.053205083279999996,0.01003046652,0.023549790960000004,0.021369254759999998,0.017008182360000002,0.016572075119999998,0.0034888579200000004,0.004361072400000001,0.0017444289600000002,0.0008722144800000001,0.05407729776
Fujian,0.026022435840000004,0.01199471652,0.049808568600000006,0.07705080612000001,0.013621118760000002,0.11140855344000003,0.0040660056,0.4322163952800001,0.01097821512,0.060990084000000014,0.031918143960000006,0.013011217920000002,0.07725410640000001,0.05916038148000001,0.09006202404000001,0.29031279984,0.08233661340000001,0.007522110360000001,0.020736628560000005,0.2868566950800001,,0.00975841344,0.05733067896000001,0.04147325712000001,0.03883035348,0.08030361059999999,0.00426930588,0.00121980168,0.00182970252,0.0008132011200000001,0.032934645360000014
Jiangxi,0.029761266239999994,0.008723129759999998,0.04464189936,0.07081128864,0.008723129759999998,0.13418226072,0.00410500224,0.532367478,0.006157503359999999,0.14880633119999995,0.02642595192,0.00718375392,0.23116293864,0.02591282664,0.10339474392,0.37304207856,0.3940802150399999,0.006414066,0.021038136479999997,,0.21346011648,0.008723129759999998,0.025399701359999995,0.025399701359999995,0.03745814544,0.03668845752,0.00205250112,0.00230906376,0.00205250112,0.00051312528,0.027965327760000002
Shandong,0.8519356731599999,0.19565986752,,0.69160328172,0.11730533724,0.8107202843999999,0.052085381399999985,0.11413492272,0.10869992640000001,0.22736401271999995,0.10734117732000001,0.10100034828,0.09556535195999998,0.07971327936,0.14266865339999998,0.1562561442,0.05842621044,0.07246661759999999,0.03895080696,0.04483871963999999,0.04800913416,0.02355165072,0.04212122148,0.04574455236,0.02626914888,0.027174981600000002,0.013587490800000001,0.014040407159999995,0.0067937454000000005,0.0013587490799999995,0.20335944564
Henan,0.3640222134,0.0586554858,0.6049126818,,0.3062622312,0.4267074654,0.026865108,0.2337264396,0.025521852599999995,0.4961089944,0.2811881304,0.0192533274,0.4311849834000001,0.0796998204,0.1419373206,0.2561140296,0.11328120539999999,0.015671313,0.049252698,0.0676105218,0.06581951459999999,0.038058903000000005,0.047909442600000005,0.0385066548,0.0398499102,0.0331336332,0.026417356200000002,0.013880305800000001,0.010746043200000001,0.0026865108000000003,0.1540266192
Hubei,0.0648511596,0.014868314640000001,0.09205701192,0.4960322841600001,0.037645307280000005,0.18063420552,0.012653884800000004,0.31666346712000004,0.011388496320000002,0.18411402384000006,0.10629263232,0.010439454960000002,,0.08098486272000002,0.08509737528000001,0.15437739456000002,0.506155392,0.008541372240000001,0.031951059120000014,0.2277699264000001,0.05978960568000001,0.02435872824000001,0.19803329712000006,0.044921291040000005,0.060105952800000015,0.06738193656000001,0.012653884800000004,0.007275983760000002,0.004428859680000001,0.0022144298400000005,0.05124823344000001
Hunan,0.03600964512,0.01010797056,0.05148747504,0.10550194272,0.015161955839999996,0.08591774976000001,0.0053698593600000006,0.9390936398399999,0.00663335568,0.051171600960000015,0.0347461488,0.0094762224,0.48391909056000004,0.048960482400000005,0.05338271952,0.11087180207999998,,0.00884447424,0.040747756319999995,0.386945748,0.05748908256,0.00979209648,0.09097173504,0.05085572688,0.221111856,0.18383871456,0.00505398528,0.0034746148799999995,0.0034746148799999995,0.00094762224,0.04043188224
Guangdong,0.07945849548000003,0.03667315176,0.13184871228000006,0.30473642772000004,0.038419492320000005,0.22789744308,0.01659023532,,0.034053640919999996,0.12486335004000003,0.11089262556,0.04453168428,0.52914118968,0.25845840288000005,0.19559014272000005,0.24623401896,1.70180887572,0.0305609598,0.19908282384,0.8696775988800002,0.4977070596000001,0.02706827868,0.2008291644,0.19820965356000006,1.9270868079600003,0.30211691688000003,0.013970724480000002,0.008731702800000001,0.0061121919600000026,0.0017463405600000002,0.12137066892
Guangxi,0.02524708764,0.00432157356,0.035027490960000005,0.04185102816,0.007505890919999998,0.040713771960000006,0.00363921984,1.14430718844,0.00864314712,0.01910590416,0.01842355044,0.00864314712,0.051176529000000005,0.040713771960000006,0.03138827112,0.046172601720000005,0.25906696236,0.00523137852,0.04139612568,0.03775690584,0.03821180832,0.00591373224,0.03775690584,0.11781974232,,0.1694511738,0.0027294148799999994,0.00181960992,0.00090980496,0.00045490248,0.022745124
Hainan,0.033944754240000014,0.013122972000000002,0.03132015984,0.042780888720000014,0.0188095932,0.03508207848,0.011198269440000002,0.1854713376,0.0205593228,0.013560404400000002,0.024583700880000003,0.022921457760000003,0.026683376400000004,0.04348078056,0.03840656472,0.029307970800000006,0.039631375440000005,0.013735377360000006,,0.02108424168,0.01732232304,0.0062115400799999995,0.03175759224,0.017059863600000003,0.04173105096,0.018722106720000003,0.00507421584,0.00157475664,0.00227464848,0.0003499459200000001,0.06421507632000001
Chongqing,0.02536714908,0.0064114772399999995,0.03261490595999999,0.04961925863999999,0.01421675388,0.05770329516,0.004738917959999999,0.12795078491999998,0.005296437719999999,0.025645908959999998,0.060769653839999986,0.004460158079999999,0.18147268188,1.4275293454799998,0.04404406103999999,0.05686701552,0.08502176339999999,0.0039026383200000004,0.041256462239999986,0.02034947124,0.03289366584,0.015889313159999998,,0.08195540471999999,0.03149986644,0.2935341536399999,0.010035355679999998,0.004460158079999999,0.0030663586800000002,0.005853957479999999,0.028154747879999994
Sichuan,0.035339690879999996,0.011213555759999999,0.053009536320000016,0.07237840536000001,0.02582515872,0.06592211568,0.01087375104,0.1800965016,0.01053394632,0.02854359648,0.2004847848,0.01053394632,0.07781528087999999,,0.05470855992,0.06999977232000001,0.053009536320000016,0.007815508559999998,0.051990122160000006,0.0237863304,0.040776566400000006,0.08189293752,1.3510635667200002,0.45295969176000006,0.03873773808,0.25859139191999997,0.013931993519999998,0.007815508559999998,0.02480574456,0.028203791760000006,0.048931879680000005
Guizhou,0.01394152884,0.0031212378,0.01955975688,0.029755800360000004,0.00686672316,0.04099225644,0.0020808251999999998,0.2007996318,0.003537402840000001,0.016230436560000002,0.02143249956,0.00395356788,0.04557007188,0.32981079420000003,0.0218486646,0.08281684296000001,0.22951501956,0.00249699024,0.02060016948,0.033293203199999996,0.04203266904,0.00436973292,0.38536882704,0.33584518728,0.16272053064000006,,0.0010404125999999999,0.0014565776400000002,0.0006242475599999999,0.0010404125999999999,0.01414961136
Yunnan,0.02558290068,0.008069774039999998,0.0326224908,0.04086396216,0.013907482920000002,0.0454997898,0.0039490383600000005,0.13581258012,0.00909995796,0.02008858644,0.03073382028,0.0068678928,0.04000547556,0.43971683651999993,0.037430015760000004,0.05305447188,0.06472988964,0.004120735679999999,0.01699803468,0.0240376248,0.03142060956,0.006181103520000001,0.10610894376,,0.10799761427999999,0.36193795056,0.0034339464,0.0024037624800000005,0.0029188544399999998,0.0051509196000000005,0.03279418812
Tibet,0.0028651708799999997,0.00092166336,0.0037467619200000006,0.01077945408,0.0018032544,0.0027449539200000003,0.00022039776,0.0037467619200000006,0.0006010848,0.00164296512,0.011661045120000001,0.00028050624000000004,0.00384694272,0.07419390047999999,0.0011220249600000002,0.00128231424,0.00406734048,0.00028050624000000004,0.00074133792,0.00064115712,0.00118213344,0.01045887552,0.01266285312,0.011841370559999998,0.00102184416,0.00242437536,0.00154278432,0.00048086784,0.028431311039999997,,0.0028050624
Shaanxi,0.09704995560000003,0.015281346599999999,0.09195617340000002,0.31152499559999997,0.38122938359999997,0.1040203944,0.21420694620000005,0.07989195240000001,0.016621815600000003,0.050133540600000005,,0.010723752,0.1142079588,0.22680735480000005,0.047988790200000006,0.055227322800000006,0.0380693196,0.008310907800000001,0.025468911,0.022787973000000003,0.024396535800000004,0.3560285664,0.05898063600000001,0.027077473799999998,0.020643222600000004,0.020107035,0.0302945994,0.1284169302,0.0302945994,0.012600408600000002,0.0557635104
