,Hebei,Tianjin,Henan,Shandong,Shanxi,Inner Mongolia,Heilongjiang,Jiangsu,Anhui,Liaoning,Guangdong,Sichuan,Shaanxi,Hubei,Hainan,Jilin,Hunan,Zhejiang,Shanghai,Gansu,Jiangxi,Yunnan,Fujian,Chongqing,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.4660910080000003,0.3631704336,0.31548625199999997,0.26491212,0.17725029120000002,0.11270806559999998,0.08814348720000001,0.08669851199999999,0.08669851199999999,0.07706534400000001,0.0741753936,0.0736937352,0.0655055424,0.0640605672,0.055390716,0.0510557904,0.050092473599999986,0.04816584,0.0423859392,0.039014330400000005,0.0341977464,0.0327527712,0.029862820800000002,0.028899504,0.023601261600000003,0.019266336000000002,0.014449752,0.01204146,0.007706534399999999,0.0019266335999999998,
Tianjin,1.2466473415200003,,0.10073449008000003,0.22003754976000006,0.06220470816000001,0.050599352160000007,0.04502878128000001,0.03922610328,0.028549175760000007,0.04340403144000001,0.021818069280000005,0.020889640800000005,0.022978604880000003,0.020889640800000005,0.010676927520000002,0.02738864016,0.01253378448,0.020889640800000005,0.012765891600000004,0.015086962800000003,0.007195320720000001,0.008587963440000002,0.010212713280000002,0.010909034640000002,0.00603478512,0.007659534960000001,0.003249499680000001,0.00487424952,0.0013926427199999999,0.0002321071200000001,0.2334997627200001
Hebei,,1.2436765109999999,0.44707747823999994,0.93291889968,0.54463340196,0.24615103932,0.08398854359999999,0.13955019552,0.08269641216000001,0.17379167868,0.07235936064000001,0.06008411196000001,0.11499969816,0.07365149207999999,0.0387639432,0.064606572,0.0452246004,0.07558968924,0.03682574604,0.02455049736,0.03617968032,0.03101115456,0.02648869452,0.03165722028,0.020028037319999997,0.020674103040000003,0.0129213144,0.01098311724,0.00710672292,0.0006460657200000001,1.7488999040400002
Shanxi,0.41583298535999996,0.04642601184,0.33798937068,0.10045628424,,0.20771638056,0.00920515752,0.056631729960000016,0.024813902880000002,0.009805493879999998,0.02921636952,0.03942208764,0.42303702168000007,0.02921636952,0.02121188472,0.006603699960000001,0.01580885748,0.02381334228,0.020011212,0.01580885748,0.00920515752,0.00960538176,0.012206839320000001,0.0160089696,0.00720403632,0.00720403632,0.004402466640000001,0.011206278720000002,0.00520291512,0.00040022424,0.08164574496
Inner Mongolia,0.23347517760000003,0.0336362544,0.039572064,0.0545764716,0.192089394,,0.1345450176,0.0202806828,0.012201386399999998,0.1538363988,0.0143448732,0.0120365028,0.2293530876,0.0092334816,0.011541851999999998,0.12761990639999998,0.0062655768,0.013025804399999999,0.0080792964,0.054246704400000005,0.0044518572,0.004946508,0.00412209,0.0054411588,0.0046167408000000005,0.0036274391999999997,0.0056060424000000005,0.1729628964,0.005770925999999999,,0.0743625036
Liaoning,0.19087751088,0.041119565760000004,0.06155769312000001,0.07992767664,0.025061037119999997,0.18041513616000002,0.0936747504,0.03625334496,0.03041388,,0.0261559368,0.024209448480000003,0.015328595519999998,0.013990384799999998,0.016666806240000002,0.17798202575999997,0.0127738296,0.02664255888,0.015328595519999998,0.0158152176,0.00900250848,0.01021906368,0.0109489968,0.00802926432,0.01995150528,0.01119230784,0.0066910536,0.0029197324800000002,0.00255476592,0.00097324416,0.047567308319999994
Jilin,0.0586729008,0.02258273520000001,0.035140424400000016,0.06131107080000001,0.0180450828,0.13718484000000006,0.22466655719999998,0.0370399068,0.016989814800000003,0.17749607760000002,0.027648021600000003,0.012241108799999999,0.016040073600000003,0.0108692604,0.0208943064,,0.014140591200000004,0.027014860800000002,0.0220551012,0.0101305728,0.00791451,0.008020036800000001,0.0120300552,0.008336617200000002,0.011713474800000002,0.008231090400000002,0.006964768800000001,0.0028492236000000003,0.0028492236000000003,0.001055268,0.0326077812
Heilongjiang,0.0640946358,0.0312054444,0.04243042440000001,0.0726256206,0.020990712600000003,0.1266177744,,0.0385016814,0.020317213799999997,0.0728501202,0.046022418,0.0187457166,0.016388470800000002,0.014367974399999999,0.0371546838,0.2797265016,0.014592474,0.027837950400000002,0.031317694199999996,0.011786228999999999,0.0114494796,0.014480224199999999,0.0104392314,0.0108882306,0.016163971200000002,0.0108882306,0.0043777422000000005,0.0030307446000000004,0.0019082466,0.0006734988000000001,0.048491913600000006
Shanghai,0.04671807192000002,0.01736953956,0.21562187040000005,0.14135211504000006,0.031744330920000015,0.009583194240000002,0.031145381280000006,2.7168355670400004,0.5288725321200001,0.015572690640000003,0.13236787044,0.06348866184000003,0.050311769760000014,0.09343614384000004,0.042525424440000015,0.02036428776000001,0.06947815824,1.2937312224000004,,0.02575483452000001,0.13476366900000006,0.045520172640000016,0.08445189924000003,0.044921222999999996,0.035936978400000014,0.02815063308,0.007187395680000002,0.006588446040000002,0.003593697840000001,0.0011978992800000005,0.03713487768
Jiangsu,0.12643733232,0.03566181168,0.54222163668,0.8023907628,0.07375511052,0.01702041012,0.03728280312,,2.1105308548799995,0.03160933308,0.1539941868,0.09077552064,0.10212246072,0.16696211832,0.03079883736,0.03160933308,0.09725948640000001,1.1590088796,1.8803500704,0.045387760320000005,0.14426823815999998,0.0729446148,0.08186006771999997,0.05835569184,0.08023907627999999,0.0364723074,0.0081049572,0.0081049572,0.00648396576,0.00162099144,0.0526822218
