,Hebei,Tianjin,Henan,Shandong,Jiangsu,Guangdong,Shanghai,Shanxi,Sichuan,Zhejiang,Anhui,Inner Mongolia,Hubei,Heilongjiang,Shaanxi,Hainan,Hunan,Liaoning,Chongqing,Fujian,Jilin,Jiangxi,Yunnan,Gansu,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,1.3340005862399995,0.27815033232,0.24557101127999995,0.19477529568,0.12331097856,0.1208587716,0.11140025904,0.10824742151999997,0.09143228807999998,0.08337503663999997,0.08232409079999999,0.08197377551999999,0.06936242543999999,0.06095485871999999,0.059903912879999986,0.057451705919999985,0.05464918368,0.044139725279999986,0.038184365519999985,0.03748373496,0.03643278912,0.035381843279999985,0.034330897439999994,0.02767490712,0.02732459184,0.024171754319999995,0.013311980639999998,0.010159143119999998,0.006655990319999999,0.00210189168,
Tianjin,0.8465179622399999,,0.09628082496,0.16525461887999998,0.05885136,0.037429464960000006,0.03695865408,0.05155379136,0.025423787519999998,0.03460459968,0.0306027072,0.035310815999999995,0.02259892224,0.03484000512,0.0223635168,0.01200567744,0.01247648832,0.0306027072,0.01200567744,0.013418110079999998,0.020480273280000003,0.008710001279999999,0.0105932448,0.00918081216,0.00659135232,0.007532974079999999,0.0037664870399999996,0.00400189248,0.0011770272,,0.69844794048
Hebei,,1.25771249232,0.45598692744,0.8158373459999999,0.19756493568000005,0.09172657728,0.06526698767999999,0.3924839124000001,0.05997506976000001,0.09525452256,0.09437253624,0.17816123664,0.088198632,0.05468315183999999,0.13406192064,0.03616143912,0.05027322024,0.13053397535999997,0.029105548560000003,0.029987534880000007,0.04233534336,0.038807398080000007,0.03351548016,0.02293164432,0.02028568536,0.026459589600000003,0.0088198632,0.014111781120000003,0.0044099316,0.0008819863200000002,4.3349627628
Shanxi,0.32538321108,0.06713575812000001,0.3388961592,0.09780800543999997,0.07335600408,0.04118231808,0.03453308963999999,,0.03582003708,0.0311012298,0.028956317400000008,0.16708867596,0.0332461422,0.00707821092,0.46844886816,0.02102014152,0.02102014152,0.00836515836,0.01587235176,0.01372743936,0.0042898248,0.01093905324,0.01544336928,0.014370913080000002,0.00836515836,0.00922312332,0.004718807279999999,0.01136803572,0.004504316039999999,0.00085796496,0.22757520564
Inner Mongolia,0.17529054479999998,0.0346219272,0.032713632,0.03748437,0.019082952,0.0179924976,0.014448520800000001,0.12390288119999998,0.0099503964,0.0126765324,0.0103593168,,0.008178408,0.09909504359999999,0.2066411088,0.011586078,0.0058611924,0.107682372,0.005997499200000001,0.0036802835999999997,0.0943243056,0.0042255108,0.0058611924,0.035439767999999996,0.0035439768,0.0031350564000000004,0.004089204,0.11367987119999999,0.0032713631999999994,0.00040892039999999993,0.1555260588
Liaoning,0.15669965808,0.050109917760000004,0.04310302248,0.06762715596,0.04427083836,0.027921416039999997,0.02696593032,0.01411995564,0.02144534616,0.027921416039999997,0.02303782236,0.12994605792000002,0.01093500324,0.07399706076,0.01358913024,0.0169864128,0.009767187359999999,,0.006051409559999999,0.009448692120000001,0.15712431840000002,0.0071130603599999995,0.007643885759999999,0.0075377206799999985,0.012527479440000001,0.00732539052,0.00222946668,0.0032911174800000003,0.0010616508,0.00063699048,0.0790929846
Jilin,0.03873166308,0.023512599,0.02402560116,0.04463118792,0.032661137519999994,0.033174139680000006,0.02915562276,0.010516544280000002,0.010773045359999999,0.02684711304,0.01273955364,0.09456339815999999,0.010516544280000002,0.17467723548,0.01350905688,0.01821157668,0.01085854572,0.13799758104,0.00675452844,0.00914853852,,0.007182030240000001,0.007866033120000001,0.00495902088,0.008550036,0.00607052556,0.0037620158399999997,0.0019665082800000002,0.0019665082800000002,0.0005130021599999999,0.047452699800000005
Heilongjiang,0.04558939848,0.029509770960000004,0.02978385552,0.0561873348,0.03453465456,0.05152789728,0.03325559328,0.01196835912,0.01534873536,0.026494840799999995,0.016993242720000003,0.093645558,0.01242516672,,0.013612866480000001,0.03864592296,0.013704228,0.061669025999999995,0.0073089216000000005,0.00941023656,0.18811336967999998,0.009136152,0.01196835912,0.005938498800000001,0.01023249024,0.008496621360000001,0.00301493016,0.0027408456,0.00173586888,0.00045680760000000003,0.06861250152000001
Shanghai,0.033306095159999986,0.021840062400000002,0.17526650075999994,0.13213237751999998,2.27191249116,0.20584258811999995,,0.02511607176,0.07425621216,1.2345095271599995,0.45154329012,0.0081900234,0.10537830107999996,0.02347806708,0.0491401404,0.04531812948,0.06442818407999999,0.013650039,0.04859413884,0.09609627456,0.014742042119999996,0.12776436503999994,0.04804813728,0.013650039,0.033306095159999986,0.031122088919999995,0.007098020279999998,0.00436801248,0.0032760093599999997,0.00109200312,0.08353823868
Jiangsu,0.10857882168,0.045425833560000003,0.4874967504,0.76337559324,,0.24707221668,4.41295353828,0.05428941084,0.110794716,1.6209266950799999,1.911208851,0.0166192074,0.20718611892,0.02991457332,0.10968676884,0.03545430912,0.10414703304,0.024374837519999998,0.06869272391999999,0.11744239896,0.02326689036,0.16730002115999998,0.0775563012,0.031022520480000006,0.07866424836000001,0.042101992080000004,0.012187418759999999,0.007755630120000002,0.0055397358,0.00221589432,0.138493395
