,Hebei,Henan,Shandong,Tianjin,Jiangsu,Guangdong,Shanxi,Shanghai,Inner Mongolia,Anhui,Zhejiang,Sichuan,Hubei,Shaanxi,Hainan,Heilongjiang,Hunan,Liaoning,Fujian,Jiangxi,Jilin,Yunnan,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.62470104336,0.14592987864,0.11421373895999999,0.10797741936,0.07305402959999999,0.06931223784000001,0.06271955712,0.04757420952,0.04703966784,0.04614876504,0.04311969552,0.04294151496,0.041159709360000005,0.038130639839999994,0.032963403599999996,0.02975615352,0.02868707016,0.02458891728,0.021916208880000003,0.01942168104,0.01853077824,0.018352597680000002,0.01799623656,0.015501708719999997,0.01371990312,0.01318536144,0.009087208559999999,0.004989055680000001,0.00409815288,0.0008909028,
Tianjin,0.28000001915999995,0.049620256560000006,0.07987651056,,0.03596171904,0.02282186016,0.02991046824,0.015733252080000003,0.01798085952,0.016511270039999998,0.01754862732,0.01313985888,0.012794073119999999,0.013917876840000001,0.008644644,0.016943502239999998,0.007607286720000002,0.016943502239999998,0.00838530468,0.006137697239999999,0.01071935856,0.00656992944,0.0090768762,0.00423587556,0.006137697239999999,0.0031985182799999998,0.00267983964,0.0025933932000000003,0.0007780179600000001,0.00017289288000000002,0.14626737648000002
Hebei,,0.24663570768,0.33724882655999994,0.3465501732,0.12241772352,0.06240903551999999,0.17132480423999996,0.03360486528,0.09091316231999998,0.06060877487999999,0.05850847079999999,0.0390056472,0.05610812328,0.07861138127999999,0.025503692400000003,0.030004343999999995,0.030004343999999995,0.06030873143999998,0.020102910480000003,0.02520364896,0.02580373584,0.02160312768,0.0240034752,0.01290186792,0.01680243264,0.01320191136,0.00810117288,0.00840121632,0.00330047784,0.00060008688,0.9655397899199998
Shanxi,0.12033228779999999,0.16053970284000002,0.05683163472,0.02570954904,0.043300293120000014,0.025902853920000003,,0.01662421968,0.06253412868,0.01681752456,0.02194010388,0.02570954904,0.021263536800000003,0.18392959332000006,0.014787823320000002,0.0032861829600000004,0.0135313416,0.004929274440000001,0.008505414720000002,0.00560584152,0.0033828354,0.010921725719999999,0.00908532936,0.00908532936,0.006089103720000001,0.006185756160000001,0.0033828354,0.007345585440000002,0.0030928780800000004,0.00019330488000000005,0.07355250683999999
Inner Mongolia,0.07395743232,0.02348352,0.02248155648,0.01709600256,0.015154698239999997,0.014528471040000001,0.05517061632,0.007452103679999999,,0.00707636736,0.00882980352,0.0050724403200000006,0.005573422079999999,0.08635673088,0.00976914432,0.04208246784,0.00388260864,0.042833940480000006,0.00356949504,0.00256753152,0.04064214528,0.0037573632,0.004133099520000001,0.015279943679999996,0.00325638144,0.00269277696,0.00225441792,0.0444621312,0.0018160588800000001,0.00018786816,0.05974207487999999
Liaoning,0.06355696104,0.02435408208,0.03945977856,0.02384028288,0.023018204160000003,0.01988402904,0.00734732856,0.012074281200000002,0.05528479392000001,0.01428361776,0.01479741696,0.01022460408,0.00626835024,0.0076042281599999996,0.0095052852,0.03868907976,0.00626835024,,0.00657662976,0.00441867312,0.06489283896,0.005137992,0.0038534940000000003,0.0028772755200000004,0.00369935424,0.0058059309600000004,0.0010275984,0.00113035824,0.00056517912,0.00041103936,0.03560628456
Jilin,0.02151947736,0.01401686208,0.028348205039999994,0.013342974479999999,0.02147455152,0.024484582799999998,0.007053356880000002,0.0184195944,0.04025355264000001,0.007277986080000002,0.01554434064,0.007637392800000002,0.0069185793600000005,0.0087605388,0.013477752,0.07538555952,0.009030093839999998,0.0563819292,0.007008431040000001,0.0046273615200000005,,0.00512154576,0.004807064880000001,0.00242599536,0.004043325600000001,0.004492584,0.00260569872,0.00161733024,0.0012579235200000005,0.00031448088000000007,0.020576034719999997
Heilongjiang,0.02662132068,0.01848843144,0.034855239600000004,0.01621526364,0.02131726248,0.032834646,0.006566929200000001,0.02364094512,0.043291217879999996,0.00828443376,0.016669897200000002,0.010203997679999998,0.006971047920000001,0.008537007959999999,0.0275305878,,0.00979987896,0.03546141768,0.005051484000000001,0.003637068480000001,0.08638037640000001,0.007678255680000002,0.0056576620800000005,0.0022226529600000004,0.006516414360000001,0.005506117560000001,0.0017680194,0.0008082374400000001,0.00090926712,0.00015154452,0.030510963360000008
Shanghai,0.02004467472,0.09600344207999999,0.08096993604,0.01371477744,1.0275533251200002,0.12554296271999998,0.01265979456,,0.00580240584,0.21337028748,0.5464811318399999,0.045364263839999995,0.05617783836,0.02874828348,0.02690206344,0.01160481168,0.03850687512,0.007384880160000002,0.05195790683999999,0.07200258156,0.00896735448,0.02584708056,0.02690206344,0.00843986304,0.02004467472,0.0184622004,0.0052749144000000005,0.00316494864,0.0018462200400000005,0.00052749144,0.03006701208
Jiangsu,0.06847096536,0.29204962776,0.3940573924800001,0.0279473328,,0.16628663015999998,0.03307101048,1.26275365368,0.01117893312,0.8309673619200001,0.7247674972800001,0.06940254312000001,0.1187761644,0.069868332,0.02468681064,0.01769997744,0.061949921040000015,0.01443945528,0.06847096536,0.10526828687999999,0.0139736664,0.05216835456000001,0.042852576960000006,0.0186315552,0.030276277200000007,0.049839410160000014,0.00884998872,0.005123677680000001,0.0046578888,0.00093157776,0.058689398880000014
